CompanyName,Symbol,Sector,CompanyId,SecurityId
Asia Amalgamated Holdings Corporation,AAA,Holding Firms,55,347
"Atok-Big Wedge Co., Inc.",AB,Mining and Oil,19,181
"AbaCore Capital Holdings, Inc.",ABA,Holding Firms,174,173
Asiabest Group International Inc.,ABG,Holding Firms,176,350
ABS-CBN Corporation,ABS,Services,114,123
ABS-CBN Holdings Corporation,ABSP,Services,15,259
Ayala Corporation,AC,Holding Firms,57,180
Acesite (Phils.) Hotel Corporation,ACE,Services,48,370
ACEN CORPORATION,ACEN,Industrial,233,140
"Alsons Consolidated Resources, Inc.",ACR,Industrial,121,170
"Aboitiz Equity Ventures, Inc.",AEV,Holding Firms,16,183
"Alliance Global Group, Inc.",AGI,Holding Firms,212,179
Arthaland Corporation,ALCO,Property,172,316
"Anchor Land Holdings, Inc.",ALHI,Property,612,536
"Ayala Land, Inc.",ALI,Property,180,293
"AllDay Marts, Inc.",ALLDY,Services,686,674
AyalaLand Logistics Holdings Corp.,ALLHC,Property,26,202
Alternergy Holdings Corporation,ALTER,Industrial,701,696
"AgriNurture, Inc.",ANI,Industrial,619,547
A. Soriano Corporation,ANS,Holding Firms,14,169
Aboitiz Power Corporation,AP,Industrial,609,532
"APC Group, Inc.",APC,Services,177,182
"Apollo Global Capital, Inc.",APL,Services,638,581
Anglo Philippine Holdings Corporation,APO,Holding Firms,52,171
"Altus Property Ventures, Inc.",APVI,Property,678,654
"Apex Mining Co., Inc.",APX,Mining and Oil,178,318
Abra Mining and Industrial Corporation,AR,Mining and Oil,33,321
"Araneta Properties, Inc.",ARA,Property,38,294
"AREIT, Inc.",AREIT,Property,679,655
Raslag Corp.,ASLAG,Industrial,694,689
Atlas Consolidated Mining and Development Corporation,AT,Mining and Oil,34,320
"Asian Terminals, Inc.",ATI,Services,53,141
"ATN Holdings, Inc.",ATN,Holding Firms,56,176
Asia United Bank Corporation,AUB,Financials,641,584
Axelum Resources Corp.,AXLM,Industrial,673,646
Balai Ni Fruitas Inc.,BALAI,"Small, Medium & Emerging Board",697,692
Benguet Corporation,BC,Mining and Oil,108,353
Berjaya Philippines Inc.,BCOR,Services,9,391
"BDO Unibank, Inc.",BDO,Financials,260,468
Belle Corporation,BEL,Services,21,252
"BHI Holdings, Inc.",BH,Holding Firms,62,358
"Boulevard Holdings, Inc.",BHI,Services,63,187
Bright Kindle Resources & Investments Inc.,BKR,Financials,66,116
Bloomberry Resorts Corporation,BLOOM,Services,49,233
"Bogo-Medellin Milling Company, Inc.",BMM,Industrial,181,359
Bank of Commerce,BNCOM,Financials,692,687
Bank of the Philippine Islands,BPI,Financials,234,101
"A Brown Company, Inc.",BRN,Property,13,234
