Date,Value,Open,Close,High,Low
03/08/09,2802350.0,25.0,25.5,25.5,24.5
04/08/09,4725650.0,25.5,26.0,26.0,25.5
06/08/09,626600.0,26.0,26.0,26.0,26.0
07/08/09,1405150.0,25.5,25.5,26.0,25.5
10/08/09,3191900.0,25.5,26.0,26.0,25.5
11/08/09,2529300.0,26.5,27.0,27.0,25.5
12/08/09,7562100.0,27.0,27.5,27.5,26.5
13/08/09,18352750.0,28.0,31.0,31.0,28.0
14/08/09,3550400.0,32.0,31.0,32.0,30.0
17/08/09,532050.0,31.5,30.0,31.5,30.0
18/08/09,2093900.0,30.0,29.5,30.0,29.0
19/08/09,1703200.0,30.0,30.5,31.0,30.0
20/08/09,4075250.0,29.5,30.0,31.5,29.5
24/08/09,3924150.0,31.5,31.5,32.0,31.0
25/08/09,7634700.0,31.0,31.5,31.5,31.0
26/08/09,1307750.0,31.5,30.5,31.5,30.5
03/09/09,369500.0,31.0,30.5,31.0,30.5
04/09/09,4000150.0,31.0,32.0,32.0,31.0
16/09/09,865950.0,30.0,30.0,30.0,29.5
17/09/09,642000.0,30.0,30.0,30.0,30.0
18/09/09,4915500.0,30.0,31.0,31.0,30.0
22/09/09,646600.0,30.5,30.5,30.5,30.5
23/09/09,292800.0,30.5,30.5,30.5,30.5
30/09/09,330000.0,30.0,30.0,30.0,30.0
01/10/09,387000.0,30.0,30.0,30.0,30.0
02/10/09,940550.0,29.5,29.5,30.0,29.5
05/10/09,1082900.0,29.5,30.0,30.0,29.5
06/10/09,906000.0,30.0,30.0,30.0,30.0
07/10/09,4267700.0,30.0,30.5,30.5,29.5
08/10/09,283650.0,30.5,30.5,30.5,30.5
09/10/09,150000.0,30.0,30.0,30.0,30.0
12/10/09,859950.0,30.5,30.5,30.5,30.0
13/10/09,615000.0,30.0,30.0,30.0,30.0
14/10/09,255000.0,30.0,30.0,30.0,30.0
15/10/09,15100.0,30.0,31.0,31.0,30.0
16/10/09,939100.0,31.0,31.0,31.0,30.5
19/10/09,123950.0,31.0,30.5,31.0,30.5
20/10/09,39650.0,30.5,30.5,30.5,30.5
21/10/09,352350.0,30.0,30.0,31.0,30.0
22/10/09,4961400.0,30.0,29.0,30.5,29.0
23/10/09,3627800.0,28.5,28.5,30.5,28.5
26/10/09,3645000.0,29.0,30.0,30.5,28.5
27/10/09,2150350.0,29.5,29.0,29.5,29.0
28/10/09,29000.0,29.0,29.0,29.0,29.0
29/10/09,2257200.0,28.5,28.5,28.5,28.5
30/10/09,7088650.0,29.0,30.0,30.0,28.5
03/11/09,1500000.0,30.0,30.0,30.0,30.0
04/11/09,892800.0,30.0,29.0,30.0,29.0
05/11/09,715400.0,29.0,28.5,29.0,28.5
06/11/09,4144100.0,29.0,29.0,29.0,29.0
09/11/09,6735850.0,29.0,29.5,29.5,28.5
10/11/09,5717300.0,29.5,29.0,29.5,29.0
11/11/09,504600.0,29.0,29.0,29.0,29.0
16/12/09,791150.0,29.0,29.5,29.5,29.0
17/12/09,139200.0,29.0,29.0,29.0,29.0
18/12/09,17100.0,28.5,28.5,28.5,28.5
21/12/09,455300.0,29.0,29.0,29.0,29.0
22/12/09,142100.0,29.0,29.0,29.0,29.0
23/12/09,92800.0,29.0,29.0,29.0,29.0
29/12/09,1173500.0,29.0,28.5,29.0,28.5
04/01/10,608200.0,29.0,29.0,30.0,29.0
05/01/10,135050.0,28.5,29.0,29.0,28.5
06/01/10,197200.0,29.0,29.0,29.0,29.0
07/01/10,2844900.0,29.0,29.0,29.0,29.0
08/01/10,1310800.0,29.0,29.0,29.0,29.0
11/01/10,3326200.0,29.0,29.0,29.5,28.5
12/01/10,310300.0,29.0,29.0,29.0,29.0
13/01/10,2842200.0,31.0,29.0,31.0,29.0
14/01/10,49300.0,29.0,29.0,29.0,29.0
15/01/10,1937400.0,28.5,28.5,29.0,28.0
18/01/10,276450.0,28.5,28.5,28.5,28.5
19/01/10,42750.0,28.5,28.5,28.5,28.5
20/01/10,108300.0,28.5,28.5,28.5,28.5
21/01/10,2402450.0,28.5,28.0,28.5,28.0
22/01/10,163400.0,28.0,28.5,28.5,28.0
25/01/10,1449050.0,28.0,27.5,28.0,27.0
26/01/10,2184900.0,27.0,27.5,27.5,26.5
27/01/10,450750.0,26.5,27.5,27.5,26.5
28/01/10,2350550.0,27.5,28.5,28.5,27.5
01/02/10,19600.0,28.0,28.0,28.0,28.0
02/02/10,48400.0,28.0,26.0,28.0,26.0
03/02/10,170900.0,26.0,25.5,26.0,25.5
04/02/10,176050.0,25.5,26.0,26.0,25.5
05/02/10,2410450.0,26.0,28.0,28.0,26.0
08/02/10,1553050.0,27.0,28.0,28.0,27.0
09/02/10,274250.0,27.0,27.5,27.5,27.0
10/02/10,5883800.0,27.5,27.5,28.5,27.5
11/02/10,6958800.0,27.5,28.0,28.0,27.0
08/03/10,41250.0,27.5,27.5,27.5,27.5
12/03/10,11709500.0,27.5,27.5,27.5,27.5
15/03/10,1532250.0,28.0,27.5,28.0,27.0
16/03/10,66000.0,27.5,27.5,27.5,27.5
17/03/10,1271150.0,27.5,28.0,28.0,27.5
20/04/10,1460650.0,29.5,29.0,29.5,29.0
21/04/10,4428350.0,29.0,29.0,29.5,29.0
22/04/10,3413900.0,30.0,30.0,30.0,29.5
23/04/10,10850050.0,29.5,29.5,29.5,29.0
29/04/10,3010200.0,30.0,31.0,31.0,30.0
30/04/10,9593250.0,31.0,33.0,33.0,31.0
04/05/10,833800.0,33.0,32.0,33.0,32.0
05/05/10,5860400.0,32.0,31.0,32.0,31.0
13/05/10,2411100.0,34.5,34.0,34.5,34.0
14/05/10,5153300.0,34.0,35.0,35.5,34.0
17/05/10,3578400.0,35.5,34.0,35.5,34.0
18/05/10,1782300.0,34.0,34.5,34.5,34.0
19/05/10,5873100.0,34.0,36.5,37.5,34.0
20/05/10,7255500.0,37.5,37.5,38.0,37.5
21/05/10,5416600.0,37.5,36.5,37.5,36.5
24/05/10,17162500.0,37.0,36.5,37.0,36.0
25/05/10,1295200.0,36.0,35.0,36.0,35.0
26/05/10,935200.0,35.0,35.5,35.5,34.5
27/05/10,3968150.0,35.0,37.5,37.5,35.0
28/05/10,6240900.0,38.0,38.5,38.5,38.0
31/05/10,3975200.0,38.0,37.5,38.0,37.0
01/06/10,7328450.0,37.5,38.0,38.5,37.0
02/06/10,2317900.0,38.0,37.5,38.0,37.0
03/06/10,4828000.0,37.5,38.0,39.0,37.5
04/06/10,2948600.0,38.5,37.5,39.0,37.5
07/06/10,1735950.0,38.5,37.0,38.5,37.0
08/06/10,1887100.0,36.5,36.5,37.0,36.5
09/06/10,2214100.0,36.5,36.0,36.5,35.5
10/06/10,698150.0,36.0,36.0,36.0,35.5
11/06/10,677200.0,36.5,36.0,36.5,36.0
15/06/10,3070300.0,36.0,36.5,36.5,36.0
16/06/10,152300.0,36.5,36.5,36.5,36.0
21/06/10,6401400.0,36.0,37.0,37.0,35.5
22/06/10,1047100.0,37.0,37.0,37.0,37.0
23/06/10,556850.0,37.0,36.5,37.0,36.5
24/06/10,2816700.0,36.5,36.0,36.5,36.0
25/06/10,219650.0,36.0,36.5,36.5,36.0
28/06/10,710200.0,36.5,36.0,36.5,36.0
29/06/10,36050.0,36.0,36.5,36.5,36.0
01/07/10,2322500.0,36.5,37.0,37.0,36.0
02/07/10,4583950.0,37.0,37.0,37.0,36.5
06/07/10,497850.0,37.0,36.5,37.0,36.5
07/07/10,1186400.0,36.5,37.0,37.0,36.5
08/07/10,798750.0,37.5,37.5,37.5,37.5
09/07/10,145800.0,37.5,37.0,37.5,37.0
13/07/10,3547300.0,37.0,38.0,38.0,37.0
15/07/10,6020800.0,37.5,38.0,38.0,37.0
16/07/10,3060700.0,38.0,37.5,38.0,37.5
19/07/10,48100.0,37.0,37.0,37.0,37.0
20/07/10,14115950.0,37.0,38.0,38.0,37.0
21/07/10,740000.0,37.0,37.0,37.0,37.0
22/07/10,11203850.0,37.0,37.5,37.5,36.5
23/07/10,1145100.0,38.0,37.5,38.0,37.5
20/09/10,4910279.0,54.1,54.95,54.95,54.1
21/09/10,15373299.5,55.0,55.0,55.0,54.05
22/09/10,14061404.0,54.5,55.0,55.0,54.0
23/09/10,7285856.0,54.5,55.6,55.6,54.5
24/09/10,3733190.5,55.0,55.6,55.6,54.8
27/09/10,7102470.0,55.6,55.6,55.6,54.75
28/09/10,4250845.0,55.0,56.0,56.0,55.0
29/09/10,6607661.0,57.0,56.0,57.0,55.0
30/09/10,509611.0,55.5,55.4,55.5,55.3
01/10/10,138750.0,55.5,55.5,55.5,55.5
04/10/10,1074750.0,55.3,55.3,55.5,55.3
05/10/10,4416135.0,55.2,56.0,56.0,55.2
06/10/10,2932240.0,56.0,56.0,56.0,55.2
07/10/10,277750.0,55.55,55.55,55.55,55.55
08/10/10,2030018.0,55.8,56.0,56.0,55.5
12/10/10,7577534.0,55.5,56.0,56.0,55.3
13/10/10,75365.0,55.7,55.9,55.9,55.7
14/10/10,1617202.5,55.65,55.65,56.0,55.6
15/10/10,1229368.0,55.7,55.65,55.7,55.65
18/10/10,87891.0,55.65,55.65,55.65,55.6
19/10/10,1751721.5,55.5,56.0,56.0,54.5
20/10/10,277250.0,55.45,55.45,55.45,55.45
21/10/10,3419882.0,55.6,56.0,56.0,55.3
22/10/10,5351050.0,55.5,56.0,56.0,55.4
26/10/10,211880.0,56.0,55.5,56.0,55.5
27/10/10,386475.0,55.5,55.4,55.5,55.4
28/10/10,6569687.0,55.4,56.0,56.0,55.3
29/10/10,1390805.0,55.4,56.0,56.0,55.4
02/11/10,565940.0,55.45,55.95,55.95,55.45
03/11/10,282790.0,55.45,55.4,55.45,55.4
04/11/10,1598494.5,55.4,55.95,55.95,55.35
08/11/10,255410.0,56.2,55.4,56.2,55.3
09/11/10,9321038.0,55.4,56.0,56.0,55.3
10/11/10,68850.0,56.0,55.8,56.0,55.8
11/11/10,1169521.0,55.4,55.3,55.4,55.15
12/11/10,88428.0,55.0,54.8,55.0,54.8
15/11/10,510616.0,54.5,54.4,54.8,52.0
17/11/10,4289777.5,52.0,53.5,53.85,51.0
18/11/10,938420.0,53.0,52.0,53.0,52.0
19/11/10,59210.0,53.45,52.95,53.45,52.95
22/11/10,279308.0,50.6,50.7,50.7,50.6
23/11/10,1280375.0,50.7,50.5,50.7,50.4
24/11/10,75750.0,50.5,50.5,50.5,50.5
25/11/10,202279.5,50.2,50.2,50.5,50.2
26/11/10,45000.0,45.0,45.0,45.0,45.0
30/11/10,417250.0,45.0,46.5,47.0,45.0
01/12/10,832350.0,46.5,46.5,46.5,46.5
02/12/10,2720000.0,46.5,45.0,46.5,43.6
03/12/10,4052400.0,45.0,46.0,46.5,45.0
06/12/10,931400.0,46.5,46.0,46.5,46.0
07/12/10,4154840.0,46.0,45.5,46.0,44.0
08/12/10,3384320.0,45.5,45.4,46.5,44.0
16/12/10,43500.0,43.5,43.5,43.5,43.5
22/12/10,228000.0,43.0,44.0,44.0,43.0
23/12/10,879500.0,43.5,44.0,44.0,43.5
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
28/12/10,67500.0,45.0,45.0,45.0,45.0
29/12/10,252600.0,45.0,45.0,46.0,45.0
29/12/10,252600.0,45.0,45.0,46.0,45.0
03/01/11,13700.0,45.0,46.0,46.0,45.0
03/01/11,13700.0,45.0,46.0,46.0,45.0
03/01/11,13700.0,45.0,46.0,46.0,45.0
04/01/11,48700.0,41.0,45.0,45.0,41.0
05/01/11,9000.0,45.0,45.0,45.0,45.0
06/01/11,1102500.0,45.0,45.0,45.0,45.0
07/01/11,2699270.0,45.0,45.8,48.5,45.0
10/01/11,47500.0,47.5,47.5,47.5,47.5
12/01/11,196850.0,43.5,46.0,46.0,43.5
13/01/11,243000.0,45.0,45.0,45.0,45.0
14/01/11,50000.0,45.0,45.5,45.5,45.0
17/01/11,13650.0,45.5,45.5,45.5,45.5
18/01/11,729700.0,45.0,45.5,45.5,45.0
19/01/11,636950.0,45.5,45.0,45.5,45.0
19/01/11,636950.0,45.5,45.0,45.5,45.0
20/01/11,50600.0,46.0,46.0,46.0,46.0
20/01/11,50600.0,46.0,46.0,46.0,46.0
26/01/11,225000.0,45.0,45.0,45.0,45.0
27/01/11,1039500.0,45.0,45.0,45.0,45.0
28/01/11,1889200.0,45.0,44.6,45.0,44.6
28/01/11,1889200.0,45.0,44.6,45.0,44.6
31/01/11,945000.0,45.0,45.0,45.0,45.0
31/01/11,945000.0,45.0,45.0,45.0,45.0
03/02/11,8290.0,38.0,44.9,44.9,38.0
14/02/11,4485.0,44.85,44.85,44.85,44.85
16/02/11,59050.0,44.5,42.0,44.5,42.0
16/02/11,59050.0,44.5,42.0,44.5,42.0
17/02/11,108150.0,41.5,44.0,44.0,41.5
18/02/11,44050.0,44.0,44.5,44.5,44.0
21/02/11,213015.0,41.4,44.0,44.0,41.4
21/02/11,213015.0,41.4,44.0,44.0,41.4
22/02/11,107650.0,44.0,41.3,44.0,41.3
22/02/11,107650.0,44.0,41.3,44.0,41.3
23/02/11,42000.0,42.0,42.0,42.0,42.0
23/02/11,42000.0,42.0,42.0,42.0,42.0
25/02/11,4080.0,40.8,40.8,40.8,40.8
28/02/11,16320.0,40.8,40.8,40.8,40.8
02/03/11,36450.0,40.5,40.5,40.5,40.5
03/03/11,238410.0,41.0,42.0,42.1,41.0
04/03/11,1661950.0,42.0,42.2,42.2,41.5
04/03/11,1661950.0,42.0,42.2,42.2,41.5
07/03/11,623520.0,43.5,43.0,44.0,43.0
08/03/11,1878755.0,43.5,44.75,44.75,43.2
08/03/11,1878755.0,43.5,44.75,44.75,43.2
11/03/11,247800.0,44.5,44.5,44.5,44.0
11/03/11,247800.0,44.5,44.5,44.5,44.0
16/03/11,1703240.0,44.75,44.5,44.75,44.0
18/03/11,97280.0,44.0,44.0,44.5,44.0
21/03/11,200445.0,44.0,44.75,45.0,44.0
22/03/11,75490.0,44.45,44.3,44.45,44.3
24/03/11,8700.0,43.5,43.5,43.5,43.5
25/03/11,34800.0,43.5,43.5,43.5,43.5
28/03/11,76340.0,43.5,43.5,43.5,40.5
29/03/11,17400.0,43.5,43.5,43.5,43.5
30/03/11,254650.0,40.0,41.95,42.0,40.0
31/03/11,292950.0,41.0,42.5,43.0,40.0
01/04/11,59380.0,42.5,42.4,42.5,42.4
04/04/11,173670.0,42.3,42.0,42.5,42.0
05/04/11,12660.0,42.2,42.2,42.2,42.2
06/04/11,71700.0,42.3,42.0,42.3,42.0
07/04/11,53910.0,41.4,41.5,41.5,41.4
08/04/11,166645.0,41.4,42.0,42.95,41.4
11/04/11,123760.0,41.2,41.2,42.0,41.2
12/04/11,246080.0,41.2,41.0,41.2,41.0
13/04/11,77990.0,41.2,41.0,41.2,41.0
14/04/11,579120.0,41.0,41.0,41.5,41.0
15/04/11,459520.0,41.2,40.0,41.2,40.0
26/04/11,233790.0,41.0,41.05,41.2,41.0
27/04/11,192905.0,41.05,41.05,41.05,41.0
28/04/11,136140.0,40.0,40.05,40.1,40.0
29/04/11,535600.0,40.0,41.1,41.1,40.0
02/05/11,77900.0,41.0,41.0,41.0,41.0
03/05/11,414700.0,43.0,42.5,43.0,42.5
04/05/11,63000.0,42.0,42.0,42.0,42.0
05/05/11,46200.0,42.0,42.0,42.0,42.0
06/05/11,98200.0,40.0,41.0,41.5,40.0
09/05/11,58050.0,41.0,41.5,41.5,41.0
10/05/11,165590.0,41.45,41.0,41.45,41.0
11/05/11,132500.0,41.4,41.4,41.5,41.4
12/05/11,1574840.0,41.4,42.0,42.1,41.4
13/05/11,1045800.0,42.0,42.0,42.0,42.0
16/05/11,28900.0,42.0,41.0,42.0,41.0
17/05/11,587750.0,41.5,41.95,42.0,41.5
18/05/11,24600.0,41.0,41.0,41.0,41.0
19/05/11,20500.0,41.0,41.0,41.0,41.0
20/05/11,80400.0,41.0,41.0,41.0,40.0
23/05/11,12300.0,41.0,41.0,41.0,41.0
24/05/11,229200.0,41.0,40.4,41.0,38.0
26/05/11,19780.0,40.4,39.0,40.4,39.0
27/05/11,228110.0,40.4,39.9,40.4,39.9
30/05/11,428610.0,39.5,39.5,39.5,39.0
31/05/11,182875.0,38.5,38.9,38.95,38.5
01/06/11,1870320.0,38.9,39.9,39.9,38.8
03/06/11,555810.0,39.5,39.4,39.5,39.4
06/06/11,475720.0,39.4,41.0,41.0,39.2
07/06/11,496440.0,40.5,39.5,40.5,39.0
08/06/11,40400.0,39.5,40.5,40.5,39.5
09/06/11,32280.0,40.5,40.45,40.5,40.0
10/06/11,84945.0,40.45,40.45,40.45,40.45
13/06/11,4030.0,40.3,40.3,40.3,40.3
14/06/11,8000.0,40.0,40.0,40.0,40.0
15/06/11,11600.0,38.0,40.0,40.0,38.0
16/06/11,80990.0,40.45,40.5,40.5,40.45
17/06/11,492000.0,40.0,40.0,40.5,39.0
21/06/11,210050.0,40.0,40.45,40.45,40.0
22/06/11,302750.0,40.0,40.2,40.5,40.0
23/06/11,376340.0,40.5,40.5,40.5,40.4
24/06/11,481950.0,40.5,40.5,40.5,40.5
27/06/11,4050.0,40.5,40.5,40.5,40.5
29/06/11,48100.0,40.5,40.0,40.5,40.0
30/06/11,332100.0,40.5,40.5,40.5,40.5
04/07/11,93150.0,40.5,40.5,40.5,40.5
05/07/11,352000.0,40.0,40.0,40.0,40.0
06/07/11,120555.0,40.5,40.45,40.5,40.05
07/07/11,94225.0,40.0,40.0,40.0,39.0
08/07/11,106150.0,40.0,39.5,40.0,39.0
11/07/11,181700.0,39.5,39.5,39.5,39.5
12/07/11,75050.0,39.5,39.5,39.5,39.5
13/07/11,281625.0,39.5,39.1,39.5,39.0
14/07/11,195500.0,39.1,39.1,39.1,39.1
15/07/11,430235.0,39.1,39.1,40.0,39.1
18/07/11,507000.0,39.0,39.0,39.0,39.0
19/07/11,100295.0,40.0,38.55,40.0,38.1
20/07/11,790250.0,39.0,39.0,39.0,38.65
21/07/11,2506145.0,39.9,39.8,40.0,39.0
22/07/11,2071170.0,39.8,39.6,39.8,39.3
25/07/11,195120.0,40.0,39.8,40.0,39.8
26/07/11,656885.0,39.9,40.0,40.0,39.0
27/07/11,218890.0,39.8,40.0,40.0,38.2
28/07/11,35800.0,40.0,39.5,40.0,39.5
29/07/11,339490.0,39.5,39.0,39.5,39.0
01/08/11,399200.0,40.0,39.5,40.0,39.5
02/08/11,521150.0,40.0,39.75,40.0,39.6
03/08/11,2188095.0,39.2,38.5,39.2,38.5
04/08/11,808385.0,39.0,38.5,39.0,38.5
05/08/11,604400.0,38.1,38.0,38.1,38.0
08/08/11,870400.0,38.5,38.5,38.5,38.0
09/08/11,1026240.0,37.8,37.5,37.8,35.0
10/08/11,630940.0,38.0,38.0,38.5,38.0
11/08/11,52500.0,37.5,37.5,37.5,37.5
12/08/11,852820.0,37.0,37.0,37.5,37.0
15/08/11,152080.0,37.0,37.2,37.4,37.0
16/08/11,577750.0,37.3,36.5,37.3,36.5
17/08/11,1314180.0,36.0,37.45,37.45,36.0
18/08/11,882000.0,36.0,36.0,36.0,36.0
19/08/11,579250.0,37.0,36.0,37.0,36.0
22/08/11,389000.0,36.0,36.0,36.5,36.0
23/08/11,203700.0,36.0,35.5,36.0,35.5
24/08/11,17880.0,35.4,36.0,36.0,35.4
25/08/11,2205665.0,36.0,34.5,36.0,34.5
26/08/11,324735.0,35.95,34.5,35.95,34.5
31/08/11,2469505.0,35.0,33.75,35.0,33.75
01/09/11,1903375.0,33.7,33.5,33.9,33.5
