Date,Value,Open,Close,High,Low
03/08/09,6291500.0,25.0,25.5,26.0,25.0
04/08/09,2182000.0,26.0,26.5,26.5,25.5
06/08/09,13554750.0,26.5,26.5,26.5,26.5
07/08/09,27446100.0,26.5,26.0,26.5,26.0
10/08/09,1666400.0,26.5,26.0,26.5,26.0
11/08/09,12661600.0,26.0,27.0,27.0,26.0
12/08/09,41363350.0,27.0,28.0,28.0,27.0
13/08/09,22356700.0,29.5,31.5,32.0,29.5
14/08/09,11468950.0,31.0,31.5,31.5,31.0
17/08/09,3489250.0,30.5,31.0,31.0,30.0
18/08/09,11087000.0,30.5,31.5,31.5,30.5
19/08/09,17943500.0,31.5,30.5,32.0,30.5
20/08/09,10275650.0,31.5,32.0,32.5,31.5
24/08/09,569550.0,31.5,32.0,32.0,31.5
25/08/09,3663550.0,32.0,31.5,32.0,31.5
26/08/09,5976900.0,31.0,30.5,31.0,30.5
03/09/09,1210300.0,31.0,30.5,31.0,30.5
04/09/09,49879400.0,32.0,32.0,32.5,32.0
16/09/09,18300000.0,30.5,30.5,30.5,30.5
17/09/09,15911500.0,30.0,30.5,30.5,30.0
18/09/09,7367500.0,30.0,31.0,31.5,30.0
22/09/09,7608600.0,30.0,30.5,30.5,30.0
23/09/09,6589000.0,31.0,31.0,31.0,30.5
30/09/09,3000000.0,30.0,30.0,30.0,30.0
01/10/09,27482550.0,30.0,30.0,30.5,30.0
02/10/09,1785000.0,30.0,30.0,30.0,30.0
05/10/09,1937500.0,29.5,30.0,30.0,29.5
06/10/09,19149400.0,31.0,31.0,31.0,30.5
07/10/09,610000.0,30.5,30.5,30.5,30.5
08/10/09,11240600.0,31.0,31.0,31.0,31.0
09/10/09,3426200.0,31.0,31.0,31.0,26.0
12/10/09,300000.0,30.0,30.0,30.0,30.0
13/10/09,7801000.0,30.0,30.0,30.5,30.0
14/10/09,3183050.0,30.5,30.5,30.5,30.0
15/10/09,4840800.0,30.5,30.5,30.5,30.0
16/10/09,775000.0,31.0,31.0,31.0,31.0
20/10/09,164700.0,30.5,30.5,30.5,30.5
21/10/09,756400.0,30.5,30.5,30.5,30.5
22/10/09,4875550.0,30.5,30.5,30.5,30.0
23/10/09,4240000.0,30.0,30.5,30.5,30.0
26/10/09,1802000.0,30.0,30.5,30.5,29.5
27/10/09,2961400.0,25.0,30.5,30.5,25.0
28/10/09,2550000.0,30.0,30.0,30.0,30.0
