Date,Value,Open,Close,High,Low
03/08/09,4351400.0,0.4,0.4,0.4,0.39
04/08/09,945500.0,0.41,0.4,0.41,0.4
06/08/09,1547500.0,0.39,0.38,0.4,0.38
07/08/09,2297800.0,0.38,0.38,0.39,0.38
10/08/09,1804000.0,0.38,0.38,0.38,0.37
11/08/09,851200.0,0.38,0.38,0.38,0.38
12/08/09,1173800.0,0.37,0.38,0.38,0.37
13/08/09,4213500.0,0.38,0.39,0.39,0.37
14/08/09,17766200.0,0.39,0.41,0.44,0.39
17/08/09,1773000.0,0.41,0.4,0.41,0.39
18/08/09,4464700.0,0.37,0.37,0.38,0.36
19/08/09,1911400.0,0.38,0.38,0.38,0.38
20/08/09,787000.0,0.38,0.39,0.39,0.38
24/08/09,1838800.0,0.41,0.4,0.41,0.4
25/08/09,573000.0,0.4,0.4,0.4,0.39
26/08/09,396400.0,0.42,0.4,0.42,0.4
03/09/09,228000.0,0.4,0.4,0.4,0.4
04/09/09,3842300.0,0.41,0.41,0.43,0.41
16/09/09,1816400.0,0.42,0.42,0.42,0.41
17/09/09,87100.0,0.41,0.41,0.42,0.41
18/09/09,1932800.0,0.42,0.43,0.44,0.42
22/09/09,3067200.0,0.44,0.44,0.45,0.43
23/09/09,4004200.0,0.44,0.43,0.45,0.43
30/09/09,1053000.0,0.39,0.39,0.39,0.39
01/10/09,793800.0,0.38,0.38,0.39,0.38
02/10/09,2052400.0,0.37,0.37,0.37,0.36
05/10/09,447700.0,0.37,0.37,0.37,0.37
06/10/09,1473600.0,0.38,0.38,0.38,0.37
07/10/09,961200.0,0.38,0.38,0.39,0.38
08/10/09,186700.0,0.39,0.38,0.39,0.38
09/10/09,497800.0,0.38,0.38,0.38,0.38
12/10/09,790400.0,0.38,0.38,0.38,0.38
13/10/09,249700.0,0.37,0.38,0.38,0.37
14/10/09,516800.0,0.38,0.38,0.38,0.38
15/10/09,440800.0,0.38,0.38,0.38,0.38
16/10/09,1065000.0,0.39,0.39,0.4,0.39
19/10/09,468000.0,0.39,0.39,0.39,0.39
20/10/09,816400.0,0.39,0.37,0.39,0.37
21/10/09,638200.0,0.37,0.39,0.39,0.37
22/10/09,2826500.0,0.38,0.39,0.41,0.38
23/10/09,424100.0,0.4,0.39,0.4,0.39
26/10/09,222900.0,0.38,0.39,0.4,0.38
27/10/09,114000.0,0.38,0.38,0.38,0.38
28/10/09,390000.0,0.39,0.39,0.39,0.39
29/10/09,1583400.0,0.38,0.37,0.38,0.37
30/10/09,630400.0,0.37,0.37,0.38,0.37
