Date,Value,Open,Close,High,Low
13/08/20,832478145.0,27.0,24.9,27.25,24.9
14/08/20,246878435.0,25.0,24.1,25.7,23.85
17/08/20,368018435.0,24.65,25.95,26.45,24.65
18/08/20,269970885.0,25.95,25.8,25.95,25.5
19/08/20,120900825.0,25.8,25.95,26.0,25.65
20/08/20,146593165.0,25.95,25.9,26.1,25.75
24/08/20,67404640.0,26.0,25.7,26.0,25.65
25/08/20,146149255.0,25.7,25.8,25.95,25.55
26/08/20,125180525.0,25.85,26.05,26.45,25.75
27/08/20,39151250.0,25.5,25.75,25.85,25.05
28/08/20,34060905.0,25.75,25.6,25.75,25.6
01/09/20,35844145.0,25.6,25.5,25.7,25.5
02/09/20,34253010.0,25.5,25.4,25.5,25.3
03/09/20,23976325.0,25.4,25.45,25.45,25.4
04/09/20,45984685.0,25.4,25.25,25.45,25.25
07/09/20,29876410.0,25.3,25.55,25.6,25.3
08/09/20,34902725.0,25.55,25.8,25.85,25.5
09/09/20,8577000.0,25.8,25.8,25.8,25.75
10/09/20,10679140.0,25.8,25.75,25.85,25.75
11/09/20,18146875.0,25.7,25.7,25.75,25.65
14/09/20,9313365.0,25.7,25.65,25.75,25.6
15/09/20,15766400.0,25.65,25.65,25.7,25.6
16/09/20,12122670.0,25.65,25.7,25.75,25.55
17/09/20,105376970.0,25.7,25.8,26.0,25.7
18/09/20,15742460.0,25.85,25.95,26.0,25.85
21/09/20,36171460.0,25.9,25.65,25.95,25.6
22/09/20,28604495.0,25.65,25.6,25.75,25.45
23/09/20,36963720.0,25.75,25.65,25.8,25.5
24/09/20,28093975.0,25.65,25.6,26.0,25.55
25/09/20,43430045.0,25.6,25.55,25.65,25.5
28/09/20,40113130.0,25.55,25.6,25.65,25.45
29/09/20,194905785.0,25.6,25.7,25.8,25.55
30/09/20,9501080.0,25.8,25.8,25.8,25.6
01/10/20,23446580.0,25.8,25.95,25.95,25.6
02/10/20,47527120.0,25.9,25.9,25.9,25.6
05/10/20,28746310.0,25.9,25.75,25.9,25.6
06/10/20,46430740.0,25.75,25.6,25.75,25.55
07/10/20,24354345.0,25.6,25.65,25.7,25.5
08/10/20,13837195.0,25.6,25.65,25.75,25.5
09/10/20,8178320.0,25.65,25.6,25.65,25.5
12/10/20,27099320.0,25.6,25.65,25.7,25.5
13/10/20,35297935.0,25.55,25.7,25.75,25.55
14/10/20,16893370.0,25.7,25.7,25.75,25.55
15/10/20,17934175.0,25.75,25.7,25.75,25.6
16/10/20,12828585.0,25.65,25.8,25.85,25.6
19/10/20,17223775.0,25.8,25.7,25.85,25.7
20/10/20,13497175.0,25.7,25.65,25.85,25.6
21/10/20,10673870.0,25.75,25.75,25.8,25.65
22/10/20,12796560.0,25.75,25.7,25.8,25.65
23/10/20,62062275.0,25.75,25.65,25.75,25.5
26/10/20,32204060.0,25.7,25.7,25.8,25.65
27/10/20,18297295.0,25.7,25.7,25.7,25.55
28/10/20,9953995.0,25.7,25.75,25.75,25.65
29/10/20,7747220.0,25.7,25.65,25.7,25.6
30/10/20,16161600.0,25.65,25.55,25.7,25.55
03/11/20,30187530.0,25.65,25.6,25.7,25.5
04/11/20,42581845.0,25.65,25.65,25.65,25.55
05/11/20,52614360.0,25.65,25.6,25.65,25.5
06/11/20,29153560.0,25.65,25.6,25.65,25.55
09/11/20,9850400.0,25.6,25.75,25.8,25.6
10/11/20,60712265.0,25.85,25.9,25.9,25.5
11/11/20,16774960.0,25.9,25.95,25.95,25.85
13/11/20,19666365.0,25.95,26.0,26.0,25.85
16/11/20,22886160.0,26.0,26.2,26.25,25.95
17/11/20,55827940.0,26.2,26.1,26.5,26.1
18/11/20,30789365.0,26.3,26.5,26.5,26.3
19/11/20,33256355.0,26.5,26.55,26.65,26.45
20/11/20,41901880.0,26.6,27.0,27.0,26.55
23/11/20,45534155.0,27.1,27.5,27.6,27.05
24/11/20,25053590.0,27.5,27.25,27.55,27.15
25/11/20,45359620.0,27.5,27.35,27.5,27.25
26/11/20,24201900.0,27.45,27.3,27.45,27.0
27/11/20,23099440.0,27.25,27.35,27.5,27.15
01/12/20,30897085.0,27.4,27.75,27.95,27.4
02/12/20,23858290.0,27.45,27.55,27.7,27.3
03/12/20,34259610.0,27.55,27.5,27.6,27.5
04/12/20,18970815.0,27.55,27.55,27.6,27.5
07/12/20,14639920.0,27.55,27.55,27.7,27.5
09/12/20,16190995.0,27.75,27.7,27.75,27.6
10/12/20,71066240.0,27.75,28.1,28.15,27.7
11/12/20,37339250.0,28.1,29.0,29.0,28.1
14/12/20,28110505.0,29.0,29.0,29.2,28.95
15/12/20,100818550.0,29.0,29.8,29.8,29.0
16/12/20,72830885.0,29.8,29.9,30.0,29.6
17/12/20,35425210.0,30.0,29.9,30.0,29.75
18/12/20,103206055.0,29.95,29.75,30.0,29.75
21/12/20,32188470.0,29.75,29.55,29.75,29.5
22/12/20,85981665.0,29.4,29.3,29.45,28.8
23/12/20,88797120.0,29.3,29.2,29.3,28.7
28/12/20,79775865.0,29.1,29.25,29.25,28.45
29/12/20,19138025.0,29.3,29.35,29.35,28.9
04/01/21,17177585.0,29.35,29.25,29.4,29.2
05/01/21,78372065.0,29.25,29.0,29.3,28.95
06/01/21,42086310.0,29.0,28.95,29.15,28.9
07/01/21,38516420.0,29.0,29.25,29.3,28.95
08/01/21,26000270.0,29.25,29.5,29.5,29.2
11/01/21,46614610.0,29.5,30.0,30.15,29.5
12/01/21,9568465.0,30.0,29.95,30.0,29.9
13/01/21,40149600.0,30.0,30.05,30.05,29.9
14/01/21,44494625.0,30.0,29.9,30.05,29.9
15/01/21,17341200.0,30.0,30.15,30.15,29.9
18/01/21,15618175.0,30.1,30.85,30.9,30.1
19/01/21,34797885.0,30.9,31.6,31.6,30.9
20/01/21,66574815.0,31.6,32.05,33.1,31.6
21/01/21,33247540.0,32.15,31.9,32.75,31.5
22/01/21,31928980.0,31.95,31.6,32.25,31.6
25/01/21,16662595.0,31.6,32.0,32.15,31.5
26/01/21,37814760.0,32.0,31.75,32.0,31.6
27/01/21,110254500.0,31.65,31.5,31.85,31.35
28/01/21,9608165.0,31.5,31.8,31.9,31.3
29/01/21,37303495.0,31.8,32.0,32.1,31.8
01/02/21,56909245.0,32.0,32.0,32.05,31.95
02/02/21,46511960.0,32.1,32.9,32.95,32.05
03/02/21,55272215.0,32.95,32.5,33.0,32.4
04/02/21,18596625.0,32.5,32.3,32.5,32.2
05/02/21,25023890.0,32.45,32.6,32.75,32.45
08/02/21,35494340.0,32.8,32.9,32.95,32.7
09/02/21,23816735.0,32.9,32.75,33.0,32.6
10/02/21,20170045.0,32.8,33.0,33.0,32.8
11/02/21,19961070.0,33.0,33.1,33.15,32.95
15/02/21,29315175.0,33.15,33.9,33.9,33.15
16/02/21,69521285.0,33.9,34.0,35.0,33.85
17/02/21,18433210.0,34.0,34.0,34.45,33.95
18/02/21,5598310.0,34.05,34.2,34.9,34.05
19/02/21,23397320.0,34.5,34.45,34.9,34.1
22/02/21,7974055.0,34.5,34.7,34.9,34.5
23/02/21,22948225.0,34.5,34.2,34.5,34.0
24/02/21,36662250.0,34.3,33.9,34.45,33.5
26/02/21,46649160.0,34.0,33.7,34.0,33.7
01/03/21,39944205.0,33.95,33.9,34.4,33.9
02/03/21,14857690.0,33.9,34.4,34.7,33.8
03/03/21,11032430.0,34.5,34.25,34.5,34.2
04/03/21,26932930.0,34.4,33.95,34.6,33.9
05/03/21,35057425.0,34.1,33.95,34.4,33.95
08/03/21,26234435.0,33.95,33.55,34.0,33.45
09/03/21,57484810.0,33.55,33.05,34.0,32.8
10/03/21,17820015.0,33.0,33.0,33.0,32.4
11/03/21,68979035.0,33.0,32.2,33.0,32.0
12/03/21,33449760.0,32.05,32.1,32.4,31.7
15/03/21,57053935.0,32.1,31.75,32.5,31.0
16/03/21,19607910.0,31.75,32.5,32.8,31.75
