Date,Value,Open,Close,High,Low
03/08/09,10356600.0,5.6,5.7,5.7,5.6
04/08/09,103739600.0,5.7,5.6,5.7,5.5
06/08/09,19116400.0,5.7,5.4,5.7,5.4
07/08/09,40255800.0,5.6,5.3,5.6,5.3
10/08/09,6214900.0,5.5,5.4,5.5,5.4
11/08/09,59285300.0,5.4,5.6,5.6,5.4
12/08/09,33804600.0,5.5,5.5,5.7,5.5
13/08/09,31725200.0,5.5,5.6,5.7,5.5
14/08/09,11443500.0,5.5,5.5,5.6,5.5
17/08/09,10642500.0,5.5,5.5,5.5,5.5
18/08/09,27346600.0,5.4,5.5,5.5,5.4
19/08/09,13851700.0,5.6,5.6,5.6,5.5
20/08/09,22316900.0,5.6,5.6,5.6,5.5
24/08/09,60395200.0,5.6,5.7,5.7,5.6
25/08/09,15584100.0,5.7,5.8,5.8,5.7
26/08/09,13838900.0,5.8,5.7,5.8,5.7
03/09/09,59894800.0,6.1,6.1,6.2,6.0
04/09/09,107673500.0,6.1,6.4,6.4,6.1
16/09/09,20063000.0,6.4,6.3,6.4,6.3
17/09/09,8275800.0,6.3,6.4,6.4,6.3
18/09/09,77439100.0,6.5,6.5,6.6,6.4
22/09/09,6230300.0,6.5,6.4,6.5,6.4
23/09/09,18419700.0,6.4,6.5,6.5,6.4
30/09/09,50710900.0,6.4,6.4,6.5,6.3
01/10/09,31274600.0,6.3,6.4,6.5,6.3
02/10/09,35544600.0,6.4,6.4,6.5,6.3
05/10/09,105212800.0,6.4,6.8,6.8,6.4
06/10/09,84757500.0,6.9,7.1,7.2,6.9
07/10/09,96970000.0,7.2,7.2,7.3,7.1
08/10/09,112066700.0,7.2,7.3,7.5,7.2
09/10/09,65810400.0,7.3,7.3,7.4,7.1
12/10/09,22855100.0,7.3,7.2,7.4,7.2
13/10/09,26438300.0,7.2,7.3,7.3,7.1
14/10/09,75273500.0,7.2,7.2,7.3,7.2
15/10/09,41504500.0,7.2,7.3,7.4,7.2
16/10/09,11173200.0,7.3,7.3,7.3,7.2
19/10/09,33057500.0,7.2,7.3,7.3,7.2
20/10/09,44193700.0,7.3,7.3,7.3,7.2
21/10/09,19463900.0,7.2,7.2,7.3,7.2
22/10/09,32233200.0,7.2,7.1,7.2,7.1
23/10/09,47665000.0,7.1,7.2,7.3,7.1
26/10/09,58192300.0,7.1,7.3,7.4,7.1
27/10/09,64481500.0,7.3,7.5,7.5,7.2
28/10/09,39816600.0,7.4,7.3,7.5,7.3
29/10/09,35221700.0,7.2,7.3,7.3,7.1
30/10/09,74059300.0,7.4,7.5,7.7,7.4
03/11/09,101987900.0,7.5,7.7,7.7,7.4
04/11/09,117788400.0,7.7,7.9,8.2,7.7
05/11/09,33394800.0,7.9,7.8,7.9,7.7
06/11/09,37804400.0,7.8,7.8,7.9,7.7
09/11/09,12902300.0,7.7,7.8,7.8,7.7
10/11/09,49337100.0,7.8,7.9,8.0,7.8
11/11/09,26348600.0,7.9,7.9,8.0,7.8
15/12/09,98956000.0,8.9,8.9,9.1,8.9
16/12/09,93119400.0,8.9,8.8,8.9,8.7
17/12/09,1458379500.0,8.8,8.6,8.8,8.6
18/12/09,31202200.0,8.6,8.5,8.6,8.5
21/12/09,34311200.0,8.6,8.6,8.7,8.6
22/12/09,41652300.0,8.6,8.6,8.7,8.5
23/12/09,156404200.0,8.6,8.6,8.7,8.6
29/12/09,158737300.0,8.6,8.6,8.6,8.5
04/01/10,16672300.0,8.6,8.6,8.7,8.6
05/01/10,32152300.0,8.7,8.8,8.8,8.7
06/01/10,23911600.0,8.7,8.8,8.8,8.7
07/01/10,13319400.0,8.8,8.9,8.9,8.8
08/01/10,23485000.0,8.9,8.9,8.9,8.8
11/01/10,89576600.0,8.9,9.4,9.4,8.9
12/01/10,62700600.0,9.5,9.4,9.6,9.4
13/01/10,40830200.0,9.3,9.2,9.5,9.2
14/01/10,57464900.0,9.2,9.2,9.4,9.2
15/01/10,8825500.0,9.3,9.3,9.3,9.2
18/01/10,13444100.0,9.2,9.2,9.3,9.2
19/01/10,34315800.0,9.2,9.2,9.3,9.1
20/01/10,60307000.0,9.4,9.4,9.4,9.2
21/01/10,18201800.0,9.3,9.4,9.4,9.3
22/01/10,128188500.0,9.3,9.6,9.7,9.3
25/01/10,111192100.0,9.6,9.3,9.6,9.3
26/01/10,213861700.0,9.4,9.6,9.8,9.4
27/01/10,138739400.0,9.6,9.3,9.7,9.3
28/01/10,37441000.0,9.4,9.6,9.6,9.4
29/01/10,65181100.0,9.6,9.5,9.6,9.4
01/02/10,70639500.0,9.5,9.4,9.5,9.4
02/02/10,86563500.0,9.5,9.2,9.5,9.2
03/02/10,86115700.0,9.3,9.5,9.5,9.3
04/02/10,36110100.0,9.4,9.5,9.7,9.4
05/02/10,84304100.0,9.4,9.3,9.4,9.1
08/02/10,38486700.0,9.3,9.4,9.4,9.2
09/02/10,77998300.0,9.4,9.5,9.7,9.3
10/02/10,12449900.0,9.6,9.6,9.6,9.5
11/02/10,78488400.0,9.7,9.8,9.8,9.5
08/03/10,59223625.0,11.0,11.0,11.25,11.0
12/03/10,107921975.0,12.0,12.0,12.0,11.75
15/03/10,195653225.0,12.25,12.75,13.0,12.25
16/03/10,224685950.0,12.75,12.5,13.0,12.25
17/03/10,289022700.0,12.5,11.75,12.5,11.75
31/03/10,164704700.0,12.75,12.25,12.75,12.25
20/04/10,63397300.0,13.75,13.75,14.0,13.5
21/04/10,62527900.0,14.0,14.0,14.0,13.5
22/04/10,161568425.0,14.0,14.0,14.25,13.75
23/04/10,82685650.0,14.0,14.0,14.25,13.75
29/04/10,344963950.0,14.75,15.0,15.5,14.75
30/04/10,92344150.0,15.5,15.25,15.75,15.0
04/05/10,42414200.0,15.25,15.25,15.25,14.5
05/05/10,138730175.0,14.75,14.5,14.75,14.0
13/05/10,271738325.0,16.75,17.75,18.0,16.75
14/05/10,189945125.0,17.5,17.5,17.5,17.0
17/05/10,149730750.0,17.25,17.0,17.25,16.75
18/05/10,170804500.0,17.25,16.75,17.5,16.5
19/05/10,260075250.0,16.75,16.25,16.75,16.0
20/05/10,204818400.0,16.25,16.25,16.75,16.0
21/05/10,169147950.0,15.75,16.25,16.25,15.5
24/05/10,158916025.0,16.5,15.75,16.5,15.5
25/05/10,272618400.0,15.5,15.25,15.5,15.0
26/05/10,115611525.0,15.5,15.25,15.5,15.0
27/05/10,234644600.0,15.25,15.75,16.0,15.0
28/05/10,134441300.0,16.25,16.25,16.5,16.0
31/05/10,88237650.0,16.25,16.75,16.75,16.0
01/06/10,78579275.0,16.5,16.75,16.75,16.25
02/06/10,197204650.0,16.75,17.25,17.5,16.75
03/06/10,209239325.0,17.5,17.75,18.0,17.5
04/06/10,215718850.0,17.75,18.5,18.5,17.75
07/06/10,153748475.0,17.75,17.75,18.25,17.5
08/06/10,125990250.0,17.75,17.75,18.25,17.75
09/06/10,258165350.0,18.0,17.75,18.25,17.5
10/06/10,134945050.0,17.75,17.75,17.75,17.5
11/06/10,328402925.0,18.0,18.25,18.25,17.75
15/06/10,65215925.0,18.25,18.25,18.25,18.0
16/06/10,124320800.0,18.5,18.5,18.5,18.25
21/06/10,105224075.0,19.25,18.75,19.5,18.75
22/06/10,88457100.0,18.75,19.25,19.25,18.75
23/06/10,151148375.0,19.0,19.0,19.25,18.75
24/06/10,108157475.0,19.0,18.75,19.0,18.5
25/06/10,211933650.0,18.25,18.5,18.5,18.25
28/06/10,116703600.0,18.5,18.5,18.75,18.5
29/06/10,73342450.0,18.5,18.5,18.75,18.25
01/07/10,136513050.0,18.0,18.25,18.5,18.0
02/07/10,238631425.0,18.25,18.0,18.25,17.75
06/07/10,113551775.0,18.25,18.25,18.5,18.25
07/07/10,206153200.0,18.5,18.75,19.0,18.5
08/07/10,239239575.0,19.25,19.5,19.5,19.25
09/07/10,193034550.0,19.5,19.25,19.75,19.0
13/07/10,231550650.0,19.25,19.0,19.75,19.0
14/07/10,191964750.0,19.5,20.0,20.0,19.25
15/07/10,144607800.0,19.75,19.75,19.75,19.5
16/07/10,233611400.0,19.75,19.5,19.75,19.25
19/07/10,152378700.0,19.25,19.25,19.5,19.25
20/07/10,159037725.0,19.25,19.25,19.25,19.25
21/07/10,126919175.0,19.25,19.25,19.5,19.25
22/07/10,123998875.0,19.25,19.0,19.25,19.0
23/07/10,83789900.0,19.25,19.25,19.5,19.0
