Date,Value,Open,Close,High,Low
07/08/09,8500.0,8.5,8.5,8.5,8.5
12/08/09,38000.0,7.6,7.6,7.6,7.6
13/08/09,8200.0,8.2,8.2,8.2,8.2
17/08/09,99800.0,7.0,8.0,8.0,7.0
19/08/09,245000.0,7.9,8.0,8.0,7.5
24/08/09,23400.0,7.5,8.0,8.0,7.5
25/08/09,46800.0,8.0,7.4,8.0,7.4
26/08/09,106600.0,7.1,7.5,7.5,7.0
03/09/09,509800.0,6.8,7.2,7.2,6.7
04/09/09,185100.0,6.7,6.8,6.8,6.6
16/09/09,90800.0,6.0,6.8,6.8,6.0
17/09/09,49500.0,6.5,6.5,6.5,6.0
30/09/09,6600.0,6.6,6.6,6.6,6.6
01/10/09,129800.0,5.9,6.8,6.8,5.5
05/10/09,585200.0,5.8,6.8,6.8,5.6
19/10/09,91300.0,5.5,6.5,6.8,5.5
21/10/09,32500.0,6.5,6.5,6.5,6.5
23/10/09,249900.0,5.5,6.2,6.5,5.4
28/10/09,50000.0,5.5,6.0,6.0,5.5
29/10/09,70000.0,5.5,5.8,5.8,5.3
30/10/09,116700.0,5.3,5.8,5.8,5.0
03/11/09,267350.0,5.4,5.6,5.6,4.75
04/11/09,75600.0,5.6,5.0,5.6,5.0
05/11/09,459400.0,4.8,5.0,5.0,4.2
06/11/09,27200.0,4.55,4.5,4.55,4.5
09/11/09,12600.0,4.2,4.2,4.2,4.2
10/11/09,683250.0,4.5,4.65,4.75,4.05
11/11/09,49650.0,4.65,4.5,4.65,4.5
16/12/09,27050.0,3.05,3.0,3.05,3.0
22/12/09,3000.0,3.0,3.0,3.0,3.0
06/01/10,203550.0,3.45,3.45,3.5,2.8
07/01/10,347300.0,2.95,3.0,3.45,2.8
08/01/10,619650.0,3.0,2.9,3.1,2.8
11/01/10,14500.0,2.9,2.9,2.9,2.9
12/01/10,17750.0,2.95,3.0,3.0,2.95
13/01/10,77150.0,3.0,3.0,3.0,2.95
14/01/10,121250.0,2.9,3.1,3.1,2.8
15/01/10,60900.0,2.9,2.9,2.9,2.9
19/01/10,29900.0,2.9,3.0,3.0,2.9
20/01/10,153400.0,3.0,3.1,3.1,2.9
21/01/10,6100.0,3.05,3.05,3.05,3.05
22/01/10,27000.0,3.0,3.0,3.0,3.0
26/01/10,6100.0,3.0,3.1,3.1,3.0
27/01/10,30000.0,2.7,3.0,3.0,2.7
29/01/10,129150.0,3.0,3.1,3.1,2.95
10/02/10,5400.0,2.7,2.7,2.7,2.7
08/03/10,3050.0,3.05,3.05,3.05,3.05
20/04/10,3000.0,3.0,3.0,3.0,3.0
21/04/10,2750.0,2.75,2.75,2.75,2.75
04/05/10,8250.0,2.75,2.75,2.75,2.75
05/05/10,35100.0,2.7,2.7,2.7,2.7
14/05/10,5900.0,2.95,2.95,2.95,2.95
17/05/10,11600.0,2.9,2.9,2.9,2.9
18/05/10,8250.0,2.75,2.75,2.75,2.75
19/05/10,5400.0,2.7,2.7,2.7,2.7
20/05/10,5400.0,2.7,2.7,2.7,2.7
25/05/10,55000.0,2.5,2.5,2.5,2.5
26/05/10,5000.0,2.4,2.6,2.6,2.4
27/05/10,9600.0,2.4,2.4,2.4,2.4
28/05/10,10000.0,2.5,2.5,2.5,2.5
31/05/10,12000.0,2.5,2.0,2.5,2.0
07/06/10,2000.0,2.0,2.0,2.0,2.0
15/06/10,23000.0,2.3,2.3,2.3,2.3
16/06/10,5500.0,2.75,2.75,2.75,2.75
23/06/10,12500.0,2.5,2.5,2.5,2.5
28/06/10,122000.0,2.2,2.0,2.2,2.0
01/07/10,111160.0,2.4,2.18,2.4,2.0
07/07/10,2180.0,2.18,2.18,2.18,2.18
08/07/10,8400.0,2.1,2.1,2.1,2.1
13/07/10,37520.0,2.3,2.38,2.38,2.3
19/07/10,9660.0,2.44,2.38,2.44,2.38
22/07/10,19040.0,2.38,2.38,2.38,2.38
23/09/10,2990.0,2.99,2.99,2.99,2.99
24/09/10,9080.0,2.99,3.09,3.09,2.99
27/09/10,63200.0,4.2,4.0,4.4,4.0
13/10/10,32140.0,2.14,2.5,2.5,2.14
14/10/10,57100.0,3.5,3.2,3.5,2.5
15/10/10,2746750.0,2.8,3.0,3.0,2.6
18/10/10,38700.0,2.55,3.0,3.0,2.55
03/12/10,46160.0,2.8,2.36,2.8,2.36
06/12/10,2725000.0,2.5,2.6,2.6,2.5
07/12/10,652600.0,2.6,2.6,2.6,2.6
08/12/10,254800.0,2.6,2.6,2.6,2.6
03/01/11,6090.0,2.95,3.14,3.14,2.95
03/01/11,6090.0,2.95,3.14,3.14,2.95
03/01/11,6090.0,2.95,3.14,3.14,2.95
24/01/11,9600.0,3.2,3.2,3.2,3.2
26/01/11,8480.0,2.5,2.99,2.99,2.5
02/02/11,21900.0,2.19,2.19,2.19,2.19
24/02/11,10720.0,2.16,2.13,2.16,2.13
24/02/11,10720.0,2.16,2.13,2.16,2.13
