Date,Value,Open,Close,High,Low
03/08/09,2250550.0,12.75,13.5,13.75,12.75
04/08/09,1694375.0,13.75,13.5,13.75,13.5
06/08/09,1175600.0,13.5,13.5,13.5,13.25
07/08/09,2727550.0,13.75,14.0,14.0,13.75
10/08/09,823000.0,14.0,13.75,14.0,13.75
11/08/09,834175.0,13.75,14.0,14.25,13.75
13/08/09,364000.0,14.0,14.0,14.0,14.0
14/08/09,1498000.0,14.0,14.0,14.0,14.0
17/08/09,201250.0,13.75,14.0,14.0,13.75
18/08/09,1443750.0,13.75,13.75,13.75,13.75
19/08/09,59625.0,13.75,14.0,14.0,13.75
20/08/09,94625.0,13.5,14.0,14.0,13.25
24/08/09,112800.0,13.75,14.0,14.0,13.75
25/08/09,164875.0,13.5,13.75,13.75,13.0
03/09/09,1919725.0,14.25,15.0,15.25,13.75
04/09/09,4011200.0,15.0,15.0,15.25,14.75
16/09/09,3308800.0,17.75,18.0,18.25,17.5
17/09/09,8252825.0,18.0,18.0,18.25,17.25
18/09/09,4870700.0,17.25,17.75,18.0,17.25
22/09/09,8678000.0,17.75,17.25,17.75,17.25
23/09/09,11957425.0,17.25,17.25,17.5,16.75
30/09/09,1222225.0,16.75,16.75,16.75,16.0
01/10/09,1023050.0,16.75,16.5,17.0,16.5
02/10/09,765425.0,16.25,16.5,16.75,16.25
05/10/09,8976100.0,16.0,17.25,17.25,16.0
06/10/09,10776700.0,17.75,18.0,18.0,17.5
08/10/09,17975450.0,18.0,17.75,18.25,17.75
09/10/09,57733300.0,18.0,19.0,19.0,17.5
12/10/09,44569925.0,19.25,20.75,20.75,19.25
13/10/09,16688350.0,20.5,20.25,20.75,19.75
14/10/09,43060900.0,20.25,22.5,22.5,19.75
15/10/09,42909200.0,22.75,25.0,25.0,22.75
16/10/09,46396000.0,25.0,28.0,28.5,24.0
19/10/09,15918550.0,27.5,27.5,28.0,26.5
20/10/09,11197200.0,27.5,27.0,28.0,26.5
21/10/09,13922450.0,27.0,26.0,28.0,26.0
22/10/09,8520700.0,25.5,26.5,27.0,25.5
23/10/09,57748750.0,27.0,31.0,31.0,27.0
26/10/09,36278350.0,31.5,32.0,33.0,31.0
27/10/09,39868700.0,31.0,31.5,32.5,31.0
28/10/09,78604500.0,31.5,32.0,32.5,31.5
29/10/09,7156100.0,31.5,32.5,32.5,31.5
30/10/09,45467500.0,32.5,33.5,34.0,32.5
03/11/09,19353600.0,34.0,32.5,34.5,32.5
04/11/09,22211250.0,32.5,29.0,33.0,29.0
05/11/09,27579950.0,28.0,24.0,28.0,24.0
06/11/09,39643650.0,24.0,29.0,29.0,21.0
09/11/09,13664350.0,27.0,28.0,29.0,27.0
10/11/09,32703625.0,26.0,25.5,27.5,24.75
11/11/09,14295600.0,25.0,24.25,25.5,23.75
15/12/09,2498425.0,25.5,25.0,25.5,24.5
16/12/09,8020425.0,25.0,24.75,25.5,24.5
17/12/09,5335825.0,25.0,24.5,25.0,24.5
18/12/09,8415550.0,24.5,24.0,24.75,24.0
21/12/09,27211000.0,24.5,25.5,26.0,24.5
22/12/09,12549800.0,25.5,24.25,25.5,24.0
23/12/09,1899175.0,24.5,24.5,24.5,24.25
29/12/09,41487525.0,25.5,24.75,25.5,24.75
04/01/10,4071775.0,25.0,24.5,25.5,24.5
05/01/10,3576325.0,25.0,24.25,25.0,24.0
06/01/10,6503225.0,24.25,23.5,24.25,22.75
07/01/10,28856400.0,24.0,25.5,25.5,24.0
08/01/10,10204900.0,25.0,24.0,25.5,24.0
11/01/10,4146700.0,24.25,23.5,24.25,23.25
12/01/10,7037250.0,23.5,24.0,24.25,23.5
13/01/10,38936725.0,24.0,24.75,26.0,24.0
14/01/10,10537325.0,25.0,24.75,25.5,24.5
15/01/10,42886500.0,25.0,26.5,27.0,24.5
18/01/10,52449800.0,26.5,27.0,27.0,25.5
19/01/10,20564650.0,27.0,27.0,27.0,26.0
20/01/10,20295350.0,27.0,26.0,27.5,26.0
21/01/10,7913550.0,25.5,26.5,27.0,25.5
22/01/10,33562275.0,26.0,24.0,26.5,23.75
25/01/10,33661700.0,23.75,23.75,24.75,23.25
26/01/10,16415325.0,24.25,22.75,24.25,22.75
27/01/10,25907675.0,23.0,23.5,23.5,22.75
28/01/10,28074250.0,23.5,25.5,25.5,23.25
29/01/10,12775025.0,24.75,24.25,25.0,24.25
01/02/10,4227625.0,24.5,23.25,24.5,23.25
02/02/10,15343275.0,24.0,23.0,24.0,23.0
03/02/10,26665900.0,23.5,23.0,23.75,22.75
04/02/10,5305350.0,22.75,22.75,23.5,22.75
05/02/10,10167200.0,22.5,21.25,22.5,21.0
08/02/10,16235500.0,21.25,18.75,21.25,18.5
09/02/10,37138600.0,18.0,16.0,18.0,15.75
10/02/10,32866250.0,16.5,16.5,17.25,16.25
11/02/10,12461500.0,16.5,16.5,16.75,16.25
08/03/10,8325875.0,18.0,18.75,18.75,18.0
12/03/10,1860975.0,18.0,17.75,18.0,17.75
15/03/10,3584775.0,17.75,17.75,18.0,17.5
16/03/10,3680975.0,17.75,17.0,17.75,17.0
17/03/10,2216625.0,17.0,17.0,17.5,16.75
31/03/10,3397675.0,17.0,17.25,17.25,17.0
20/04/10,3907750.0,16.25,16.0,16.25,15.75
21/04/10,3021675.0,16.0,16.25,16.25,15.75
22/04/10,2248000.0,16.0,16.0,16.0,16.0
23/04/10,3972400.0,16.0,15.75,16.0,15.5
29/04/10,7677375.0,13.25,13.0,13.5,13.0
30/04/10,3816100.0,13.25,13.75,13.75,13.25
04/05/10,9082075.0,13.75,14.0,14.0,13.5
05/05/10,3893050.0,13.75,13.25,13.75,13.25
13/05/10,30014175.0,13.75,14.0,14.25,13.75
14/05/10,1595450.0,14.0,13.75,14.0,13.75
17/05/10,10007025.0,13.75,13.5,13.75,13.5
18/05/10,7743525.0,13.5,13.5,14.0,13.5
19/05/10,1035350.0,13.5,13.5,13.5,13.25
20/05/10,1795500.0,13.5,13.5,13.5,13.5
21/05/10,1218975.0,13.25,13.25,13.25,13.0
24/05/10,1044850.0,13.25,13.5,13.5,13.25
25/05/10,2238975.0,13.25,12.75,13.25,12.5
26/05/10,1949075.0,12.75,13.0,13.0,12.75
27/05/10,321350.0,13.0,13.25,13.25,13.0
28/05/10,826375.0,13.25,13.25,13.25,13.0
31/05/10,2897200.0,13.25,13.25,13.25,13.0
01/06/10,470400.0,13.25,13.5,13.5,13.25
02/06/10,1520375.0,13.25,13.5,13.5,13.0
03/06/10,1377225.0,13.5,13.75,13.75,13.25
04/06/10,98718275.0,13.75,15.75,15.75,13.75
07/06/10,51320025.0,15.25,15.75,16.75,15.25
08/06/10,9844650.0,15.75,15.5,16.0,15.25
09/06/10,28493625.0,15.75,15.5,15.75,15.5
10/06/10,5919075.0,15.75,15.25,15.75,15.25
11/06/10,6865450.0,15.75,15.75,16.0,15.5
15/06/10,9304050.0,15.75,16.25,16.25,15.5
16/06/10,9037000.0,16.25,16.25,16.5,16.0
21/06/10,15226375.0,16.0,16.75,16.75,16.0
22/06/10,2774950.0,16.75,16.25,16.75,16.25
23/06/10,1764700.0,16.25,16.5,16.5,16.0
24/06/10,4859300.0,16.5,16.25,16.5,16.0
25/06/10,2046500.0,16.25,16.25,16.25,16.0
28/06/10,1204975.0,16.25,16.0,16.25,16.0
29/06/10,4013775.0,16.0,16.0,16.0,15.75
01/07/10,2464675.0,15.75,16.0,16.0,15.5
02/07/10,4366350.0,16.0,15.5,16.0,15.5
06/07/10,2683975.0,15.5,16.0,16.0,15.25
07/07/10,17315650.0,16.25,16.25,16.75,16.0
08/07/10,1793850.0,16.25,16.25,16.5,16.0
09/07/10,2845150.0,16.25,16.0,16.25,16.0
13/07/10,1885650.0,15.75,15.75,16.0,15.75
14/07/10,321325.0,15.75,16.0,16.0,15.75
15/07/10,1700125.0,16.0,16.0,16.0,15.75
16/07/10,4957550.0,16.0,16.0,16.25,15.75
19/07/10,6121000.0,16.0,16.0,16.0,15.75
20/07/10,3840850.0,15.75,15.75,16.0,15.75
21/07/10,35273675.0,16.0,17.25,17.5,16.0
22/07/10,29345800.0,17.5,18.0,18.25,17.5
23/07/10,56004600.0,18.5,17.25,18.75,17.0
20/09/10,23586004.0,16.6,16.56,16.62,16.22
21/09/10,4661926.0,16.56,16.0,16.56,16.0
22/09/10,33092252.0,16.02,16.16,16.44,16.0
23/09/10,11013638.0,16.2,16.0,16.3,16.0
24/09/10,2554100.0,16.1,15.7,16.1,15.3
27/09/10,676810.0,15.76,15.6,15.8,15.5
28/09/10,3085082.0,15.78,15.0,15.78,14.7
29/09/10,1743112.0,15.0,14.88,15.0,14.56
30/09/10,2713780.0,14.96,14.4,14.96,14.4
01/10/10,3390958.0,14.12,15.4,15.5,14.1
04/10/10,1617800.0,14.8,15.2,15.4,14.8
05/10/10,67500702.0,15.5,16.5,16.5,15.5
06/10/10,26249364.0,16.56,16.72,16.76,16.56
07/10/10,19599124.0,16.78,16.82,17.18,16.76
08/10/10,72359400.0,16.8,18.04,18.12,16.8
13/10/10,22774150.0,18.04,16.7,18.1,16.7
14/10/10,16473582.0,17.48,17.0,17.48,16.92
15/10/10,11903256.0,17.02,16.92,17.4,16.7
18/10/10,2168368.0,17.26,16.92,17.26,16.5
19/10/10,1768564.0,16.88,16.56,16.88,16.3
20/10/10,6053778.0,16.3,15.62,16.3,15.5
21/10/10,2740500.0,15.7,15.56,16.0,15.56
22/10/10,5263558.0,15.5,15.16,15.54,15.16
26/10/10,4299638.0,15.7,15.4,16.04,15.0
27/10/10,5910026.0,15.74,15.7,15.78,15.0
28/10/10,5173762.0,15.4,15.48,15.8,15.34
29/10/10,1946784.0,15.78,15.38,15.78,15.1
02/11/10,6623778.0,15.34,15.2,15.34,14.98
03/11/10,7714720.0,15.24,15.1,15.24,14.98
04/11/10,5804028.0,15.28,15.0,15.28,14.9
08/11/10,3747430.0,15.0,14.8,15.2,14.8
09/11/10,8725854.0,14.6,14.44,14.8,14.38
10/11/10,14840462.0,14.6,14.0,14.6,14.0
11/11/10,7767530.0,14.0,13.5,14.0,13.42
12/11/10,4914900.0,14.0,13.3,14.2,13.0
15/11/10,5230060.0,13.46,13.02,13.48,12.98
17/11/10,1840868.0,13.0,13.0,13.38,12.9
18/11/10,1604818.0,12.92,13.0,13.0,12.7
19/11/10,62520106.0,13.0,13.1,13.5,13.0
22/11/10,1662816.0,13.38,13.24,13.38,13.0
23/11/10,1703900.0,13.22,13.18,13.22,12.98
24/11/10,503212.0,13.18,13.0,13.18,12.8
25/11/10,4986414.0,13.0,12.0,13.0,11.98
26/11/10,39025588.0,12.2,12.7,12.9,12.0
30/11/10,33155200.0,12.3,12.38,12.7,11.96
01/12/10,1984164.0,12.38,12.28,12.5,12.0
02/12/10,11847556.0,12.28,11.46,12.28,11.46
03/12/10,23541540.0,11.46,10.88,12.0,10.0
06/12/10,19912882.0,10.7,10.02,10.98,10.0
07/12/10,5868904.0,10.02,10.02,10.06,9.8
08/12/10,12751032.0,10.1,10.42,10.44,10.02
16/12/10,25828184.0,9.98,10.0,10.0,9.0
22/12/10,204324.0,10.0,10.0,10.02,9.78
23/12/10,8454421.0,10.0,10.0,10.02,9.7
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
28/12/10,6043756.0,9.9,10.1,10.12,9.8
29/12/10,7662523.0,10.1,10.26,10.3,9.7
29/12/10,7662523.0,10.1,10.26,10.3,9.7
03/01/11,4410390.0,10.34,10.3,10.5,10.3
03/01/11,4410390.0,10.34,10.3,10.5,10.3
03/01/11,4410390.0,10.34,10.3,10.5,10.3
04/01/11,1875152.0,10.4,10.1,10.4,10.1
05/01/11,1132218.0,10.0,10.12,10.3,10.0
06/01/11,2187051.0,10.04,10.0,10.08,9.95
07/01/11,1658634.0,10.0,10.3,10.3,9.83
10/01/11,164062.0,10.28,10.22,10.28,10.1
11/01/11,990926.0,10.02,10.06,10.1,9.98
11/01/11,990926.0,10.02,10.06,10.1,9.98
12/01/11,1223850.0,10.08,10.08,10.18,9.98
13/01/11,5936002.0,10.02,10.02,10.36,9.92
14/01/11,2784398.0,10.0,10.08,10.12,9.96
17/01/11,4291162.0,10.0,10.0,10.1,9.95
18/01/11,2069190.0,10.0,9.97,10.06,9.94
19/01/11,3341152.0,9.97,9.94,10.06,9.7
19/01/11,3341152.0,9.97,9.94,10.06,9.7
20/01/11,2516488.0,9.94,9.85,9.94,9.5
20/01/11,2516488.0,9.94,9.85,9.94,9.5
24/01/11,3512384.0,9.89,9.36,9.89,9.1
25/01/11,817952.0,9.3,9.36,9.4,9.15
26/01/11,6513181.0,9.3,8.76,9.36,8.76
27/01/11,9532429.0,8.8,8.98,9.17,8.4
28/01/11,865520.0,8.96,9.15,9.3,8.94
28/01/11,865520.0,8.96,9.15,9.3,8.94
31/01/11,1509534.0,9.15,8.92,9.2,8.92
31/01/11,1509534.0,9.15,8.92,9.2,8.92
01/02/11,1153597.0,8.92,8.88,9.18,8.78
01/02/11,1153597.0,8.92,8.88,9.18,8.78
02/02/11,484391.0,8.68,8.8,8.88,8.6
03/02/11,2957414.0,8.88,8.58,8.9,8.2
14/02/11,752374.0,7.97,8.08,8.15,7.8
16/02/11,400247.0,7.91,8.43,8.44,7.91
16/02/11,400247.0,7.91,8.43,8.44,7.91
17/02/11,809902.0,8.45,8.17,8.49,8.16
18/02/11,188759.0,8.45,8.44,8.45,8.3
21/02/11,23473205.0,8.42,9.4,9.5,8.42
21/02/11,23473205.0,8.42,9.4,9.5,8.42
22/02/11,14861417.0,9.65,9.96,10.14,9.65
22/02/11,14861417.0,9.65,9.96,10.14,9.65
23/02/11,2718513.0,10.0,9.79,10.0,9.0
23/02/11,2718513.0,10.0,9.79,10.0,9.0
24/02/11,4097504.0,9.65,9.89,9.95,9.16
24/02/11,4097504.0,9.65,9.89,9.95,9.16
25/02/11,2883008.0,9.93,9.8,9.93,9.16
28/02/11,415969.0,9.8,9.78,9.95,9.5
02/03/11,519131.0,9.7,9.5,9.7,9.21
03/03/11,2162438.0,9.25,9.28,9.48,9.01
04/03/11,1479676.0,9.1,9.12,9.28,9.1
04/03/11,1479676.0,9.1,9.12,9.28,9.1
07/03/11,2437303.0,9.26,9.58,9.9,9.02
08/03/11,100706.0,9.65,9.5,9.65,9.31
08/03/11,100706.0,9.65,9.5,9.65,9.31
11/03/11,921085.0,9.35,9.5,9.5,9.31
11/03/11,921085.0,9.35,9.5,9.5,9.31
16/03/11,228626.0,9.44,9.25,9.44,9.21
17/03/11,4813158.0,9.21,9.3,9.3,9.03
18/03/11,142324.0,9.3,9.32,9.32,9.2
21/03/11,203965.0,9.38,9.35,9.39,9.1
22/03/11,578515.0,9.1,9.1,9.2,9.01
23/03/11,186806.0,9.06,9.2,9.2,9.06
24/03/11,212870.0,9.24,9.06,9.24,9.04
25/03/11,1638432.0,9.16,8.9,9.17,8.9
28/03/11,735267.0,9.0,9.09,9.12,8.9
29/03/11,665060.0,9.05,9.0,9.1,8.98
30/03/11,706978.0,9.0,9.0,9.1,8.97
31/03/11,60931022.0,9.0,9.19,9.26,8.97
01/04/11,3234679.0,9.02,9.17,9.2,9.0
04/04/11,12512890.0,9.0,9.13,9.17,9.0
05/04/11,9779160.0,9.0,8.98,9.0,8.95
06/04/11,10167308.0,8.92,9.0,9.13,8.88
07/04/11,12152796.0,9.0,8.91,9.0,8.76
08/04/11,11190715.0,8.8,8.7,8.91,8.6
11/04/11,2569902.0,8.9,8.34,8.91,8.34
12/04/11,3488708.0,8.5,8.18,8.5,8.18
13/04/11,6266055.0,8.18,7.94,8.34,7.9
14/04/11,4231119.0,7.95,7.78,8.0,7.68
15/04/11,10143508.0,7.7,7.79,7.79,7.6
26/04/11,3469612.0,7.7,7.5,7.7,7.48
27/04/11,8006754.0,7.6,7.56,7.6,7.32
28/04/11,2158829.0,7.6,7.6,7.65,7.54
29/04/11,7273002.0,7.65,8.58,8.58,7.6
02/05/11,6541581.0,8.9,8.9,8.98,8.82
03/05/11,20883181.0,8.92,9.64,9.78,8.72
04/05/11,9732611.0,9.7,9.49,9.8,9.15
05/05/11,2506109.0,9.5,9.4,9.65,9.29
06/05/11,1207773.0,9.4,9.13,9.4,9.1
09/05/11,1612367.0,9.15,9.25,9.42,9.13
10/05/11,3358242.0,9.1,9.4,9.6,8.9
11/05/11,3089160.0,9.4,9.47,9.55,9.3
12/05/11,3405265.0,9.48,9.35,9.48,9.2
13/05/11,3621264.0,9.3,9.35,9.39,9.24
16/05/11,14534914.0,9.4,9.8,10.0,9.4
17/05/11,4887164.0,9.95,9.85,9.96,9.6
18/05/11,2614632.0,9.8,9.4,9.8,9.2
19/05/11,4058908.0,9.4,8.92,9.4,8.92
20/05/11,2304501.0,8.95,8.79,9.0,8.7
23/05/11,2396210.0,8.79,9.0,9.0,8.5
24/05/11,646069.0,9.0,8.79,9.0,8.6
25/05/11,901184.0,8.8,8.5,8.8,8.45
26/05/11,614915.0,8.6,8.7,8.7,8.5
27/05/11,613160.0,8.5,8.7,8.7,8.45
30/05/11,556070.0,8.55,8.5,8.55,8.45
31/05/11,521270.0,8.45,8.42,8.5,8.35
01/06/11,1474729.0,8.4,8.26,8.4,8.26
03/06/11,164977844.0,8.3,9.15,9.38,8.3
06/06/11,960965.0,9.1,9.1,9.3,9.06
07/06/11,619303.0,8.8,8.97,8.97,8.7
08/06/11,2527064.0,8.97,9.0,9.0,8.95
09/06/11,4336510.0,9.1,9.19,9.25,9.1
10/06/11,1760374.0,9.24,9.2,9.25,9.2
13/06/11,845073.0,9.02,9.16,9.2,9.02
14/06/11,618450.0,9.03,9.1,9.18,8.78
15/06/11,54000.0,9.0,9.0,9.0,9.0
16/06/11,61215.0,8.85,9.0,9.0,8.85
17/06/11,44600.0,8.9,9.0,9.0,8.9
21/06/11,286449.0,9.0,8.85,9.0,8.85
22/06/11,282100.0,8.85,8.8,8.85,8.8
23/06/11,246400.0,8.8,8.8,8.8,8.8
24/06/11,194780.0,8.8,8.83,8.83,8.8
27/06/11,366930.0,8.75,8.75,8.76,8.7
28/06/11,146049.0,8.7,8.68,8.7,8.68
29/06/11,1027046.0,8.68,9.0,9.0,8.5
30/06/11,1235165.0,8.68,8.6,8.68,8.6
01/07/11,213880.0,8.8,8.75,8.8,8.6
04/07/11,441340.0,8.7,8.71,8.71,8.7
05/07/11,495083.0,8.73,8.71,8.73,8.71
06/07/11,700762.0,8.71,8.9,8.9,8.6
07/07/11,1475106.0,8.8,9.0,9.1,8.8
08/07/11,2170068.0,8.81,8.9,9.0,8.8
11/07/11,25895.0,8.95,8.9,8.95,8.9
12/07/11,555559.0,8.8,8.7,8.8,8.7
13/07/11,1067843.0,8.7,8.6,8.7,8.6
14/07/11,1586885.0,8.7,8.84,8.84,8.6
15/07/11,2341850.0,8.84,8.88,8.88,8.6
18/07/11,802720.0,8.8,8.96,8.96,8.7
19/07/11,5636010.0,8.7,9.0,9.6,8.7
20/07/11,1136860.0,9.05,9.01,9.2,9.0
21/07/11,709327.0,9.3,8.9,9.4,8.9
22/07/11,871505.0,9.1,9.0,9.25,8.9
25/07/11,1038450.0,8.9,8.75,9.0,8.75
26/07/11,4745231.0,8.75,9.01,9.24,8.6
27/07/11,872490.0,9.0,9.13,9.13,8.9
28/07/11,1659092.0,8.95,9.15,9.15,8.9
29/07/11,1057090.0,9.0,9.2,9.2,9.0
01/08/11,723307.0,9.18,9.23,9.25,9.15
02/08/11,2355822.0,9.2,9.22,9.24,9.2
03/08/11,1279155.0,9.18,9.06,9.18,9.06
04/08/11,603140.0,9.0,9.0,9.0,8.9
05/08/11,5891018.0,8.6,9.2,9.22,8.56
08/08/11,972770.0,9.2,9.18,9.2,8.9
09/08/11,1055645.0,8.73,8.7,8.73,8.4
10/08/11,1186260.0,8.57,8.99,9.19,8.57
11/08/11,396600.0,8.65,8.6,8.65,8.6
12/08/11,496172.0,8.7,8.95,8.95,8.7
15/08/11,648948.0,8.95,8.6,8.97,8.6
16/08/11,409030.0,8.6,8.75,8.75,8.5
17/08/11,508330.0,8.8,8.7,8.8,8.55
18/08/11,273310.0,8.6,8.74,8.74,8.6
19/08/11,459980.0,8.6,8.75,8.75,8.6
22/08/11,290970.0,8.8,8.85,8.85,8.7
23/08/11,1066036.0,8.88,8.6,8.9,8.6
24/08/11,2419674.0,8.61,8.6,8.78,8.4
25/08/11,1752697.0,8.6,8.3,8.69,8.28
26/08/11,448718.0,8.3,8.5,8.6,8.28
31/08/11,13760.0,8.6,8.6,8.6,8.6
01/09/11,416715.0,8.5,8.4,8.5,8.4
02/09/11,235341.0,8.45,8.38,8.5,8.3
05/09/11,3092901.0,8.31,8.8,8.97,8.31
