Date,Value,Open,Close,High,Low
03/11/21,405725400.0,0.9,0.9,0.9,0.9
04/11/21,3107233870.0,1.1,0.74,1.1,0.71
05/11/21,456465630.0,0.78,0.77,0.8,0.74
08/11/21,354079100.0,0.78,0.71,0.8,0.7
09/11/21,297452380.0,0.71,0.72,0.75,0.68
10/11/21,123314070.0,0.73,0.71,0.74,0.69
11/11/21,144739410.0,0.71,0.74,0.75,0.71
12/11/21,389472160.0,0.75,0.82,0.82,0.74
15/11/21,353636810.0,0.82,0.8,0.85,0.79
16/11/21,156792820.0,0.8,0.82,0.84,0.8
17/11/21,103837900.0,0.82,0.81,0.84,0.81
18/11/21,210689110.0,0.81,0.77,0.82,0.77
19/11/21,123174290.0,0.78,0.74,0.78,0.74
22/11/21,89970530.0,0.74,0.76,0.77,0.72
23/11/21,40752180.0,0.76,0.76,0.76,0.74
24/11/21,36090110.0,0.75,0.74,0.76,0.74
25/11/21,22745400.0,0.74,0.74,0.75,0.73
26/11/21,80094490.0,0.74,0.73,0.77,0.73
29/11/21,88747060.0,0.71,0.72,0.72,0.69
01/12/21,74247910.0,0.71,0.7,0.72,0.69
02/12/21,49774320.0,0.7,0.7,0.71,0.69
02/12/21,49774320.0,0.7,0.7,0.71,0.69
03/12/21,31111310.0,0.71,0.71,0.73,0.7
06/12/21,28505740.0,0.7,0.71,0.72,0.7
07/12/21,72067360.0,0.71,0.69,0.71,0.68
09/12/21,60232060.0,0.69,0.68,0.7,0.67
10/12/21,61096650.0,0.68,0.68,0.7,0.67
13/12/21,100445860.0,0.68,0.63,0.69,0.62
13/12/21,100445860.0,0.68,0.63,0.69,0.62
14/12/21,118370000.0,0.63,0.58,0.64,0.58
15/12/21,133627440.0,0.57,0.57,0.61,0.55
15/12/21,133627440.0,0.57,0.57,0.61,0.55
15/12/21,133627440.0,0.57,0.57,0.61,0.55
16/12/21,46246910.0,0.58,0.6,0.61,0.58
17/12/21,35156250.0,0.6,0.61,0.62,0.59
20/12/21,19962740.0,0.61,0.61,0.63,0.6
21/12/21,34572380.0,0.61,0.63,0.63,0.6
22/12/21,30877080.0,0.63,0.64,0.66,0.63
23/12/21,17675090.0,0.65,0.65,0.66,0.63
23/12/21,17675090.0,0.65,0.65,0.66,0.63
24/12/21,8125140.0,0.64,0.64,0.65,0.63
27/12/21,15278540.0,0.64,0.63,0.65,0.63
28/12/21,20978170.0,0.64,0.62,0.64,0.62
29/12/21,10243480.0,0.63,0.61,0.63,0.61
31/12/21,5447030.0,0.61,0.61,0.63,0.6
03/01/22,20111700.0,0.61,0.6,0.61,0.58
05/01/22,22343980.0,0.6,0.58,0.61,0.57
06/01/22,11689200.0,0.58,0.58,0.59,0.57
07/01/22,37964650.0,0.58,0.6,0.62,0.57
10/01/22,21138290.0,0.59,0.6,0.61,0.59
11/01/22,17813830.0,0.6,0.58,0.6,0.57
12/01/22,21948710.0,0.58,0.57,0.59,0.57
13/01/22,43887240.0,0.58,0.61,0.61,0.57
14/01/22,46702110.0,0.62,0.63,0.64,0.61
17/01/22,18545860.0,0.63,0.62,0.64,0.61
18/01/22,24505780.0,0.62,0.62,0.63,0.61
19/01/22,14892400.0,0.61,0.59,0.62,0.59
20/01/22,17310330.0,0.59,0.59,0.61,0.59
21/01/22,16516140.0,0.6,0.61,0.61,0.59
24/01/22,14513000.0,0.6,0.59,0.61,0.59
25/01/22,16167030.0,0.59,0.59,0.61,0.59
26/01/22,11254090.0,0.61,0.6,0.61,0.59
27/01/22,16162230.0,0.6,0.6,0.61,0.59
27/01/22,16162230.0,0.6,0.6,0.61,0.59
27/01/22,16162230.0,0.6,0.6,0.61,0.59
28/01/22,28789740.0,0.6,0.59,0.6,0.58
31/01/22,18664180.0,0.58,0.59,0.59,0.58
31/01/22,18664180.0,0.58,0.59,0.59,0.58
02/02/22,30325900.0,0.59,0.58,0.6,0.58
02/02/22,30325900.0,0.59,0.58,0.6,0.58
03/02/22,10234460.0,0.58,0.59,0.59,0.58
03/02/22,10234460.0,0.58,0.59,0.59,0.58
04/02/22,16427560.0,0.59,0.58,0.59,0.57
04/02/22,16427560.0,0.59,0.58,0.59,0.57
07/02/22,16223540.0,0.58,0.58,0.59,0.57
07/02/22,16223540.0,0.58,0.58,0.59,0.57
08/02/22,23143560.0,0.58,0.57,0.59,0.57
09/02/22,9292740.0,0.58,0.57,0.58,0.57
10/02/22,25180290.0,0.57,0.57,0.59,0.57
11/02/22,24513550.0,0.58,0.57,0.58,0.56
14/02/22,31708970.0,0.57,0.56,0.57,0.55
15/02/22,49203910.0,0.56,0.53,0.56,0.52
16/02/22,16571100.0,0.53,0.54,0.55,0.52
17/02/22,8281210.0,0.55,0.55,0.56,0.54
18/02/22,12198020.0,0.55,0.54,0.56,0.53
21/02/22,13145500.0,0.55,0.52,0.55,0.52
21/02/22,13145500.0,0.55,0.52,0.55,0.52
21/02/22,13145500.0,0.55,0.52,0.55,0.52
22/02/22,17123790.0,0.53,0.54,0.54,0.52
23/02/22,29590470.0,0.53,0.53,0.54,0.51
