Date,Value,Open,Close,High,Low
24/03/23,200486120.0,1.22,1.28,1.3,1.21
24/03/23,200486120.0,1.22,1.28,1.3,1.21
27/03/23,32998450.0,1.28,1.25,1.28,1.23
28/03/23,125810990.0,1.25,1.19,1.25,1.15
29/03/23,15387270.0,1.19,1.22,1.22,1.19
30/03/23,34447720.0,1.23,1.26,1.28,1.23
31/03/23,95606350.0,1.27,1.26,1.32,1.24
03/04/23,27002050.0,1.26,1.22,1.26,1.22
04/04/23,10339280.0,1.24,1.2,1.24,1.2
05/04/23,16105390.0,1.2,1.23,1.24,1.19
11/04/23,14942970.0,1.24,1.26,1.27,1.24
12/04/23,17250890.0,1.26,1.24,1.26,1.23
13/04/23,9301460.0,1.23,1.24,1.25,1.23
13/04/23,9301460.0,1.23,1.24,1.25,1.23
14/04/23,29173690.0,1.25,1.28,1.29,1.25
14/04/23,29173690.0,1.25,1.28,1.29,1.25
17/04/23,32043060.0,1.28,1.28,1.32,1.27
18/04/23,16427130.0,1.29,1.27,1.3,1.27
19/04/23,11043820.0,1.27,1.25,1.27,1.25
20/04/23,21691440.0,1.25,1.25,1.25,1.19
24/04/23,11671450.0,1.25,1.19,1.25,1.18
25/04/23,7055080.0,1.21,1.18,1.21,1.16
26/04/23,4454530.0,1.16,1.16,1.19,1.15
27/04/23,6310270.0,1.17,1.14,1.17,1.14
28/04/23,5000920.0,1.14,1.09,1.15,1.09
02/05/23,3118340.0,1.1,1.14,1.18,1.1
03/05/23,1163630.0,1.14,1.14,1.15,1.11
04/05/23,4462710.0,1.14,1.09,1.14,1.08
05/05/23,2571840.0,1.11,1.11,1.12,1.1
05/05/23,2571840.0,1.11,1.11,1.12,1.1
05/05/23,2571840.0,1.11,1.11,1.12,1.1
08/05/23,2697470.0,1.1,1.11,1.14,1.1
09/05/23,1650080.0,1.1,1.1,1.14,1.09
10/05/23,22847150.0,1.11,1.0,1.11,0.98
11/05/23,9432430.0,1.01,0.97,1.03,0.96
12/05/23,3954450.0,0.97,0.93,0.98,0.92
15/05/23,1541430.0,0.94,0.96,0.97,0.93
16/05/23,2044650.0,0.98,1.0,1.0,0.96
17/05/23,1939950.0,0.99,0.98,1.0,0.98
18/05/23,502360.0,0.99,0.99,0.99,0.97
19/05/23,3891140.0,0.99,0.99,0.99,0.95
22/05/23,794950.0,0.97,0.99,0.99,0.96
23/05/23,3295220.0,0.97,1.02,1.03,0.96
24/05/23,1814060.0,1.03,1.0,1.03,0.99
25/05/23,4339120.0,1.03,0.98,1.03,0.95
26/05/23,4825490.0,0.97,0.93,0.97,0.9
29/05/23,37923070.0,0.94,0.91,0.94,0.87
30/05/23,632190.0,0.89,0.91,0.92,0.89
31/05/23,4863760.0,0.91,0.85,0.91,0.85
01/06/23,1121790.0,0.85,0.9,0.9,0.85
02/06/23,2166650.0,0.9,0.92,0.95,0.9
02/06/23,2166650.0,0.9,0.92,0.95,0.9
05/06/23,2813920.0,0.94,0.9,0.96,0.9
06/06/23,773900.0,0.89,0.9,0.92,0.88
07/06/23,881760.0,0.9,0.91,0.91,0.88
08/06/23,587860.0,0.91,0.91,0.92,0.9
09/06/23,5165970.0,0.92,0.95,0.97,0.91
13/06/23,1612950.0,0.95,0.93,0.95,0.92
14/06/23,17060680.0,0.94,1.01,1.02,0.93
15/06/23,7621330.0,1.02,1.0,1.05,1.0
16/06/23,2641910.0,1.0,1.03,1.04,1.0
19/06/23,1456700.0,1.03,1.02,1.03,1.0
20/06/23,3774320.0,1.01,0.97,1.02,0.97
21/06/23,1235230.0,0.97,0.99,1.0,0.97
21/06/23,1235230.0,0.97,0.99,1.0,0.97
22/06/23,5933560.0,0.99,1.04,1.04,0.99
23/06/23,3782140.0,1.05,1.05,1.07,1.02
26/06/23,4740140.0,1.05,1.03,1.07,1.03
26/06/23,4740140.0,1.05,1.03,1.07,1.03
27/06/23,1246820.0,1.04,1.05,1.06,1.02
27/06/23,1246820.0,1.04,1.05,1.06,1.02
29/06/23,2340110.0,1.05,1.04,1.06,1.04
30/06/23,17919240.0,1.04,1.09,1.1,1.04
03/07/23,4821400.0,1.1,1.05,1.12,1.05
04/07/23,2152730.0,1.05,1.08,1.09,1.05
05/07/23,4828190.0,1.09,1.04,1.09,1.03
06/07/23,4190500.0,1.04,1.04,1.05,1.01
07/07/23,4798250.0,1.05,0.98,1.05,0.98
07/07/23,4798250.0,1.05,0.98,1.05,0.98
10/07/23,1741530.0,0.98,1.0,1.01,0.98
11/07/23,2930480.0,1.01,0.96,1.01,0.96
12/07/23,1952620.0,0.96,0.96,0.97,0.94
13/07/23,7181190.0,0.98,1.04,1.04,0.98
14/07/23,4518350.0,1.04,1.05,1.06,1.02
17/07/23,2962840.0,1.05,1.04,1.07,1.03
18/07/23,4688960.0,1.03,1.07,1.08,1.03
19/07/23,2066140.0,1.08,1.02,1.08,1.01
20/07/23,1585680.0,1.03,1.04,1.04,1.0
21/07/23,2250950.0,1.04,1.0,1.05,0.99
24/07/23,3339880.0,1.0,0.99,1.03,0.97
25/07/23,1320590.0,1.0,1.01,1.01,0.99
