Date,Value,Open,Close,High,Low
26/06/20,230856408.0,40.0,18.5,240.0,17.0
29/06/20,239319880.0,20.0,27.75,27.75,20.0
30/06/20,469407235.0,34.0,41.6,41.6,31.6
01/07/20,1138207310.0,36.0,42.1,59.8,33.5
02/07/20,308455655.0,45.0,39.5,48.15,36.35
03/07/20,263560060.0,37.65,30.0,39.3,28.3
06/07/20,199141940.0,31.0,28.0,32.8,26.5
07/07/20,146443570.0,28.0,25.5,28.95,24.65
08/07/20,198280580.0,24.65,27.9,28.45,22.9
09/07/20,102271045.0,26.5,24.5,27.9,24.5
10/07/20,97881695.0,25.0,22.1,25.0,22.0
13/07/20,48013640.0,21.2,20.25,21.6,20.15
14/07/20,40763652.0,19.9,17.36,19.9,17.32
15/07/20,101543341.0,17.0,17.26,20.4,16.1
16/07/20,39147728.0,17.6,18.7,18.9,17.6
17/07/20,23624880.0,18.92,17.28,18.92,17.18
20/07/20,39018456.0,17.24,14.8,17.24,14.8
21/07/20,29932462.0,14.0,14.5,15.2,13.54
22/07/20,25927498.0,15.0,15.36,15.88,14.74
23/07/20,12938870.0,15.4,13.72,15.4,13.72
24/07/20,11316436.0,13.5,13.44,14.0,13.0
27/07/20,8312068.0,13.1,12.66,13.6,12.22
28/07/20,7105242.0,12.98,12.9,13.54,12.62
29/07/20,14295268.0,12.98,13.1,13.56,12.7
30/07/20,13692236.0,13.6,14.3,14.3,13.28
03/08/20,16301856.0,13.62,12.96,13.96,12.82
04/08/20,4448654.0,13.02,13.1,13.2,12.8
05/08/20,17148334.0,13.2,12.92,13.7,12.8
06/08/20,10648166.0,13.0,12.52,13.38,12.5
07/08/20,4002902.0,12.52,12.54,12.8,12.32
10/08/20,12018226.0,12.62,13.3,13.4,12.56
11/08/20,16214596.0,13.3,14.18,14.2,13.02
12/08/20,25083156.0,14.2,13.3,14.76,13.2
13/08/20,5397156.0,13.32,13.4,13.5,13.0
14/08/20,8649420.0,13.3,13.48,13.96,13.3
17/08/20,7971138.0,13.48,13.22,13.84,13.04
18/08/20,2854282.0,13.26,13.42,13.66,13.26
19/08/20,11126946.0,13.56,13.7,13.96,13.3
20/08/20,5849610.0,13.94,13.5,13.94,13.48
24/08/20,7857890.0,13.5,13.04,13.56,13.0
25/08/20,7085820.0,13.02,13.1,13.28,12.74
26/08/20,1133494.0,13.1,13.1,13.14,12.86
27/08/20,6645432.0,13.1,12.62,13.1,12.6
28/08/20,6505866.0,12.66,12.5,12.96,12.5
01/09/20,3611656.0,12.52,12.5,12.74,12.4
02/09/20,7220208.0,12.48,12.1,12.5,12.0
03/09/20,7442566.0,12.02,11.54,12.02,11.54
04/09/20,8225580.0,11.44,10.74,11.44,10.22
07/09/20,6891836.0,10.74,10.5,10.8,10.24
08/09/20,14361794.0,10.5,11.04,11.3,10.26
09/09/20,6500606.0,11.04,10.68,11.28,10.54
10/09/20,2488114.0,10.5,10.58,11.0,10.5
11/09/20,2515358.0,10.88,10.46,10.88,10.36
14/09/20,1879208.0,10.6,10.36,10.6,10.36
15/09/20,3013926.0,10.36,10.3,10.6,10.26
16/09/20,1760892.0,10.3,10.5,10.5,10.24
17/09/20,864622.0,10.6,10.48,10.6,10.3
18/09/20,5464400.0,10.48,10.52,10.94,10.32
21/09/20,3337678.0,10.56,10.34,10.6,10.32
22/09/20,4633412.0,10.32,10.4,10.4,10.0
23/09/20,2210556.0,10.38,10.4,10.76,10.02
24/09/20,4230476.0,10.4,10.12,10.4,10.06
25/09/20,2198234.0,10.12,10.1,10.12,10.06
28/09/20,7399945.0,10.04,9.91,10.12,9.78
29/09/20,3959533.0,9.8,9.62,9.81,9.5
30/09/20,4196403.0,9.53,9.45,9.8,9.45
01/10/20,5260797.0,9.45,9.67,9.88,9.3
02/10/20,2309856.0,9.85,9.4,9.85,9.4
05/10/20,4687358.0,9.4,8.93,9.45,8.6
06/10/20,5358308.0,8.9,8.33,8.93,8.29
07/10/20,60393323.0,8.33,10.4,12.4,8.29
08/10/20,24629892.0,10.76,10.0,10.8,9.56
09/10/20,42416254.0,10.2,10.7,11.5,10.02
12/10/20,19643060.0,10.84,11.0,11.08,10.18
13/10/20,15170432.0,11.0,10.22,11.0,10.2
14/10/20,20220275.0,10.26,10.52,10.66,9.71
15/10/20,26973274.0,10.68,11.08,11.2,10.5
16/10/20,29490572.0,10.98,11.7,11.88,10.62
19/10/20,23099892.0,11.98,11.44,12.34,11.3
20/10/20,17332884.0,11.3,10.78,11.68,10.78
21/10/20,8437828.0,10.82,10.84,11.4,10.78
22/10/20,5927306.0,11.12,11.0,11.2,10.86
23/10/20,18812564.0,11.24,12.0,12.0,11.02
26/10/20,7185932.0,12.0,12.0,12.18,11.56
27/10/20,15080174.0,12.0,12.88,12.96,11.62
28/10/20,16488488.0,12.64,13.04,13.08,12.54
29/10/20,22869186.0,12.9,12.5,13.24,12.4
30/10/20,6553936.0,12.48,12.84,12.9,12.38
03/11/20,5697954.0,13.0,13.0,13.2,12.62
04/11/20,7165032.0,13.06,13.08,13.48,12.88
05/11/20,10999724.0,13.08,12.52,13.08,12.42
06/11/20,8532762.0,12.7,12.5,12.7,12.1
09/11/20,8561550.0,12.5,13.0,13.0,12.5
10/11/20,8530332.0,13.0,13.12,13.5,12.8
11/11/20,5555302.0,13.0,13.34,13.46,12.92
13/11/20,9788658.0,13.32,13.62,13.7,13.08
16/11/20,14284858.0,13.62,13.3,13.8,13.3
17/11/20,16117304.0,13.3,12.86,13.3,12.86
18/11/20,5183668.0,12.8,12.88,13.1,12.8
19/11/20,4641380.0,13.0,12.98,13.2,12.9
20/11/20,5972702.0,12.98,12.9,13.34,12.82
23/11/20,6424706.0,12.9,13.2,13.3,12.88
24/11/20,5007234.0,13.2,13.02,13.2,12.94
25/11/20,26032424.0,13.36,14.1,14.2,13.02
26/11/20,29705614.0,14.3,14.14,15.38,14.12
27/11/20,7153596.0,14.48,14.92,15.0,14.24
01/12/20,12709132.0,15.2,15.52,16.04,15.2
02/12/20,11656202.0,15.8,15.3,16.0,15.0
03/12/20,7409800.0,15.0,15.3,15.68,15.0
04/12/20,11776062.0,15.42,15.28,15.6,14.5
07/12/20,15100240.0,15.02,14.7,15.46,14.6
09/12/20,6398252.0,14.8,14.5,14.8,14.44
10/12/20,2798640.0,14.5,14.7,14.9,14.44
11/12/20,6272680.0,14.54,15.02,15.16,14.42
14/12/20,3852668.0,15.16,15.12,15.36,15.04
15/12/20,6847942.0,15.14,14.78,15.24,14.5
16/12/20,3134004.0,14.78,14.66,14.98,14.52
17/12/20,14491016.0,14.66,13.8,14.9,13.5
18/12/20,10800132.0,13.82,13.54,13.9,13.1
21/12/20,6424182.0,13.64,13.36,13.66,13.16
22/12/20,4345574.0,13.36,13.3,13.44,13.04
23/12/20,3066494.0,13.28,13.66,13.76,13.02
28/12/20,11607674.0,13.62,12.7,13.62,12.5
29/12/20,4159364.0,12.6,12.4,12.7,12.3
04/01/21,4204444.0,12.2,12.2,13.0,12.2
05/01/21,4999014.0,12.2,12.04,12.4,12.0
06/01/21,6728528.0,12.08,11.7,12.1,11.3
07/01/21,2137404.0,12.06,12.4,12.56,11.74
08/01/21,1756718.0,12.4,12.72,12.72,12.06
11/01/21,5165728.0,12.7,13.12,13.22,12.7
12/01/21,5075332.0,13.12,12.68,13.12,12.68
13/01/21,2426050.0,12.68,13.08,13.1,12.52
14/01/21,4613786.0,12.74,12.84,13.0,12.6
15/01/21,10182672.0,12.8,13.4,13.6,12.8
18/01/21,87623436.0,13.48,17.0,17.1,13.48
19/01/21,88183970.0,18.5,20.0,21.75,18.5
20/01/21,186745000.0,23.0,28.6,30.0,22.0
21/01/21,117862870.0,30.0,21.5,32.8,20.05
22/01/21,27568837.0,19.6,21.45,22.0,18.0
25/01/21,16350927.0,21.45,19.5,23.0,19.5
26/01/21,40502536.0,19.0,15.54,19.48,15.3
27/01/21,13001048.0,15.82,17.0,17.46,15.8
28/01/21,32922205.0,17.2,20.5,20.8,16.3
29/01/21,9854840.0,21.0,19.0,21.0,19.0
01/02/21,17615932.0,19.0,19.9,20.85,17.8
02/02/21,11492340.0,20.05,19.04,21.0,19.0
03/02/21,5433463.0,19.32,19.82,20.95,19.32
04/02/21,3144683.0,20.65,19.96,20.65,19.8
05/02/21,36357100.0,20.4,22.2,22.75,20.0
08/02/21,17344815.0,22.7,21.1,22.75,20.25
09/02/21,10671590.0,21.25,22.0,22.75,20.8
10/02/21,25833035.0,22.3,23.2,23.8,21.7
11/02/21,9740970.0,23.4,23.2,23.55,22.3
15/02/21,8883740.0,23.25,22.95,23.25,21.95
16/02/21,13995755.0,22.9,21.5,22.9,21.25
17/02/21,15186695.0,21.25,20.0,22.0,20.0
18/02/21,5450820.0,20.0,20.1,21.8,20.0
19/02/21,9040689.0,21.35,21.0,21.35,19.4
22/02/21,2451945.0,21.0,20.35,21.0,19.8
23/02/21,5243434.0,20.2,19.6,20.45,19.4
24/02/21,10572644.0,19.9,19.0,20.0,18.0
26/02/21,2441464.0,18.5,19.5,20.5,18.5
01/03/21,2041270.0,19.5,19.9,20.35,19.5
02/03/21,21118210.0,20.0,21.1,21.8,20.0
03/03/21,61225855.0,22.15,25.1,25.6,21.15
04/03/21,30478605.0,25.3,24.5,27.0,23.0
05/03/21,15699415.0,24.5,22.7,24.55,22.6
08/03/21,19491115.0,23.0,21.8,23.0,20.0
09/03/21,5653950.0,21.7,21.5,22.4,20.3
10/03/21,6517490.0,21.5,20.95,22.0,20.3
11/03/21,3476430.0,20.95,20.95,21.8,20.7
12/03/21,6496840.0,21.05,20.9,21.45,20.55
15/03/21,6363579.0,20.5,20.0,22.0,19.0
16/03/21,4846262.0,19.9,19.9,20.0,19.2
17/03/21,2653030.0,19.9,20.3,20.5,19.9
18/03/21,1968810.0,20.3,20.4,20.75,20.05
19/03/21,2627141.0,20.4,20.15,20.75,19.54
22/03/21,4442350.0,19.5,18.7,20.0,18.5
23/03/21,5508928.0,18.82,19.4,19.58,18.7
24/03/21,1506620.0,19.44,19.5,19.5,19.0
25/03/21,2181676.0,19.5,19.9,19.9,19.0
26/03/21,4389794.0,19.9,19.3,19.9,19.1
29/03/21,1981532.0,19.08,19.7,19.9,18.7
30/03/21,4276510.0,19.9,19.4,19.9,18.9
31/03/21,1848356.0,19.4,19.4,19.5,18.7
05/04/21,2037706.0,18.72,18.8,19.34,18.52
06/04/21,1895488.0,19.0,19.08,19.22,18.98
07/04/21,2319378.0,19.22,19.66,19.9,19.22
08/04/21,3013775.0,19.48,19.88,20.05,19.48
12/04/21,9504583.0,19.88,20.9,21.2,19.88
13/04/21,5294137.0,21.0,19.54,21.4,19.52
14/04/21,2490504.0,19.36,19.64,20.5,19.36
15/04/21,3875923.0,19.62,19.5,20.3,19.5
16/04/21,1315338.0,19.44,19.62,19.7,19.42
19/04/21,2275442.0,19.62,19.72,19.72,19.44
20/04/21,2310896.0,19.7,19.7,19.7,19.4
21/04/21,1991860.0,19.7,19.4,19.76,19.38
22/04/21,7289296.0,19.4,18.5,19.68,18.3
23/04/21,1614224.0,18.5,18.58,19.26,18.5
26/04/21,8234486.0,18.3,18.8,18.8,17.6
27/04/21,177954.0,18.2,18.46,19.16,18.2
28/04/21,264296.0,18.46,18.9,18.9,18.46
29/04/21,1325948.0,18.5,18.36,19.02,18.04
30/04/21,677672.0,18.36,18.48,18.5,18.36
03/05/21,2598514.0,18.02,18.06,18.24,18.0
04/05/21,4071070.0,18.0,17.86,18.08,17.4
05/05/21,483680.0,18.8,17.88,18.8,17.54
06/05/21,567148.0,18.56,17.88,18.56,17.52
07/05/21,403380.0,17.88,17.8,18.0,17.48
10/05/21,149424.0,17.8,17.96,18.0,17.6
11/05/21,766452.0,17.5,17.88,17.88,17.48
12/05/21,569614.0,17.52,17.88,17.88,17.42
14/05/21,1133654.0,17.4,17.8,17.8,17.1
17/05/21,1476338.0,17.06,17.04,17.8,17.04
18/05/21,8449856.0,17.04,16.78,17.48,16.0
19/05/21,5262386.0,16.5,16.6,16.8,16.0
20/05/21,2836718.0,16.04,16.7,16.84,16.04
21/05/21,2447940.0,16.6,16.62,16.88,16.38
24/05/21,1039788.0,16.62,16.64,16.9,16.5
25/05/21,248426.0,16.64,16.62,16.66,16.4
26/05/21,2354046.0,16.8,17.38,17.5,16.8
27/05/21,1237690.0,17.38,17.48,17.5,17.2
28/05/21,891544.0,17.5,17.78,17.78,17.5
31/05/21,3586632.0,17.5,17.52,18.0,17.5
01/06/21,56200.0,17.9,17.5,17.9,17.5
02/06/21,2352934.0,17.5,17.9,17.9,17.5
03/06/21,408126.0,17.54,17.9,17.94,17.54
04/06/21,2063604.0,17.96,17.82,18.0,17.5
07/06/21,280364.0,17.82,17.8,17.9,17.3
08/06/21,1166286.0,17.4,17.5,17.5,17.1
09/06/21,1193566.0,17.98,17.84,18.02,17.6
10/06/21,3734474.0,17.8,17.2,17.8,17.2
11/06/21,360712.0,17.2,17.26,17.58,17.18
14/06/21,1219122.0,17.16,17.4,17.7,17.14
15/06/21,1160032.0,17.4,17.3,17.6,17.24
16/06/21,1219152.0,17.6,17.6,17.6,17.38
17/06/21,8670938.0,17.36,18.0,18.88,17.36
18/06/21,2747208.0,18.2,18.3,18.5,18.1
21/06/21,1604822.0,18.3,18.12,18.5,18.1
22/06/21,1725864.0,18.1,18.0,18.1,18.0
23/06/21,1817188.0,18.0,18.0,18.18,17.8
24/06/21,2299034.0,18.0,17.64,18.0,17.64
25/06/21,694694.0,17.62,17.34,18.0,17.34
28/06/21,2216354.0,17.5,17.62,17.62,17.5
