Date,Value,Open,Close,High,Low
03/08/09,130000.0,6.5,6.5,6.5,6.5
04/08/09,65000.0,6.5,6.5,6.5,6.5
06/08/09,19500.0,6.5,6.5,6.5,6.5
07/08/09,130000.0,6.5,6.5,6.5,6.5
10/08/09,130000.0,6.5,6.5,6.5,6.5
12/08/09,195000.0,6.5,6.5,6.5,6.5
13/08/09,27800.0,6.9,7.0,7.0,6.9
14/08/09,65000.0,6.5,6.5,6.5,6.5
17/08/09,130000.0,6.5,6.5,6.5,6.5
18/08/09,78000.0,6.5,6.5,6.5,6.5
24/08/09,14400.0,7.2,7.2,7.2,7.2
26/08/09,712500.0,6.5,6.8,6.8,6.5
16/09/09,130000.0,6.5,6.5,6.5,6.5
18/09/09,749000.0,7.0,7.0,7.0,7.0
22/09/09,253054300.0,7.0,8.3,8.3,7.0
01/10/09,16000.0,8.0,8.0,8.0,8.0
02/10/09,96000.0,8.0,8.0,8.0,8.0
05/10/09,480000.0,8.0,8.0,8.0,8.0
06/10/09,15000.0,7.5,7.5,7.5,7.5
08/10/09,480000.0,8.0,8.0,8.0,8.0
09/10/09,240000.0,8.0,8.0,8.0,8.0
12/10/09,1016400.0,8.1,8.3,8.3,8.1
13/10/09,1070700.0,8.3,8.3,8.3,8.3
14/10/09,252000.0,8.4,8.4,8.4,8.4
15/10/09,850000.0,8.5,8.5,8.5,8.5
19/10/09,333000.0,8.4,8.3,8.4,8.3
20/10/09,639100.0,8.3,8.3,8.3,8.3
21/10/09,726100.0,8.3,8.5,8.5,8.3
22/10/09,290500.0,8.3,8.3,8.3,8.3
23/10/09,130500.0,8.7,8.7,8.7,8.7
29/10/09,656500.0,8.5,8.8,8.8,8.5
05/11/09,42000.0,8.4,8.4,8.4,8.4
06/11/09,249000.0,8.3,8.3,8.3,8.3
09/11/09,702900.0,8.4,8.4,8.5,8.4
10/11/09,949200.0,8.4,8.4,8.4,8.4
16/12/09,67200.0,8.4,8.4,8.4,8.4
21/12/09,33200.0,8.3,8.3,8.3,8.3
05/01/10,24900.0,8.3,8.3,8.3,8.3
07/01/10,747000.0,8.3,8.3,8.3,8.3
13/01/10,273900.0,8.3,8.3,8.3,8.3
15/01/10,83000.0,8.3,8.3,8.3,8.3
19/01/10,285600000.0,8.4,8.4,8.4,8.4
20/01/10,184800.0,8.4,8.4,8.4,8.4
26/01/10,47500.0,9.5,9.5,9.5,9.5
28/01/10,207500.0,8.3,8.3,8.3,8.3
29/01/10,880000.0,8.8,8.8,8.8,8.8
02/02/10,270900.0,9.0,9.1,9.1,9.0
10/02/10,52900.0,8.3,9.0,9.0,8.3
15/03/10,17600.0,8.8,8.8,8.8,8.8
17/03/10,264000.0,8.8,8.8,8.8,8.8
21/04/10,85000.0,8.5,8.5,8.5,8.5
30/04/10,17400.0,8.7,8.7,8.7,8.7
05/05/10,201100.0,8.8,8.7,8.8,8.7
14/05/10,440000.0,8.8,8.8,8.8,8.8
17/05/10,261000.0,8.7,8.7,8.7,8.7
19/05/10,174000.0,8.7,8.7,8.7,8.7
20/05/10,434000.0,8.7,8.6,8.7,8.6
21/05/10,258000.0,8.6,8.6,8.6,8.6
24/05/10,421400.0,8.6,8.6,8.6,8.6
25/05/10,555600.0,8.6,8.5,8.6,8.5
27/05/10,17000.0,8.5,8.5,8.5,8.5
04/06/10,95600.0,8.7,8.6,8.7,8.6
16/06/10,1138400.0,8.7,8.7,8.7,8.6
21/06/10,340150800.0,8.6,8.7,8.7,8.0
22/06/10,17600.0,8.8,8.8,8.8,8.8
24/06/10,336061200.0,8.4,8.9,8.9,8.4
07/07/10,60900.0,8.7,8.7,8.7,8.7
13/07/10,4932000.0,8.5,8.3,8.5,8.3
