Date,Value,Open,Close,High,Low
03/08/09,1275580.0,1.24,1.28,1.3,1.24
04/08/09,2529680.0,1.3,1.3,1.36,1.3
06/08/09,2299900.0,1.32,1.34,1.4,1.32
07/08/09,706560.0,1.36,1.34,1.36,1.3
10/08/09,3379820.0,1.34,1.4,1.4,1.34
11/08/09,645420.0,1.4,1.38,1.4,1.34
12/08/09,412720.0,1.34,1.34,1.34,1.34
13/08/09,68200.0,1.38,1.36,1.38,1.36
14/08/09,280200.0,1.34,1.34,1.34,1.32
17/08/09,26400.0,1.32,1.32,1.32,1.32
18/08/09,102600.0,1.28,1.32,1.32,1.26
20/08/09,132000.0,1.32,1.32,1.32,1.32
24/08/09,570960.0,1.32,1.36,1.36,1.32
25/08/09,145880.0,1.36,1.36,1.36,1.34
26/08/09,475000.0,1.36,1.34,1.36,1.34
03/09/09,266000.0,1.34,1.32,1.34,1.32
04/09/09,406060.0,1.34,1.34,1.36,1.34
16/09/09,132860.0,1.34,1.32,1.34,1.32
17/09/09,1320.0,1.32,1.32,1.32,1.32
22/09/09,192720.0,1.32,1.32,1.32,1.32
23/09/09,178100.0,1.3,1.34,1.34,1.28
02/10/09,448560.0,1.26,1.26,1.26,1.26
05/10/09,49600.0,1.24,1.24,1.24,1.24
07/10/09,2720.0,1.36,1.36,1.36,1.36
12/10/09,125440.0,1.28,1.28,1.28,1.28
13/10/09,252400.0,1.28,1.26,1.28,1.26
14/10/09,5160.0,1.3,1.28,1.3,1.28
15/10/09,124160.0,1.28,1.28,1.28,1.28
20/10/09,18940.0,1.28,1.26,1.28,1.26
21/10/09,126000.0,1.26,1.26,1.26,1.26
22/10/09,148680.0,1.26,1.26,1.26,1.26
26/10/09,31900.0,1.26,1.28,1.28,1.26
27/10/09,91980.0,1.26,1.26,1.26,1.26
28/10/09,69300.0,1.26,1.26,1.26,1.26
29/10/09,62000.0,1.24,1.24,1.24,1.24
30/10/09,17966560.0,1.24,1.26,1.28,1.24
04/11/09,31500.0,1.26,1.26,1.26,1.26
05/11/09,9100.0,1.3,1.3,1.3,1.3
06/11/09,340280.0,1.3,1.26,1.3,1.26
09/11/09,303900.0,1.3,1.36,1.36,1.3
10/11/09,494200.0,1.38,1.36,1.38,1.36
15/12/09,66000.0,1.2,1.2,1.2,1.2
16/12/09,210000.0,1.2,1.24,1.24,1.2
17/12/09,1081000.0,1.22,1.2,1.22,1.2
18/12/09,306800.0,1.18,1.18,1.18,1.18
21/12/09,17400.0,1.16,1.16,1.16,1.16
22/12/09,207500.0,1.14,1.1,1.14,1.1
23/12/09,9600.0,1.2,1.2,1.2,1.2
04/01/10,1184960.0,1.12,1.12,1.12,1.12
05/01/10,508180.0,1.16,1.22,1.22,1.16
06/01/10,108000.0,1.2,1.2,1.2,1.2
07/01/10,23800.0,1.18,1.2,1.2,1.18
08/01/10,240000.0,1.2,1.2,1.2,1.2
11/01/10,3082220.0,1.22,1.4,1.44,1.2
12/01/10,654320.0,1.4,1.3,1.42,1.3
13/01/10,122200.0,1.3,1.3,1.3,1.3
15/01/10,65000.0,1.3,1.3,1.3,1.3
19/01/10,23840.0,1.24,1.28,1.28,1.24
20/01/10,629760.0,1.28,1.28,1.28,1.28
21/01/10,774080.0,1.28,1.28,1.28,1.26
22/01/10,123480.0,1.26,1.26,1.26,1.26
25/01/10,291300.0,1.24,1.24,1.24,1.22
26/01/10,124000.0,1.24,1.24,1.24,1.24
27/01/10,556760.0,1.24,1.24,1.24,1.24
28/01/10,736000.0,1.22,1.22,1.22,1.2
29/01/10,1060.0,1.06,1.06,1.06,1.06
01/02/10,24000.0,1.2,1.2,1.2,1.2
10/02/10,7200.0,1.2,1.2,1.2,1.2
12/03/10,9920.0,1.24,1.24,1.24,1.24
16/03/10,73200.0,1.2,1.2,1.2,1.2
17/03/10,21600.0,1.2,1.2,1.2,1.2
31/03/10,8260.0,1.18,1.18,1.18,1.18
21/04/10,121000.0,1.22,1.2,1.22,1.2
22/04/10,366000.0,1.22,1.22,1.22,1.22
23/04/10,378200.0,1.22,1.22,1.22,1.22
29/04/10,183000.0,1.2,1.18,1.2,1.18
30/04/10,19920.0,1.16,1.18,1.18,1.16
04/05/10,371960.0,1.18,1.26,1.26,1.18
05/05/10,6000.0,1.2,1.2,1.2,1.2
14/05/10,84000.0,1.2,1.2,1.2,1.2
17/05/10,16880.0,1.2,1.22,1.22,1.2
18/05/10,6000.0,1.2,1.2,1.2,1.2
21/05/10,2560.0,1.28,1.28,1.28,1.28
24/05/10,38280.0,1.16,1.16,1.16,1.16
26/05/10,47020.0,1.28,1.18,1.28,1.18
01/06/10,168000.0,1.2,1.2,1.2,1.2
02/06/10,47020.0,1.18,1.26,1.26,1.18
03/06/10,123280.0,1.22,1.28,1.28,1.22
08/06/10,60000.0,1.2,1.2,1.2,1.2
09/06/10,101100.0,1.2,1.2,1.2,1.18
10/06/10,17700.0,1.18,1.18,1.18,1.18
11/06/10,404000.0,1.18,1.2,1.2,1.18
15/06/10,300000.0,1.2,1.2,1.2,1.2
16/06/10,30000.0,1.2,1.2,1.2,1.2
21/06/10,200280.0,1.22,1.24,1.24,1.22
22/06/10,248000.0,1.24,1.24,1.24,1.24
23/06/10,1244760.0,1.24,1.28,1.3,1.24
24/06/10,776020.0,1.3,1.28,1.34,1.26
25/06/10,25600.0,1.28,1.28,1.28,1.28
28/06/10,239400.0,1.26,1.26,1.26,1.26
29/06/10,739320.0,1.24,1.22,1.24,1.2
01/07/10,347200.0,1.2,1.22,1.22,1.2
02/07/10,145560.0,1.22,1.24,1.24,1.22
07/07/10,122000.0,1.22,1.22,1.22,1.22
08/07/10,146400.0,1.22,1.22,1.22,1.22
09/07/10,1220.0,1.22,1.22,1.22,1.22
13/07/10,356840.0,1.2,1.24,1.26,1.2
14/07/10,88440.0,1.24,1.22,1.24,1.22
15/07/10,136200.0,1.24,1.26,1.26,1.22
16/07/10,265360.0,1.24,1.24,1.24,1.2
19/07/10,840000.0,1.2,1.2,1.2,1.2
20/07/10,129800.0,1.18,1.18,1.18,1.18
22/07/10,511200.0,1.2,1.2,1.2,1.2
23/07/10,23000.0,1.2,1.24,1.24,1.2
20/09/10,5064510.0,1.63,1.7,1.71,1.62
21/09/10,2942760.0,1.7,1.6,1.74,1.6
22/09/10,1526390.0,1.54,1.74,1.74,1.54
23/09/10,3400960.0,1.74,1.73,1.78,1.71
24/09/10,86750.0,1.75,1.7,1.75,1.7
27/09/10,89100.0,1.62,1.62,1.62,1.62
28/09/10,3466620.0,1.62,1.65,1.66,1.6
29/09/10,581000.0,1.65,1.6,1.65,1.6
30/09/10,1569950.0,1.6,1.62,1.62,1.6
01/10/10,72400.0,1.61,1.61,1.62,1.58
04/10/10,67600.0,1.61,1.61,1.61,1.6
05/10/10,1106500.0,1.6,1.7,1.7,1.6
06/10/10,1026800.0,1.7,1.7,1.7,1.7
07/10/10,233700.0,1.68,1.66,1.69,1.66
08/10/10,1026980.0,1.66,1.64,1.66,1.64
12/10/10,11452800.0,1.8,1.74,2.0,1.74
13/10/10,8913380.0,1.8,1.91,1.95,1.8
14/10/10,3133500.0,1.97,1.88,1.98,1.87
15/10/10,1334760.0,1.9,1.9,1.92,1.9
18/10/10,48798680.0,1.89,1.92,1.94,1.85
19/10/10,1121850.0,1.94,1.9,1.95,1.8
20/10/10,6850080.0,1.9,1.94,1.95,1.85
21/10/10,19419000.0,1.96,2.13,2.14,1.96
22/10/10,28833190.0,2.15,2.4,2.4,2.15
26/10/10,13613140.0,2.42,2.39,2.47,2.36
27/10/10,2377240.0,2.36,2.29,2.36,2.24
28/10/10,4938020.0,2.24,2.1,2.26,2.09
29/10/10,4022820.0,2.14,2.14,2.2,2.08
02/11/10,1448150.0,2.16,2.16,2.22,2.11
03/11/10,1766630.0,2.16,2.17,2.26,2.16
04/11/10,2151550.0,2.1,2.14,2.15,2.1
08/11/10,719720.0,2.14,2.16,2.19,2.14
09/11/10,2274920.0,2.14,2.12,2.16,2.12
10/11/10,536600.0,2.14,2.1,2.14,2.08
11/11/10,814680.0,2.11,2.05,2.11,2.0
15/11/10,113520.0,1.96,2.0,2.0,1.96
17/11/10,1772350.0,1.9,1.85,1.9,1.85
18/11/10,800880.0,1.88,1.86,1.88,1.85
19/11/10,401300.0,1.98,1.9,1.98,1.9
22/11/10,917060.0,1.87,1.87,1.87,1.86
23/11/10,1115570.0,1.87,1.9,1.9,1.86
24/11/10,2510590.0,1.85,1.98,2.04,1.85
25/11/10,1543460.0,2.04,2.02,2.08,1.99
26/11/10,353900.0,1.94,1.94,1.94,1.9
30/11/10,579500.0,1.85,1.8,1.85,1.8
01/12/10,1088760.0,1.94,1.9,1.94,1.88
02/12/10,1196000.0,1.98,1.94,1.98,1.94
03/12/10,213400.0,1.94,1.94,1.94,1.94
06/12/10,1763030.0,1.92,2.1,2.11,1.92
07/12/10,191100.0,2.11,2.0,2.11,2.0
16/12/10,253960.0,1.87,1.89,1.89,1.85
22/12/10,1018790.0,2.04,2.03,2.04,1.98
23/12/10,722240.0,2.02,2.05,2.1,2.02
29/12/10,198780.0,1.9,2.04,2.07,1.9
29/12/10,198780.0,1.9,2.04,2.07,1.9
03/01/11,2110.0,2.11,2.11,2.11,2.11
03/01/11,2110.0,2.11,2.11,2.11,2.11
03/01/11,2110.0,2.11,2.11,2.11,2.11
04/01/11,142800.0,2.04,2.04,2.04,2.04
05/01/11,200000.0,2.0,2.0,2.0,2.0
06/01/11,721660.0,2.0,2.11,2.11,2.0
07/01/11,4180.0,2.09,2.09,2.09,2.09
10/01/11,89650.0,1.99,2.0,2.0,1.99
11/01/11,558520.0,2.0,1.98,2.0,1.96
11/01/11,558520.0,2.0,1.98,2.0,1.96
12/01/11,1882030.0,1.98,2.03,2.03,1.97
13/01/11,620360.0,2.0,2.0,2.04,2.0
14/01/11,777400.0,2.0,1.98,2.0,1.98
17/01/11,846920.0,2.0,2.0,2.05,1.97
18/01/11,390280.0,2.0,2.0,2.0,1.97
19/01/11,546630.0,1.97,1.97,1.97,1.95
19/01/11,546630.0,1.97,1.97,1.97,1.95
20/01/11,591680.0,1.94,1.95,1.95,1.92
20/01/11,591680.0,1.94,1.95,1.95,1.92
24/01/11,1192000.0,1.93,1.9,1.93,1.9
25/01/11,61100.0,1.9,1.93,1.93,1.9
26/01/11,773610.0,1.91,1.88,1.91,1.87
27/01/11,668000.0,1.9,1.92,1.92,1.88
28/01/11,2791400.0,1.88,1.85,1.88,1.01
28/01/11,2791400.0,1.88,1.85,1.88,1.01
31/01/11,231400.0,1.78,1.78,1.78,1.78
31/01/11,231400.0,1.78,1.78,1.78,1.78
01/02/11,290010.0,1.76,1.74,1.76,1.74
01/02/11,290010.0,1.76,1.74,1.76,1.74
02/02/11,97120.0,1.8,1.78,1.8,1.78
03/02/11,301920.0,1.82,1.78,1.82,1.78
14/02/11,61510.0,1.73,1.8,1.8,1.73
17/02/11,421750.0,1.75,1.75,1.75,1.75
18/02/11,456450.0,1.79,1.79,1.79,1.79
21/02/11,1245790.0,1.78,1.81,1.83,1.78
21/02/11,1245790.0,1.78,1.81,1.83,1.78
22/02/11,679600.0,1.8,1.77,1.8,1.77
22/02/11,679600.0,1.8,1.77,1.8,1.77
23/02/11,275220.0,1.74,1.72,1.74,1.72
23/02/11,275220.0,1.74,1.72,1.74,1.72
24/02/11,172040.0,1.74,1.72,1.74,1.72
24/02/11,172040.0,1.74,1.72,1.74,1.72
25/02/11,88970.0,1.72,1.71,1.72,1.71
28/02/11,167580.0,1.71,1.71,1.71,1.71
02/03/11,11980.0,1.72,1.71,1.72,1.71
03/03/11,75240.0,1.71,1.71,1.71,1.71
04/03/11,593700.0,1.72,1.68,1.72,1.68
04/03/11,593700.0,1.72,1.68,1.72,1.68
07/03/11,70560.0,1.68,1.68,1.68,1.68
08/03/11,55110.0,1.67,1.67,1.67,1.67
08/03/11,55110.0,1.67,1.67,1.67,1.67
11/03/11,345840.0,1.67,1.64,1.67,1.64
11/03/11,345840.0,1.67,1.64,1.67,1.64
16/03/11,36300.0,1.65,1.65,1.65,1.65
17/03/11,322500.0,1.62,1.6,1.62,1.6
18/03/11,13200.0,1.65,1.65,1.65,1.65
21/03/11,48600.0,1.62,1.62,1.62,1.62
22/03/11,616980.0,1.61,1.6,1.61,1.58
23/03/11,153540.0,1.58,1.6,1.6,1.57
24/03/11,320600.0,1.6,1.59,1.6,1.59
28/03/11,674220.0,1.64,1.9,2.0,1.64
29/03/11,1012430.0,1.93,1.86,1.93,1.85
30/03/11,254420.0,1.85,1.84,1.85,1.84
31/03/11,258400.0,1.84,1.85,1.85,1.8
01/04/11,692400.0,1.85,1.87,1.89,1.85
04/04/11,1512020.0,1.91,1.89,1.92,1.88
05/04/11,315080.0,1.9,1.9,1.9,1.88
06/04/11,1178000.0,1.9,1.9,1.9,1.9
07/04/11,1379300.0,1.9,1.8,1.92,1.8
08/04/11,36800.0,1.84,1.84,1.84,1.84
13/04/11,200590.0,1.77,1.74,1.77,1.7
15/04/11,3600.0,1.8,1.8,1.8,1.8
26/04/11,178230.0,1.8,1.83,1.83,1.8
27/04/11,453400.0,1.8,1.79,1.8,1.79
28/04/11,33470.0,1.77,1.76,1.77,1.76
29/04/11,285620.0,1.76,1.76,1.77,1.76
02/05/11,1800.0,1.8,1.8,1.8,1.8
03/05/11,132590.0,1.72,1.72,1.8,1.72
05/05/11,311400.0,1.73,1.73,1.73,1.73
06/05/11,427310.0,1.73,1.73,1.73,1.73
09/05/11,3269650.0,1.73,1.7,1.73,1.69
10/05/11,459000.0,1.7,1.7,1.7,1.7
11/05/11,1536900.0,1.7,1.7,1.84,1.7
12/05/11,944400.0,1.7,1.72,1.8,1.7
13/05/11,378760.0,1.73,1.74,1.76,1.73
16/05/11,1306960.0,1.78,1.82,1.9,1.78
17/05/11,521720.0,1.88,1.84,1.9,1.8
18/05/11,196990.0,1.76,1.82,1.82,1.75
19/05/11,497820.0,1.82,1.82,1.84,1.78
20/05/11,1130540.0,1.82,1.89,1.9,1.82
23/05/11,820910.0,1.91,1.88,1.91,1.83
24/05/11,374720.0,1.86,1.83,1.86,1.78
25/05/11,1506350.0,1.83,1.74,1.83,1.74
26/05/11,730870.0,1.81,1.72,1.81,1.72
27/05/11,320000.0,1.75,1.8,1.8,1.75
30/05/11,997940.0,1.75,1.77,1.78,1.74
31/05/11,212500.0,1.78,1.77,1.78,1.77
01/06/11,432260.0,1.77,1.74,1.77,1.74
03/06/11,176000.0,1.76,1.76,1.76,1.76
06/06/11,102770.0,1.76,1.75,1.76,1.73
08/06/11,95040.0,1.76,1.76,1.76,1.76
09/06/11,87000.0,1.74,1.74,1.74,1.74
10/06/11,139200.0,1.74,1.74,1.74,1.74
13/06/11,237920.0,1.72,1.71,1.72,1.67
14/06/11,340000.0,1.7,1.7,1.7,1.7
15/06/11,203400.0,1.72,1.69,1.72,1.69
16/06/11,51300.0,1.71,1.71,1.71,1.71
17/06/11,94600.0,1.72,1.72,1.72,1.72
21/06/11,593640.0,1.79,1.8,1.8,1.79
22/06/11,6585600.0,1.8,1.86,1.93,1.8
23/06/11,19864020.0,1.91,2.08,2.09,1.86
24/06/11,152681070.0,2.3,2.87,2.9,2.3
27/06/11,110994280.0,2.65,2.49,2.67,2.48
28/06/11,91132900.0,2.45,2.5,2.62,2.4
29/06/11,77792830.0,2.58,2.6,2.65,2.53
30/06/11,32699030.0,2.57,2.61,2.64,2.56
01/07/11,66349830.0,2.63,2.68,2.74,2.62
04/07/11,57852890.0,2.78,2.71,2.8,2.71
05/07/11,26868780.0,2.72,2.63,2.74,2.63
06/07/11,6333350.0,2.6,2.64,2.66,2.6
07/07/11,21218580.0,2.66,2.7,2.78,2.62
08/07/11,17731420.0,2.76,2.73,2.76,2.73
11/07/11,64199650.0,2.74,2.78,2.87,2.74
12/07/11,17000530.0,2.78,2.73,2.8,2.7
13/07/11,6264070.0,2.75,2.75,2.79,2.74
14/07/11,6939300.0,2.73,2.73,2.8,2.73
15/07/11,9417130.0,2.7,2.71,2.75,2.7
18/07/11,4454430.0,2.72,2.7,2.72,2.7
19/07/11,15307280.0,2.7,2.75,2.86,2.68
20/07/11,27634120.0,2.8,2.8,2.97,2.78
21/07/11,8003080.0,2.86,2.76,2.86,2.72
22/07/11,19259840.0,2.78,2.69,2.78,2.69
25/07/11,4755160.0,2.69,2.67,2.69,2.67
26/07/11,6592520.0,2.67,2.65,2.69,2.65
27/07/11,9363680.0,2.7,2.69,2.74,2.66
28/07/11,3740890.0,2.66,2.67,2.67,2.66
29/07/11,1499210.0,2.66,2.66,2.67,2.66
01/08/11,4793620.0,2.7,2.7,2.7,2.66
02/08/11,30848120.0,2.7,2.67,2.7,2.67
03/08/11,9522190.0,2.65,2.59,2.65,2.58
04/08/11,1883440.0,2.59,2.59,2.62,2.58
05/08/11,7366500.0,2.56,2.53,2.56,2.48
08/08/11,1965550.0,2.5,2.45,2.51,2.45
09/08/11,6595760.0,2.4,2.27,2.4,2.26
10/08/11,2476160.0,2.31,2.32,2.36,2.31
11/08/11,3903050.0,2.26,2.3,2.43,2.11
12/08/11,136740.0,2.4,2.4,2.4,2.39
15/08/11,2318060.0,2.4,2.4,2.4,2.34
16/08/11,972000.0,2.4,2.4,2.4,2.4
17/08/11,1040060.0,2.38,2.38,2.38,2.38
18/08/11,1200360.0,2.36,2.4,2.4,2.36
19/08/11,1867500.0,2.34,2.3,2.36,2.3
22/08/11,69000.0,2.3,2.3,2.3,2.3
23/08/11,441680.0,2.3,2.28,2.33,2.28
24/08/11,1707400.0,2.31,2.3,2.31,2.21
25/08/11,41486820.0,2.34,2.3,2.4,2.3
26/08/11,1280270.0,2.22,2.26,2.28,2.21
31/08/11,682880.0,2.26,2.24,2.27,2.24
01/09/11,162920.0,2.22,2.24,2.24,2.22
02/09/11,940000.0,2.35,2.35,2.35,2.35
05/09/11,102000.0,2.35,2.3,2.35,2.28
06/09/11,821820.0,2.25,2.18,2.25,2.15
07/09/11,1067040.0,2.18,2.2,2.3,2.18
08/09/11,895590.0,2.18,2.27,2.3,2.18
09/09/11,583800.0,2.3,2.38,2.38,2.3
12/09/11,904210.0,2.38,2.4,2.4,2.3
13/09/11,2188870.0,2.27,2.39,2.4,2.26
15/09/11,538550.0,2.3,2.29,2.3,2.29
16/09/11,657230.0,2.29,2.29,2.29,2.29
19/09/11,281680.0,2.39,2.3,2.39,2.3
20/09/11,557800.0,2.28,2.22,2.28,2.2
22/09/11,573900.0,2.25,2.15,2.25,2.15
23/09/11,652880.0,2.1,2.08,2.1,1.98
26/09/11,175900.0,2.07,2.0,2.07,1.88
28/09/11,135110.0,1.99,2.0,2.0,1.85
29/09/11,1739410.0,2.0,1.98,2.0,1.87
03/10/11,19000.0,1.9,1.9,1.9,1.9
04/10/11,228000.0,1.9,1.9,1.9,1.9
05/10/11,94000.0,1.88,1.88,1.88,1.88
06/10/11,832680.0,1.96,1.8,1.96,1.8
07/10/11,1850060.0,2.24,2.18,2.24,1.98
11/10/11,49450.0,2.15,2.15,2.15,2.15
12/10/11,668520.0,2.15,2.16,2.16,2.15
13/10/11,609000.0,2.1,2.1,2.1,2.1
14/10/11,395550.0,2.1,2.18,2.6,2.1
17/10/11,195500.0,2.18,2.16,2.18,2.16
19/10/11,115500.0,2.1,2.1,2.1,2.1
20/10/11,442750.0,2.03,2.0,2.03,2.0
21/10/11,41840.0,2.1,2.1,2.1,2.08
24/10/11,97000.0,2.15,2.0,2.15,2.0
25/10/11,21500.0,2.15,2.15,2.15,2.15
26/10/11,357600.0,2.1,2.14,2.14,2.1
27/10/11,320800.0,2.14,2.05,2.14,2.05
28/10/11,3191020.0,2.1,2.15,2.22,2.1
04/11/11,1265150.0,2.05,2.09,2.11,2.0
08/11/11,322510.0,2.1,2.09,2.1,2.09
09/11/11,39710.0,2.09,2.09,2.09,2.09
10/11/11,209750.0,2.09,2.09,2.14,2.09
11/11/11,174970.0,2.15,2.14,2.15,2.11
14/11/11,105350.0,2.15,2.15,2.15,2.15
15/11/11,19260.0,2.14,2.14,2.14,2.14
16/11/11,108270.0,2.13,2.17,2.17,2.12
17/11/11,284340.0,2.11,2.1,2.18,2.1
18/11/11,79650.0,2.1,2.1,2.1,2.05
21/11/11,4037000.0,2.08,2.0,2.08,1.99
22/11/11,16250.0,2.0,2.05,2.05,2.0
23/11/11,44050.0,2.1,2.05,2.1,2.05
24/11/11,10000.0,2.0,2.0,2.0,2.0
25/11/11,550200.0,2.0,2.0,2.01,2.0
28/11/11,116000.0,2.0,2.0,2.0,2.0
29/11/11,190600.0,2.06,2.0,2.06,2.0
01/12/11,434590.0,2.08,2.08,2.08,2.07
02/12/11,448600.0,2.02,2.01,2.02,1.93
05/12/11,46000.0,2.0,2.0,2.0,2.0
06/12/11,22060.0,2.01,2.0,2.01,2.0
07/12/11,419840.0,1.95,2.0,2.07,1.92
08/12/11,333950.0,1.96,1.95,1.96,1.95
09/12/11,198880.0,1.95,1.95,1.95,1.94
12/12/11,9700.0,1.94,1.94,1.94,1.94
15/12/11,338740.0,1.94,1.92,1.94,1.92
16/12/11,682800.0,1.92,1.92,1.93,1.92
19/12/11,404010.0,1.92,1.91,1.92,1.91
23/12/11,15360.0,1.92,1.92,1.92,1.92
26/12/11,1920.0,1.92,1.92,1.92,1.92
27/12/11,415720.0,1.92,1.93,1.93,1.92
28/12/11,327170.0,1.92,1.91,1.92,1.91
29/12/11,411370.0,1.91,1.92,1.92,1.91
02/01/12,198240.0,1.91,1.91,1.91,1.9
03/01/12,535600.0,1.91,1.92,1.92,1.91
04/01/12,519020.0,1.94,1.95,1.95,1.92
05/01/12,369400.0,1.94,1.96,1.96,1.94
06/01/12,585000.0,1.95,1.95,1.95,1.95
09/01/12,1088900.0,1.94,2.02,2.02,1.94
10/01/12,448780.0,2.04,2.02,2.08,2.02
11/01/12,1130080.0,2.02,2.12,2.14,2.02
12/01/12,63000.0,2.1,2.1,2.1,2.1
13/01/12,304990.0,2.1,2.07,2.1,2.07
16/01/12,182700.0,2.03,2.03,2.03,2.03
17/01/12,369200.0,2.03,2.05,2.08,2.03
18/01/12,405600.0,2.08,2.08,2.08,2.08
19/01/12,217530.0,2.08,2.1,2.1,2.08
20/01/12,1368170.0,2.1,2.15,2.15,2.09
24/01/12,339150.0,2.15,2.11,2.15,2.1
25/01/12,654500.0,2.1,2.17,2.17,2.1
26/01/12,1764920.0,2.17,2.17,2.18,2.08
27/01/12,319500.0,2.15,2.11,2.15,2.11
30/01/12,192110.0,2.11,2.11,2.16,2.11
31/01/12,465690.0,2.11,2.1,2.11,2.1
01/02/12,240590.0,2.11,2.12,2.12,2.11
02/02/12,468480.0,2.09,2.13,2.13,2.09
03/02/12,1021810.0,2.13,2.14,2.14,2.0
06/02/12,267240.0,2.1,2.08,2.12,2.08
07/02/12,86140.0,2.14,2.1,2.14,2.1
08/02/12,121800.0,2.1,2.1,2.1,2.1
09/02/12,172180.0,2.08,2.06,2.08,2.06
10/02/12,257740.0,2.06,2.14,2.14,2.04
13/02/12,2140.0,2.14,2.14,2.14,2.14
14/02/12,1577560.0,2.05,2.0,2.05,2.0
15/02/12,342000.0,2.0,2.0,2.0,2.0
16/02/12,1221080.0,2.0,2.0,2.0,1.98
17/02/12,1684230.0,2.12,2.1,2.12,2.0
20/02/12,464240.0,2.15,2.1,2.16,2.1
21/02/12,668840.0,2.1,2.12,2.12,2.1
22/02/12,7042700.0,2.12,2.24,2.26,2.1
23/02/12,1298370.0,2.23,2.18,2.24,2.1
24/02/12,1907590.0,2.1,2.1,2.12,1.97
27/02/12,112360.0,2.09,2.08,2.09,2.08
