Date,Value,Open,Close,High,Low
04/08/09,178000.0,3.0,2.9,3.0,2.9
06/08/09,319050.0,2.95,3.0,3.0,2.95
07/08/09,700500.0,3.0,3.1,3.15,3.0
10/08/09,643700.0,3.2,3.3,3.3,3.2
11/08/09,772900.0,3.3,3.3,3.35,3.3
12/08/09,104300.0,3.3,3.2,3.3,3.2
13/08/09,327450.0,3.35,3.2,3.35,3.2
14/08/09,115550.0,3.2,3.15,3.2,3.1
18/08/09,205400.0,3.0,2.9,3.0,2.9
19/08/09,68550.0,2.95,3.1,3.1,2.9
20/08/09,352800.0,3.2,2.9,3.2,2.9
24/08/09,418000.0,3.1,3.0,3.1,3.0
25/08/09,391700.0,3.05,3.05,3.1,3.05
26/08/09,27050.0,3.05,3.05,3.1,2.9
03/09/09,617300.0,3.0,2.9,3.0,2.9
04/09/09,372150.0,3.0,3.05,3.05,3.0
16/09/09,105750.0,3.25,3.2,3.25,3.2
17/09/09,227100.0,3.3,3.4,3.4,3.3
18/09/09,14407650.0,3.35,3.8,3.85,3.3
22/09/09,2783300.0,3.7,3.3,3.7,3.2
23/09/09,978150.0,3.3,3.25,3.3,3.2
30/09/09,225900.0,2.6,2.9,2.9,2.6
01/10/09,255200.0,2.9,2.9,2.9,2.9
02/10/09,833600.0,2.7,2.7,2.85,2.7
05/10/09,317750.0,2.75,2.75,2.8,2.75
06/10/09,186800.0,2.95,3.0,3.0,2.8
07/10/09,525100.0,3.15,3.1,3.2,3.0
08/10/09,503300.0,3.1,3.1,3.1,3.0
09/10/09,502700.0,3.0,3.15,3.15,3.0
12/10/09,1505200.0,3.1,3.0,3.1,3.0
13/10/09,60000.0,3.0,3.0,3.0,3.0
14/10/09,40950.0,3.2,3.05,3.2,3.05
15/10/09,3050.0,3.05,3.05,3.05,3.05
16/10/09,45750.0,3.05,3.05,3.05,3.05
19/10/09,27050.0,2.95,3.0,3.05,2.95
20/10/09,300000.0,3.0,3.0,3.0,3.0
21/10/09,66000.0,3.0,3.0,3.0,3.0
22/10/09,15000.0,3.0,3.0,3.0,3.0
23/10/09,249250.0,3.15,3.05,3.2,3.05
26/10/09,155000.0,3.1,3.1,3.1,3.1
27/10/09,300000.0,3.0,3.0,3.0,3.0
28/10/09,722150.0,3.0,3.05,3.05,3.0
29/10/09,1102350.0,2.9,2.9,2.95,2.9
30/10/09,905800.0,3.05,2.95,3.05,2.95
03/11/09,306800.0,2.95,2.95,2.95,2.95
04/11/09,1440000.0,3.1,3.15,3.4,3.1
05/11/09,429000.0,3.1,3.05,3.1,3.0
06/11/09,372000.0,3.0,3.0,3.0,3.0
09/11/09,1319550.0,3.0,3.2,3.2,3.0
10/11/09,1740350.0,3.3,3.2,3.3,3.1
11/11/09,1402950.0,3.2,3.3,3.4,3.2
15/12/09,2800.0,2.8,2.8,2.8,2.8
16/12/09,14250.0,2.85,2.85,2.85,2.85
17/12/09,105500.0,2.9,2.95,2.95,2.9
18/12/09,61600.0,2.8,2.8,2.8,2.8
21/12/09,56000.0,2.8,2.8,2.8,2.8
22/12/09,436000.0,2.9,3.0,3.0,2.9
23/12/09,60300.0,3.0,2.85,3.0,2.85
04/01/10,2850.0,2.85,2.85,2.85,2.85
05/01/10,357850.0,2.8,2.8,2.8,2.75
06/01/10,27500.0,2.75,2.75,2.75,2.75
08/01/10,561000.0,2.75,2.75,2.75,2.75
11/01/10,85250.0,2.75,2.75,2.75,2.75
