Date,Value,Open,Close,High,Low
18/10/12,58737970.0,2.5,2.7,4.5,2.4
19/10/12,13977370.0,2.95,2.55,2.95,2.01
22/10/12,3080920.0,2.54,2.27,2.54,2.22
23/10/12,2788530.0,2.28,2.25,2.3,2.2
24/10/12,2514930.0,2.25,2.23,2.38,2.1
25/10/12,864380.0,2.24,2.11,2.3,2.11
29/10/12,750760.0,2.11,2.05,2.19,2.05
30/10/12,2303770.0,2.1,2.0,2.23,1.88
31/10/12,369150.0,1.92,2.0,2.0,1.9
05/11/12,459670.0,2.0,1.85,2.0,1.85
06/11/12,512620.0,1.85,1.76,1.85,1.75
07/11/12,1249560.0,1.74,1.63,1.74,1.4
08/11/12,324100.0,1.53,1.43,1.59,1.43
09/11/12,232280.0,1.4,1.39,1.41,1.38
12/11/12,81700.0,1.39,1.34,1.39,1.34
13/11/12,610610.0,1.26,1.27,1.34,1.23
14/11/12,492830.0,1.28,1.21,1.3,1.21
15/11/12,228520.0,1.21,1.22,1.25,1.21
16/11/12,198910.0,1.21,1.19,1.21,1.18
19/11/12,394860.0,1.18,1.15,1.18,1.14
20/11/12,212060.0,1.16,1.16,1.21,1.16
21/11/12,30280.0,1.18,1.16,1.18,1.16
22/11/12,5840.0,1.16,1.2,1.2,1.16
23/11/12,157950.0,1.16,1.16,1.22,1.16
26/11/12,12680.0,1.15,1.15,1.17,1.15
27/11/12,48099.99999999999,1.15,1.14,1.15,1.14
28/11/12,188940.0,1.15,1.2,1.21,1.15
29/11/12,40650.0,1.2,1.26,1.26,1.2
03/12/12,6180.0,1.22,1.22,1.26,1.22
04/12/12,206070.0,1.25,1.22,1.26,1.2
05/12/12,128560.0,1.2,1.18,1.2,1.18
06/12/12,3540.0,1.18,1.18,1.18,1.18
07/12/12,139620.0,1.18,1.18,1.18,1.17
10/12/12,58240.0,1.18,1.16,1.18,1.16
11/12/12,57080.0,1.16,1.16,1.17,1.16
12/12/12,12930.0,1.16,1.19,1.19,1.16
13/12/12,10753370.0,1.19,1.65,1.77,1.19
14/12/12,2355200.0,1.65,1.4,1.65,1.34
17/12/12,1006970.0,1.4,1.33,1.46,1.27
18/12/12,317690.0,1.21,1.29,1.42,1.21
19/12/12,322230.0,1.23,1.3,1.34,1.21
20/12/12,292170.0,1.3,1.35,1.46,1.3
21/12/12,50170.0,1.43,1.4,1.43,1.35
26/12/12,150970.0,1.34,1.3,1.36,1.3
27/12/12,145520.0,1.3,1.28,1.34,1.27
28/12/12,157660.0,1.31,1.25,1.31,1.25
02/01/13,171220.0,1.25,1.26,1.3,1.25
03/01/13,30750.0,1.26,1.31,1.31,1.26
04/01/13,214530.0,1.28,1.28,1.3,1.28
07/01/13,114210.0,1.27,1.26,1.3,1.26
08/01/13,230580.0,1.26,1.26,1.26,1.26
09/01/13,1089130.0,1.27,1.34,1.45,1.27
10/01/13,180170.0,1.34,1.37,1.37,1.3
11/01/13,83180.0,1.3,1.31,1.35,1.3
14/01/13,91090.0,1.31,1.3,1.31,1.3
15/01/13,224940.0,1.3,1.31,1.31,1.3
16/01/13,77640.0,1.34,1.28,1.34,1.28
17/01/13,81500.0,1.28,1.29,1.29,1.27
18/01/13,19050.0,1.27,1.27,1.27,1.27
21/01/13,80830.0,1.28,1.3,1.32,1.27
23/01/13,8980.0,1.28,1.3,1.3,1.28
24/01/13,42700.0,1.29,1.31,1.31,1.29
25/01/13,166120.0,1.29,1.31,1.32,1.29
28/01/13,39570.0,1.34,1.29,1.39,1.29
29/01/13,428650.0,1.29,1.32,1.35,1.29
30/01/13,2502840.0,1.33,1.5,1.6,1.33
31/01/13,1500270.0,1.48,1.35,1.5,1.35
01/02/13,132180.0,1.35,1.37,1.39,1.34
04/02/13,332370.0,1.44,1.41,1.44,1.36
05/02/13,109700.0,1.38,1.38,1.42,1.38
06/02/13,235240.0,1.4,1.4,1.45,1.39
07/02/13,250280.0,1.43,1.44,1.46,1.43
08/02/13,106660.0,1.44,1.43,1.45,1.43
11/02/13,33900.0,1.43,1.4,1.43,1.4
12/02/13,51430.0,1.39,1.38,1.4,1.38
13/02/13,72140.0,1.39,1.38,1.4,1.38
14/02/13,67390.0,1.37,1.38,1.49,1.37
15/02/13,561600.0,1.38,1.36,1.38,1.36
18/02/13,86410.0,1.35,1.36,1.36,1.35
19/02/13,142290.0,1.4,1.35,1.4,1.35
20/02/13,40500.0,1.35,1.35,1.35,1.35
21/02/13,56500.0,1.38,1.37,1.4,1.37
22/02/13,6780.0,1.34,1.39,1.39,1.34
25/02/13,180960.0,1.34,1.34,1.37,1.34
26/02/13,219270.0,1.34,1.32,1.34,1.32
27/02/13,55770.0,1.33,1.33,1.33,1.32
28/02/13,91240.0,1.33,1.32,1.33,1.32
01/03/13,46200.0,1.32,1.32,1.32,1.32
04/03/13,71180.0,1.32,1.33,1.33,1.31
05/03/13,60840.0,1.33,1.32,1.34,1.32
06/03/13,117850.0,1.32,1.34,1.34,1.31
07/03/13,14510.0,1.31,1.32,1.32,1.31
08/03/13,33000.0,1.32,1.32,1.32,1.32
11/03/13,50210.0,1.33,1.32,1.33,1.32
12/03/13,177390.0,1.32,1.32,1.32,1.31
14/03/13,259710.0,1.31,1.3,1.31,1.3
15/03/13,27300.0,1.3,1.3,1.3,1.3
18/03/13,33640.0,1.29,1.3,1.3,1.29
19/03/13,2580.0,1.29,1.29,1.29,1.29
20/03/13,30980.0,1.29,1.3,1.3,1.29
21/03/13,110940.0,1.29,1.29,1.29,1.29
22/03/13,80020.0,1.33,1.29,1.33,1.29
25/03/13,5160.0,1.29,1.29,1.29,1.29
27/03/13,14400.0,1.3,1.3,1.33,1.3
01/04/13,85800.0,1.3,1.3,1.3,1.3
03/04/13,19500.0,1.3,1.3,1.3,1.3
04/04/13,1771910.0,1.3,1.45,1.6,1.3
05/04/13,207890.0,1.53,1.48,1.53,1.42
08/04/13,242240.0,1.42,1.32,1.42,1.32
10/04/13,27350.0,1.45,1.35,1.45,1.35
11/04/13,685320.0,1.44,1.5,1.54,1.44
12/04/13,161260.0,1.54,1.45,1.54,1.43
15/04/13,72250.0,1.5,1.5,1.5,1.37
16/04/13,28210.0,1.4,1.48,1.48,1.4
17/04/13,87930.0,1.5,1.47,1.5,1.36
18/04/13,59840.0,1.36,1.4,1.46,1.36
19/04/13,293370.0,1.5,1.52,1.53,1.4
22/04/13,46030.0,1.49,1.51,1.51,1.42
23/04/13,16880.0,1.39,1.49,1.49,1.39
25/04/13,25019.999999999996,1.39,1.39,1.39,1.39
26/04/13,4480.0,1.5,1.49,1.5,1.49
29/04/13,47090.0,1.38,1.39,1.39,1.38
30/04/13,7080.0,1.48,1.41,1.48,1.39
02/05/13,14510.0,1.46,1.43,1.46,1.4
03/05/13,4280.0,1.48,1.4,1.48,1.4
06/05/13,60160.0,1.4,1.4,1.4,1.39
07/05/13,59430.0,1.4,1.39,1.4,1.38
08/05/13,26410.0,1.39,1.4,1.4,1.38
09/05/13,9840.0,1.42,1.4,1.42,1.4
10/05/13,26490.0,1.4,1.4,1.4,1.39
15/05/13,91050.0,1.39,1.38,1.39,1.37
16/05/13,50720.0,1.37,1.38,1.38,1.37
17/05/13,16320.000000000002,1.36,1.36,1.36,1.36
20/05/13,127840.00000000001,1.36,1.36,1.36,1.36
21/05/13,2740.0,1.37,1.37,1.37,1.37
22/05/13,28560.000000000004,1.36,1.36,1.36,1.36
23/05/13,23120.0,1.36,1.36,1.36,1.36
24/05/13,53040.0,1.36,1.36,1.36,1.36
27/05/13,60080.0,1.37,1.36,1.37,1.36
28/05/13,31650.0,1.36,1.44,1.44,1.35
30/05/13,12960.0,1.44,1.44,1.44,1.44
31/05/13,73470.0,1.35,1.33,1.35,1.33
05/06/13,12080.0,1.35,1.33,1.35,1.33
