Date,Value,Open,Close,High,Low
03/08/09,24000.0,0.48,0.48,0.48,0.48
10/08/09,301700.0,0.42,0.5,0.5,0.42
13/08/09,204000.0,0.49,0.43,0.49,0.35
20/08/09,12600.0,0.42,0.42,0.42,0.42
16/09/09,859900.0,0.36,0.38,0.43,0.36
17/09/09,161400.0,0.39,0.41,0.41,0.39
23/09/09,164500.0,0.36,0.37,0.37,0.36
30/09/09,32400.0,0.36,0.36,0.36,0.36
06/10/09,194500.0,0.37,0.41,0.41,0.37
08/10/09,41000.0,0.41,0.41,0.41,0.41
16/10/09,164900.0,0.41,0.45,0.45,0.41
23/10/09,197000.0,0.44,0.44,0.5,0.44
26/10/09,146100.0,0.46,0.48,0.48,0.45
27/10/09,182400.0,0.48,0.48,0.48,0.48
28/10/09,2348600.0,0.5,0.51,0.58,0.48
29/10/09,10000.0,0.5,0.5,0.5,0.5
30/10/09,73500.0,0.47,0.46,0.47,0.45
05/11/09,269800.0,0.47,0.49,0.49,0.47
06/11/09,29900.0,0.5,0.49,0.5,0.49
09/11/09,203800.0,0.49,0.5,0.5,0.48
10/11/09,203000.0,0.51,0.5,0.51,0.5
18/12/09,58500.0,0.45,0.45,0.45,0.45
21/12/09,5200.0,0.52,0.52,0.52,0.52
29/12/09,4200.0,0.42,0.42,0.42,0.42
04/01/10,12900.0,0.43,0.43,0.43,0.43
18/01/10,156900.0,0.41,0.39,0.41,0.39
19/01/10,246000.0,0.41,0.41,0.41,0.41
27/01/10,217400.0,0.37,0.36,0.37,0.36
28/01/10,179400.0,0.39,0.39,0.39,0.39
01/02/10,19500.0,0.39,0.39,0.39,0.39
02/02/10,38000.0,0.38,0.38,0.38,0.38
21/04/10,3500.0,0.35,0.35,0.35,0.35
30/04/10,11400.0,0.38,0.38,0.38,0.38
21/05/10,11400.0,0.38,0.38,0.38,0.38
03/06/10,706200.0,0.35,0.37,0.37,0.35
04/06/10,184000.0,0.37,0.37,0.37,0.36
07/06/10,544700.0,0.36,0.35,0.36,0.34
08/06/10,201300.0,0.33,0.33,0.33,0.33
10/06/10,36300.0,0.33,0.33,0.33,0.33
15/06/10,10200.0,0.34,0.34,0.34,0.34
16/06/10,164300.0,0.34,0.37,0.37,0.34
21/06/10,18000.0,0.36,0.36,0.36,0.36
22/06/10,71000.0,0.36,0.35,0.36,0.35
23/06/10,86500.0,0.34,0.36,0.37,0.34
01/07/10,41100.0,0.23,0.31,0.32,0.23
02/07/10,58000.0,0.29,0.29,0.29,0.29
07/07/10,33200.0,0.32,0.34,0.34,0.32
16/07/10,9600.0,0.32,0.32,0.32,0.32
20/07/10,35300.0,0.34,0.36,0.36,0.34
21/07/10,13800.0,0.36,0.34,0.36,0.34
22/07/10,22700.0,0.33,0.32,0.33,0.32
20/09/10,43500.0,0.435,0.435,0.435,0.435
21/09/10,191700.0,0.44,0.43,0.45,0.43
22/09/10,45500.0,0.41,0.45,0.45,0.41
23/09/10,88700.0,0.42,0.43,0.43,0.42
24/09/10,42000.0,0.42,0.42,0.42,0.42
27/09/10,240900.0,0.42,0.4,0.42,0.4
30/09/10,40000.0,0.4,0.4,0.4,0.4
04/10/10,40500.0,0.405,0.405,0.405,0.405
