Date,Value,Open,Close,High,Low
21/10/09,8000.0,0.2,0.2,0.2,0.2
23/10/09,2900.0,0.29,0.29,0.29,0.29
26/10/09,78600.0,0.29,0.42,0.43,0.29
27/10/09,88200.0,0.63,0.63,0.63,0.63
28/10/09,1526400.0,0.8,0.94,0.94,0.8
29/10/09,438400.0,0.82,0.78,0.91,0.6
30/10/09,236600.0,0.63,0.62,0.63,0.62
03/11/09,11300.0,0.7,0.43,0.7,0.43
04/11/09,12800.0,0.64,0.64,0.64,0.64
05/11/09,53400.0,0.65,0.68,0.69,0.64
06/11/09,35900.0,0.7,0.69,0.8,0.69
09/11/09,30000.0,0.6,0.6,0.6,0.6
10/11/09,41700.0,0.63,0.58,0.64,0.58
16/12/09,8000.0,0.4,0.4,0.4,0.4
17/12/09,36800.0,0.48,0.4,0.48,0.4
21/12/09,28000.0,0.4,0.4,0.4,0.4
22/12/09,4000.0,0.4,0.4,0.4,0.4
23/12/09,4000.0,0.4,0.4,0.4,0.4
04/01/10,5700.0,0.57,0.57,0.57,0.57
05/01/10,4600.0,0.46,0.46,0.46,0.46
07/01/10,78400.0,0.46,0.42,0.46,0.42
08/01/10,43200.0,0.48,0.48,0.48,0.48
11/01/10,5500.0,0.55,0.55,0.55,0.55
12/01/10,25000.0,0.5,0.5,0.5,0.5
26/01/10,14600.0,0.48,0.49,0.49,0.48
17/03/10,15500.0,0.31,0.31,0.31,0.31
20/04/10,14450.0,0.215,0.31,0.31,0.215
21/04/10,6200.0,0.31,0.31,0.31,0.31
14/05/10,3300.0,0.33,0.33,0.33,0.33
18/05/10,2500.0,0.25,0.25,0.25,0.25
20/05/10,4000.0,0.2,0.2,0.2,0.2
28/05/10,2000.0,0.2,0.2,0.2,0.2
03/06/10,8200.0,0.205,0.205,0.205,0.205
07/06/10,5800.0,0.29,0.29,0.29,0.29
09/06/10,19600.0,0.28,0.28,0.28,0.28
10/06/10,3900.0,0.39,0.39,0.39,0.39
15/06/10,4600.0,0.46,0.46,0.46,0.46
22/06/10,4800.0,0.48,0.48,0.48,0.48
23/06/10,27500.0,0.54,0.42,0.54,0.42
24/06/10,9700.0,0.45,0.52,0.52,0.45
22/07/10,35000.0,0.5,0.5,0.5,0.5
30/09/10,9600.0,0.6,0.6,0.6,0.6
04/10/10,29000.0,0.58,0.58,0.58,0.58
15/10/10,530.0,0.53,0.53,0.53,0.53
27/10/10,2160.0,0.54,0.54,0.54,0.54
22/12/10,540.0,0.27,0.27,0.27,0.27
29/12/10,2700.0,0.27,0.27,0.27,0.27
29/12/10,2700.0,0.27,0.27,0.27,0.27
12/01/11,7200.0,0.18,0.18,0.18,0.18
14/01/11,1850.0,0.185,0.185,0.185,0.185
20/01/11,4000.0,0.2,0.2,0.2,0.2
20/01/11,4000.0,0.2,0.2,0.2,0.2
27/01/11,9250.0,0.185,0.185,0.185,0.185
28/01/11,2750.0,0.275,0.275,0.275,0.275
28/01/11,2750.0,0.275,0.275,0.275,0.275
31/01/11,7600.0,0.38,0.38,0.38,0.38
31/01/11,7600.0,0.38,0.38,0.38,0.38
01/02/11,41200.0,0.38,0.56,0.56,0.38
