Date,Value,Open,Close,High,Low
17/05/13,2063976307.0,101.5,104.0,105.1,101.5
20/05/13,415796405.0,105.5,102.0,105.5,101.8
21/05/13,200491274.0,102.2,102.8,103.3,102.0
22/05/13,128477756.0,102.8,101.9,103.0,101.5
23/05/13,477838349.5,101.8,97.2,101.8,97.2
24/05/13,49218163.0,97.55,98.7,99.0,97.55
27/05/13,59207790.5,98.6,97.5,98.8,97.0
28/05/13,27869795.0,97.5,97.75,97.8,97.0
29/05/13,67192017.5,98.0,97.55,98.9,97.1
30/05/13,167017848.0,97.6,94.3,97.6,94.0
31/05/13,98568358.0,94.5,92.85,94.5,92.8
03/06/13,114165946.5,92.85,91.55,93.0,91.5
04/06/13,55466039.5,91.55,91.15,92.7,91.15
05/06/13,87332029.0,91.15,90.25,91.5,90.25
06/06/13,93177852.5,90.2,90.05,94.0,90.0
07/06/13,31482736.5,90.25,90.8,91.0,90.25
10/06/13,105784969.5,90.9,91.2,92.0,90.8
11/06/13,60940018.0,91.1,89.5,91.2,88.2
13/06/13,153933587.5,88.5,86.5,88.5,86.4
14/06/13,63507871.0,87.5,88.7,88.8,87.5
17/06/13,19142748.5,89.0,89.5,89.5,88.5
18/06/13,14928666.0,89.5,89.9,91.0,89.5
19/06/13,21413749.0,90.5,89.0,90.5,88.0
20/06/13,19613769.0,87.0,87.0,88.0,86.0
21/06/13,40835503.5,85.0,81.3,85.0,80.5
24/06/13,34559125.0,80.6,79.0,82.5,79.0
25/06/13,34512904.5,78.0,75.0,78.5,68.0
26/06/13,25618498.0,75.0,79.6,81.5,75.0
27/06/13,13701319.0,81.0,80.5,83.0,80.0
28/06/13,15411395.5,82.0,80.0,82.0,79.5
01/07/13,9711145.0,80.0,79.95,81.0,79.0
02/07/13,69628683.5,79.95,79.95,84.0,79.95
03/07/13,15075749.5,79.95,79.95,80.1,79.85
04/07/13,7582614.5,79.9,79.65,79.9,79.65
05/07/13,7036307.5,79.0,79.0,79.75,79.0
08/07/13,13705851.0,79.1,77.0,79.1,76.0
