Date,Value,Open,Close,High,Low
22/06/11,31099460.0,11.0,15.02,17.0,11.0
23/06/11,1037236.0,15.0,11.2,15.0,10.0
24/06/11,695564.0,10.6,12.5,12.72,10.6
27/06/11,9554584.0,13.0,16.2,16.48,12.5
28/06/11,6393854.0,16.26,15.3,16.78,15.1
29/06/11,384676.0,15.9,15.38,15.9,15.12
30/06/11,2696046.0,15.4,16.0,16.2,15.0
01/07/11,65616.0,16.16,15.88,16.16,15.88
04/07/11,500004.0,16.1,15.5,16.12,15.5
05/07/11,210906.0,15.4,15.7,15.9,15.22
06/07/11,639536.0,15.7,15.5,15.9,15.26
07/07/11,1315204.0,15.7,15.4,15.8,15.24
08/07/11,223554.0,15.8,15.18,15.8,15.18
11/07/11,119746.0,15.5,15.1,15.5,15.1
12/07/11,644534.0,15.4,15.24,15.4,15.0
13/07/11,474208.0,15.28,15.08,15.28,15.0
14/07/11,1105498.0,15.18,15.28,15.3,15.1
15/07/11,10598104.0,15.6,16.32,16.48,15.3
18/07/11,4216102.0,16.4,17.5,17.5,16.4
19/07/11,3003578.0,16.98,17.52,17.98,16.76
20/07/11,9721502.0,17.8,19.2,19.5,17.5
21/07/11,12168888.0,19.9,21.9,22.65,19.28
22/07/11,22496220.0,22.7,23.5,23.75,21.95
25/07/11,13700025.0,23.7,21.5,23.7,20.8
26/07/11,12279255.0,22.0,21.65,23.75,21.6
27/07/11,18405155.0,22.9,26.8,28.0,22.0
28/07/11,13842605.0,27.35,28.5,29.2,25.65
29/07/11,29169725.0,29.3,28.8,29.85,28.25
01/08/11,16709360.0,29.7,30.3,31.0,28.8
02/08/11,20906950.0,31.1,32.7,32.95,30.3
03/08/11,25864475.0,32.65,34.75,34.95,32.2
04/08/11,19760005.0,35.0,37.0,37.5,34.55
05/08/11,24671020.0,36.0,37.0,37.5,34.65
08/08/11,9856310.0,37.25,36.45,37.7,36.05
09/08/11,20281570.0,35.15,33.1,35.85,30.5
10/08/11,16949560.0,36.0,35.85,36.1,34.0
11/08/11,27494145.0,34.75,39.05,40.3,34.0
12/08/11,43060630.0,40.4,43.85,45.0,40.3
15/08/11,37977290.0,47.0,47.85,49.0,44.5
16/08/11,30768795.0,48.5,47.5,49.45,46.7
17/08/11,22679755.0,48.6,46.9,49.0,46.8
18/08/11,53862080.0,46.6,49.1,50.0,46.5
19/08/11,9886410.0,48.05,48.0,48.5,47.85
22/08/11,26461000.0,48.0,50.5,51.4,48.0
23/08/11,36131495.0,51.0,50.45,53.4,50.45
24/08/11,42442498.5,51.1,48.35,51.95,48.1
25/08/11,23832070.0,49.5,44.5,49.5,42.05
26/08/11,11361350.0,43.5,42.8,44.5,42.0
31/08/11,18790795.0,44.0,40.05,44.0,40.05
01/09/11,22658335.0,40.8,31.5,40.8,30.05
02/09/11,32697360.0,29.5,30.55,32.1,25.95
05/09/11,14325725.0,29.1,27.0,31.0,26.9
06/09/11,13542305.0,27.4,22.5,27.4,22.5
07/09/11,20150180.0,21.8,19.9,23.0,19.9
08/09/11,33134695.0,21.1,29.85,29.85,20.05
09/09/11,55768505.0,32.0,33.9,35.2,29.85
12/09/11,16414885.0,34.5,29.2,34.55,29.0
