Date,Value,Open,Close,High,Low
03/08/09,371100.0,3.7,3.7,3.7,3.6
04/08/09,55500.0,3.7,3.7,3.7,3.7
06/08/09,11100.0,3.7,3.7,3.7,3.7
07/08/09,180000.0,3.6,3.6,3.6,3.6
11/08/09,183600.0,3.6,3.6,3.6,3.6
12/08/09,40800.0,3.4,3.4,3.4,3.4
14/08/09,1739300.0,3.75,3.8,3.9,3.75
18/08/09,18750.0,3.75,3.75,3.75,3.75
19/08/09,18750.0,3.75,3.75,3.75,3.75
24/08/09,374800.0,3.8,3.95,4.0,3.8
25/08/09,858000.0,3.9,3.9,3.9,3.9
17/09/09,92750.0,3.75,3.7,3.75,3.7
18/09/09,288350.0,3.65,3.65,3.65,3.65
06/10/09,48100.0,3.7,3.7,3.7,3.7
08/10/09,25900.0,3.7,3.7,3.7,3.7
09/10/09,329500.0,3.9,3.9,3.9,3.7
14/10/09,146250.0,3.75,3.75,3.75,3.75
19/10/09,37500.0,3.75,3.75,3.75,3.75
27/10/09,21600.0,3.6,3.6,3.6,3.6
28/10/09,3700.0,3.7,3.7,3.7,3.7
29/10/09,379600.0,3.65,3.65,3.65,3.65
30/10/09,225700.0,3.7,3.7,3.7,3.7
03/11/09,3800.0,3.8,3.8,3.8,3.8
04/11/09,76000.0,3.8,3.8,3.8,3.8
05/11/09,205900.0,3.85,3.8,3.85,3.8
06/11/09,652500.0,3.8,3.85,3.85,3.8
09/11/09,23100.0,3.85,3.85,3.85,3.85
10/11/09,462000.0,3.85,3.85,3.85,3.85
11/11/09,180950.0,3.85,3.85,3.85,3.85
16/12/09,387100.0,3.95,3.95,3.95,3.95
17/12/09,987500.0,3.95,3.95,3.95,3.95
18/12/09,335750.0,3.95,3.95,3.95,3.95
21/12/09,1021800.0,3.9,3.9,3.9,3.9
29/12/09,80000.0,4.0,4.0,4.0,4.0
07/01/10,4100.0,4.1,4.1,4.1,4.1
11/01/10,1308100.0,3.95,4.0,4.0,3.95
13/01/10,20000.0,4.0,4.0,4.0,4.0
18/01/10,760500.0,4.0,4.0,4.1,4.0
