Date,Value,Open,Close,High,Low
03/08/09,31403600.0,7.0,7.3,7.4,7.0
04/08/09,32416500.0,7.5,7.3,7.6,7.3
06/08/09,87731000.0,7.6,7.8,7.9,7.5
07/08/09,27188000.0,7.8,7.7,8.0,7.6
10/08/09,48810900.0,7.8,8.1,8.3,7.7
11/08/09,26025800.0,8.1,8.0,8.2,7.8
12/08/09,32249500.0,8.0,7.8,8.0,7.8
13/08/09,18759300.0,8.0,7.9,8.1,7.9
14/08/09,21134900.0,8.1,8.0,8.2,7.9
17/08/09,15601400.0,7.9,7.6,7.9,7.5
18/08/09,18561400.0,7.4,7.5,7.5,7.2
19/08/09,19314200.0,7.5,7.4,7.6,7.4
20/08/09,18290200.0,7.4,7.3,7.4,7.3
24/08/09,10556900.0,7.6,7.9,8.0,7.6
25/08/09,7668500.0,8.0,7.8,8.0,7.8
26/08/09,24566600.0,7.8,8.0,8.1,7.8
03/09/09,15987400.0,8.5,8.6,8.6,8.4
04/09/09,30528300.0,8.8,8.8,8.9,8.7
16/09/09,19515600.0,9.0,8.9,9.0,8.8
17/09/09,15029800.0,9.1,9.1,9.2,9.0
18/09/09,19569700.0,9.1,9.3,9.3,9.0
22/09/09,5016200.0,9.2,9.1,9.3,9.1
23/09/09,11015400.0,9.1,9.3,9.3,9.1
30/09/09,106822400.0,8.9,8.7,8.9,8.7
01/10/09,3610600.0,8.8,8.9,8.9,8.8
02/10/09,9246500.0,8.8,8.7,8.8,8.6
05/10/09,7926800.0,8.6,8.5,8.6,8.5
06/10/09,9268200.0,8.7,8.7,8.7,8.6
07/10/09,22918500.0,8.9,8.9,9.1,8.8
08/10/09,12099500.0,8.9,9.0,9.0,8.8
09/10/09,15688500.0,9.1,9.1,9.2,9.0
12/10/09,11485100.0,9.0,9.2,9.2,9.0
13/10/09,19359300.0,9.1,9.0,9.1,9.0
14/10/09,57635300.0,8.9,9.0,9.1,8.9
15/10/09,14448900.0,9.0,9.1,9.1,9.0
16/10/09,10055100.0,9.0,9.0,9.1,8.9
19/10/09,4292100.0,8.9,8.9,9.0,8.8
20/10/09,7009500.0,8.9,8.9,9.0,8.8
21/10/09,8136600.0,9.0,8.9,9.0,8.8
22/10/09,12522600.0,8.9,8.9,9.0,8.9
23/10/09,4852800.0,8.9,8.9,9.0,8.9
26/10/09,24072400.0,8.9,9.1,9.2,8.9
27/10/09,13206300.0,9.0,8.8,9.0,8.8
28/10/09,9074100.0,8.9,8.9,9.0,8.8
29/10/09,7207300.0,8.9,8.8,8.9,8.7
30/10/09,15897500.0,8.9,8.9,9.0,8.8
03/11/09,12899700.0,8.8,8.7,8.9,8.7
04/11/09,6479300.0,8.8,8.8,8.8,8.7
05/11/09,17994500.0,8.7,8.7,8.7,8.6
06/11/09,5457900.0,8.7,8.7,8.8,8.6
09/11/09,54639500.0,8.7,9.9,10.0,8.7
10/11/09,67805200.0,10.25,10.0,10.5,9.8
11/11/09,26367700.0,10.0,9.7,10.0,9.5
15/12/09,12896200.0,9.1,9.2,9.2,9.0
16/12/09,7476000.0,9.0,9.0,9.1,9.0
17/12/09,6061900.0,9.1,9.1,9.2,9.1
18/12/09,44146800.0,9.1,9.2,9.3,9.1
21/12/09,6020000.0,9.2,9.1,9.2,9.1
22/12/09,3656000.0,9.1,9.1,9.1,9.0
23/12/09,6268100.0,8.9,9.1,9.1,8.9
29/12/09,5177200.0,9.1,9.1,9.2,9.0
04/01/10,21451500.0,9.2,9.4,9.6,9.2
05/01/10,144338750.0,9.5,10.25,10.75,9.5
06/01/10,29040225.0,10.75,10.5,10.75,10.25
07/01/10,61171450.0,10.5,10.75,11.0,10.5
08/01/10,77878500.0,10.75,11.25,11.25,10.75
11/01/10,233878525.0,11.25,12.5,12.75,11.0
12/01/10,120543000.0,12.75,12.5,13.0,12.5
13/01/10,40524925.0,12.25,12.0,12.25,11.75
14/01/10,37743675.0,12.0,11.5,12.0,11.25
15/01/10,35208000.0,11.5,12.0,12.0,11.5
18/01/10,27380825.0,12.0,12.0,12.5,12.0
