Date,Value,Open,Close,High,Low
04/09/09,1920.0,1.92,1.92,1.92,1.92
02/10/09,59850.0,2.85,2.85,2.85,2.85
09/10/09,378250.0,4.25,4.25,4.25,4.25
13/10/09,6300.0,6.3,6.3,6.3,6.3
14/10/09,56400.0,9.4,9.4,9.4,9.4
15/10/09,98000.0,14.0,14.0,14.0,14.0
16/10/09,390950.0,14.0,21.0,21.0,9.5
19/10/09,537600.0,31.0,31.5,31.5,27.0
20/10/09,6081800.0,47.0,47.0,47.0,47.0
21/10/09,2455450.0,62.0,49.0,62.0,35.0
22/10/09,3541800.0,42.0,58.0,58.0,42.0
23/10/09,3368400.0,58.0,53.0,58.5,51.0
26/10/09,973900.0,51.5,46.5,51.5,46.5
27/10/09,1349650.0,46.0,38.5,46.0,37.5
28/10/09,603850.0,38.0,45.0,47.0,38.0
29/10/09,1027800.0,45.0,43.5,51.0,43.5
30/10/09,951700.0,45.0,41.5,49.5,41.5
03/11/09,658150.0,41.0,37.5,42.5,37.5
04/11/09,278250.0,38.0,39.0,39.0,37.0
05/11/09,204700.0,39.0,38.5,39.0,38.0
06/11/09,235950.0,39.0,41.0,42.0,39.0
09/11/09,97500.0,42.0,40.5,42.0,40.0
10/11/09,224700.0,41.0,40.5,41.5,39.5
11/11/09,50800.0,39.0,38.0,40.0,38.0
15/12/09,8615540.0,113.0,103.0,122.0,94.0
16/12/09,3393210.0,94.0,101.0,110.0,93.5
17/12/09,1061025.0,92.5,97.5,101.0,92.5
18/12/09,1573850.0,99.0,100.0,104.0,98.0
21/12/09,636600.0,102.0,100.0,103.0,98.5
22/12/09,790300.0,100.0,99.5,102.0,99.5
23/12/09,2731600.0,100.0,100.0,105.0,100.0
29/12/09,232500.0,100.0,101.0,105.0,99.0
04/01/10,1060345.0,97.0,100.0,100.0,95.0
05/01/10,1932350.0,100.0,100.0,100.0,95.0
06/01/10,2774250.0,99.5,99.5,99.5,95.0
07/01/10,2384950.0,97.5,100.0,100.0,96.0
08/01/10,2039350.0,97.0,98.0,99.5,96.0
11/01/10,2059700.0,95.5,96.0,97.0,94.0
12/01/10,1972400.0,95.0,96.5,97.5,94.0
13/01/10,1035250.0,98.0,94.0,98.0,92.0
14/01/10,856650.0,91.5,91.5,92.5,89.5
15/01/10,1625200.0,92.0,91.0,92.0,88.0
18/01/10,6436150.0,90.5,100.0,100.0,89.0
19/01/10,816700.0,100.0,99.5,100.0,97.5
20/01/10,1592150.0,99.5,99.5,100.0,96.0
21/01/10,1384350.0,99.5,100.0,100.0,97.0
22/01/10,271700.0,98.0,97.5,98.0,96.5
25/01/10,559900.0,97.5,97.5,97.5,94.5
26/01/10,307150.0,97.5,96.0,97.5,94.0
27/01/10,520850.0,97.0,97.0,97.0,92.0
28/01/10,422550.0,97.0,97.0,97.0,92.0
29/01/10,48500.0,97.0,97.0,97.0,97.0
01/02/10,400750.0,97.0,95.5,97.0,93.0
02/02/10,614050.0,95.5,96.0,97.0,92.5
03/02/10,1911250.0,95.0,97.0,97.0,95.0
04/02/10,1827000.0,96.0,95.5,96.5,92.0
05/02/10,239650.0,92.0,91.0,95.0,91.0
08/02/10,293400.0,94.5,95.0,95.0,94.0
09/02/10,688750.0,94.0,93.0,95.0,90.0
10/02/10,3822450.0,92.0,94.0,94.0,89.0
11/02/10,787400.0,93.5,94.0,94.0,93.0
08/03/10,13122750.0,80.5,75.0,80.5,69.5
12/03/10,5280500.0,64.5,61.0,66.0,59.5
15/03/10,4324900.0,59.0,50.0,61.0,47.0
16/03/10,4963300.0,45.0,50.0,52.0,45.0
17/03/10,1981400.0,49.5,50.0,50.0,48.0
31/03/10,1438400.0,50.0,50.0,50.0,48.0
20/04/10,537750.0,52.0,51.5,52.0,51.0
21/04/10,1271650.0,51.5,51.5,51.5,51.0
22/04/10,1051150.0,51.5,51.0,51.5,51.0
23/04/10,228500.0,51.0,51.0,51.0,50.5
29/04/10,282850.0,50.5,50.0,50.5,48.5
30/04/10,348350.0,49.5,50.0,50.0,49.5
04/05/10,49700.0,50.0,50.0,50.0,49.0
05/05/10,106650.0,50.0,49.0,50.0,48.0
13/05/10,665300.0,50.0,49.5,50.0,49.5
14/05/10,122600.0,49.5,49.0,49.5,49.0
17/05/10,1106000.0,49.0,49.0,49.5,48.5
18/05/10,303350.0,49.0,48.0,49.0,48.0
19/05/10,739900.0,48.0,48.5,49.0,48.0
20/05/10,168150.0,48.5,48.5,48.5,48.0
21/05/10,538400.0,48.5,48.5,48.5,48.0
24/05/10,58000.0,48.5,48.5,48.5,48.0
25/05/10,62200.0,47.5,47.5,48.5,47.5
26/05/10,1057250.0,47.5,47.5,48.5,47.5
27/05/10,19000.0,47.5,47.5,47.5,47.5
28/05/10,784250.0,47.5,47.5,48.0,47.0
31/05/10,309500.0,47.5,47.5,48.0,47.5
01/06/10,66100.0,47.5,47.5,47.5,47.0
02/06/10,219350.0,47.5,47.5,47.5,46.0
03/06/10,317550.0,47.5,47.5,47.5,47.0
04/06/10,897050.0,47.5,48.0,48.0,47.0
07/06/10,4800.0,48.0,48.0,48.0,48.0
08/06/10,476600.0,48.0,47.0,48.0,47.0
09/06/10,530600.0,47.0,47.0,47.0,46.0
10/06/10,56150.0,47.0,47.0,47.0,46.5
11/06/10,84000.0,47.0,47.0,47.0,46.0
15/06/10,682150.0,47.0,47.0,47.0,46.0
16/06/10,32700.0,47.0,46.5,47.0,46.5
21/06/10,508800.0,46.0,46.0,46.5,46.0
22/06/10,289200.0,46.0,45.5,46.5,45.0
23/06/10,415950.0,45.5,45.5,46.0,42.5
24/06/10,160150.0,45.0,45.0,45.5,43.5
28/06/10,64900.0,44.5,44.0,44.5,42.5
29/06/10,96100.0,43.5,44.0,44.0,43.0
01/07/10,122900.0,44.0,44.0,44.0,43.0
02/07/10,107700.0,43.5,42.0,44.0,42.0
06/07/10,105900.0,43.5,42.5,43.5,41.0
07/07/10,124050.0,43.0,42.5,43.0,40.0
08/07/10,119150.0,42.5,42.5,43.0,42.5
09/07/10,47050.0,43.0,43.0,43.0,42.5
13/07/10,272000.0,42.5,42.5,42.5,42.5
14/07/10,46500.0,42.5,42.5,42.5,41.5
15/07/10,42250.0,42.5,42.0,42.5,41.5
16/07/10,63700.0,42.5,42.5,42.5,42.0
19/07/10,155450.0,42.0,42.5,42.5,41.0
20/07/10,291050.0,42.0,42.0,42.0,40.0
21/07/10,62700.0,41.5,42.0,42.0,41.0
22/07/10,328700.0,41.0,42.0,42.0,40.0
23/07/10,24750.0,41.5,41.5,41.5,41.0
20/09/10,62090.0,44.3,44.4,44.4,44.3
21/09/10,54380.0,44.0,43.8,44.0,41.2
22/09/10,306975.0,43.8,43.95,43.95,43.8
23/09/10,24990.0,41.3,43.4,43.4,41.3
24/09/10,4300.0,43.0,43.0,43.0,43.0
27/09/10,4200.0,42.0,42.0,42.0,42.0
28/09/10,968990.0,41.5,42.0,42.0,37.4
29/09/10,557110.0,40.0,42.0,42.0,38.0
30/09/10,84000.0,42.0,42.0,42.0,42.0
01/10/10,253500.0,42.0,42.5,42.5,42.0
04/10/10,3885925.0,42.0,44.9,44.9,42.0
05/10/10,2138280.0,44.9,45.4,45.4,44.5
06/10/10,4521260.0,45.4,48.0,48.0,45.4
07/10/10,10546885.0,48.5,62.0,62.0,48.5
08/10/10,13878790.0,64.0,66.0,74.5,62.5
12/10/10,6515640.0,63.0,63.0,69.9,63.0
13/10/10,3590860.0,63.0,66.75,68.0,62.95
14/10/10,3544510.0,66.0,65.0,66.5,63.0
15/10/10,1447340.0,64.85,65.0,65.0,64.8
18/10/10,5476440.0,64.5,64.0,65.7,58.0
19/10/10,282693.0,64.0,62.45,64.0,62.0
20/10/10,8931793.0,62.8,65.0,65.0,62.6
21/10/10,4975544.0,65.0,65.9,65.9,65.0
22/10/10,2005160.0,66.0,66.0,66.2,63.0
26/10/10,19800.0,66.0,66.0,66.0,66.0
27/10/10,1124085.0,60.3,65.0,65.0,60.3
29/10/10,6445.0,64.45,64.45,64.45,64.45
02/11/10,2022282.5,64.45,63.15,64.6,58.4
03/11/10,370585.0,64.0,58.3,64.0,58.3
04/11/10,155612.0,58.3,60.0,60.0,58.3
08/11/10,474120.0,61.1,59.8,61.15,59.8
09/11/10,241829.5,58.8,59.45,59.5,58.2
10/11/10,251685.5,59.8,40.0,59.85,40.0
11/11/10,4248975.0,40.0,42.05,42.05,40.0
12/11/10,2446355.0,42.1,43.05,43.05,42.1
15/11/10,2747595.0,43.1,44.05,44.1,43.1
17/11/10,660910.0,44.05,41.0,44.1,41.0
18/11/10,370050.0,44.0,40.0,44.0,40.0
19/11/10,804100.0,40.0,40.0,42.0,38.0
22/11/10,58000.0,40.0,36.0,40.0,36.0
23/11/10,1327880.0,39.9,42.5,43.0,39.0
24/11/10,148935.0,40.0,41.85,42.5,40.0
25/11/10,2928845.0,41.0,43.8,43.8,41.0
26/11/10,7092600.0,43.3,45.5,45.55,43.3
30/11/10,676915.0,45.4,42.0,45.6,41.0
01/12/10,776650.0,42.0,45.0,45.0,42.0
02/12/10,388725.0,44.9,45.0,45.0,43.0
03/12/10,189000.0,45.0,45.0,45.0,45.0
06/12/10,445000.0,44.5,44.5,44.5,44.5
07/12/10,22500.0,45.0,45.0,45.0,45.0
08/12/10,545150.0,39.05,39.3,44.0,39.05
16/12/10,8295.0,40.0,42.95,42.95,40.0
22/12/10,1467735.0,42.9,41.0,42.95,41.0
23/12/10,1336805.0,42.7,42.95,43.0,42.7
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
28/12/10,2704280.0,43.15,43.5,44.6,43.0
29/12/10,47300.0,43.0,43.0,43.0,43.0
29/12/10,47300.0,43.0,43.0,43.0,43.0
03/01/11,209290.0,41.0,42.9,42.9,41.0
03/01/11,209290.0,41.0,42.9,42.9,41.0
03/01/11,209290.0,41.0,42.9,42.9,41.0
04/01/11,4290.0,42.9,42.9,42.9,42.9
05/01/11,4290.0,42.9,42.9,42.9,42.9
06/01/11,169820.0,38.5,42.9,42.9,37.8
07/01/11,30030.0,42.9,42.9,42.9,42.9
10/01/11,216540.0,41.0,42.9,42.9,41.0
11/01/11,4250.0,42.5,42.5,42.5,42.5
11/01/11,4250.0,42.5,42.5,42.5,42.5
12/01/11,4260.0,42.6,42.6,42.6,42.6
13/01/11,420630.0,42.8,42.0,42.8,38.0
14/01/11,42500.0,42.5,42.5,42.5,42.5
17/01/11,61280.0,40.0,42.5,42.8,40.0
18/01/11,662700.0,40.0,40.0,40.0,38.0
19/01/11,85790.0,40.0,40.0,41.9,38.0
19/01/11,85790.0,40.0,40.0,41.9,38.0
20/01/11,20000.0,40.0,40.0,40.0,40.0
20/01/11,20000.0,40.0,40.0,40.0,40.0
24/01/11,674650.0,40.0,39.5,40.0,36.0
25/01/11,4000.0,40.0,40.0,40.0,40.0
26/01/11,300700.0,40.0,40.5,40.5,40.0
27/01/11,20500.0,41.0,41.0,41.0,41.0
28/01/11,741075.0,41.0,42.55,42.55,41.0
28/01/11,741075.0,41.0,42.55,42.55,41.0
31/01/11,157050.0,42.5,42.0,42.5,38.5
31/01/11,157050.0,42.5,42.0,42.5,38.5
01/02/11,208595.0,42.5,41.45,42.5,38.5
01/02/11,208595.0,42.5,41.45,42.5,38.5
02/02/11,4145.0,41.45,41.45,41.45,41.45
03/02/11,175840.0,41.45,41.0,41.45,38.5
14/02/11,167665.0,40.8,41.0,41.0,40.8
16/02/11,12060.0,40.2,40.2,40.2,40.2
16/02/11,12060.0,40.2,40.2,40.2,40.2
17/02/11,20100.0,40.2,40.2,40.2,40.2
18/02/11,12060.0,40.2,40.2,40.2,40.2
21/02/11,20100.0,40.2,40.2,40.2,40.2
21/02/11,20100.0,40.2,40.2,40.2,40.2
22/02/11,8040.0,40.2,40.2,40.2,40.2
22/02/11,8040.0,40.2,40.2,40.2,40.2
23/02/11,52260.0,40.2,40.2,40.2,40.2
23/02/11,52260.0,40.2,40.2,40.2,40.2
24/02/11,127660.0,40.2,40.0,40.2,37.2
24/02/11,127660.0,40.2,40.0,40.2,37.2
25/02/11,8010.0,40.05,40.05,40.05,40.05
28/02/11,316200.0,40.0,40.0,40.0,35.0
02/03/11,3950.0,39.5,39.5,39.5,39.5
03/03/11,59530.0,39.95,39.55,40.0,39.55
04/03/11,19875.0,39.75,39.75,39.75,39.75
04/03/11,19875.0,39.75,39.75,39.75,39.75
07/03/11,163440.0,39.0,37.0,39.0,37.0
08/03/11,36450.0,36.0,36.9,36.9,36.0
08/03/11,36450.0,36.0,36.9,36.9,36.0
11/03/11,1847200.0,37.0,37.0,37.0,36.5
11/03/11,1847200.0,37.0,37.0,37.0,36.5
16/03/11,1997600.0,38.0,38.0,38.0,36.5
17/03/11,66900.0,38.0,37.0,38.0,37.0
18/03/11,11400.0,38.0,38.0,38.0,38.0
21/03/11,282850.0,38.0,38.5,38.5,38.0
22/03/11,388800.0,38.6,38.0,38.6,37.0
23/03/11,96220.0,38.7,38.7,38.7,36.5
24/03/11,22610.0,38.7,38.7,38.7,36.0
25/03/11,3870.0,38.7,38.7,38.7,38.7
28/03/11,120020.0,38.7,38.8,38.8,38.7
29/03/11,19400.0,38.8,38.8,38.8,38.8
30/03/11,162770.0,38.8,35.5,38.8,35.5
31/03/11,282150.0,36.5,35.0,36.5,34.0
01/04/11,151250.0,35.0,33.5,35.0,33.5
04/04/11,155100.0,35.0,33.0,35.0,31.0
05/04/11,19900.0,33.5,33.0,33.5,33.0
06/04/11,447250.0,33.5,30.0,33.5,29.0
07/04/11,3350.0,33.5,33.5,33.5,33.5
08/04/11,6350.0,30.0,33.5,33.5,30.0
11/04/11,3350.0,33.5,33.5,33.5,33.5
12/04/11,3350.0,33.5,33.5,33.5,33.5
13/04/11,529550.0,33.5,28.9,33.5,27.0
14/04/11,82580.0,29.8,33.0,33.0,29.8
15/04/11,282260.0,32.6,27.0,32.7,25.0
26/04/11,18045.0,30.45,30.0,30.45,30.0
27/04/11,249685.0,29.9,30.0,30.0,26.0
28/04/11,123950.0,30.0,29.0,30.0,27.95
29/04/11,61800.0,29.0,29.0,29.0,28.0
02/05/11,2900.0,29.0,29.0,29.0,29.0
03/05/11,14500.0,29.0,29.0,29.0,29.0
04/05/11,8655.0,28.95,28.8,28.95,28.8
05/05/11,2875.0,28.75,28.75,28.75,28.75
06/05/11,313280.0,28.7,28.3,28.7,26.0
09/05/11,171310.0,28.1,26.0,28.1,22.0
10/05/11,81435.0,26.0,26.5,27.85,26.0
11/05/11,119650.0,26.0,26.0,26.5,26.0
12/05/11,15700.0,27.0,26.0,27.0,26.0
13/05/11,40960.0,26.9,26.5,26.9,25.0
16/05/11,13300.0,26.6,26.6,26.6,26.6
17/05/11,2670.0,26.7,26.7,26.7,26.7
18/05/11,2670.0,26.7,26.7,26.7,26.7
19/05/11,1048180.0,26.7,30.0,30.3,26.7
