Date,Value,Open,Close,High,Low
07/10/19,891721805.0,5.29,4.69,5.3,4.19
08/10/19,267521370.0,4.5,4.7,4.78,4.24
09/10/19,112904680.0,4.6,4.54,4.76,4.48
10/10/19,88959350.0,4.51,4.51,4.52,4.34
11/10/19,44822790.0,4.53,4.5,4.58,4.44
14/10/19,47340070.0,4.5,4.47,4.57,4.43
15/10/19,32421770.0,4.47,4.35,4.47,4.35
16/10/19,21820090.0,4.35,4.34,4.41,4.3
17/10/19,34842050.0,4.34,4.43,4.48,4.34
18/10/19,14735970.0,4.47,4.4,4.49,4.4
21/10/19,11152920.0,4.43,4.4,4.46,4.35
22/10/19,8222400.0,4.4,4.37,4.47,4.37
23/10/19,11166970.0,4.38,4.34,4.39,4.33
24/10/19,21551890.0,4.34,4.25,4.34,4.25
25/10/19,58231060.0,4.24,4.01,4.27,3.95
28/10/19,44425830.0,4.01,3.72,4.04,3.7
29/10/19,35665030.0,3.74,3.69,3.8,3.6
30/10/19,31290670.0,3.69,3.81,3.91,3.68
31/10/19,16369240.0,3.84,3.89,3.94,3.84
04/11/19,25863720.0,3.89,3.99,4.03,3.78
05/11/19,20944840.0,4.02,4.14,4.15,3.93
06/11/19,17390830.0,4.15,4.07,4.16,4.04
07/11/19,19182950.0,4.19,4.15,4.21,4.09
08/11/19,7943740.0,4.15,4.09,4.15,4.07
11/11/19,7990410.0,4.08,4.07,4.12,4.0
12/11/19,9411690.0,4.12,4.04,4.12,4.03
13/11/19,11786370.0,4.1,3.9,4.1,3.88
14/11/19,8228950.0,3.9,3.82,3.91,3.8
15/11/19,11934030.0,3.85,3.68,3.85,3.66
18/11/19,24882780.0,3.69,3.77,3.8,3.69
19/11/19,14816760.0,3.79,3.78,3.91,3.78
20/11/19,14801780.0,3.78,3.74,3.78,3.61
21/11/19,15290580.0,3.74,3.65,3.74,3.5
22/11/19,10557750.0,3.71,3.62,3.73,3.61
25/11/19,10560660.0,3.79,3.72,3.8,3.65
26/11/19,2846680.0,3.73,3.67,3.73,3.66
27/11/19,7027280.0,3.67,3.68,3.68,3.55
28/11/19,3991600.0,3.68,3.58,3.68,3.58
29/11/19,29631130.0,3.58,3.35,3.58,3.3
02/12/19,9840760.0,3.37,3.24,3.37,3.1
03/12/19,4374970.0,3.24,3.27,3.3,3.12
04/12/19,10797000.0,3.28,3.12,3.3,3.11
05/12/19,9611820.0,3.11,3.03,3.2,3.0
06/12/19,6447960.0,3.03,3.03,3.08,2.97
09/12/19,9032120.0,3.01,2.85,3.05,2.85
10/12/19,10139310.0,2.84,2.6,2.86,2.57
11/12/19,12551720.0,2.6,2.74,2.77,2.6
12/12/19,12639660.0,2.77,2.91,2.92,2.77
13/12/19,7589400.0,2.93,2.85,2.95,2.8
16/12/19,2932820.0,2.85,2.83,2.86,2.78
17/12/19,12172790.0,2.84,2.66,2.85,2.5
18/12/19,5350670.0,2.66,2.56,2.66,2.56
19/12/19,8692990.0,2.6,2.46,2.6,2.46
20/12/19,6836100.0,2.47,2.54,2.57,2.46
23/12/19,20999200.0,2.55,2.58,2.67,2.54
26/12/19,14570760.0,2.58,2.71,2.75,2.58
27/12/19,12660970.0,2.76,2.61,2.78,2.61
02/01/20,4941850.0,2.61,2.63,2.65,2.52
03/01/20,11916900.0,2.66,2.9,2.9,2.66
06/01/20,17688850.0,2.93,3.09,3.09,2.79
07/01/20,16598280.0,3.14,3.14,3.18,3.03
08/01/20,12145720.0,3.03,2.96,3.03,2.88
09/01/20,11839070.0,2.97,3.12,3.13,2.95
10/01/20,11840050.0,3.12,3.06,3.23,3.06
14/01/20,11134070.0,3.06,2.95,3.07,2.91
15/01/20,3180250.0,2.98,3.0,3.05,2.96
16/01/20,19300300.0,3.04,2.74,3.05,2.73
17/01/20,8606170.0,2.75,2.82,2.84,2.75
20/01/20,10516610.0,2.83,2.89,2.95,2.74
21/01/20,6524230.0,2.9,2.89,2.91,2.81
22/01/20,69956570.0,2.94,3.5,3.5,2.9
23/01/20,45986400.0,3.52,3.36,3.53,3.31
24/01/20,59765600.0,3.36,3.6,3.71,3.23
27/01/20,23987090.0,3.63,3.4,3.65,3.31
28/01/20,19768680.0,3.39,3.23,3.45,3.17
29/01/20,12144320.0,3.23,3.12,3.33,3.12
30/01/20,13757420.0,3.15,3.31,3.36,3.15
31/01/20,23537970.0,3.32,3.05,3.46,2.98
03/02/20,17835300.0,2.95,2.78,2.95,2.71
04/02/20,19594090.0,2.76,2.84,2.91,2.65
05/02/20,24848290.0,2.88,3.08,3.13,2.85
06/02/20,20786180.0,3.16,3.14,3.23,3.01
07/02/20,11202030.0,3.14,3.04,3.16,2.99
10/02/20,8603970.0,3.02,2.89,3.08,2.89
11/02/20,8008430.0,2.87,2.9,2.93,2.78
12/02/20,5513360.0,2.86,2.81,2.93,2.8
13/02/20,5825940.0,2.84,2.76,2.86,2.71
14/02/20,2610070.0,2.82,2.82,2.86,2.78
17/02/20,3888550.0,2.86,2.89,2.91,2.83
18/02/20,8567690.0,2.9,3.01,3.08,2.9
19/02/20,8207800.0,3.09,2.94,3.09,2.85
20/02/20,10158730.0,2.95,3.09,3.09,2.93
21/02/20,16408890.0,3.11,3.16,3.25,3.05
24/02/20,8642120.0,3.16,2.91,3.16,2.9
26/02/20,6598200.0,2.85,2.78,2.85,2.66
27/02/20,4752630.0,2.75,2.83,2.88,2.75
28/02/20,13024530.0,2.77,2.65,2.77,2.65
02/03/20,20157720.0,2.65,2.42,2.65,2.34
03/03/20,6188730.0,2.48,2.44,2.54,2.44
04/03/20,8396980.0,2.44,2.32,2.48,2.31
05/03/20,6485880.0,2.38,2.4,2.41,2.3
06/03/20,3288830.0,2.39,2.34,2.42,2.32
09/03/20,10364760.0,2.27,1.94,2.27,1.92
10/03/20,7524130.0,1.94,2.13,2.13,1.8
11/03/20,6713550.0,2.15,2.25,2.26,2.14
12/03/20,9193940.0,2.26,2.05,2.3,2.0
13/03/20,5685720.0,1.97,2.02,2.04,1.85
16/03/20,2516860.0,2.0,1.9,2.0,1.81
19/03/20,2440300.0,1.91,1.9,1.95,1.75
20/03/20,843680.0,1.9,1.95,1.98,1.9
23/03/20,1232270.0,1.94,1.89,1.94,1.88
24/03/20,1140880.0,1.93,1.93,1.98,1.89
25/03/20,1748610.0,1.95,2.04,2.04,1.95
26/03/20,1758450.0,2.05,2.11,2.15,2.05
27/03/20,2789560.0,2.13,2.03,2.24,2.0
30/03/20,1859400.0,2.0,2.08,2.08,1.94
31/03/20,2611350.0,2.11,2.19,2.19,2.11
01/04/20,4074200.0,2.19,2.29,2.4,2.13
02/04/20,3147860.0,2.29,2.4,2.4,2.23
03/04/20,5574760.0,2.45,2.5,2.5,2.4
06/04/20,9682900.0,2.55,2.51,2.64,2.51
07/04/20,6684890.0,2.55,2.53,2.64,2.51
08/04/20,4091080.0,2.53,2.58,2.63,2.49
13/04/20,2329520.0,2.56,2.51,2.62,2.5
14/04/20,3008220.0,2.51,2.5,2.57,2.5
15/04/20,4690260.0,2.51,2.5,2.58,2.49
16/04/20,4796180.0,2.5,2.47,2.5,2.45
17/04/20,4214710.0,2.46,2.52,2.52,2.45
20/04/20,13219530.0,2.55,2.64,2.76,2.54
21/04/20,81912160.0,2.66,2.6,2.74,2.59
22/04/20,20604340.0,2.63,2.65,2.88,2.61
23/04/20,10553400.0,2.67,2.61,2.75,2.61
24/04/20,5222020.0,2.61,2.67,2.72,2.6
27/04/20,29657240.0,2.9,2.92,3.04,2.82
28/04/20,14912710.0,2.92,3.0,3.05,2.89
29/04/20,10706920.0,3.04,3.0,3.08,2.95
30/04/20,5070540.0,3.02,2.96,3.06,2.93
04/05/20,9699340.0,2.94,3.02,3.04,2.83
