Date,Value,Open,Close,High,Low
03/08/09,212232100.0,302.5,320.0,320.0,302.5
04/08/09,131890850.0,325.0,320.0,327.5,320.0
06/08/09,150853725.0,315.0,310.0,315.0,307.5
07/08/09,78441425.0,305.0,300.0,310.0,297.5
10/08/09,81663825.0,307.5,305.0,307.5,302.5
11/08/09,47969850.0,302.5,302.5,305.0,302.5
12/08/09,133422675.0,300.0,295.0,302.5,295.0
13/08/09,26301675.0,302.5,300.0,302.5,297.5
14/08/09,68693550.0,305.0,307.5,307.5,302.5
17/08/09,25160600.0,305.0,300.0,305.0,295.0
18/08/09,94582225.0,295.0,297.5,297.5,292.5
19/08/09,81199675.0,300.0,297.5,305.0,297.5
20/08/09,88803250.0,302.5,297.5,302.5,297.5
24/08/09,234015975.0,297.5,317.5,325.0,297.5
25/08/09,97267300.0,315.0,312.5,315.0,312.5
26/08/09,63729425.0,315.0,312.5,315.0,312.5
03/09/09,82140850.0,300.0,302.5,302.5,295.0
04/09/09,94352800.0,302.5,302.5,305.0,300.0
16/09/09,65922450.0,307.5,307.5,310.0,305.0
17/09/09,105420700.0,312.5,315.0,315.0,312.5
18/09/09,73215175.0,315.0,312.5,315.0,310.0
22/09/09,126025600.0,315.0,305.0,315.0,305.0
23/09/09,207654575.0,305.0,302.5,310.0,302.5
30/09/09,50671700.0,300.0,302.5,302.5,300.0
01/10/09,377272700.0,300.0,302.5,307.5,300.0
02/10/09,127687625.0,295.0,305.0,305.0,292.5
05/10/09,63503500.0,305.0,302.5,305.0,300.0
06/10/09,120019275.0,305.0,300.0,307.5,300.0
07/10/09,147644875.0,307.5,312.5,312.5,307.5
08/10/09,74447950.0,310.0,317.5,317.5,310.0
09/10/09,207987275.0,315.0,310.0,315.0,307.5
12/10/09,24252875.0,310.0,310.0,310.0,305.0
13/10/09,59036450.0,307.5,312.5,312.5,307.5
14/10/09,90166725.0,312.5,312.5,312.5,310.0
15/10/09,140603650.0,315.0,310.0,315.0,307.5
16/10/09,97411100.0,305.0,305.0,307.5,302.5
19/10/09,46539150.0,305.0,310.0,310.0,305.0
20/10/09,57116100.0,310.0,310.0,312.5,307.5
21/10/09,93316475.0,310.0,302.5,310.0,300.0
22/10/09,91278850.0,305.0,302.5,305.0,300.0
23/10/09,108946550.0,302.5,300.0,302.5,297.5
26/10/09,51931875.0,300.0,297.5,300.0,297.5
27/10/09,166047700.0,297.5,300.0,300.0,295.0
28/10/09,114891575.0,300.0,295.0,300.0,290.0
29/10/09,145962775.0,290.0,290.0,290.0,285.0
30/10/09,62204625.0,295.0,292.5,297.5,290.0
03/11/09,138427175.0,292.5,287.5,292.5,287.5
04/11/09,39640025.0,287.5,287.5,292.5,287.5
05/11/09,45596050.0,287.5,295.0,295.0,285.0
06/11/09,14950825.0,295.0,295.0,295.0,290.0
09/11/09,88144975.0,295.0,287.5,295.0,285.0
10/11/09,208408800.0,290.0,285.0,290.0,282.5
11/11/09,131920050.0,287.5,300.0,300.0,287.5
