Date,Value,Open,Close,High,Low
03/08/09,254125600.0,9.3,9.4,9.5,9.1
04/08/09,116671200.0,9.7,9.6,9.8,9.5
06/08/09,159657200.0,9.6,9.4,9.6,9.3
07/08/09,13096500.0,9.3,9.5,9.5,9.3
10/08/09,113562800.0,9.4,9.5,9.6,9.4
11/08/09,105853400.0,9.7,9.5,9.7,9.4
12/08/09,42901100.0,9.4,9.4,9.4,9.3
13/08/09,120189500.0,9.4,9.4,9.4,9.3
14/08/09,92369900.0,9.4,9.6,9.7,9.4
17/08/09,135203100.0,9.5,9.4,9.5,9.4
18/08/09,121762200.0,9.3,9.4,9.5,9.2
19/08/09,90795200.0,9.5,9.7,9.7,9.5
20/08/09,177291200.0,9.7,9.7,9.7,9.6
24/08/09,247379700.0,9.9,10.0,10.25,9.9
25/08/09,145312000.0,10.0,10.0,10.5,10.0
26/08/09,108114500.0,10.5,10.25,10.5,10.25
03/09/09,81738200.0,10.25,10.5,10.5,10.0
04/09/09,68275550.0,10.5,10.5,10.5,10.25
16/09/09,43889000.0,11.0,11.0,11.0,10.75
17/09/09,127957575.0,11.0,10.75,11.25,10.75
18/09/09,89233600.0,10.75,10.75,10.75,10.75
22/09/09,176858775.0,10.75,10.75,11.0,10.75
23/09/09,180508075.0,11.0,11.25,11.5,11.0
30/09/09,117245925.0,11.75,11.5,12.0,11.5
01/10/09,148576400.0,11.75,12.0,12.0,11.5
02/10/09,77011500.0,11.5,12.0,12.0,11.5
05/10/09,102119600.0,12.0,11.75,12.0,11.75
06/10/09,163787600.0,12.25,12.0,12.25,11.75
07/10/09,90766725.0,12.0,12.25,12.25,12.0
08/10/09,215855225.0,12.5,12.5,12.5,12.0
09/10/09,158678350.0,12.5,12.0,12.5,12.0
12/10/09,98878475.0,12.0,11.75,12.0,11.75
13/10/09,48284050.0,11.75,12.0,12.0,11.75
14/10/09,196491200.0,11.75,11.5,12.0,11.5
15/10/09,175825800.0,11.75,11.25,11.75,11.25
16/10/09,109735250.0,11.5,11.0,11.5,11.0
19/10/09,73241275.0,11.0,11.0,11.0,10.75
20/10/09,83644225.0,11.25,11.0,11.25,11.0
21/10/09,247516700.0,11.25,11.25,11.5,11.0
22/10/09,83298625.0,11.5,11.25,11.5,11.0
23/10/09,219794650.0,11.25,11.5,11.5,11.25
26/10/09,7871800.0,11.5,11.5,11.5,11.25
