Date,Value,Open,Close,High,Low
03/08/09,104775400.0,35.0,35.5,36.0,34.5
04/08/09,157125750.0,36.0,36.0,36.5,35.5
06/08/09,38812950.0,36.0,35.5,36.0,35.0
07/08/09,25918400.0,35.5,34.5,35.5,34.5
10/08/09,26115600.0,35.5,35.0,35.5,35.0
11/08/09,11713000.0,35.0,34.5,35.0,34.5
12/08/09,40455250.0,35.0,34.0,35.0,34.0
13/08/09,10342450.0,35.0,34.5,35.0,34.5
14/08/09,33132950.0,35.0,35.0,35.5,34.5
17/08/09,25653050.0,34.5,34.5,34.5,34.0
18/08/09,59743550.0,34.0,34.0,34.0,32.5
19/08/09,26300400.0,34.0,34.5,35.0,34.0
20/08/09,34846750.0,35.0,34.0,35.0,33.5
24/08/09,110362300.0,34.0,35.0,36.0,34.0
25/08/09,58059100.0,35.0,35.0,35.5,35.0
26/08/09,61930200.0,35.0,35.0,36.0,35.0
03/09/09,70266650.0,36.0,35.5,36.0,34.5
04/09/09,18395700.0,35.5,35.5,36.0,35.0
16/09/09,71029300.0,34.5,34.0,35.0,34.0
17/09/09,8626900.0,34.5,34.0,34.5,34.0
18/09/09,22986550.0,34.5,35.0,35.0,34.5
22/09/09,96405500.0,34.5,34.0,35.0,33.5
23/09/09,14037350.0,34.5,34.5,35.0,34.5
30/09/09,22558150.0,34.5,34.5,34.5,34.0
01/10/09,35184300.0,34.0,34.0,35.0,34.0
02/10/09,10205600.0,33.5,34.0,34.0,33.5
05/10/09,14001200.0,34.0,34.5,34.5,34.0
06/10/09,41912850.0,35.0,34.5,35.0,34.0
07/10/09,148980800.0,34.5,36.0,36.0,34.5
08/10/09,65654250.0,36.0,35.5,36.0,35.5
09/10/09,29572000.0,35.5,36.0,36.0,35.0
12/10/09,8348650.0,35.5,35.5,36.0,35.0
13/10/09,38604950.0,35.0,35.0,35.0,34.5
14/10/09,39151250.0,35.0,35.0,35.0,34.5
15/10/09,65962500.0,35.0,35.0,35.5,35.0
16/10/09,10062550.0,35.0,34.5,35.0,34.5
19/10/09,9455250.0,34.5,35.0,35.0,34.5
20/10/09,33246750.0,35.0,35.0,35.5,35.0
21/10/09,46910500.0,35.0,35.0,35.0,35.0
22/10/09,69973250.0,34.5,34.5,35.0,34.0
23/10/09,87515250.0,34.5,35.0,35.0,34.0
26/10/09,36784000.0,34.5,34.5,35.0,34.0
27/10/09,23964750.0,34.5,35.0,35.0,34.5
28/10/09,107710750.0,35.0,35.5,36.0,35.0
29/10/09,63882300.0,34.5,34.0,35.0,34.0
30/10/09,26563000.0,34.5,35.0,35.0,34.5
03/11/09,13907900.0,35.0,35.0,35.0,34.0
04/11/09,6594050.0,34.0,35.0,35.0,34.0
05/11/09,6444250.0,34.5,34.5,35.0,34.0
06/11/09,22542900.0,35.0,34.5,35.0,34.5
09/11/09,19586350.0,34.5,34.5,35.0,34.5
10/11/09,126669800.0,35.0,36.0,36.0,35.0
