Date,Value,Open,Close,High,Low
30/06/22,172005960.0,0.68,0.65,0.83,0.63
01/07/22,18193450.0,0.67,0.67,0.71,0.66
04/07/22,11052780.0,0.66,0.67,0.71,0.66
05/07/22,5387760.0,0.68,0.7,0.7,0.67
06/07/22,11484090.0,0.7,0.72,0.73,0.69
06/07/22,11484090.0,0.7,0.72,0.73,0.69
06/07/22,11484090.0,0.7,0.72,0.73,0.69
07/07/22,10452040.0,0.72,0.69,0.73,0.68
07/07/22,10452040.0,0.72,0.69,0.73,0.68
08/07/22,7785650.0,0.69,0.7,0.7,0.67
11/07/22,3962020.0,0.7,0.71,0.71,0.69
11/07/22,3962020.0,0.7,0.71,0.71,0.69
12/07/22,6601310.0,0.71,0.68,0.72,0.68
12/07/22,6601310.0,0.71,0.68,0.72,0.68
13/07/22,4506700.0,0.68,0.7,0.71,0.68
14/07/22,3236620.0,0.68,0.67,0.7,0.65
14/07/22,3236620.0,0.68,0.67,0.7,0.65
15/07/22,2445680.0,0.68,0.65,0.68,0.62
18/07/22,237720.0,0.65,0.67,0.68,0.64
19/07/22,2243820.0,0.67,0.65,0.67,0.62
20/07/22,3926410.0,0.63,0.63,0.65,0.6
21/07/22,1879860.0,0.62,0.63,0.64,0.59
22/07/22,1295050.0,0.61,0.61,0.62,0.6
25/07/22,1636660.0,0.61,0.64,0.64,0.59
26/07/22,1177830.0,0.63,0.64,0.65,0.63
27/07/22,4074000.0,0.62,0.6,0.62,0.59
28/07/22,18983230.0,0.61,0.67,0.68,0.59
29/07/22,12130040.0,0.67,0.66,0.69,0.64
01/08/22,1347690.0,0.68,0.69,0.69,0.66
02/08/22,1409810.0,0.68,0.68,0.69,0.68
02/08/22,1409810.0,0.68,0.68,0.69,0.68
03/08/22,2632350.0,0.68,0.67,0.69,0.66
04/08/22,5808800.0,0.69,0.66,0.7,0.63
04/08/22,5808800.0,0.69,0.66,0.7,0.63
05/08/22,12883320.0,0.66,0.72,0.72,0.63
08/08/22,8418230.0,0.71,0.74,0.75,0.71
09/08/22,7090700.0,0.74,0.73,0.75,0.71
10/08/22,11295150.0,0.74,0.78,0.78,0.73
11/08/22,9528800.0,0.78,0.8,0.8,0.76
12/08/22,13831990.0,0.8,0.85,0.85,0.79
15/08/22,14861320.0,0.85,0.88,0.89,0.84
16/08/22,23000740.0,0.9,0.9,0.93,0.88
17/08/22,21397820.0,0.9,0.82,0.93,0.82
17/08/22,21397820.0,0.9,0.82,0.93,0.82
18/08/22,13489420.0,0.81,0.83,0.86,0.81
19/08/22,10137310.0,0.84,0.85,0.86,0.83
22/08/22,6564910.0,0.85,0.84,0.87,0.83
23/08/22,18285660.0,0.84,0.88,0.89,0.84
24/08/22,15461380.0,0.88,0.86,0.9,0.85
25/08/22,68725570.0,0.89,0.99,1.05,0.87
25/08/22,68725570.0,0.89,0.99,1.05,0.87
26/08/22,41530410.0,1.01,1.0,1.07,0.95
26/08/22,41530410.0,1.01,1.0,1.07,0.95
30/08/22,20835860.0,0.99,1.05,1.07,0.98
31/08/22,94759390.0,1.05,0.89,1.1,0.89
01/09/22,31357470.0,0.88,0.92,0.93,0.87
02/09/22,14732040.0,0.91,0.94,0.95,0.89
02/09/22,14732040.0,0.91,0.94,0.95,0.89
02/09/22,14732040.0,0.91,0.94,0.95,0.89
05/09/22,16077900.0,0.94,0.89,0.95,0.84
05/09/22,16077900.0,0.94,0.89,0.95,0.84
06/09/22,15638810.0,0.88,0.88,0.9,0.84
07/09/22,13614420.0,0.88,0.84,0.9,0.84
08/09/22,4813350.0,0.84,0.85,0.87,0.84
09/09/22,15630030.0,0.85,0.8,0.86,0.8
12/09/22,3754760.0,0.81,0.82,0.84,0.81
13/09/22,8774260.0,0.82,0.76,0.83,0.75
14/09/22,9061330.0,0.73,0.73,0.75,0.7
15/09/22,12678050.0,0.73,0.73,0.77,0.7
16/09/22,3512380.0,0.72,0.72,0.75,0.71
19/09/22,8099780.0,0.72,0.68,0.73,0.66
20/09/22,3867700.0,0.68,0.72,0.72,0.68
21/09/22,18023650.0,0.72,0.7,0.73,0.64
22/09/22,2624790.0,0.67,0.69,0.7,0.67
22/09/22,2624790.0,0.67,0.69,0.7,0.67
23/09/22,1130860.0,0.69,0.7,0.7,0.68
27/09/22,7827980.0,0.7,0.65,0.7,0.61
28/09/22,5383330.0,0.64,0.6,0.65,0.59
29/09/22,2813570.0,0.62,0.61,0.64,0.61
30/09/22,959450.0,0.6,0.6,0.61,0.58
03/10/22,3879090.0,0.58,0.58,0.62,0.55
04/10/22,1670730.0,0.58,0.6,0.6,0.58
05/10/22,3807690.0,0.6,0.62,0.63,0.6
06/10/22,6788860.0,0.63,0.66,0.66,0.6
07/10/22,7858130.0,0.66,0.68,0.68,0.62
10/10/22,4491400.0,0.68,0.64,0.68,0.62
11/10/22,6846420.0,0.62,0.65,0.65,0.61
12/10/22,198240.0,0.64,0.63,0.65,0.63
13/10/22,2497670.0,0.62,0.64,0.64,0.62
14/10/22,2750570.0,0.63,0.66,0.66,0.63
17/10/22,1613140.0,0.66,0.65,0.67,0.64
17/10/22,1613140.0,0.66,0.65,0.67,0.64
18/10/22,10121400.0,0.66,0.64,0.69,0.64
18/10/22,10121400.0,0.66,0.64,0.69,0.64
19/10/22,2586070.0,0.63,0.65,0.67,0.63
19/10/22,2586070.0,0.63,0.65,0.67,0.63
20/10/22,2004090.0,0.65,0.67,0.67,0.63
21/10/22,1745760.0,0.66,0.65,0.67,0.64
26/10/22,600510.0,0.64,0.64,0.65,0.63
26/10/22,600510.0,0.64,0.64,0.65,0.63
27/10/22,2623510.0,0.64,0.66,0.67,0.64
28/10/22,1595230.0,0.66,0.66,0.68,0.64
28/10/22,1595230.0,0.66,0.66,0.68,0.64
02/11/22,1719860.0,0.66,0.68,0.68,0.65
03/11/22,4300580.0,0.68,0.69,0.7,0.68
04/11/22,4335230.0,0.69,0.66,0.7,0.65
07/11/22,2812450.0,0.67,0.67,0.67,0.65
08/11/22,2923770.0,0.67,0.65,0.68,0.64
09/11/22,5606500.0,0.64,0.61,0.64,0.59
10/11/22,1687720.0,0.61,0.63,0.63,0.6
11/11/22,10958590.0,0.63,0.6,0.65,0.59
11/11/22,10958590.0,0.63,0.6,0.65,0.59
14/11/22,4199590.0,0.61,0.61,0.62,0.6
15/11/22,3692520.0,0.62,0.6,0.62,0.6
15/11/22,3692520.0,0.62,0.6,0.62,0.6
16/11/22,1400190.0,0.61,0.6,0.61,0.59
16/11/22,1400190.0,0.61,0.6,0.61,0.59
17/11/22,1532500.0,0.6,0.6,0.61,0.59
