Date,Value,Open,Close,High,Low
03/08/09,168503500.0,45.5,45.0,46.0,45.0
04/08/09,75974600.0,45.5,45.5,46.0,45.5
06/08/09,106933050.0,45.5,46.0,46.0,45.5
07/08/09,34279150.0,45.5,45.0,46.0,45.0
10/08/09,61747800.0,45.5,45.5,45.5,45.0
11/08/09,32776850.0,46.0,45.5,46.0,45.5
12/08/09,82708150.0,45.0,46.0,46.0,45.0
13/08/09,27669650.0,46.0,46.0,46.0,45.5
14/08/09,97061150.0,46.0,46.0,46.0,45.5
17/08/09,41584300.0,46.0,45.5,46.0,45.0
18/08/09,71225550.0,44.5,44.5,45.5,43.0
19/08/09,56495200.0,44.0,43.5,45.0,43.5
20/08/09,63976700.0,45.0,43.5,45.0,43.0
24/08/09,171197850.0,44.0,45.5,45.5,44.0
25/08/09,72329600.0,45.5,45.0,45.5,44.5
26/08/09,164618800.0,45.0,45.0,45.0,44.5
03/09/09,141028000.0,44.0,44.0,44.0,43.5
04/09/09,55192050.0,44.0,44.5,45.0,44.0
16/09/09,69625350.0,44.0,43.5,44.0,43.5
17/09/09,116226400.0,45.0,44.5,45.5,44.0
18/09/09,44766250.0,44.5,45.0,45.0,44.0
22/09/09,76556100.0,44.5,45.0,45.0,44.0
23/09/09,80879850.0,45.5,45.5,46.0,45.0
30/09/09,40102650.0,45.0,45.0,45.5,45.0
01/10/09,127737000.0,45.0,45.0,45.0,45.0
02/10/09,68639100.0,44.5,45.0,45.5,44.5
05/10/09,114954300.0,45.0,45.0,45.5,45.0
06/10/09,168158050.0,45.5,45.5,45.5,45.0
07/10/09,101044750.0,45.5,46.0,46.0,45.5
08/10/09,28611400.0,45.5,45.5,46.0,45.5
09/10/09,46433300.0,46.0,45.5,46.0,45.5
12/10/09,28009500.0,45.5,45.0,46.0,45.0
13/10/09,17092050.0,45.5,45.5,45.5,45.0
14/10/09,101261100.0,45.5,45.5,45.5,45.0
15/10/09,151787600.0,45.5,46.0,46.0,45.5
16/10/09,108643600.0,46.0,46.0,46.5,45.5
19/10/09,94712300.0,46.0,46.5,47.0,46.0
20/10/09,298622100.0,47.0,48.0,48.5,47.0
21/10/09,305368450.0,48.0,48.0,48.5,48.0
22/10/09,105148950.0,47.5,46.5,47.5,46.0
23/10/09,66231800.0,47.0,48.0,48.0,47.0
26/10/09,114175800.0,47.5,48.0,48.0,47.5
27/10/09,136292300.0,48.0,48.0,48.5,47.5
28/10/09,72782350.0,47.5,46.5,47.5,46.5
29/10/09,84510750.0,46.5,45.5,46.5,45.0
30/10/09,80162250.0,46.5,47.0,47.0,46.0
03/11/09,177324550.0,47.0,46.0,47.0,45.5
04/11/09,60316200.0,46.0,45.5,46.5,45.5
05/11/09,37139150.0,46.0,47.0,47.0,45.5
06/11/09,25166050.0,47.0,47.0,47.5,46.5
09/11/09,23388550.0,47.0,47.0,48.0,46.5
