Date,Value,Open,Close,High,Low
03/08/09,162600.0,0.16,0.16,0.16,0.15
04/08/09,287300.0,0.16,0.165,0.165,0.16
06/08/09,13500.0,0.15,0.15,0.15,0.15
07/08/09,791250.0,0.155,0.165,0.165,0.155
11/08/09,1523000.0,0.165,0.175,0.175,0.16
12/08/09,73100.0,0.17,0.175,0.175,0.165
13/08/09,135000.0,0.165,0.175,0.175,0.165
17/08/09,11200.0,0.16,0.16,0.16,0.16
18/08/09,6800.0,0.17,0.17,0.17,0.17
19/08/09,42250.0,0.17,0.165,0.17,0.165
20/08/09,217600.0,0.16,0.16,0.16,0.16
24/08/09,1101300.0,0.165,0.16,0.165,0.16
25/08/09,468800.0,0.16,0.16,0.16,0.16
26/08/09,528000.0,0.16,0.16,0.16,0.16
03/09/09,261100.0,0.165,0.17,0.17,0.16
04/09/09,365200.0,0.165,0.175,0.175,0.165
16/09/09,42250.0,0.17,0.165,0.17,0.165
17/09/09,2847800.0,0.165,0.165,0.17,0.165
18/09/09,3797300.0,0.16,0.155,0.165,0.155
22/09/09,4800.0,0.16,0.16,0.16,0.16
23/09/09,84900.0,0.16,0.16,0.16,0.155
30/09/09,166400.0,0.16,0.16,0.16,0.16
01/10/09,33600.0,0.16,0.16,0.16,0.16
05/10/09,142400.0,0.16,0.16,0.16,0.16
06/10/09,3200.0,0.16,0.16,0.16,0.16
07/10/09,178300.0,0.165,0.16,0.165,0.16
08/10/09,76450.0,0.16,0.165,0.165,0.16
09/10/09,20850.0,0.16,0.165,0.165,0.16
12/10/09,204000.0,0.165,0.155,0.165,0.155
14/10/09,344250.0,0.16,0.165,0.165,0.16
15/10/09,44800.0,0.16,0.16,0.16,0.16
16/10/09,1863300.0,0.17,0.17,0.19,0.17
19/10/09,111000.0,0.17,0.17,0.175,0.17
20/10/09,815750.0,0.175,0.17,0.175,0.17
21/10/09,77000.0,0.175,0.175,0.175,0.175
22/10/09,314100.0,0.175,0.175,0.18,0.17
23/10/09,83450.0,0.175,0.17,0.175,0.17
26/10/09,148750.0,0.175,0.175,0.175,0.17
27/10/09,6800.0,0.17,0.17,0.17,0.17
28/10/09,12800.0,0.16,0.16,0.16,0.16
29/10/09,16000.0,0.16,0.16,0.16,0.16
30/10/09,254950.0,0.16,0.165,0.175,0.16
05/11/09,17550.0,0.155,0.16,0.16,0.155
09/11/09,146150.0,0.16,0.165,0.165,0.16
11/11/09,68150.0,0.155,0.16,0.165,0.155
15/12/09,28750.0,0.155,0.15,0.155,0.15
16/12/09,290000.0,0.145,0.145,0.145,0.145
17/12/09,152500.0,0.15,0.15,0.155,0.15
18/12/09,15500.0,0.155,0.155,0.155,0.155
22/12/09,8856400.0,0.14,0.14,0.14,0.14
23/12/09,1550.0,0.155,0.155,0.155,0.155
29/12/09,7750.0,0.155,0.155,0.155,0.155
05/01/10,503850.0,0.155,0.165,0.165,0.155
06/01/10,21450.0,0.165,0.165,0.165,0.165
07/01/10,221750.0,0.16,0.165,0.165,0.16
08/01/10,21450.0,0.165,0.165,0.165,0.165
11/01/10,26500.0,0.155,0.17,0.17,0.155
12/01/10,1293200.0,0.155,0.155,0.16,0.155
13/01/10,22400.0,0.16,0.16,0.16,0.16
14/01/10,298100.0,0.155,0.155,0.155,0.15
15/01/10,172050.0,0.155,0.155,0.155,0.155
18/01/10,160000.0,0.16,0.16,0.16,0.16
20/01/10,6000.0,0.15,0.15,0.15,0.15
22/01/10,873450.0,0.155,0.145,0.16,0.145
25/01/10,4200.0,0.14,0.14,0.14,0.14
29/01/10,35000.0,0.14,0.14,0.14,0.14
03/02/10,1000.0,0.1,0.1,0.1,0.1
05/02/10,272500.0,0.13,0.14,0.14,0.13
08/02/10,67800.0,0.14,0.13,0.14,0.13
10/02/10,233050.0,0.135,0.135,0.145,0.13
11/02/10,2505000.0,0.14,0.155,0.175,0.14
12/03/10,1550.0,0.155,0.155,0.155,0.155
16/03/10,1500.0,0.15,0.15,0.15,0.15
31/03/10,8000.0,0.16,0.16,0.16,0.16
20/04/10,60800.0,0.16,0.15,0.16,0.15
21/04/10,9000.0,0.15,0.15,0.15,0.15
23/04/10,13600.0,0.15,0.15,0.155,0.15
30/04/10,39500.0,0.155,0.15,0.155,0.15
05/05/10,279500.0,0.155,0.15,0.155,0.15
13/05/10,580500.0,0.15,0.15,0.15,0.15
14/05/10,183000.0,0.15,0.15,0.15,0.15
17/05/10,45000.0,0.15,0.15,0.15,0.15
19/05/10,222000.0,0.15,0.15,0.15,0.15
25/05/10,162400.0,0.14,0.14,0.14,0.14
27/05/10,1400.0,0.14,0.14,0.14,0.14
28/05/10,16800.0,0.14,0.14,0.14,0.14
01/06/10,14000.0,0.14,0.14,0.14,0.14
04/06/10,1450.0,0.145,0.145,0.145,0.145
10/06/10,461700.0,0.135,0.145,0.145,0.135
11/06/10,73950.0,0.145,0.145,0.145,0.145
15/06/10,15900.0,0.14,0.145,0.145,0.14
16/06/10,62150.0,0.14,0.145,0.145,0.14
21/06/10,5600.0,0.14,0.14,0.14,0.14
22/06/10,7400.0,0.15,0.14,0.15,0.14
23/06/10,5600.0,0.14,0.14,0.14,0.14
24/06/10,105000.0,0.15,0.15,0.15,0.15
28/06/10,142150.0,0.145,0.15,0.15,0.145
29/06/10,15950.0,0.145,0.145,0.145,0.145
01/07/10,7000.0,0.14,0.14,0.14,0.14
02/07/10,19600.0,0.14,0.14,0.14,0.14
06/07/10,140000.0,0.14,0.14,0.14,0.14
08/07/10,5550.0,0.135,0.145,0.145,0.135
14/07/10,1350.0,0.135,0.135,0.135,0.135
15/07/10,7140150.0,0.14,0.15,0.155,0.14
16/07/10,41500.0,0.14,0.145,0.145,0.14
19/07/10,46350.0,0.145,0.145,0.145,0.14
20/07/10,401000.0,0.14,0.145,0.15,0.14
22/07/10,933000.0,0.145,0.155,0.165,0.145
23/07/10,713600.0,0.16,0.16,0.16,0.16
20/09/10,75270.0,0.161,0.166,0.166,0.16
21/09/10,602300.0,0.165,0.165,0.17,0.165
22/09/10,960200.0,0.17,0.172,0.172,0.17
23/09/10,573910.0,0.172,0.184,0.184,0.172
24/09/10,253100.0,0.175,0.182,0.182,0.175
27/09/10,995350.0,0.185,0.18,0.185,0.173
28/09/10,97650.0,0.175,0.181,0.181,0.175
29/09/10,81000.0,0.18,0.18,0.18,0.18
30/09/10,515030.0,0.181,0.175,0.181,0.17
01/10/10,137720.0,0.175,0.171,0.175,0.171
04/10/10,22120.0,0.17,0.171,0.171,0.17
05/10/10,133190.0,0.171,0.17,0.172,0.164
06/10/10,1700.0,0.17,0.17,0.17,0.17
07/10/10,333300.0,0.17,0.17,0.178,0.17
08/10/10,11800.0,0.17,0.17,0.17,0.165
12/10/10,88300.0,0.17,0.165,0.17,0.165
13/10/10,14860.0,0.166,0.165,0.166,0.165
14/10/10,3470.0,0.177,0.17,0.177,0.17
15/10/10,136960.0,0.165,0.165,0.166,0.165
19/10/10,13120.0,0.164,0.164,0.164,0.164
20/10/10,164900.0,0.164,0.162,0.164,0.161
