Date,Value,Open,Close,High,Low
03/08/09,247000.0,8.2,8.3,8.3,8.2
04/08/09,67000.0,8.3,8.3,8.9,8.3
07/08/09,283500.0,8.9,9.0,9.2,8.8
10/08/09,658800.0,8.9,9.0,9.0,8.9
14/08/09,321500.0,8.9,9.0,9.0,8.9
17/08/09,175000.0,9.0,8.5,9.0,8.5
20/08/09,8900.0,8.9,8.9,8.9,8.9
24/08/09,8900.0,8.9,8.9,8.9,8.9
25/08/09,780900.0,8.3,8.3,8.8,8.3
26/08/09,99600.0,8.3,8.3,8.3,8.3
03/09/09,438400.0,8.3,8.3,8.4,8.2
04/09/09,125100.0,8.3,8.4,8.4,8.3
16/09/09,17600.0,8.8,8.8,8.8,8.8
17/09/09,148900.0,8.8,8.7,8.8,8.7
18/09/09,2455800.0,8.9,11.25,11.5,8.9
22/09/09,334550.0,11.25,10.75,11.25,10.5
23/09/09,405550.0,10.5,10.0,10.5,10.0
30/09/09,583750.0,9.0,10.25,10.25,9.0
01/10/09,508075.0,10.0,10.5,10.5,10.0
02/10/09,199840.0,8.9,10.0,10.0,8.9
06/10/09,211000.0,10.25,10.25,10.25,10.0
08/10/09,662475.0,10.25,10.75,11.0,10.0
09/10/09,2527975.0,10.75,12.75,13.5,10.75
12/10/09,2281675.0,12.75,15.0,16.5,12.75
13/10/09,327500.0,15.0,14.5,15.25,14.25
14/10/09,29000.0,14.5,14.5,14.5,14.5
15/10/09,798500.0,14.25,14.25,15.0,14.25
16/10/09,236750.0,14.0,14.0,14.0,13.75
19/10/09,1482725.0,14.5,13.75,14.75,13.75
20/10/09,1070950.0,13.75,12.0,13.75,11.5
21/10/09,177500.0,12.0,11.5,12.0,11.5
22/10/09,1177250.0,11.5,11.5,12.5,10.75
23/10/09,351650.0,11.5,11.0,11.5,10.75
26/10/09,610800.0,10.25,10.25,10.75,10.25
27/10/09,179450.0,11.75,12.0,12.25,11.75
28/10/09,10125.0,11.25,11.25,11.25,11.25
29/10/09,392500.0,11.0,10.75,11.0,10.5
