Date,Value,Open,Close,High,Low
10/08/09,9000.0,9.0,9.0,9.0,9.0
04/09/09,47500.0,9.5,9.5,9.5,9.5
30/09/09,6996625.0,13.75,15.75,15.75,13.75
01/10/09,5856550.0,14.5,16.25,16.5,14.5
02/10/09,1082250.0,16.25,16.25,16.25,16.25
05/10/09,497000.0,16.25,16.75,16.75,16.25
06/10/09,4484700.0,17.0,17.25,17.75,17.0
07/10/09,1056925.0,17.0,16.5,17.0,16.25
08/10/09,2745100.0,16.5,17.5,17.5,16.5
09/10/09,35725.0,17.25,17.0,17.25,17.0
12/10/09,1604150.0,17.0,17.0,17.0,16.75
13/10/09,408950.0,16.75,16.25,16.75,16.25
14/10/09,125225.0,16.25,16.75,16.75,16.25
16/10/09,627925.0,16.5,16.75,16.75,16.5
19/10/09,631975.0,16.75,16.75,17.0,16.75
20/10/09,117250.0,16.75,16.75,16.75,16.75
21/10/09,23450.0,16.75,16.75,16.75,16.75
22/10/09,448900.0,16.75,16.75,16.75,16.75
23/10/09,366825.0,16.75,16.75,16.75,16.75
26/10/09,1700.0,17.0,17.0,17.0,17.0
27/10/09,396750.0,16.75,16.25,16.75,16.25
28/10/09,501500.0,16.25,16.5,16.5,16.25
30/10/09,728800.0,16.75,17.5,17.5,16.75
03/11/09,249800.0,19.0,18.5,19.0,18.0
04/11/09,124450.0,18.5,18.75,18.75,18.5
06/11/09,52025.0,17.75,19.75,19.75,17.75
09/11/09,91850.0,20.0,19.75,21.75,19.5
10/11/09,17550.0,19.5,19.5,19.5,19.5
11/11/09,70975.0,19.75,19.5,19.75,19.5
15/12/09,8100.0,27.0,27.0,27.0,27.0
21/12/09,20250.0,24.0,27.5,27.5,24.0
23/12/09,7950.0,26.5,26.5,26.5,26.5
29/12/09,63950.0,26.5,27.0,27.0,26.5
04/01/10,27500.0,27.5,27.5,27.5,27.5
05/01/10,402750.0,20.0,27.5,27.5,20.0
07/01/10,553250.0,26.5,27.0,27.0,26.5
21/01/10,350200.0,20.0,20.0,20.25,20.0
