Date,Value,Open,Close,High,Low
06/10/09,96000.0,4.8,4.8,4.8,4.8
07/10/09,118700.0,6.5,7.1,7.1,6.5
08/10/09,614400.0,7.2,10.25,10.25,7.2
09/10/09,878300.0,9.1,9.0,10.0,8.9
13/10/09,412000.0,6.3,6.8,6.8,6.3
14/10/09,1325000.0,7.0,9.9,10.0,7.0
15/10/09,1232150.0,9.9,9.3,10.25,9.0
16/10/09,314100.0,9.1,9.2,9.3,9.1
19/10/09,125100.0,8.9,9.0,9.0,8.9
20/10/09,198000.0,9.0,9.0,9.0,9.0
21/10/09,214000.0,9.0,8.9,9.0,8.9
28/10/09,75000.0,7.5,7.5,7.5,7.5
03/11/09,86900.0,6.8,6.4,6.9,6.4
06/11/09,7000.0,7.0,7.0,7.0,7.0
09/11/09,62400.0,8.0,8.0,9.6,8.0
15/12/09,7850.0,13.0,13.0,13.25,13.0
16/12/09,6450.0,10.0,12.5,12.5,10.0
17/12/09,105775.0,11.5,10.5,12.0,10.5
18/12/09,1000.0,10.0,10.0,10.0,10.0
21/12/09,39000.0,13.0,13.0,13.0,13.0
22/12/09,222875.0,13.0,10.0,13.0,10.0
23/12/09,90000.0,10.0,10.0,10.0,10.0
29/12/09,1200.0,12.0,12.0,12.0,12.0
05/01/10,114920.0,10.0,10.0,10.0,9.6
06/01/10,10000.0,10.0,10.0,10.0,10.0
07/01/10,38000.0,9.5,9.5,9.5,9.5
11/01/10,28500.0,9.5,9.5,9.5,9.5
12/01/10,20000.0,10.0,10.0,10.0,10.0
18/01/10,36000.0,9.0,9.0,9.0,9.0
21/01/10,82600.0,9.5,7.2,10.0,7.2
28/01/10,21200.0,5.2,8.0,8.0,5.2
01/02/10,22100.0,6.8,8.0,8.0,6.8
02/02/10,38200.0,8.7,10.5,10.5,8.7
03/02/10,49360.0,7.0,10.0,10.0,7.0
05/02/10,69300.0,9.9,9.9,9.9,9.9
08/02/10,77300.0,8.9,8.5,8.9,8.5
09/02/10,72200.0,6.3,7.0,7.5,6.3
11/02/10,42500.0,8.5,8.5,8.5,8.5
08/03/10,7200.0,7.2,7.2,7.2,7.2
12/03/10,5100.0,5.1,5.1,5.1,5.1
17/03/10,7600.0,7.6,7.6,7.6,7.6
22/04/10,8000.0,8.0,8.0,8.0,8.0
29/04/10,1545225.0,11.5,15.5,15.5,11.5
30/04/10,704600.0,16.0,14.5,16.5,14.5
04/05/10,132800.0,14.0,12.0,14.0,12.0
05/05/10,220000.0,11.0,11.0,11.0,11.0
14/05/10,75000.0,7.5,7.5,7.5,7.5
17/05/10,7500.0,7.5,7.5,7.5,7.5
21/05/10,8000.0,8.0,8.0,8.0,8.0
27/05/10,67250.0,10.25,9.5,10.25,9.5
01/06/10,90000.0,9.0,9.0,9.0,9.0
10/06/10,45000.0,9.0,9.0,9.0,9.0
11/06/10,9000.0,9.0,9.0,9.0,9.0
15/06/10,1277000.0,9.0,13.25,13.5,9.0
16/06/10,150500.0,13.0,12.5,13.0,12.0
21/06/10,111150.0,9.5,9.7,10.0,9.5
28/06/10,41000.0,10.0,10.5,10.5,10.0
29/06/10,95000.0,10.0,10.0,10.0,10.0
01/07/10,96000.0,11.0,10.0,11.0,10.0
02/07/10,115500.0,10.5,10.5,10.5,10.5
06/07/10,10500.0,10.5,10.5,10.5,10.5
07/07/10,5250.0,10.5,10.5,10.5,10.5
13/07/10,25200.0,10.0,11.0,11.0,10.0
14/07/10,23000.0,11.5,11.5,11.5,11.5
15/07/10,33000.0,11.0,11.0,11.0,11.0
20/07/10,52500.0,10.5,10.5,10.5,10.5
22/07/10,252375.0,10.5,11.0,11.0,10.5
23/07/10,11000.0,11.0,11.0,11.0,11.0
06/10/10,5040.0,7.2,7.2,7.2,7.2
07/10/10,12960.0,7.2,7.2,7.2,7.2
06/12/10,100000.0,5.0,5.0,5.0,5.0
18/01/11,52100.0,5.21,5.21,5.21,5.21
19/01/11,312000.0,5.2,5.2,5.2,5.2
19/01/11,312000.0,5.2,5.2,5.2,5.2
01/02/11,51400.0,5.14,5.14,5.14,5.14
01/02/11,51400.0,5.14,5.14,5.14,5.14
06/04/11,77580.0,6.0,6.9,6.9,6.0
12/04/11,32887.0,6.02,6.1,6.1,6.02
04/05/11,610.0,6.1,6.1,6.1,6.1
03/06/11,4518.0,4.12,3.98,4.12,3.98
16/06/11,4120.0,4.12,4.12,4.12,4.12
17/06/11,10000.0,5.0,5.0,5.0,5.0
01/07/11,4120.0,4.12,4.12,4.12,4.12
04/07/11,15100.0,3.02,3.02,3.02,3.02
23/08/11,4120.0,4.12,4.12,4.12,4.12
26/08/11,2461900.0,4.35,4.38,4.38,4.33
31/08/11,2765620.0,4.45,4.46,4.46,4.45
01/09/11,33670.0,4.81,4.81,4.81,4.81
02/09/11,95180.0,4.53,4.54,4.54,4.53
05/09/11,106900.0,4.6,4.65,4.65,4.6
06/09/11,159360.0,4.98,4.98,4.98,4.98
07/09/11,360410.0,5.03,6.18,6.18,5.03
08/09/11,3794.0,7.08,7.3,8.5,7.08
09/09/11,553850.0,5.83,5.83,5.83,5.83
12/09/11,2757997.0,7.29,5.83,7.29,5.82
14/09/11,1337360.0,5.84,5.84,5.84,5.84
15/09/11,4680.0,5.85,5.85,5.85,5.85
19/09/11,4755.0,6.0,5.85,6.0,5.85
20/09/11,1209480.0,4.56,4.6,4.6,4.56
21/09/11,3060380.0,4.64,4.85,4.85,4.63
23/09/11,2219700.0,4.9,4.9,4.9,4.9
26/09/11,74910.0,5.83,4.92,5.83,4.92
03/10/11,1892030.0,4.86,4.87,4.87,4.86
04/10/11,3257180.0,4.86,4.87,4.88,4.86
06/10/11,3199230.0,4.87,4.86,4.87,4.86
11/10/11,6825490.0,4.87,4.86,4.88,4.86
12/10/11,2938020.0,4.88,4.9,4.9,4.87
13/10/11,58440.0,4.87,4.87,4.87,4.87
14/10/11,2364020.0,4.88,4.89,4.89,4.88
17/10/11,3244420.0,4.93,4.92,4.93,4.92
18/10/11,4189110.0,4.93,4.94,4.95,4.93
19/10/11,3224350.0,5.01,5.5,5.5,5.01
20/10/11,2375058.0,4.81,4.8,4.81,4.8
21/10/11,39360.0,4.92,4.92,4.92,4.92
24/10/11,3308500.0,4.9,4.81,4.9,4.8
25/10/11,3383520.0,4.83,4.85,4.85,4.8
26/10/11,3344490.0,4.89,4.84,4.89,4.84
27/10/11,3326060.0,4.86,5.2,5.2,4.86
28/10/11,14320.0,4.9,5.2,5.2,4.9
08/11/11,4419.0,4.91,4.91,4.91,4.91
10/11/11,115550.0,5.2,6.1,6.1,5.2
11/11/11,197388.0,6.31,9.15,9.15,6.31
14/11/11,1800064.0,13.72,13.72,13.72,13.72
15/11/11,1228890.0,20.55,20.55,20.55,20.55
16/11/11,17015937.0,29.9,30.8,30.8,16.0
17/11/11,41397390.0,31.1,46.2,46.2,30.0
18/11/11,25845925.0,53.0,69.3,69.3,46.5
21/11/11,32803613.5,79.0,76.0,102.8,74.9
25/11/11,7336273.0,64.9,39.0,64.9,38.0
28/11/11,11045845.0,31.0,35.1,40.0,27.6
29/11/11,4343220.0,35.3,39.75,52.0,32.0
01/12/11,1358640.0,40.0,36.7,42.5,35.8
02/12/11,1482465.0,35.0,30.5,35.5,30.3
05/12/11,676615.0,30.0,30.65,32.5,30.0
06/12/11,645705.0,30.0,28.0,30.8,27.0
07/12/11,806130.0,28.0,24.9,28.0,24.3
08/12/11,741715.0,24.85,22.0,24.85,21.0
09/12/11,1248375.0,21.2,23.05,28.0,20.5
12/12/11,1260950.0,24.9,25.15,25.8,24.0
13/12/11,4791230.0,25.6,34.05,37.7,25.6
14/12/11,6991430.0,35.0,38.2,39.9,34.9
15/12/11,7774775.0,38.5,32.0,39.0,30.0
16/12/11,1491305.0,32.05,33.65,35.0,32.05
19/12/11,1220170.0,33.75,30.7,33.9,30.05
20/12/11,1637720.0,30.65,27.9,32.0,27.1
21/12/11,831565.0,28.0,27.0,28.1,26.9
22/12/11,1102365.0,28.0,30.3,30.8,28.0
23/12/11,738335.0,30.4,28.2,30.4,27.7
26/12/11,599080.0,28.25,28.25,29.05,28.0
27/12/11,495575.0,28.3,28.0,28.6,27.5
28/12/11,83755.0,28.0,28.05,28.1,27.7
29/12/11,643060.0,28.4,28.7,30.3,28.4
02/01/12,2318055.0,28.8,30.0,33.8,28.5
03/01/12,816145.0,30.2,31.95,32.0,30.2
04/01/12,6541590.0,32.05,37.0,38.0,32.05
05/01/12,34336365.0,40.0,55.5,55.5,40.0
06/01/12,33965157.5,60.0,57.9,65.0,55.0
09/01/12,28632103.0,51.0,63.0,63.65,42.0
10/01/12,18545223.5,63.9,54.75,63.9,52.2
11/01/12,17860123.0,50.55,54.0,60.1,50.5
12/01/12,3622671.5,54.0,53.0,57.0,52.8
13/01/12,4585019.5,54.9,52.0,54.9,52.0
16/01/12,2252505.5,50.9,51.0,53.2,50.55
17/01/12,7513711.5,51.0,52.0,53.25,49.5
18/01/12,6161396.0,52.0,50.6,52.5,50.25
19/01/12,6144014.0,51.7,52.1,54.95,51.7
20/01/12,2902338.5,53.5,51.3,53.5,51.2
24/01/12,7047429.0,51.65,49.0,51.7,46.5
25/01/12,2591785.0,49.0,47.4,49.05,46.75
26/01/12,12992545.0,48.0,50.5,55.0,46.8
27/01/12,8602400.5,53.45,51.05,55.0,50.7
30/01/12,4781655.5,51.9,48.45,51.9,47.0
