Date,Value,Open,Close,High,Low
15/10/09,3000.0,30.0,30.0,30.0,30.0
22/12/09,3000.0,30.0,30.0,30.0,30.0
23/12/09,3200.0,32.0,32.0,32.0,32.0
05/01/10,14000.0,28.0,28.0,28.0,28.0
06/01/10,28000.0,28.0,28.0,28.0,28.0
08/01/10,15500.0,31.0,31.0,31.0,31.0
14/01/10,13900.0,32.5,37.0,37.0,32.5
15/01/10,26100.0,42.0,45.0,45.0,42.0
18/01/10,174350.0,54.0,67.0,67.0,54.0
19/01/10,35300.0,87.0,89.0,89.0,87.0
20/01/10,98400.0,82.0,82.0,82.0,82.0
22/01/10,92400.0,82.0,100.0,100.0,82.0
09/02/10,30000.0,100.0,100.0,100.0,100.0
23/04/10,448500.0,63.0,61.5,63.0,61.5
01/10/10,345920.0,46.0,92.0,92.0,46.0
06/10/10,972000.0,90.0,92.0,128.0,90.0
07/10/10,13500.0,90.0,90.0,90.0,90.0
27/01/11,49444.5,47.0,72.0,72.0,47.0
28/02/11,10050.0,67.0,67.0,67.0,67.0
12/04/11,12000.0,60.0,60.0,60.0,60.0
09/05/11,2450380.0,53.5,61.5,61.5,53.5
10/05/11,21660.0,61.5,75.0,75.0,61.5
11/05/11,14250.0,75.0,75.0,75.0,75.0
13/05/11,102050.0,60.0,75.0,75.0,60.0
16/05/11,1285.0,55.5,73.0,73.0,55.5
17/05/11,37920.0,79.0,79.0,79.0,79.0
19/05/11,2700716.0,88.0,100.0,112.0,81.0
20/05/11,5850496.0,111.0,135.0,138.0,111.0
23/05/11,62606.0,120.0,70.3,120.0,70.3
24/05/11,264570.0,100.0,60.2,105.0,60.2
25/05/11,638750.0,89.9,75.0,90.0,75.0
27/05/11,1500.0,75.0,75.0,75.0,75.0
03/06/11,75540.0,60.0,57.0,60.0,56.5
07/06/11,5022.0,55.8,55.8,55.8,55.8
08/06/11,7680.0,68.0,70.0,70.0,68.0
14/06/11,4762.0,70.0,56.2,70.0,56.2
16/06/11,1890.0,63.0,63.0,63.0,63.0
17/06/11,565.0,56.5,56.5,56.5,56.5
21/06/11,6762.0,56.2,56.2,56.5,56.2
27/06/11,6460.0,63.0,67.0,67.0,63.0
01/07/11,566.0,56.6,56.6,56.6,56.6
04/07/11,650.0,65.0,65.0,65.0,65.0
28/07/11,650.0,65.0,65.0,65.0,65.0
04/08/11,560.0,56.0,56.0,56.0,56.0
05/08/11,3250.0,65.0,65.0,65.0,65.0
08/08/11,28060.0,57.0,56.0,57.0,56.0
23/08/11,1695.0,56.5,56.5,56.5,56.5
26/09/11,134600.0,45.5,45.0,45.5,45.0
07/10/11,33600.0,56.0,56.0,56.0,56.0
13/10/11,11700.0,58.5,58.5,58.5,58.5
25/10/11,6100.0,61.0,61.0,61.0,61.0
10/11/11,550.0,55.0,55.0,55.0,55.0
16/11/11,2750.0,55.0,55.0,55.0,55.0
17/11/11,146715.0,50.5,53.0,55.0,50.5
21/11/11,25660.0,68.0,75.0,76.0,68.0
25/11/11,5876.0,45.2,45.2,45.2,45.2
