Date,Value,Open,Close,High,Low
03/08/09,11460.0,1.04,1.06,1.06,1.04
04/08/09,62720.0,1.06,1.08,1.08,1.06
11/08/09,43200.0,1.08,1.08,1.08,1.08
12/08/09,10600.0,1.06,1.06,1.06,1.06
14/08/09,10600.0,1.06,1.06,1.06,1.06
24/08/09,163400.0,1.1,1.1,1.1,1.08
25/08/09,137620.0,1.18,1.22,1.24,1.16
26/08/09,541980.0,1.22,1.26,1.3,1.22
03/09/09,241200.0,1.2,1.2,1.2,1.2
04/09/09,88800.0,1.2,1.2,1.2,1.2
23/09/09,55000.0,1.1,1.1,1.1,1.1
30/09/09,47700.0,1.06,1.06,1.06,1.06
08/10/09,56180.0,1.06,1.06,1.06,1.06
13/10/09,1060.0,1.06,1.06,1.06,1.06
15/10/09,106000.0,1.06,1.06,1.06,1.06
16/10/09,20800.0,1.04,1.04,1.04,1.04
19/10/09,368580.0,1.1,1.32,1.36,1.1
20/10/09,1300.0,1.3,1.3,1.3,1.3
21/10/09,23760.0,1.32,1.32,1.32,1.32
23/10/09,54860.0,1.28,1.32,1.34,1.1
28/10/09,31200.0,1.3,1.3,1.3,1.3
29/10/09,43040.0,1.32,1.32,1.32,1.14
30/10/09,1140.0,1.14,1.14,1.14,1.14
03/11/09,13680.0,1.14,1.14,1.14,1.14
04/11/09,6400.0,1.28,1.28,1.28,1.28
05/11/09,1280.0,1.28,1.28,1.28,1.28
11/11/09,1280.0,1.28,1.28,1.28,1.28
16/12/09,1060.0,1.06,1.06,1.06,1.06
17/12/09,55120.0,1.04,1.04,1.04,1.04
18/12/09,8320.0,1.04,1.04,1.04,1.04
29/12/09,105760.0,1.16,1.2,1.2,1.16
05/01/10,14880.0,1.24,1.24,1.24,1.24
08/01/10,27700.0,1.06,1.2,1.2,1.06
14/01/10,1200.0,1.2,1.2,1.2,1.2
21/01/10,9900.0,1.1,1.1,1.1,1.1
22/01/10,495000.0,1.1,1.1,1.1,1.1
26/01/10,64800.0,1.08,1.08,1.08,1.08
27/01/10,1100.0,1.1,1.1,1.1,1.1
28/01/10,42840.0,1.02,1.02,1.02,1.02
29/01/10,10400.0,1.04,1.04,1.04,1.04
02/02/10,61800.0,1.04,1.02,1.04,1.02
03/02/10,53040.0,1.02,1.02,1.02,1.02
09/02/10,35700.0,1.02,1.02,1.02,1.02
10/02/10,266100.0,0.98,1.0,1.42,0.96
11/02/10,92800.0,1.02,1.04,1.04,1.02
15/03/10,290480.0,1.08,1.08,1.08,1.06
16/03/10,35640.0,1.08,1.08,1.08,1.08
17/03/10,2120.0,1.06,1.06,1.06,1.06
31/03/10,1160.0,1.16,1.16,1.16,1.16
23/04/10,7560.0,1.08,1.08,1.08,1.08
30/04/10,2320.0,1.16,1.16,1.16,1.16
21/05/10,2160.0,1.08,1.08,1.08,1.08
25/05/10,21600.0,1.08,1.08,1.08,1.08
26/05/10,4240.0,1.06,1.06,1.06,1.06
01/06/10,2000.0,1.0,1.0,1.0,1.0
04/06/10,11200.0,1.12,1.12,1.12,1.12
07/06/10,46800.0,1.04,1.04,1.04,1.04
08/06/10,8320.0,1.04,1.04,1.04,1.04
09/06/10,5300.0,1.06,1.06,1.06,1.06
23/06/10,32400.0,1.08,1.08,1.08,1.08
24/06/10,20160.0,1.12,1.12,1.12,1.12
25/06/10,32400.0,1.08,1.08,1.08,1.08
28/06/10,32400.0,1.08,1.08,1.08,1.08
02/07/10,20100.0,1.1,1.12,1.12,1.1
07/07/10,1120.0,1.12,1.12,1.12,1.12
09/07/10,42400.0,1.06,1.06,1.06,1.06
13/07/10,1060.0,1.06,1.06,1.06,1.06
16/07/10,53000.0,1.06,1.06,1.06,1.06
20/07/10,42840.0,1.02,1.02,1.02,1.02
21/07/10,112300.0,1.08,1.08,1.08,1.06
22/07/10,35200.0,1.1,1.1,1.1,1.1
21/09/10,4200.0,1.05,1.05,1.05,1.05
22/09/10,51300.0,1.05,1.08,1.08,1.05
24/09/10,25300.0,1.1,1.1,1.1,1.1
27/09/10,30240.0,1.12,1.12,1.12,1.12
28/09/10,17250.0,1.15,1.15,1.15,1.15
30/09/10,2310.0,1.16,1.15,1.16,1.15
04/10/10,1100.0,1.1,1.1,1.1,1.1
21/10/10,2120.0,1.06,1.06,1.06,1.06
26/10/10,58840.0,1.05,1.05,1.06,1.05
27/10/10,137300.0,1.05,1.06,1.06,1.05
28/10/10,327500.0,1.0,1.07,1.07,1.0
02/11/10,35000.0,1.0,1.0,1.0,1.0
03/11/10,2040.0,1.02,1.02,1.02,1.02
04/11/10,63500.0,1.0,1.07,1.07,1.0
08/11/10,56640.0,1.03,1.05,1.05,1.03
10/11/10,33990.0,1.03,1.03,1.03,1.03
11/11/10,108000.0,1.08,1.08,1.08,1.08
12/11/10,56900.0,1.09,1.05,1.09,1.05
15/11/10,109000.0,1.09,1.09,1.09,1.09
30/11/10,3240.0,1.08,1.08,1.08,1.08
02/12/10,112200.0,1.02,1.02,1.02,1.02
03/12/10,1010.0,1.01,1.01,1.01,1.01
07/12/10,5400.0,1.08,1.08,1.08,1.08
08/12/10,2020.0,1.01,1.01,1.01,1.01
23/12/10,106080.0,1.04,1.04,1.04,1.04
29/12/10,81080.0,1.08,1.0,1.08,1.0
29/12/10,81080.0,1.08,1.0,1.08,1.0
04/01/11,5000.0,1.0,1.0,1.0,1.0
05/01/11,1000.0,1.0,1.0,1.0,1.0
11/01/11,15750.0,1.05,1.05,1.05,1.05
11/01/11,15750.0,1.05,1.05,1.05,1.05
12/01/11,59400.0,1.08,1.08,1.08,1.08
13/01/11,15800.0,1.04,1.06,1.06,1.04
20/01/11,192000.0,1.0,1.0,1.0,1.0
20/01/11,192000.0,1.0,1.0,1.0,1.0
28/01/11,30600.0,1.02,1.02,1.02,1.02
28/01/11,30600.0,1.02,1.02,1.02,1.02
02/02/11,112200.0,1.02,1.02,1.02,1.02
17/02/11,204000.0,1.02,1.02,1.02,1.02
18/02/11,1020.0,1.02,1.02,1.02,1.02
22/02/11,72860.0,0.95,1.02,1.02,0.95
22/02/11,72860.0,0.95,1.02,1.02,0.95
23/02/11,10000.0,1.0,1.0,1.0,1.0
23/02/11,10000.0,1.0,1.0,1.0,1.0
16/03/11,54520.0,0.94,0.94,0.94,0.94
22/03/11,24960.0,0.96,0.96,0.96,0.96
25/03/11,50000.0,1.0,1.0,1.0,1.0
29/03/11,1000.0,1.0,1.0,1.0,1.0
30/03/11,200000.0,1.0,1.0,1.0,1.0
31/03/11,148000.0,1.0,1.0,1.0,1.0
01/04/11,100000.0,1.0,1.0,1.0,1.0
04/04/11,19800.0,0.99,0.99,0.99,0.99
06/04/11,2700.0,0.9,0.9,0.9,0.9
07/04/11,151000.0,1.0,1.0,1.0,1.0
13/04/11,92700.0,0.9,0.9,0.9,0.9
26/04/11,597300.0,0.91,0.9,0.92,0.9
27/04/11,138600.0,0.9,0.9,0.9,0.9
28/04/11,45900.0,0.9,0.9,0.9,0.9
29/04/11,27000.0,0.9,0.9,0.9,0.9
03/05/11,164600.0,0.9,0.9,0.9,0.89
04/05/11,131800.0,0.9,0.9,0.9,0.89
05/05/11,131240.0,0.9,0.89,0.9,0.88
06/05/11,139870.0,0.88,0.86,0.88,0.86
09/05/11,34490.0,0.84,0.84,0.85,0.84
10/05/11,150400.0,0.84,0.84,0.84,0.83
11/05/11,144900.0,0.84,0.9,0.9,0.84
12/05/11,118260.0,0.86,0.89,0.92,0.85
13/05/11,77900.0,0.9,0.85,0.9,0.85
16/05/11,124950.0,0.85,0.85,0.85,0.85
17/05/11,167500.0,0.83,0.84,0.85,0.83
18/05/11,33200.0,0.83,0.83,0.83,0.83
19/05/11,33200.0,0.83,0.83,0.83,0.83
20/05/11,106700.0,0.83,0.82,0.83,0.82
24/05/11,395820.0,0.81,0.8,0.85,0.8
25/05/11,80800.0,0.8,0.8,0.8,0.8
26/05/11,40000.0,0.8,0.8,0.8,0.8
27/05/11,833390.0,0.79,0.76,0.79,0.76
30/05/11,170100.0,0.76,0.76,0.76,0.75
31/05/11,301010.0,0.76,0.75,0.76,0.75
01/06/11,495470.0,0.76,0.76,0.78,0.76
03/06/11,77000.0,0.77,0.77,0.77,0.77
06/06/11,244720.0,0.76,0.76,0.76,0.76
09/06/11,193250.0,0.76,0.75,0.76,0.75
10/06/11,153000.0,0.76,0.77,0.77,0.76
