Date,Value,Open,Close,High,Low
03/08/09,15134200.0,9.0,9.9,9.9,9.0
04/08/09,1421550.0,10.25,10.0,10.25,9.9
06/08/09,1875100.0,10.0,9.8,10.0,9.6
07/08/09,357600.0,9.7,9.7,9.8,9.6
10/08/09,5823600.0,9.8,10.5,10.5,9.8
11/08/09,2870750.0,10.5,10.25,10.5,9.9
12/08/09,7239425.0,10.0,11.0,11.0,10.0
13/08/09,672700.0,11.0,11.0,11.25,10.75
14/08/09,1175625.0,11.25,10.5,11.25,10.5
17/08/09,3329880.0,10.5,9.7,10.5,9.7
18/08/09,1511300.0,9.6,9.9,9.9,9.4
19/08/09,12347750.0,10.0,10.25,10.25,10.0
20/08/09,1761900.0,10.0,10.0,10.0,9.8
24/08/09,3517250.0,10.0,10.5,10.5,10.0
25/08/09,899260.0,10.25,10.25,10.5,9.9
26/08/09,2736450.0,10.25,10.5,10.5,10.25
03/09/09,2316700.0,9.9,10.0,10.0,9.9
04/09/09,4460200.0,10.0,10.0,10.0,9.9
16/09/09,1088175.0,10.25,10.0,10.25,10.0
17/09/09,280500.0,10.0,10.25,10.25,10.0
18/09/09,2105125.0,10.25,10.25,10.25,10.0
22/09/09,52050.0,10.25,10.25,10.25,10.0
23/09/09,703100.0,10.25,10.25,10.25,10.0
01/10/09,1089750.0,10.0,10.25,10.25,9.9
02/10/09,960430.0,9.9,10.0,10.0,9.9
06/10/09,851000.0,10.0,10.25,10.25,10.0
07/10/09,11390025.0,10.25,11.0,11.0,10.25
08/10/09,1622775.0,11.0,10.75,11.0,10.5
09/10/09,934875.0,10.75,10.75,10.75,10.25
12/10/09,545100.0,10.5,10.5,10.5,10.25
13/10/09,208850.0,10.5,10.5,10.5,10.25
14/10/09,486050.0,10.5,10.5,10.5,10.25
15/10/09,1934850.0,10.5,10.75,10.75,10.5
16/10/09,118050.0,10.5,10.75,10.75,10.5
19/10/09,115100.0,10.25,10.5,10.5,10.25
20/10/09,11489300.0,10.5,10.75,10.75,10.5
21/10/09,1230475.0,10.5,10.25,10.5,10.25
22/10/09,1956750.0,10.0,10.0,10.25,9.9
23/10/09,8358000.0,10.0,10.75,10.75,10.0
26/10/09,371300.0,10.5,10.75,10.75,10.5
27/10/09,194250.0,10.5,10.5,10.5,10.5
28/10/09,481750.0,10.25,10.25,10.25,10.25
29/10/09,972050.0,10.25,10.5,10.5,10.0
