Date,Value,Open,Close,High,Low
13/04/22,606547510.0,1.03,1.11,1.19,1.02
18/04/22,174121560.0,1.15,1.08,1.17,1.06
18/04/22,174121560.0,1.15,1.08,1.17,1.06
19/04/22,183719730.0,1.07,0.98,1.1,0.96
20/04/22,147348920.0,0.95,1.01,1.02,0.9
21/04/22,49051690.0,1.01,1.0,1.03,0.97
22/04/22,21939970.0,1.0,1.0,1.01,0.99
25/04/22,45746800.0,0.97,1.0,1.0,0.95
26/04/22,10992020.0,1.0,1.0,1.01,0.98
26/04/22,10992020.0,1.0,1.0,1.01,0.98
27/04/22,33738150.0,1.0,1.0,1.01,0.98
28/04/22,38139230.0,0.99,1.06,1.06,0.99
28/04/22,38139230.0,0.99,1.06,1.06,0.99
29/04/22,33386110.0,1.07,1.0,1.08,1.0
02/05/22,13286290.0,1.0,1.0,1.02,0.99
04/05/22,15426590.0,1.01,1.0,1.02,1.0
05/05/22,12512400.0,1.01,1.0,1.04,1.0
05/05/22,12512400.0,1.01,1.0,1.04,1.0
06/05/22,10511470.0,1.0,1.0,1.02,0.99
06/05/22,10511470.0,1.0,1.0,1.02,0.99
10/05/22,33978430.0,0.99,0.95,1.0,0.94
11/05/22,6011780.0,0.95,0.95,0.99,0.95
11/05/22,6011780.0,0.95,0.95,0.99,0.95
12/05/22,12912960.0,0.95,0.86,0.96,0.86
12/05/22,12912960.0,0.95,0.86,0.96,0.86
13/05/22,7502020.0,0.87,0.86,0.91,0.86
16/05/22,5722730.0,0.86,0.87,0.91,0.86
17/05/22,6689760.0,0.87,0.84,0.89,0.83
18/05/22,6329140.0,0.86,0.87,0.89,0.86
19/05/22,6854720.0,0.87,0.82,0.87,0.81
20/05/22,12967270.0,0.83,0.83,0.9,0.82
23/05/22,9460670.0,0.86,0.86,0.87,0.85
24/05/22,9909670.0,0.85,0.83,0.86,0.82
25/05/22,1569330.0,0.83,0.84,0.85,0.81
26/05/22,4235410.0,0.82,0.83,0.84,0.82
26/05/22,4235410.0,0.82,0.83,0.84,0.82
27/05/22,1725190.0,0.84,0.83,0.84,0.82
27/05/22,1725190.0,0.84,0.83,0.84,0.82
30/05/22,2437020.0,0.83,0.82,0.84,0.81
31/05/22,5934840.0,0.82,0.83,0.86,0.82
31/05/22,5934840.0,0.82,0.83,0.86,0.82
01/06/22,1193240.0,0.84,0.82,0.84,0.82
01/06/22,1193240.0,0.84,0.82,0.84,0.82
02/06/22,5386780.0,0.83,0.83,0.84,0.81
03/06/22,7348660.0,0.84,0.84,0.85,0.83
06/06/22,11967890.0,0.84,0.88,0.9,0.84
06/06/22,11967890.0,0.84,0.88,0.9,0.84
06/06/22,11967890.0,0.84,0.88,0.9,0.84
07/06/22,5941780.0,0.88,0.89,0.91,0.86
08/06/22,4523270.0,0.9,0.89,0.91,0.88
08/06/22,4523270.0,0.9,0.89,0.91,0.88
09/06/22,5506360.0,0.88,0.9,0.91,0.88
10/06/22,5705090.0,0.9,0.9,0.9,0.87
13/06/22,5212740.0,0.9,0.87,0.9,0.86
14/06/22,6058390.0,0.87,0.86,0.88,0.84
14/06/22,6058390.0,0.87,0.86,0.88,0.84
15/06/22,3473560.0,0.86,0.87,0.9,0.86
16/06/22,5763410.0,0.89,0.91,0.93,0.88
17/06/22,4727310.0,0.9,0.88,0.92,0.88
20/06/22,79860.0,0.88,0.89,0.91,0.88
21/06/22,893120.0,0.91,0.9,0.91,0.89
22/06/22,16548580.0,0.91,0.93,0.96,0.91
23/06/22,4168450.0,0.93,0.91,0.94,0.88
24/06/22,741200.0,0.91,0.9,0.93,0.9
27/06/22,6918470.0,0.92,0.93,0.94,0.91
28/06/22,12352170.0,0.93,0.95,0.97,0.93
29/06/22,3515160.0,0.95,0.93,0.96,0.92
30/06/22,6677070.0,0.95,0.93,0.95,0.92
01/07/22,8049130.0,0.94,0.93,0.95,0.93
04/07/22,4426670.0,0.94,0.93,0.95,0.92
05/07/22,2549100.0,0.93,0.95,0.96,0.93
06/07/22,790660.0,0.95,0.93,0.95,0.93
06/07/22,790660.0,0.95,0.93,0.95,0.93
06/07/22,790660.0,0.95,0.93,0.95,0.93
07/07/22,920450.0,0.93,0.94,0.95,0.93
07/07/22,920450.0,0.93,0.94,0.95,0.93
08/07/22,2587580.0,0.94,0.96,0.96,0.93
11/07/22,6436080.0,0.95,0.93,0.96,0.93
11/07/22,6436080.0,0.95,0.93,0.96,0.93
12/07/22,4668920.0,0.96,0.95,0.96,0.93
