Date,Value,Open,Close,High,Low
26/10/10,3400368646.0,132.0,133.0,133.5,128.0
27/10/10,910367418.0,132.0,131.0,132.3,129.5
28/10/10,544030230.0,131.0,125.1,131.0,125.0
29/10/10,599936988.0,125.4,124.5,125.4,124.1
02/11/10,460260823.0,124.5,124.0,124.5,123.5
03/11/10,838630951.0,124.1,119.8,124.1,116.0
04/11/10,250839982.0,119.8,122.4,123.0,119.8
08/11/10,376003629.0,121.8,117.0,121.8,116.9
09/11/10,313353110.0,117.0,124.5,124.5,117.0
10/11/10,397498317.0,122.4,125.1,125.5,122.4
11/11/10,289351562.0,124.5,126.0,127.2,124.5
12/11/10,174045274.0,126.0,125.6,126.5,124.4
15/11/10,404739304.0,125.3,124.0,125.6,123.5
17/11/10,248476615.0,123.8,120.1,123.8,119.0
18/11/10,211735658.0,120.3,125.5,126.0,120.3
19/11/10,298684793.0,125.9,129.0,129.4,125.9
22/11/10,299316217.0,129.0,127.3,129.0,126.7
23/11/10,192146067.0,127.3,127.3,127.6,126.5
24/11/10,232632477.0,126.5,125.5,126.6,125.5
25/11/10,264449239.0,125.5,125.0,126.0,125.0
26/11/10,161552140.0,125.0,125.0,125.5,125.0
30/11/10,123709289.0,125.0,125.5,125.5,125.0
01/12/10,37471423.0,125.0,125.5,125.5,125.0
02/12/10,39921934.0,126.0,126.1,126.5,125.8
03/12/10,51634504.0,126.0,127.0,127.0,125.9
06/12/10,126807396.0,127.0,126.0,127.0,126.0
07/12/10,89324810.0,125.5,125.0,125.6,125.0
08/12/10,275841977.0,125.0,124.7,125.1,124.6
22/12/10,88185425.0,106.3,106.6,107.0,106.3
23/12/10,91551101.0,107.0,112.0,112.0,106.2
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
28/12/10,96398034.0,109.9,111.0,111.0,109.0
29/12/10,82691007.0,111.0,110.5,111.0,110.0
29/12/10,82691007.0,111.0,110.5,111.0,110.0
03/01/11,94143267.0,114.0,114.0,114.0,113.0
03/01/11,94143267.0,114.0,114.0,114.0,113.0
03/01/11,94143267.0,114.0,114.0,114.0,113.0
04/01/11,98048996.0,113.8,111.0,113.8,110.0
05/01/11,156993547.0,110.9,106.9,110.9,106.9
06/01/11,123329218.0,108.0,105.6,108.0,105.5
07/01/11,57679431.0,106.0,104.9,106.8,104.8
10/01/11,171992068.0,105.0,102.0,105.0,99.8
11/01/11,88089569.0,104.0,100.3,104.0,100.3
11/01/11,88089569.0,104.0,100.3,104.0,100.3
12/01/11,182886524.0,100.2,101.5,101.9,100.2
13/01/11,239835391.0,102.0,100.8,102.0,100.5
14/01/11,109787152.0,100.8,99.65,101.0,99.3
17/01/11,191482289.5,99.5,98.95,99.5,98.7
18/01/11,132699239.0,98.0,93.0,98.0,92.8
19/01/11,294015009.5,93.0,90.2,93.0,86.0
19/01/11,294015009.5,93.0,90.2,93.0,86.0
20/01/11,212520569.0,90.2,91.6,91.9,89.7
20/01/11,212520569.0,90.2,91.6,91.9,89.7
24/01/11,123456469.0,94.7,92.9,94.7,90.5
25/01/11,298292531.0,94.0,93.0,94.2,92.9
26/01/11,114144241.5,93.6,94.7,94.8,93.5
27/01/11,212805731.5,94.8,99.2,99.5,94.8
28/01/11,136839464.0,99.2,99.2,100.0,98.7
28/01/11,136839464.0,99.2,99.2,100.0,98.7
31/01/11,58099272.5,98.55,98.0,98.55,97.0
31/01/11,58099272.5,98.55,98.0,98.55,97.0
01/02/11,53863211.0,98.0,97.0,98.95,96.5
01/02/11,53863211.0,98.0,97.0,98.95,96.5
02/02/11,72639918.0,97.0,97.0,97.2,96.0
03/02/11,59128980.0,98.0,97.15,98.0,97.0
14/02/11,89174603.5,92.3,89.75,92.3,89.5
16/02/11,148478817.0,90.0,89.35,90.0,89.25
16/02/11,148478817.0,90.0,89.35,90.0,89.25
17/02/11,240971213.0,89.4,89.25,89.4,89.2
18/02/11,61897588.5,90.0,89.8,90.5,89.75
21/02/11,221803680.5,89.85,89.7,89.9,89.65
21/02/11,221803680.5,89.85,89.7,89.9,89.65
22/02/11,84952544.0,89.7,87.65,89.7,87.6
22/02/11,84952544.0,89.7,87.65,89.7,87.6
23/02/11,117279904.5,86.1,82.9,86.1,82.0
23/02/11,117279904.5,86.1,82.9,86.1,82.0
24/02/11,92739845.0,82.7,79.1,82.7,79.1
24/02/11,92739845.0,82.7,79.1,82.7,79.1
25/02/11,177977137.5,78.9,77.3,78.9,74.5
28/02/11,133082168.0,77.0,81.9,82.5,77.0
02/03/11,168577563.5,88.8,88.0,88.8,85.0
03/03/11,100030247.0,88.0,88.5,88.7,88.0
04/03/11,20003565.5,88.45,88.9,89.95,88.45
04/03/11,20003565.5,88.45,88.9,89.95,88.45
07/03/11,209099778.5,88.8,86.1,90.0,85.0
08/03/11,264135475.0,86.0,86.0,86.1,86.0
08/03/11,264135475.0,86.0,86.0,86.1,86.0
11/03/11,18154253.0,85.5,85.45,85.7,85.0
11/03/11,18154253.0,85.5,85.45,85.7,85.0
16/03/11,138495790.5,85.25,86.0,87.0,85.2
17/03/11,152805747.5,86.0,84.9,86.0,84.9
18/03/11,150312878.5,87.9,85.5,87.9,85.3
21/03/11,103371437.5,86.0,86.1,90.0,86.0
22/03/11,40542469.5,88.0,86.1,88.0,86.1
23/03/11,4672009.0,86.1,86.3,86.3,86.0
24/03/11,5947349.0,86.5,86.15,87.0,86.1
25/03/11,247205745.5,86.45,83.9,86.45,83.9
28/03/11,160121509.0,83.9,79.65,83.9,79.5
29/03/11,104438563.5,79.7,77.5,79.7,77.5
30/03/11,286872837.0,79.0,79.0,79.8,77.8
31/03/11,396332506.0,79.4,79.5,79.7,78.7
01/04/11,231470286.0,79.8,81.35,82.6,79.7
04/04/11,93564448.5,82.1,83.2,83.5,82.1
05/04/11,101635671.5,83.2,82.3,83.35,82.0
06/04/11,73474239.5,82.3,82.3,82.5,81.9
07/04/11,90220896.5,82.5,83.2,83.45,82.5
08/04/11,49711213.5,83.3,83.9,83.9,83.15
11/04/11,127339649.0,82.5,79.5,82.5,79.5
12/04/11,91225297.0,79.45,78.0,79.45,77.5
13/04/11,189905136.0,78.2,78.0,78.5,77.65
14/04/11,123000834.5,79.95,79.0,79.95,78.2
15/04/11,55709579.5,79.9,79.3,79.95,79.05
26/04/11,248618313.0,78.0,77.45,78.0,76.75
27/04/11,21391319.5,77.0,78.05,79.0,77.0
28/04/11,19332890.5,78.95,78.5,79.6,78.3
29/04/11,95522081.5,78.5,84.0,84.0,78.5
02/05/11,204427027.5,84.15,89.7,90.5,84.15
03/05/11,358972196.0,89.5,92.5,93.5,87.9
04/05/11,109594165.0,92.5,91.0,93.5,89.1
05/05/11,17843105.0,91.0,89.5,92.0,89.1
06/05/11,359640184.5,90.15,93.0,94.5,90.15
09/05/11,222677835.5,93.0,93.5,94.5,93.0
10/05/11,50821757.5,93.5,92.5,93.55,90.0
11/05/11,58124733.0,92.5,91.9,92.5,90.4
12/05/11,101877135.5,92.2,92.75,92.75,91.5
13/05/11,142539754.5,92.65,96.25,98.15,92.65
16/05/11,86130204.5,96.2,96.0,96.25,95.1
17/05/11,84359133.5,95.0,95.0,96.0,94.3
18/05/11,56665380.0,95.0,95.5,95.8,95.0
19/05/11,163566778.0,95.5,96.0,96.25,95.5
20/05/11,79735376.0,96.0,96.55,96.6,95.5
23/05/11,106872628.5,96.55,93.3,96.55,93.3
24/05/11,180309046.0,93.3,91.0,93.3,90.5
25/05/11,11129917.0,91.1,88.75,91.1,88.75
26/05/11,47836439.0,88.75,85.7,88.75,85.65
27/05/11,82731142.0,85.7,85.45,85.8,85.3
30/05/11,26038855.0,86.0,85.05,86.0,85.0
31/05/11,180531186.5,85.3,88.7,89.5,85.25
01/06/11,48079245.5,89.5,89.45,90.0,89.0
03/06/11,48981621.5,87.0,85.9,87.0,85.9
06/06/11,48020170.5,86.0,84.2,86.0,84.2
07/06/11,27726509.0,84.2,85.0,85.5,84.2
08/06/11,17412410.5,84.5,83.5,84.5,83.5
09/06/11,19383811.0,83.5,83.0,83.5,83.0
10/06/11,6999660.0,83.0,83.65,85.0,83.0
13/06/11,4458330.5,83.0,83.2,84.0,82.5
14/06/11,34220343.5,83.2,82.8,84.0,82.55
15/06/11,32589354.0,82.8,85.0,85.95,82.8
16/06/11,59853194.0,84.5,86.85,87.6,83.5
17/06/11,143114427.0,87.0,91.65,91.65,85.3
21/06/11,36100247.0,88.05,90.3,91.0,88.05
22/06/11,42425014.0,90.25,88.6,91.0,88.6
23/06/11,23268039.5,88.7,87.5,88.7,87.0
24/06/11,198293204.5,88.1,92.0,94.0,88.1
27/06/11,74629922.0,92.5,92.0,93.9,91.45
28/06/11,34180318.5,92.45,92.0,92.5,91.05
29/06/11,26067793.5,92.0,90.0,92.0,89.5
30/06/11,32523583.0,90.0,91.0,91.0,89.95
01/07/11,37186982.0,91.0,91.4,91.5,90.2
04/07/11,88826639.0,91.4,90.3,92.0,90.3
05/07/11,20372327.0,90.5,89.5,90.6,89.5
06/07/11,32477195.5,89.5,88.3,89.5,88.1
07/07/11,114419326.0,87.5,87.05,87.55,86.85
08/07/11,188780991.5,87.0,85.4,87.3,85.2
11/07/11,45517922.5,86.9,84.75,86.9,84.55
12/07/11,50876144.0,84.95,84.2,84.95,83.1
13/07/11,23646920.0,84.3,86.05,86.7,84.25
14/07/11,31401938.0,86.0,86.1,86.3,85.9
15/07/11,41742545.0,86.0,86.5,86.6,85.8
18/07/11,16646203.0,86.5,86.2,86.5,86.2
19/07/11,21403131.5,86.0,86.05,86.5,85.8
20/07/11,28470437.5,86.4,85.8,86.5,85.8
21/07/11,69433860.5,85.8,84.5,85.8,84.5
22/07/11,28028620.0,85.0,84.0,85.0,83.95
25/07/11,19681633.0,84.0,84.2,85.0,84.0
26/07/11,18697381.0,84.5,84.2,84.5,84.2
27/07/11,13006872.0,84.2,84.7,84.9,84.1
28/07/11,13925688.5,84.8,84.65,84.8,84.6
29/07/11,47724501.0,84.95,84.2,85.0,84.2
01/08/11,14989277.0,84.25,84.55,85.45,84.2
02/08/11,3375967.5,84.6,84.6,84.6,84.3
03/08/11,50955878.0,84.6,83.0,84.6,81.8
04/08/11,20132526.0,83.2,82.7,83.6,82.65
05/08/11,41001775.5,81.0,81.8,82.5,80.5
08/08/11,46357318.0,81.5,80.9,81.75,80.9
09/08/11,23403071.5,80.45,80.05,80.45,79.5
10/08/11,74979633.5,82.0,82.8,83.05,82.0
11/08/11,11997550.0,81.6,81.1,82.0,80.5
12/08/11,60790054.5,81.1,80.7,82.1,80.7
15/08/11,22085009.5,80.7,80.35,80.7,80.0
16/08/11,58345224.0,80.35,80.35,80.6,80.3
17/08/11,33545057.0,80.3,79.95,80.3,79.9
18/08/11,43650400.5,79.95,79.95,81.0,79.85
19/08/11,14242432.5,79.0,79.2,79.9,79.0
22/08/11,13826902.5,79.0,78.4,79.15,78.4
23/08/11,164001077.0,78.4,78.4,78.4,78.3
24/08/11,38234950.0,78.8,78.3,78.8,78.3
25/08/11,32508617.5,79.0,80.7,81.95,79.0
26/08/11,50360647.0,80.0,80.1,81.0,80.0
31/08/11,37287383.0,80.3,81.4,82.0,80.3
01/09/11,37756764.0,82.0,81.95,82.0,81.45
02/09/11,53650000.5,81.95,81.95,82.0,81.1
05/09/11,13469207.5,82.0,80.95,82.0,80.2
06/09/11,52541358.0,80.1,80.0,80.15,80.0
07/09/11,6272679.0,80.05,80.15,80.5,80.0
08/09/11,24662892.0,80.55,80.3,80.65,80.25
09/09/11,12810199.0,80.5,81.0,81.4,80.25
12/09/11,24866194.5,81.0,80.05,81.0,80.05
13/09/11,30207607.5,80.1,79.65,80.3,79.5
14/09/11,18101646.5,79.65,78.5,79.65,78.45
15/09/11,7457850.5,79.1,79.7,79.7,78.55
16/09/11,85440629.5,79.9,82.0,82.0,79.7
19/09/11,15239030.0,82.5,82.2,82.5,82.0
20/09/11,14066782.5,82.2,79.9,82.2,79.9
21/09/11,40885206.0,80.0,79.8,80.0,79.7
22/09/11,21650742.0,79.8,77.0,79.8,77.0
23/09/11,70497339.5,74.5,72.0,74.5,71.0
26/09/11,81513515.5,72.0,67.3,72.0,67.3
28/09/11,283219274.0,72.0,70.0,72.3,69.9
29/09/11,21869303.0,69.5,71.2,71.5,69.5
03/10/11,27718480.5,71.6,70.0,71.6,69.8
04/10/11,30472341.0,70.0,72.3,72.3,69.7
05/10/11,11973247.5,72.5,72.0,72.5,71.0
06/10/11,9670984.5,72.9,73.0,73.0,71.5
07/10/11,91088987.0,73.9,72.5,74.0,72.5
10/10/11,44316694.0,73.4,73.0,73.45,73.0
11/10/11,21696004.0,74.0,73.4,75.0,73.3
12/10/11,6934303.0,74.0,73.55,74.5,73.55
13/10/11,8329614.5,74.45,73.9,75.0,73.9
14/10/11,10580264.0,74.0,74.9,75.0,73.9
17/10/11,7217513.0,76.5,75.5,76.5,74.95
18/10/11,13979015.0,75.5,73.9,75.5,73.9
19/10/11,21627731.5,74.1,76.0,76.25,74.1
20/10/11,2185239.5,76.9,76.0,76.9,75.8
21/10/11,11330987.0,76.6,75.0,76.6,74.8
24/10/11,9952449.0,76.5,75.0,76.5,74.9
25/10/11,22983790.5,75.0,74.95,75.3,74.9
26/10/11,17580438.5,74.95,74.85,75.1,74.5
27/10/11,19997243.5,75.5,75.5,75.8,75.0
28/10/11,20889242.0,77.0,76.95,77.4,76.55
02/11/11,78127320.0,75.0,75.0,75.3,74.5
03/11/11,10076580.0,75.0,74.5,75.0,74.5
04/11/11,152226039.5,76.0,76.0,76.5,75.0
08/11/11,29371480.5,75.85,75.0,75.85,73.7
09/11/11,36269789.0,75.0,75.0,75.3,74.85
10/11/11,69475706.5,74.5,73.5,74.5,73.3
11/11/11,30365835.5,74.0,73.25,74.0,73.0
14/11/11,50194899.0,73.25,72.5,73.25,72.25
15/11/11,45292600.0,72.5,72.0,72.5,71.5
16/11/11,26855075.0,71.5,71.5,71.95,71.0
17/11/11,157916789.0,71.5,71.0,71.65,70.0
18/11/11,7622522.0,71.0,71.4,71.9,71.0
21/11/11,32206260.0,71.5,70.0,71.5,70.0
22/11/11,3153647.5,71.0,71.4,71.5,70.65
23/11/11,6760161.5,71.4,71.0,71.4,71.0
