Date,Value,Open,Close,High,Low
02/06/17,431702617.0,5.2,5.16,5.39,5.13
02/06/17,431702617.0,5.2,5.16,5.39,5.13
05/06/17,74467546.0,5.23,5.22,5.27,5.17
06/06/17,183923179.0,5.22,5.45,5.45,5.2
07/06/17,200091923.0,5.45,5.67,5.67,5.45
08/06/17,125330276.0,5.7,5.62,5.74,5.52
09/06/17,68560736.0,5.6,5.42,5.62,5.41
13/06/17,33335529.0,5.43,5.33,5.5,5.31
14/06/17,18741896.0,5.34,5.41,5.44,5.31
15/06/17,48270667.0,5.42,5.46,5.56,5.41
16/06/17,24969022.0,5.47,5.37,5.49,5.33
19/06/17,26498018.0,5.37,5.39,5.44,5.37
20/06/17,91860927.0,5.41,5.59,5.62,5.39
21/06/17,196816355.0,5.62,5.9,5.92,5.54
22/06/17,118950514.0,5.95,5.65,5.98,5.64
23/06/17,66837188.0,5.69,5.65,5.78,5.65
27/06/17,40519067.0,5.7,5.6,5.83,5.58
28/06/17,47294566.0,5.63,5.54,5.7,5.54
29/06/17,100750252.0,5.56,5.36,5.64,5.31
30/06/17,39767773.0,5.36,5.34,5.44,5.27
03/07/17,34952902.0,5.39,5.4,5.55,5.32
04/07/17,14422415.0,5.47,5.41,5.48,5.41
05/07/17,28959036.0,5.44,5.41,5.47,5.35
06/07/17,19576160.0,5.4,5.41,5.58,5.4
07/07/17,19436439.0,5.41,5.36,5.45,5.34
10/07/17,13960975.0,5.37,5.38,5.4,5.33
11/07/17,14169560.0,5.4,5.36,5.45,5.33
12/07/17,67924275.0,5.34,5.3,5.36,5.22
13/07/17,34088635.0,5.3,5.23,5.3,5.2
14/07/17,24913125.0,5.25,5.31,5.38,5.23
17/07/17,64499879.0,5.35,5.33,5.51,5.33
18/07/17,21389295.0,5.34,5.33,5.45,5.3
19/07/17,18600455.0,5.33,5.32,5.4,5.29
20/07/17,39590123.0,5.3,5.29,5.35,5.23
21/07/17,16958978.0,5.29,5.25,5.3,5.19
24/07/17,12613915.0,5.25,5.21,5.25,5.19
25/07/17,125068629.0,5.21,4.85,5.23,4.84
26/07/17,16072750.0,4.87,4.89,4.97,4.87
27/07/17,42993840.0,4.92,4.75,4.95,4.62
28/07/17,26418720.0,4.76,4.69,4.9,4.67
31/07/17,8760870.0,4.7,4.61,4.76,4.61
01/08/17,6063400.0,4.65,4.64,4.7,4.58
02/08/17,9693560.0,4.67,4.75,4.83,4.66
03/08/17,6395850.0,4.75,4.9,4.9,4.75
04/08/17,5356790.0,4.9,4.76,4.96,4.75
07/08/17,4144140.0,4.79,4.82,4.89,4.79
08/08/17,21932540.0,4.82,4.66,4.84,4.65
09/08/17,30789680.0,4.66,4.8,4.86,4.66
10/08/17,60136860.0,4.95,4.87,5.05,4.87
