Date,Value,Open,Close,High,Low
03/08/09,4400.0,4.4,4.4,4.4,4.4
04/08/09,70400.0,4.4,4.4,4.4,4.4
20/08/09,330000.0,2.75,2.75,2.75,2.75
09/10/09,40000.0,4.0,4.0,4.0,4.0
16/10/09,59000.0,5.9,5.9,5.9,5.9
23/10/09,87000.0,8.7,8.7,8.7,8.7
27/10/09,127500.0,12.75,12.75,12.75,12.75
06/11/09,2600.0,13.0,13.0,13.0,13.0
22/12/09,117000.0,9.0,9.0,9.0,9.0
23/12/09,90000.0,9.0,9.0,9.0,9.0
29/12/09,858000.0,11.0,11.0,11.0,11.0
08/01/10,48000.0,8.0,8.0,8.0,8.0
08/03/10,17000.0,8.5,8.5,8.5,8.5
13/05/10,530800.0,13.0,14.0,16.0,13.0
14/05/10,175200.0,14.0,13.0,14.0,13.0
18/05/10,8500.0,8.5,8.5,8.5,8.5
27/05/10,22000.0,11.0,11.0,11.0,11.0
02/06/10,28000.0,10.0,9.0,10.0,9.0
03/06/10,1476000.0,9.0,9.0,9.0,9.0
04/06/10,300000.0,10.0,10.0,10.0,10.0
08/06/10,20000.0,10.0,10.0,10.0,10.0
09/06/10,450000.0,10.0,10.0,10.0,10.0
11/06/10,24000.0,12.0,12.0,12.0,12.0
16/06/10,808800.0,9.1,11.0,11.0,7.3
28/06/10,2000.0,10.0,10.0,10.0,10.0
06/07/10,10000.0,10.0,10.0,10.0,10.0
14/07/10,29000.0,14.5,14.5,14.5,14.5
16/07/10,6250.0,12.5,12.5,12.5,12.5
19/07/10,2200.0,11.0,11.0,11.0,11.0
22/09/10,8000.0,10.0,10.0,10.0,10.0
24/09/10,1250.0,12.5,12.5,12.5,12.5
27/09/10,1238.0,12.38,12.38,12.38,12.38
28/09/10,12000.0,12.0,12.0,12.0,12.0
13/10/10,19800.0,9.0,9.0,9.0,9.0
14/10/10,28450.0,7.65,11.0,11.0,7.65
26/10/10,66000.0,11.0,11.0,11.0,11.0
10/11/10,60380.0,9.5,11.8,11.8,9.5
03/11/11,856680.0,17.7,17.7,17.7,17.7
04/11/11,5261320.0,23.5,25.0,26.55,23.0
08/11/11,1418606.0,25.0,17.52,25.0,17.0
09/11/11,500500.0,20.0,17.0,20.0,17.0
10/11/11,67730.0,17.1,16.5,17.1,16.0
11/11/11,121918.0,13.6,15.8,15.8,13.6
14/11/11,85080.0,16.5,17.0,18.7,14.52
15/11/11,647920.0,17.0,20.75,22.0,15.0
16/11/11,228800.0,20.0,18.0,20.5,18.0
17/11/11,240880.0,17.98,16.7,17.98,15.2
18/11/11,101800.0,19.0,18.5,19.0,17.4
21/11/11,1133465.0,18.5,19.9,23.0,18.5
22/11/11,248468.0,18.02,17.04,18.26,17.04
23/11/11,83350.0,17.0,16.6,17.0,16.6
24/11/11,220288.0,16.04,17.96,18.0,16.02
25/11/11,58432.0,17.78,16.02,17.78,16.02
28/11/11,100452.0,17.48,16.96,17.48,15.0
29/11/11,280498.0,16.94,15.0,16.94,14.0
01/12/11,139956.0,16.28,15.0,16.28,15.0
02/12/11,13640.0,14.8,15.58,15.58,14.8
05/12/11,35870.0,15.0,14.5,15.4,14.5
06/12/11,110530.0,15.38,14.7,15.88,14.7
07/12/11,99888.0,14.7,15.4,15.6,14.7
09/12/11,3116.0,15.58,15.58,15.58,15.58
12/12/11,25378.0,14.06,14.52,14.52,14.04
13/12/11,1548.0,15.48,15.48,15.48,15.48
14/12/11,7500.0,15.0,15.0,15.0,15.0
15/12/11,91894.0,13.72,15.26,15.28,13.62
19/12/11,63848.0,13.88,13.88,13.88,13.88
21/12/11,99400.0,14.18,14.2,14.3,14.18
22/12/11,65820.0,14.0,14.0,14.2,14.0
23/12/11,14000.0,14.0,14.0,14.0,14.0
26/12/11,14000.0,14.0,14.0,14.0,14.0
28/12/11,1400.0,14.0,14.0,14.0,14.0
29/12/11,72940.0,14.0,13.08,14.0,13.08
02/01/12,1418.0,14.18,14.18,14.18,14.18
04/01/12,40020.0,13.8,13.8,13.8,13.8
05/01/12,2898.0,14.48,14.5,14.5,14.48
06/01/12,13700.0,14.78,13.58,14.78,13.58
09/01/12,177062.0,13.58,13.32,14.0,13.3
10/01/12,95496.0,13.2,13.08,13.2,13.08
11/01/12,64500.0,12.6,13.0,13.0,12.6
12/01/12,85760.0,12.8,12.8,12.8,12.8
13/01/12,15600.0,13.0,13.0,13.0,13.0
16/01/12,27396.0,13.96,13.0,13.96,13.0
17/01/12,43950.0,12.9,13.0,13.0,12.6
18/01/12,2620.0,13.1,13.1,13.1,13.1
20/01/12,172460.0,13.1,13.5,13.5,13.0
24/01/12,15850.0,14.5,14.4,14.5,14.4
25/01/12,13700.0,13.9,13.5,13.9,13.5
26/01/12,42950.0,14.0,13.9,14.0,13.5
27/01/12,6760.0,13.52,13.52,13.52,13.52
30/01/12,4314.0,14.38,14.38,14.38,14.38
31/01/12,4020.0,13.4,13.4,13.4,13.4
01/02/12,39646.0,13.0,13.9,13.9,12.6
03/02/12,27580.0,13.0,13.1,13.9,13.0
07/02/12,52500.0,12.8,12.8,13.0,12.8
08/02/12,276494.0,13.0,14.4,14.62,13.0
09/02/12,94874.0,13.1,12.6,13.1,12.6
13/02/12,99212.0,13.76,12.5,13.76,12.5
14/02/12,77864.0,14.18,12.5,14.18,12.5
16/02/12,106400.0,13.0,13.0,13.7,13.0
17/02/12,13000.0,13.0,13.0,13.0,13.0
23/02/12,26050.0,13.5,13.0,13.5,13.0
24/02/12,95340.0,13.4,14.0,14.0,13.0
27/02/12,1400.0,14.0,14.0,14.0,14.0
28/02/12,13400.0,13.4,13.4,13.4,13.4
29/02/12,120600.0,13.4,13.4,13.4,13.4
01/03/12,67300.0,13.4,13.4,14.0,13.4
06/03/12,262188.0,14.2,14.0,16.0,14.0
07/03/12,52146.0,15.0,15.5,15.98,15.0
09/03/12,1578.0,15.78,15.78,15.78,15.78
12/03/12,1630.0,16.3,16.3,16.3,16.3
13/03/12,321328.0,16.48,17.78,18.0,16.4
14/03/12,10548.0,18.8,17.1,18.8,17.1
15/03/12,93550.0,17.0,17.0,17.1,17.0
19/03/12,6400.0,16.0,16.0,16.0,16.0
21/03/12,60800.00000000001,16.0,17.6,17.6,16.0
22/03/12,57354.0,17.38,17.38,17.38,17.38
26/03/12,3779.9999999999995,18.9,18.9,18.9,18.9
27/03/12,1850.0,18.5,18.5,18.5,18.5
03/04/12,13100.0,13.1,13.1,13.1,13.1
04/04/12,127088.0,17.0,19.62,19.64,16.4
10/04/12,229118.0,18.98,18.48,19.0,15.4
11/04/12,5550.0,18.5,18.5,18.5,18.5
13/04/12,12336.0,15.42,15.42,15.42,15.42
16/04/12,4626.0,15.42,15.42,15.42,15.42
18/04/12,6500.0,17.0,16.0,17.0,16.0
19/04/12,3400.0,17.0,17.0,17.0,17.0
20/04/12,4800.0,16.0,16.0,16.0,16.0
24/04/12,21680.0,13.98,15.0,16.0,13.98
25/04/12,1398.0,13.98,13.98,13.98,13.98
30/04/12,195248.0,17.98,20.0,20.0,17.98
02/05/12,19950.0,19.94,19.96,19.96,19.94
07/05/12,1900.0,19.0,19.0,19.0,19.0
08/05/12,118300.0,14.1,13.0,14.1,13.0
09/05/12,80270.0,13.14,15.5,16.0,13.1
22/05/12,6500.0,13.0,13.0,13.0,13.0
23/05/12,11200.0,16.0,16.0,16.0,16.0
25/05/12,1880.0,18.8,18.8,18.8,18.8
30/05/12,792000.0,18.0,18.0,18.0,18.0
31/05/12,573760.0,13.04,13.04,13.04,13.04
04/06/12,2691950.0,15.0,17.8,17.9,15.0
05/06/12,1842000.0,15.0,15.0,15.0,15.0
06/06/12,1842000.0,15.0,15.0,15.0,15.0
15/06/12,1500.0,15.0,15.0,15.0,15.0
20/06/12,1700.0,17.0,17.0,17.0,17.0
21/06/12,9000.0,15.0,15.0,15.0,15.0
22/06/12,601640.0,13.52,13.52,13.52,13.52
26/06/12,13980.0,17.0,13.62,17.0,13.62
27/06/12,418100.0,16.8,17.0,17.0,16.8
28/06/12,3450.0,17.0,17.5,17.5,17.0
02/07/12,19150.0,17.5,17.4,17.5,17.4
09/07/12,4206.0,14.02,14.02,14.02,14.02
10/07/12,66000.0,15.0,15.0,15.0,15.0
12/07/12,1700.0,17.0,17.0,17.0,17.0
13/07/12,33222.0,15.1,15.12,15.12,15.1
16/07/12,52940.0,15.14,15.12,15.14,15.12
18/07/12,52850.0,15.1,15.1,15.1,15.1
23/07/12,1550.0,15.5,15.5,15.5,15.5
27/07/12,4950.0,16.5,16.5,16.5,16.5
01/08/12,152600.0,13.5,15.0,15.0,13.0
02/08/12,69900.0,13.0,15.0,15.0,13.0
03/08/12,3000.0,15.0,15.0,15.0,15.0
13/08/12,247094.0,13.02,12.98,13.02,12.98
14/08/12,58250.0,13.1,13.0,14.5,13.0
15/08/12,39000.0,13.0,13.0,13.0,13.0
23/08/12,25760.0,12.88,12.88,12.88,12.88
28/08/12,56760.0,12.9,12.9,12.9,12.9
04/09/12,19530.0,13.02,13.02,13.02,13.02
07/09/12,50856.0,13.04,13.04,13.04,13.04
11/09/12,17030.0,13.1,13.1,13.1,13.1
13/09/12,26600.0,14.0,14.0,14.0,14.0
19/09/12,28000.0,14.0,14.0,14.0,14.0
24/09/12,1402.0,14.02,14.02,14.02,14.02
25/09/12,63090.0,14.02,14.02,14.02,14.02
28/09/12,5608.0,14.02,14.02,14.02,14.02
01/10/12,1400.0,14.0,14.0,14.0,14.0
05/10/12,28000.0,14.0,14.0,14.0,14.0
12/10/12,195300.0,13.04,13.0,13.04,13.0
15/10/12,5200.0,13.0,13.0,13.0,13.0
16/10/12,1350.0,13.5,13.5,13.5,13.5
17/10/12,4050.0,13.5,13.5,13.5,13.5
18/10/12,16744.0,12.88,12.88,12.88,12.88
25/10/12,289718.0,14.0,13.0,15.0,13.0
29/10/12,96496.0,13.04,13.04,13.04,13.04
30/10/12,58010.0,13.04,15.0,15.0,13.04
31/10/12,161560.0,13.04,15.1,15.1,13.04
12/11/12,52300.0,13.06,13.06,13.1,13.06
13/11/12,221720.0,13.06,13.06,13.06,13.0
13/02/13,9780.0,12.0,12.9,12.9,12.0
14/02/13,39000.0,13.0,13.0,13.0,13.0
15/02/13,341464.0,13.5,15.0,16.0,13.5
18/02/13,4050.0,13.5,13.5,13.5,13.5
19/02/13,12750.0,13.5,12.0,13.5,12.0
20/02/13,37230.0,15.5,15.5,15.8,15.5
21/02/13,195000.0,13.0,13.0,13.0,13.0
22/02/13,40302.0,13.2,14.98,14.98,13.2
25/02/13,34118.0,14.98,14.82,14.98,14.82
26/02/13,7400.0,14.8,14.8,14.8,14.8
27/02/13,368400.0,14.8,15.0,16.8,14.8
28/02/13,106266.0,13.52,15.98,16.0,13.52
06/03/13,50138.0,13.54,13.56,13.56,13.54
15/03/13,20310.0,13.54,13.54,13.54,13.54
18/03/13,6764.0,13.54,13.52,13.54,13.52
20/03/13,2704.0,13.52,13.52,13.52,13.52
22/03/13,26566.0,12.64,12.66,12.66,12.64
25/03/13,3792.0,12.64,12.64,12.64,12.64
27/03/13,1596.0,15.96,15.96,15.96,15.96
01/04/13,14500.0,14.5,14.5,14.5,14.5
12/04/13,27840.0,12.62,13.0,13.0,12.62
22/04/13,22536.0,12.52,12.52,12.52,12.52
25/04/13,1252.0,12.52,12.52,12.52,12.52
26/04/13,2504.0,12.52,12.52,12.52,12.52
30/04/13,3756.0,12.52,12.52,12.52,12.52
03/05/13,1252.0,12.52,12.52,12.52,12.52
08/05/13,12522.0,12.54,12.52,12.54,12.52
06/02/14,15800.0,15.0,16.0,16.0,15.0
19/02/14,108000.0,15.0,16.0,16.0,15.0
