Date,Value,Open,Close,High,Low
03/08/09,20100.0,6.7,6.7,6.7,6.7
04/08/09,45000.0,7.4,8.0,8.0,7.4
10/08/09,256000.0,8.0,8.0,8.0,8.0
26/08/09,80000.0,8.0,8.0,8.0,8.0
03/09/09,108500.0,9.0,9.5,9.5,9.0
04/09/09,9500.0,9.5,9.5,9.5,9.5
16/09/09,18600.0,9.3,9.3,9.3,9.3
02/10/09,153000.0,8.5,8.5,8.5,8.5
09/10/09,72000.0,9.0,9.0,9.0,9.0
12/10/09,18000.0,9.0,9.0,9.0,9.0
19/10/09,8500.0,8.5,8.5,8.5,8.5
20/10/09,85000.0,8.5,8.5,8.5,8.5
26/10/09,34000.0,8.5,8.5,8.5,8.5
30/10/09,34000.0,8.5,8.5,8.5,8.5
15/12/09,9000.0,9.0,9.0,9.0,9.0
17/12/09,42500.0,8.5,8.5,8.5,8.5
21/12/09,32400.0,8.1,8.1,8.1,8.1
22/12/09,43000.0,8.6,8.6,8.6,8.6
07/01/10,44500.0,8.9,8.9,8.9,8.9
12/01/10,8900.0,8.9,8.9,8.9,8.9
15/01/10,35700.0,9.0,8.9,9.0,8.9
21/01/10,42500.0,8.5,8.5,8.5,8.5
29/01/10,8800.0,8.8,8.8,8.8,8.8
01/02/10,24900.0,8.7,8.1,8.7,8.1
02/02/10,87000.0,8.7,8.7,8.7,8.7
03/02/10,8600.0,8.6,8.6,8.6,8.6
04/02/10,17200.0,8.6,8.6,8.6,8.6
05/02/10,72400.0,8.0,8.4,8.4,8.0
08/02/10,16800.0,8.4,8.4,8.4,8.4
09/02/10,117600.0,8.4,8.4,8.4,8.4
10/02/10,17400.0,8.6,8.8,8.8,8.6
08/03/10,42500.0,8.5,8.5,8.5,8.5
20/04/10,9500.0,9.5,9.5,9.5,9.5
22/04/10,25500.0,8.5,8.5,8.5,8.5
23/04/10,18000.0,9.0,9.0,9.0,9.0
05/05/10,9000.0,9.0,9.0,9.0,9.0
13/05/10,17600.0,8.6,9.0,9.0,8.6
18/05/10,25500.0,8.5,8.5,8.5,8.5
19/05/10,135000.0,9.0,9.0,9.0,9.0
20/05/10,36000.0,9.0,9.0,9.0,9.0
25/05/10,34000.0,8.5,8.5,8.5,8.5
02/06/10,18000.0,9.0,9.0,9.0,9.0
08/06/10,17600.0,8.6,9.0,9.0,8.6
10/06/10,56200.0,9.2,9.5,9.5,9.2
21/06/10,54500.0,8.5,9.2,9.2,8.5
22/06/10,71200.0,9.2,8.6,9.2,8.6
28/06/10,73600.0,9.2,9.2,9.2,9.2
29/06/10,553600.0,9.5,10.0,10.0,9.5
01/07/10,120000.0,10.0,10.0,10.0,10.0
02/07/10,108400.0,9.8,10.0,10.0,9.8
06/07/10,594000.0,10.0,10.25,10.25,10.0
07/07/10,66500.0,9.5,9.5,9.5,9.5
08/07/10,9200.0,9.2,9.2,9.2,9.2
09/07/10,46000.0,9.2,9.2,9.2,9.2
21/07/10,108200.0,9.2,9.0,9.2,9.0
22/07/10,18400.0,9.2,9.2,9.2,9.2
21/09/10,119210.0,9.1,9.1,9.1,9.1
22/09/10,15470.0,9.1,9.1,9.1,9.1
23/09/10,52780.0,9.1,9.1,9.1,9.1
24/09/10,45000.0,9.0,9.0,9.0,9.0
27/09/10,13500.0,9.0,9.0,9.0,9.0
28/09/10,10800.0,9.0,9.0,9.0,9.0
29/09/10,34600.0,9.0,9.0,9.2,9.0
01/10/10,3360.0,8.4,8.4,8.4,8.4
05/10/10,7830.0,8.7,8.7,8.7,8.7
14/10/10,54000.0,9.0,9.0,9.0,9.0
18/10/10,35600.0,8.9,8.9,8.9,8.9
20/10/10,18000.0,9.0,9.0,9.0,9.0
26/10/10,647800.0,9.0,9.4,9.4,9.0
11/11/10,45001.0,9.01,9.0,9.01,9.0
24/11/10,135000.0,9.0,9.0,9.0,9.0
26/11/10,13680.0,8.55,8.55,8.55,8.55
30/11/10,26100.0,9.0,9.0,9.0,9.0
01/12/10,358400.0,8.6,9.0,9.0,8.6
08/12/10,1800.0,9.0,9.0,9.0,9.0
11/01/11,9200.0,9.2,9.2,9.2,9.2
11/01/11,9200.0,9.2,9.2,9.2,9.2
14/01/11,4575.0,9.15,9.15,9.15,9.15
17/01/11,18000.0,9.0,9.0,9.0,9.0
20/01/11,24460.0,8.8,8.7,8.8,8.7
20/01/11,24460.0,8.8,8.7,8.8,8.7
26/01/11,8685.0,8.7,8.65,8.7,8.65
28/01/11,17800.0,8.9,8.9,8.9,8.9
28/01/11,17800.0,8.9,8.9,8.9,8.9
31/01/11,26000.0,8.7,8.65,8.7,8.65
31/01/11,26000.0,8.7,8.65,8.7,8.65
16/02/11,27310.0,9.1,8.8,9.1,8.8
16/02/11,27310.0,9.1,8.8,9.1,8.8
21/02/11,281600.0,8.8,8.8,8.8,8.8
21/02/11,281600.0,8.8,8.8,8.8,8.8
23/02/11,16710.0,8.7,8.9,8.9,8.7
23/02/11,16710.0,8.7,8.9,8.9,8.7
28/02/11,22500.0,9.0,9.0,9.0,9.0
04/03/11,2394900.0,9.0,9.0,9.0,9.0
04/03/11,2394900.0,9.0,9.0,9.0,9.0
08/03/11,54600.0,9.1,9.1,9.1,9.1
08/03/11,54600.0,9.1,9.1,9.1,9.1
11/03/11,910.0,9.1,9.1,9.1,9.1
11/03/11,910.0,9.1,9.1,9.1,9.1
22/03/11,1818.0,9.09,9.09,9.09,9.09
23/03/11,8818.0,9.09,8.75,9.09,8.75
25/03/11,175452.0,8.79,8.75,8.79,8.75
28/03/11,91000.0,9.1,9.1,9.1,9.1
29/03/11,65700.0,9.0,9.0,9.0,9.0
06/04/11,48400.0,8.8,8.8,8.8,8.8
08/04/11,26400.0,8.8,8.8,8.8,8.8
11/04/11,900.0,9.0,9.0,9.0,9.0
27/04/11,80100.0,8.9,8.9,8.9,8.9
29/04/11,21360.0,8.9,8.9,8.9,8.9
04/05/11,44750.0,8.95,8.95,8.95,8.95
12/05/11,900.0,9.0,9.0,9.0,9.0
16/05/11,10800.0,9.0,9.0,9.0,9.0
18/05/11,495900.0,9.0,9.0,9.0,9.0
19/05/11,1572310.0,9.0,9.02,9.02,9.0
20/05/11,18200.0,9.1,9.1,9.1,9.1
24/05/11,22500.0,9.0,9.0,9.0,9.0
26/05/11,4510.0,9.02,9.02,9.02,9.02
30/05/11,136850.0,9.2,9.03,9.3,9.03
01/06/11,1870.0,9.3,9.4,9.4,9.3
03/06/11,4700.0,9.4,9.4,9.4,9.4
06/06/11,18780.0,9.39,9.39,9.39,9.39
07/06/11,13305.0,9.39,8.61,9.39,8.61
08/06/11,2760.0,9.2,9.2,9.2,9.2
09/06/11,581680.0,8.8,8.8,8.8,8.8
23/06/11,7040.0,8.8,8.8,8.8,8.8
27/06/11,6160.0,8.8,8.8,8.8,8.8
19/07/11,22000.0,8.8,8.8,8.8,8.8
20/07/11,132000.0,8.8,8.8,8.8,8.8
21/07/11,63000.0,9.0,9.0,9.0,9.0
26/07/11,22500.0,9.0,9.0,9.0,9.0
27/07/11,24273.0,8.99,8.99,8.99,8.99
28/07/11,139350.0,9.0,8.81,9.0,8.81
29/07/11,8810.0,8.81,8.81,8.81,8.81
01/08/11,6293.0,8.99,8.99,8.99,8.99
03/08/11,17600.0,8.8,8.8,8.8,8.8
04/08/11,53940.0,8.99,8.99,8.99,8.99
09/08/11,35260.0,8.82,8.81,8.82,8.81
19/08/11,88880.0,8.8,8.8,8.8,8.8
22/08/11,900.0,9.0,9.0,9.0,9.0
23/08/11,17600.0,8.8,8.8,8.8,8.8
07/09/11,165980.0,8.6,8.6,8.6,8.6
14/09/11,26240.0,8.2,8.2,8.2,8.2
16/09/11,1800.0,9.0,9.0,9.0,9.0
21/09/11,267615.0,8.55,8.55,8.55,8.55
22/09/11,8900.0,8.9,8.9,8.9,8.9
23/09/11,8950.0,8.95,8.95,8.95,8.95
03/10/11,108000.0,9.0,9.0,9.0,9.0
06/10/11,297000.0,9.0,9.0,9.0,9.0
11/10/11,880.0,8.8,8.8,8.8,8.8
12/10/11,36550.0,8.5,8.5,8.5,8.5
20/10/11,42500.0,8.5,8.5,8.5,8.5
14/11/11,13300.0,9.5,9.5,9.5,9.5
15/11/11,1000.0,10.0,10.0,10.0,10.0
16/11/11,23650.0,9.5,9.0,10.0,9.0
17/11/11,14100.0,9.4,9.4,9.4,9.4
18/11/11,17100.0,9.5,9.5,9.5,9.5
23/11/11,180500.0,9.0,9.05,9.05,9.0
25/11/11,54300.0,9.05,9.05,9.05,9.05
28/11/11,70500.0,8.7,9.0,9.0,8.7
01/12/11,89100.0,9.0,9.0,9.0,9.0
02/12/11,117000.0,9.0,9.0,9.0,9.0
05/12/11,90000.0,9.0,9.0,9.0,9.0
06/12/11,444500.0,8.71,9.0,9.0,8.71
07/12/11,6300.0,9.0,9.0,9.0,9.0
08/12/11,900.0,9.0,9.0,9.0,9.0
09/12/11,41400.0,9.0,9.0,9.0,9.0
12/12/11,9000.0,9.0,9.0,9.0,9.0
13/12/11,112500.0,9.0,9.0,9.0,9.0
19/12/11,115300.0,9.2,9.0,9.2,9.0
22/12/11,38700.0,9.0,9.0,9.0,9.0
26/12/11,9400.0,9.4,9.4,9.4,9.4
27/12/11,37060.0,9.4,8.5,9.4,8.5
28/12/11,11830.0,9.1,9.1,9.1,9.1
02/01/12,6510.0,9.3,9.3,9.3,9.3
03/01/12,98710.0,9.3,10.0,10.0,9.3
05/01/12,999.0,9.99,9.99,9.99,9.99
06/01/12,127900.0,9.5,9.4,9.8,9.4
10/01/12,21807.0,9.99,9.9,9.99,9.9
11/01/12,752419.0,9.97,10.5,10.5,9.97
13/01/12,29250.0,10.4,10.5,10.5,10.4
16/01/12,29700.0,9.8,10.1,10.1,9.8
20/01/12,15000.0,10.0,10.0,10.0,10.0
24/01/12,155860.0,9.7,9.7,10.3,9.7
25/01/12,49000.0,9.8,9.8,9.8,9.8
26/01/12,61550.0,10.5,10.0,10.5,10.0
27/01/12,70000.0,10.0,10.0,10.0,10.0
30/01/12,55680.0,10.0,10.0,10.0,9.9
31/01/12,52000.0,10.0,10.0,10.0,10.0
01/02/12,10000.0,10.0,10.0,10.0,10.0
02/02/12,197480.0,10.0,9.7,10.0,9.7
03/02/12,9710.0,9.71,9.71,9.71,9.71
08/02/12,1020.0,10.2,10.2,10.2,10.2
09/02/12,21210.0,10.1,10.1,10.1,10.1
10/02/12,106050.0,10.1,10.1,10.1,10.1
13/02/12,4000.0,10.0,10.0,10.0,10.0
14/02/12,10000.0,10.0,10.0,10.0,10.0
15/02/12,2000.0,10.0,10.0,10.0,10.0
17/02/12,111600.0,10.1,10.0,10.1,10.0
20/02/12,74200.0,10.6,10.6,10.6,10.6
23/02/12,2000.0,10.0,10.0,10.0,10.0
27/02/12,10000.0,10.0,10.0,10.0,10.0
28/02/12,31900.0,10.0,9.9,10.0,9.9
29/02/12,20475.0,9.75,9.75,9.75,9.75
01/03/12,162000.0,10.0,10.5,10.5,10.0
02/03/12,33600.0,10.5,10.5,10.5,10.5
06/03/12,1050.0,10.5,10.5,10.5,10.5
07/03/12,13650.0,10.5,10.5,10.5,10.5
08/03/12,1050.0,10.5,10.5,10.5,10.5
09/03/12,445055.0,10.5,10.0,10.5,9.9
12/03/12,1000.0,10.0,10.0,10.0,10.0
13/03/12,1002.0,10.02,10.02,10.02,10.02
14/03/12,152082.0,10.1,10.0,10.1,9.9
15/03/12,670000.0,10.0,10.0,10.0,10.0
21/03/12,2000.0,10.0,10.0,10.0,10.0
22/03/12,8150.0,10.5,10.0,10.5,10.0
23/03/12,2100.0,10.5,10.5,10.5,10.5
26/03/12,30000.0,10.0,10.0,10.0,10.0
29/03/12,105000.0,10.0,9.9,10.0,9.9
03/04/12,74500.0,10.0,10.5,10.5,10.0
04/04/12,385020.0,10.2,10.0,10.2,10.0
10/04/12,1448000.0,10.0,10.0,10.0,10.0
12/04/12,1980.0,9.9,9.9,9.9,9.9
17/04/12,26900.0,9.9,10.46,10.48,9.9
20/04/12,4950.0,9.9,9.9,9.9,9.9
23/04/12,2000.0,10.0,10.0,10.0,10.0
25/04/12,118800.0,9.9,9.9,9.9,9.9
27/04/12,200896.0,9.95,10.48,10.48,9.93
02/05/12,43590.0,10.0,9.9,10.0,9.9
04/05/12,199030.0,10.0,9.9,10.0,9.9
09/05/12,64016.0,10.0,10.48,10.48,10.0
14/05/12,2080.0,10.4,10.4,10.4,10.4
17/05/12,392424.00000000006,9.96,9.96,9.96,9.96
24/05/12,70000.0,10.0,10.0,10.0,10.0
