Date,Value,Open,Close,High,Low
06/05/14,941505302.0,15.5,15.2,16.04,15.0
07/05/14,277229816.0,15.3,14.62,15.36,14.6
08/05/14,137073512.0,14.64,14.92,14.96,14.62
09/05/14,176266120.0,14.98,15.3,15.3,14.98
12/05/14,312530924.0,15.4,15.98,16.1,15.4
13/05/14,89274992.0,16.1,15.84,16.2,15.78
14/05/14,166144320.0,15.96,16.0,16.06,15.84
15/05/14,70696960.0,16.0,15.96,16.06,15.82
16/05/14,50220854.0,15.8,15.5,15.8,15.42
19/05/14,55772202.0,15.54,16.0,16.0,15.54
20/05/14,26113852.0,16.04,15.96,16.1,15.76
21/05/14,33174496.0,15.9,15.8,15.92,15.62
22/05/14,146468610.0,15.84,16.36,16.5,15.84
23/05/14,42323216.0,16.46,16.2,16.46,16.1
26/05/14,161087588.0,16.24,16.9,17.02,16.24
27/05/14,30972800.0,17.0,16.74,17.0,16.7
28/05/14,27364516.0,16.86,16.82,16.96,16.76
29/05/14,61570036.0,16.82,16.64,16.92,16.56
30/05/14,20746792.0,16.64,16.72,16.74,16.5
02/06/14,21220348.0,16.72,16.8,16.86,16.72
03/06/14,7684812.0,16.8,16.82,16.9,16.8
04/06/14,55727556.0,16.96,16.86,17.2,16.8
05/06/14,29745092.0,16.88,16.74,16.9,16.64
06/06/14,39829164.0,16.76,16.8,16.86,16.76
09/06/14,48363668.0,16.8,16.36,16.82,16.36
10/06/14,19229768.0,16.52,16.42,16.6,16.34
11/06/14,22562988.0,16.42,16.68,16.74,16.3
13/06/14,12986808.0,16.64,16.66,16.68,16.5
16/06/14,9680768.0,16.66,16.6,16.66,16.54
17/06/14,17324630.0,16.6,16.4,16.6,16.36
18/06/14,33288530.0,16.38,16.22,16.4,16.2
19/06/14,14528498.0,16.32,16.32,16.48,16.3
20/06/14,9417232.0,16.32,16.6,16.66,16.3
23/06/14,2422338.0,16.5,16.3,16.6,16.3
24/06/14,3948526.0,16.32,16.28,16.5,16.2
25/06/14,3240564.0,16.2,16.3,16.3,16.2
26/06/14,17819520.0,16.28,16.14,16.28,16.14
27/06/14,20427778.0,16.18,15.8,16.18,15.8
30/06/14,7361860.0,16.0,16.06,16.06,15.8
01/07/14,14760428.0,16.06,15.98,16.06,15.94
02/07/14,28150694.0,16.0,16.0,16.06,15.98
03/07/14,8186204.0,16.04,15.98,16.04,15.8
04/07/14,56448646.0,16.0,16.1,16.1,16.0
07/07/14,11629172.0,16.06,16.0,16.1,16.0
08/07/14,5725568.0,16.02,16.02,16.14,15.98
09/07/14,3429550.0,16.0,15.86,16.0,15.8
10/07/14,16552264.0,15.86,16.34,16.38,15.86
11/07/14,1874268.0,16.3,16.2,16.3,16.1
14/07/14,1168714.0,16.2,15.98,16.2,15.98
15/07/14,1913038.0,15.94,15.9,16.0,15.9
17/07/14,2511332.0,15.9,16.0,16.0,15.9
18/07/14,7008816.0,16.0,16.0,16.02,15.9
21/07/14,1530682.0,16.0,15.92,16.0,15.9
22/07/14,1579402.0,15.92,15.9,15.94,15.9
23/07/14,2330478.0,15.9,16.0,16.0,15.9
24/07/14,20166898.0,16.0,16.02,16.1,16.0
25/07/14,5328604.0,16.0,15.96,16.06,15.96
28/07/14,7690110.0,16.0,15.92,16.02,15.86
30/07/14,3364990.0,15.92,15.9,15.94,15.86
31/07/14,3730058.0,15.9,15.88,15.92,15.88
01/08/14,18210698.0,15.84,15.66,15.84,15.62
04/08/14,3906158.0,15.68,16.0,16.02,15.68
05/08/14,855214.0,16.0,15.94,16.0,15.9
06/08/14,15262060.0,15.9,15.88,15.9,15.88
07/08/14,591022.0,15.82,15.86,15.9,15.82
08/08/14,3579654.0,15.86,15.86,15.88,15.86
11/08/14,3216556.0,15.8,15.74,15.8,15.7
12/08/14,14017764.0,15.74,15.9,15.98,15.74
13/08/14,17391254.0,15.88,15.9,15.9,15.84
14/08/14,7260022.0,15.9,15.88,15.92,15.86
15/08/14,10556584.0,15.88,15.88,15.9,15.74
18/08/14,2836054.0,15.8,15.78,15.9,15.76
19/08/14,12512056.0,15.78,15.84,15.84,15.7
20/08/14,6262768.0,15.84,15.8,15.84,15.7
