Date,Value,Open,Close,High,Low
06/10/09,300000.0,1.5,1.5,1.5,1.5
07/10/09,448000.0,2.24,2.24,2.24,2.24
08/10/09,271919100.0,3.35,3.35,3.35,2.9
09/10/09,292699800.0,3.55,4.05,4.15,3.55
12/10/09,85140650.0,4.1,3.85,4.2,3.8
13/10/09,112625000.0,3.85,3.45,3.95,3.35
14/10/09,72300300.0,3.5,3.6,3.6,3.4
15/10/09,133074500.0,3.65,3.7,3.7,3.6
16/10/09,34183850.0,3.65,3.55,3.65,3.5
19/10/09,85630950.0,3.55,3.6,3.6,3.5
20/10/09,96745900.0,3.6,3.65,3.65,3.6
21/10/09,24383900.0,3.55,3.5,3.6,3.45
22/10/09,36010250.0,3.45,3.5,3.5,3.45
23/10/09,60970150.0,3.55,3.5,3.55,3.5
26/10/09,72137900.0,3.6,3.7,3.7,3.6
27/10/09,147706350.0,3.7,3.9,3.9,3.7
28/10/09,120977800.0,3.95,4.0,4.0,3.9
29/10/09,85437300.0,3.95,4.05,4.05,3.9
30/10/09,135568750.0,4.05,4.2,4.2,4.05
03/11/09,173335150.0,4.2,4.25,4.25,4.1
04/11/09,176109950.0,4.3,4.35,4.35,4.25
05/11/09,191005550.0,4.4,4.4,4.4,4.3
06/11/09,170195350.0,4.45,4.6,4.6,4.45
09/11/09,184256800.0,4.6,4.8,4.8,4.6
10/11/09,251860850.0,4.9,5.2,5.2,4.9
11/11/09,214866100.0,5.3,5.7,5.8,5.3
15/12/09,136015500.0,6.7,6.8,6.8,6.7
16/12/09,146203800.0,6.8,7.0,7.0,6.8
17/12/09,165055600.0,7.1,7.1,7.1,7.0
18/12/09,151194900.0,6.9,6.9,7.0,6.8
21/12/09,314217300.0,6.9,6.7,6.9,6.5
22/12/09,90154000.0,6.5,6.5,6.6,6.4
23/12/09,123312300.0,6.5,6.4,6.5,6.3
29/12/09,81337100.0,6.5,6.5,6.5,6.4
04/01/10,83934200.0,6.6,6.6,6.6,6.5
05/01/10,53931700.0,6.6,6.4,6.6,6.3
06/01/10,167074000.0,6.3,6.0,6.3,5.7
07/01/10,56660800.0,6.0,6.1,6.1,5.9
08/01/10,34971100.0,6.0,6.0,6.0,5.9
11/01/10,52380800.0,5.9,6.1,6.1,5.8
12/01/10,66803900.0,6.0,6.0,6.0,5.9
13/01/10,33661300.0,6.0,5.9,6.0,5.8
14/01/10,62709400.0,5.9,6.0,6.0,5.9
15/01/10,30113400.0,6.0,5.9,6.0,5.8
18/01/10,146187700.0,5.8,6.0,6.0,5.4
