Date,Value,Open,Close,High,Low
18/11/11,112595801.0,7.9,7.95,8.27,7.81
21/11/11,47980379.0,7.95,7.7,8.1,7.47
22/11/11,19387940.0,7.41,7.6,7.8,7.41
23/11/11,11921732.0,7.59,7.68,7.68,7.56
24/11/11,8388369.0,7.6,7.6,7.62,7.54
25/11/11,29028296.0,7.6,7.59,7.6,7.46
28/11/11,2862278.0,7.59,7.6,7.63,7.41
29/11/11,2557566.0,7.6,7.6,7.62,7.5
01/12/11,17323741.0,7.66,7.9,7.9,7.66
02/12/11,39929337.0,7.89,8.18,8.22,7.81
05/12/11,9565503.0,8.2,8.19,8.33,8.11
06/12/11,5038514.0,8.2,8.1,8.2,8.0
07/12/11,4861244.0,8.1,8.13,8.2,7.95
08/12/11,3189113.0,8.0,8.05,8.08,7.85
09/12/11,21051236.0,8.08,8.0,8.08,7.85
12/12/11,1078464.0,8.0,7.85,8.0,7.85
13/12/11,5655474.0,7.82,8.05,8.1,7.8
14/12/11,2175565.0,8.03,8.03,8.05,7.83
15/12/11,4202034.0,7.92,8.01,8.07,7.92
16/12/11,2100012.0,8.0,8.01,8.02,7.9
19/12/11,944645.0,7.91,8.0,8.0,7.91
20/12/11,1596459.0,8.0,8.0,8.01,7.93
21/12/11,16757623.0,8.0,8.1,8.12,7.91
22/12/11,3180280.0,8.11,8.1,8.12,7.95
23/12/11,1947439.0,8.0,8.0,8.07,7.97
26/12/11,606645.0,7.95,8.0,8.0,7.92
27/12/11,713559.0,8.08,8.07,8.08,7.96
28/12/11,1618883.0,8.09,8.05,8.09,7.99
29/12/11,15745170.0,8.01,8.2,8.2,8.01
02/01/12,521323.0,7.95,8.15,8.18,7.95
03/01/12,2294521.0,8.02,8.01,8.09,8.0
04/01/12,2514863.0,8.0,7.99,8.08,7.95
05/01/12,2001014.0,7.96,7.94,7.96,7.9
06/01/12,1046058.0,7.9,7.94,7.94,7.86
09/01/12,671511.0,7.86,7.9,7.98,7.86
10/01/12,557961.0,7.9,7.9,7.9,7.86
11/01/12,1685768.0,8.0,7.88,8.0,7.85
12/01/12,943632.0,7.86,7.9,7.9,7.86
13/01/12,559348.0,7.84,7.9,7.99,7.84
16/01/12,865264.0,7.98,7.9,7.98,7.82
17/01/12,962866.0,7.98,7.84,7.98,7.8
18/01/12,795.0,7.95,7.95,7.95,7.95
19/01/12,815591.0,7.84,7.94,7.94,7.73
20/01/12,172065.0,7.71,7.9,7.9,7.71
24/01/12,337643.0,7.9,7.9,7.9,7.73
25/01/12,420529.0,7.73,7.88,7.88,7.73
26/01/12,1051200.0,7.72,7.9,7.9,7.72
27/01/12,1179285.0,7.74,7.89,7.89,7.71
30/01/12,93888.0,7.8,7.88,7.88,7.75
31/01/12,1578510.0,7.7,7.86,7.86,7.62
01/02/12,2082422.0,7.86,7.9,7.9,7.6
02/02/12,182482.0,7.88,7.9,7.9,7.7
03/02/12,144927.0,7.7,7.9,7.9,7.66
07/02/12,81225.0,7.69,7.8,7.8,7.69
08/02/12,96763.0,7.7,7.8,7.8,7.7
09/02/12,861568.0,7.8,7.78,7.8,7.72
10/02/12,2096574.0,7.78,7.96,7.99,7.76
13/02/12,1264856.0,7.76,7.9,8.0,7.76
14/02/12,415507.0,7.77,7.95,7.99,7.77
15/02/12,625754.0,7.95,7.96,7.99,7.78
16/02/12,1097701.0,7.8,7.95,7.97,7.76
17/02/12,544550.0,7.79,7.99,7.99,7.78
20/02/12,901269.0,8.0,8.0,8.0,7.75
21/02/12,319440.0,7.75,7.94,7.94,7.75
22/02/12,476607.0,7.72,7.89,7.98,7.72
23/02/12,215827.0,7.72,7.9,7.9,7.72
24/02/12,496785.0,7.85,7.9,7.9,7.78
27/02/12,1308483.0,7.8,7.85,7.85,7.79
28/02/12,241397.0,7.84,7.92,7.92,7.84
29/02/12,1076028.0,7.89,8.0,8.0,7.76
01/03/12,1595.0,7.97,7.98,7.98,7.97
02/03/12,382502.0,7.95,7.97,7.97,7.92
05/03/12,1376297.0,7.9,7.8,7.97,7.8
06/03/12,263540.0,7.9,7.9,7.95,7.73
07/03/12,1317662.0,7.9,7.95,7.95,7.9
08/03/12,1519071.0,7.9,7.9,7.9,7.65
09/03/12,1067669.0,7.63,7.78,7.8,7.6
12/03/12,473842.0,7.8,7.8,7.8,7.61
13/03/12,1558.0,7.79,7.79,7.79,7.79
14/03/12,17681428.0,7.79,8.1,8.1,7.79
15/03/12,1605604.0,8.1,8.1,8.14,8.01
16/03/12,3070512.0,8.1,8.22,8.22,8.05
19/03/12,4442556.0,8.17,8.24,8.24,8.13
20/03/12,2639799.0,8.22,8.22,8.22,8.17
21/03/12,5060005.0,8.2,8.25,8.25,8.15
22/03/12,570007.0,8.26,8.24,8.26,8.16
23/03/12,1046746.0,8.2,8.18,8.2,8.13
26/03/12,1012058.0,8.1,8.18,8.18,8.05
27/03/12,2328027.0,8.12,8.17,8.18,8.11
28/03/12,562646.0,8.06,8.16,8.16,8.06
29/03/12,3310485.0,8.16,8.14,8.16,8.06
30/03/12,682927.0,8.11,8.11,8.14,8.11
02/04/12,497289.0,8.1,8.13,8.16,8.07
03/04/12,1124822.0,8.06,8.1,8.12,8.06
04/04/12,1697914.0,8.06,8.1,8.1,8.06
10/04/12,48367.0,8.06,8.13,8.13,8.06
11/04/12,6038554.0,8.12,8.16,8.2,8.06
12/04/12,137390.0,8.06,8.16,8.16,8.06
13/04/12,1515535.0,8.16,8.16,8.16,8.05
16/04/12,106289.0,8.05,8.14,8.14,8.05
17/04/12,1507448.0,8.14,8.14,8.16,8.06
18/04/12,1094111.0,8.08,8.11,8.12,8.06
19/04/12,411100.0,8.06,8.1,8.1,8.06
20/04/12,631267.0,8.06,8.2,8.2,8.06
23/04/12,819.0,8.19,8.19,8.19,8.19
24/04/12,430093.0,8.19,8.19,8.19,8.07
25/04/12,622865.0,8.19,8.17,8.19,8.08
26/04/12,179637.0,8.17,8.17,8.17,8.08
27/04/12,660309.0,8.1,8.2,8.2,8.08
30/04/12,819.9999999999999,8.2,8.2,8.2,8.2
02/05/12,1077260.0,8.13,8.1,8.2,8.08
03/05/12,178220.0,8.1,8.14,8.14,8.08
04/05/12,138829.0,8.18,8.19,8.19,8.11
07/05/12,446222.0,8.08,8.2,8.2,8.08
08/05/12,78680.0,8.1,8.2,8.2,8.1
09/05/12,212886.0,8.08,8.18,8.18,8.08
10/05/12,930415.0,8.06,8.19,8.19,8.0
11/05/12,4890.0,8.15,8.15,8.15,8.15
14/05/12,167262.0,8.1,8.15,8.15,8.1
15/05/12,1826058.0,8.12,8.2,8.2,8.06
16/05/12,1938717.9999999998,8.05,8.2,8.2,8.05
18/05/12,1389227.0,8.19,8.16,8.19,8.15
21/05/12,1312439.0,8.15,8.1,8.15,8.0
22/05/12,1231524.0,8.04,8.1,8.14,8.04
23/05/12,166416.0,8.0,8.16,8.16,8.0
24/05/12,183816.0,8.19,8.16,8.19,8.02
25/05/12,246830.0,8.05,8.18,8.18,8.02
28/05/12,936430.0,8.14,8.15,8.18,8.14
29/05/12,39003.0,8.06,8.15,8.15,8.06
30/05/12,71312.0,8.15,8.0,8.15,8.0
31/05/12,25648441.0,8.01,8.16,8.16,8.01
01/06/12,7317598.0,8.16,8.79,9.0,8.16
04/06/12,10885957.0,8.7,7.7,9.25,8.52
05/06/12,3870551.0,7.7,8.4,8.8,7.7
06/06/12,5075318.0,8.3,8.65,8.66,8.25
07/06/12,4973440.0,8.64,8.79,8.9,8.4
08/06/12,1509509.0,8.87,9.0,9.0,8.65
11/06/12,2249645.0,8.54,9.19,9.2,8.54
13/06/12,5903792.0,9.2,9.18,9.2,8.82
14/06/12,339635.0,9.17,9.17,9.18,8.84
15/06/12,3666455.0,9.2,9.25,9.25,8.85
18/06/12,583280.0,9.25,9.45,9.5,9.01
19/06/12,5144678.0,9.45,9.64,9.64,8.95
20/06/12,4240947.0,9.65,9.64,9.7,9.23
21/06/12,4085024.0,9.55,9.29,9.55,9.15
22/06/12,6351493.0,9.58,9.22,9.58,8.72
25/06/12,332100.0,9.39,9.34,9.45,8.61
26/06/12,944691.0,9.3,9.48,9.59,9.05
27/06/12,3734444.0,9.48,9.4,9.5,9.03
28/06/12,655104.0,9.38,9.35,9.38,8.95
29/06/12,553722.0,9.04,9.28,9.28,9.04
02/07/12,1388093.0,9.05,9.2,9.3,8.92
03/07/12,713961.0,8.72,8.99,9.0,8.7
04/07/12,44735.0,9.0,8.99,9.4,8.9
05/07/12,327875.0,9.0,9.05,9.2,8.75
06/07/12,445825.0,9.05,8.99,9.05,8.71
09/07/12,214514.0,8.99,8.9,9.05,8.9
10/07/12,630195.0,8.9,8.85,9.0,8.85
11/07/12,65213.0,9.1,9.1,9.17,8.78
12/07/12,251522.0,9.15,9.05,9.15,8.81
13/07/12,45784.0,9.0,9.05,9.05,8.81
16/07/12,587132.0,9.09,9.12,9.12,8.81
17/07/12,350378.0,8.8,9.2,9.25,8.8
18/07/12,73178.0,9.24,9.2,9.24,9.0
19/07/12,290376.0,9.2,9.3,9.3,9.2
20/07/12,61933.0,9.49,9.38,9.49,9.36
23/07/12,586035.0,9.38,8.95,9.45,8.86
24/07/12,944.9999999999999,9.45,9.45,9.45,9.45
25/07/12,2350287.0,9.42,9.5,9.74,9.3
26/07/12,206316.0,9.7,9.6,9.74,9.15
27/07/12,742168.0,9.74,9.6,9.74,9.5
30/07/12,827164.0,9.74,9.6,9.74,9.15
31/07/12,29774.0,9.6,9.74,9.74,9.6
01/08/12,74806.0,9.73,9.74,9.74,9.13
03/08/12,121833.0,9.17,9.73,9.73,9.17
06/08/12,6544.999999999999,9.2,9.73,9.73,9.2
08/08/12,5557.0,9.17,9.72,9.72,9.17
09/08/12,1888.0,9.17,9.71,9.71,9.17
10/08/12,317822.0,9.3,9.7,9.7,9.3
13/08/12,393028.0,9.21,9.59,9.64,9.21
14/08/12,5626.0,9.7,9.6,9.7,9.24
15/08/12,160827.0,9.7,9.7,9.7,9.23
16/08/12,862030.0,9.7,9.68,9.7,9.23
17/08/12,377318.0,9.67,9.67,9.68,9.35
22/08/12,969.9999999999999,9.7,9.7,9.7,9.7
23/08/12,97200.0,9.7,9.7,9.7,9.4
24/08/12,969.9999999999999,9.7,9.7,9.7,9.7
28/08/12,88180.0,9.7,9.69,9.7,9.69
29/08/12,187562.0,9.25,9.7,9.7,9.25
30/08/12,62709.0,9.35,9.67,9.67,9.35
31/08/12,8562.0,9.7,9.68,9.7,9.3
03/09/12,144968.0,9.6,9.68,9.68,9.6
04/09/12,202505.0,9.25,9.65,9.65,9.25
05/09/12,968.0,9.68,9.68,9.68,9.68
06/09/12,111965.0,9.25,9.65,9.65,9.25
07/09/12,734269.0,9.66,9.64,9.7,9.25
10/09/12,11329.0,9.4,9.6,9.6,9.4
11/09/12,968.0,9.68,9.68,9.68,9.68
12/09/12,105193.0,9.6,9.69,9.7,9.32
13/09/12,146360.0,9.7,9.7,9.7,9.5
14/09/12,626450.0,9.55,9.7,9.7,9.5
17/09/12,2848254.0,9.7,11.92,11.92,9.7
18/09/12,638900.0,11.92,11.6,11.92,11.22
19/09/12,1022152.0,11.68,11.8,11.94,11.5
20/09/12,235554.0,11.92,11.9,11.92,11.12
21/09/12,336728.0,11.92,11.88,11.92,11.5
24/09/12,496806.0,11.92,11.92,11.92,11.7
25/09/12,23905946.0,11.9,11.9,11.92,11.9
26/09/12,23921340.0,11.8,11.88,11.88,11.7
