Date,Value,Open,Close,High,Low
22/02/22,1482248430.0,2.78,2.84,2.94,2.71
23/02/22,337440830.0,2.84,2.84,2.93,2.8
24/02/22,312327830.0,2.84,2.7,2.88,2.65
24/02/22,312327830.0,2.84,2.7,2.88,2.65
28/02/22,104165370.0,2.72,2.72,2.78,2.7
01/03/22,102988380.0,2.72,2.8,2.85,2.71
02/03/22,106492570.0,2.8,2.73,2.81,2.72
03/03/22,39001770.0,2.75,2.74,2.78,2.72
04/03/22,32552190.0,2.75,2.72,2.75,2.71
04/03/22,32552190.0,2.75,2.72,2.75,2.71
07/03/22,169494140.0,2.72,2.61,2.72,2.59
08/03/22,96061280.0,2.61,2.55,2.62,2.55
09/03/22,48854870.0,2.55,2.65,2.66,2.55
10/03/22,19648760.0,2.67,2.68,2.73,2.66
11/03/22,23448010.0,2.71,2.69,2.73,2.68
14/03/22,32860400.0,2.7,2.61,2.7,2.6
15/03/22,57203420.0,2.61,2.58,2.62,2.56
16/03/22,94931020.0,2.6,2.66,2.78,2.6
17/03/22,27240120.0,2.69,2.7,2.72,2.67
18/03/22,20228810.0,2.71,2.68,2.73,2.66
21/03/22,22588200.0,2.68,2.69,2.7,2.68
22/03/22,7651730.0,2.7,2.7,2.7,2.68
23/03/22,5616020.0,2.69,2.66,2.69,2.63
24/03/22,13428850.0,2.66,2.61,2.67,2.61
25/03/22,11619220.0,2.66,2.68,2.68,2.62
28/03/22,6117190.0,2.68,2.67,2.68,2.64
29/03/22,13716370.0,2.67,2.69,2.7,2.64
30/03/22,16363330.0,2.69,2.62,2.69,2.61
31/03/22,32444970.0,2.64,2.59,2.65,2.57
01/04/22,12508440.0,2.6,2.59,2.61,2.57
04/04/22,25549620.0,2.59,2.6,2.6,2.56
05/04/22,26697840.0,2.64,2.67,2.67,2.6
06/04/22,4519860.0,2.68,2.61,2.68,2.6
07/04/22,9606250.0,2.6,2.58,2.62,2.57
08/04/22,9250810.0,2.58,2.58,2.61,2.58
11/04/22,5405230.0,2.6,2.58,2.61,2.58
11/04/22,5405230.0,2.6,2.58,2.61,2.58
12/04/22,4456040.0,2.59,2.58,2.6,2.58
12/04/22,4456040.0,2.59,2.58,2.6,2.58
13/04/22,18938660.0,2.58,2.57,2.6,2.57
18/04/22,4229140.0,2.58,2.57,2.6,2.57
18/04/22,4229140.0,2.58,2.57,2.6,2.57
19/04/22,6696050.0,2.59,2.6,2.6,2.58
20/04/22,20982320.0,2.6,2.6,2.62,2.59
21/04/22,5582630.0,2.6,2.61,2.63,2.6
22/04/22,2299590.0,2.62,2.6,2.62,2.6
25/04/22,10407450.0,2.6,2.6,2.6,2.58
26/04/22,6473980.0,2.6,2.59,2.6,2.59
26/04/22,6473980.0,2.6,2.59,2.6,2.59
27/04/22,7119970.0,2.58,2.58,2.59,2.57
28/04/22,6758990.0,2.58,2.59,2.6,2.57
28/04/22,6758990.0,2.58,2.59,2.6,2.57
29/04/22,22123310.0,2.59,2.56,2.6,2.56
02/05/22,9111050.0,2.57,2.56,2.59,2.55
04/05/22,35676000.0,2.57,2.53,2.57,2.52
05/05/22,7923500.0,2.51,2.56,2.56,2.5
05/05/22,7923500.0,2.51,2.56,2.56,2.5
