Date,Value,Open,Close,High,Low
07/06/24,68069720.0,2.75,2.7,2.78,2.7
10/06/24,41872410.0,2.71,2.69,2.71,2.69
11/06/24,13141100.0,2.69,2.69,2.71,2.69
13/06/24,36357120.0,2.7,2.69,2.7,2.69
14/06/24,4844110.0,2.69,2.69,2.7,2.69
18/06/24,1998530.0,2.7,2.7,2.7,2.69
19/06/24,7044040.0,2.7,2.69,2.7,2.69
20/06/24,9185350.0,2.69,2.69,2.7,2.69
21/06/24,28269380.0,2.69,2.69,2.7,2.69
24/06/24,38970730.0,2.69,2.69,2.7,2.69
25/06/24,3941210.0,2.69,2.69,2.7,2.69
26/06/24,2948470.0,2.69,2.69,2.7,2.69
27/06/24,4366190.0,2.69,2.69,2.7,2.69
28/06/24,4411190.0,2.69,2.69,2.7,2.69
01/07/24,4412210.0,2.69,2.69,2.7,2.69
02/07/24,1886160.0,2.7,2.69,2.7,2.69
03/07/24,914830.0,2.69,2.69,2.7,2.69
04/07/24,19273110.0,2.69,2.7,2.74,2.69
05/07/24,4937480.0,2.7,2.7,2.72,2.69
08/07/24,10170740.0,2.72,2.56,2.72,2.51
09/07/24,6330670.0,2.55,2.62,2.62,2.47
10/07/24,3409760.0,2.65,2.67,2.7,2.63
11/07/24,6665230.0,2.69,2.69,2.71,2.68
12/07/24,6905840.0,2.69,2.7,2.71,2.69
15/07/24,2214000.0,2.7,2.7,2.7,2.7
16/07/24,1398760.0,2.7,2.71,2.71,2.7
17/07/24,1169240.0,2.71,2.7,2.71,2.7
18/07/24,29913360.0,2.71,2.85,2.92,2.7
19/07/24,8899860.0,2.9,2.88,2.9,2.85
22/07/24,30728240.0,2.86,2.98,3.03,2.85
23/07/24,4193150.0,2.97,2.94,3.01,2.94
25/07/24,640250.0,2.86,3.1,3.1,2.86
26/07/24,2466160.0,3.1,3.0,3.11,3.0
29/07/24,516720.0,3.1,3.0,3.1,3.0
29/07/24,516720.0,3.1,3.0,3.1,3.0
30/07/24,60961070.0,3.0,2.95,3.0,2.95
31/07/24,6085970.0,2.95,2.94,2.95,2.77
01/08/24,1782330.0,2.94,2.95,2.95,2.8
02/08/24,256110.0,2.99,2.97,2.99,2.9
05/08/24,1696900.0,2.93,2.82,2.93,2.82
06/08/24,945900.0,2.82,2.86,2.93,2.81
07/08/24,1045130.0,2.92,2.92,2.93,2.86
08/08/24,227230.0,2.94,2.91,2.94,2.89
09/08/24,3647470.0,2.94,2.98,3.05,2.92
12/08/24,247500.0,2.98,2.99,3.09,2.93
13/08/24,129400.0,2.99,2.99,3.0,2.92
14/08/24,3180500.0,2.98,3.01,3.05,2.89
15/08/24,4420120.0,3.02,3.0,3.03,2.99
16/08/24,2616250.0,3.01,2.96,3.05,2.94
19/08/24,4354760.0,2.96,3.05,3.05,2.93
20/08/24,704900.0,3.09,3.05,3.09,3.0
21/08/24,432080.0,3.01,3.01,3.01,2.99
22/08/24,29497540.0,3.0,3.11,3.15,3.0
27/08/24,3323160.0,3.11,3.11,3.18,3.05
28/08/24,609850.0,3.11,3.04,3.11,3.04
29/08/24,6350290.0,3.04,2.95,3.04,2.94
30/08/24,1050510.0,2.98,2.96,2.99,2.96
02/09/24,782110.0,2.96,3.0,3.0,2.96
03/09/24,2421390.0,2.98,2.98,3.01,2.98
04/09/24,764820.0,2.98,2.98,3.0,2.97
05/09/24,3449760.0,3.0,3.02,3.05,3.0
06/09/24,12375040.0,3.05,3.01,3.05,3.01
09/09/24,504810.0,3.0,3.01,3.05,3.0
10/09/24,24939620.0,3.01,3.1,3.12,3.01
11/09/24,675990.0,3.1,3.1,3.1,3.05
12/09/24,506410.0,3.09,3.1,3.1,3.03
13/09/24,18596790.0,3.12,3.21,3.3,3.07
16/09/24,2077060.0,3.25,3.23,3.32,3.2
17/09/24,2247610.0,3.21,3.23,3.26,3.21
18/09/24,1124080.0,3.25,3.23,3.28,3.23
19/09/24,18902250.0,3.27,3.26,3.27,3.23
20/09/24,39354520.0,3.26,3.25,3.27,3.21
23/09/24,4452360.0,3.25,3.19,3.25,3.18
24/09/24,736400.0,3.18,3.24,3.25,3.18
25/09/24,930300.0,3.24,3.24,3.25,3.2
26/09/24,1015570.0,3.24,3.26,3.3,3.24
27/09/24,1373120.0,3.27,3.24,3.27,3.23
30/09/24,3482600.0,3.27,3.25,3.29,3.11
01/10/24,682820.0,3.21,3.25,3.28,3.2
02/10/24,277420.0,3.26,3.18,3.26,3.18
03/10/24,2776250.0,3.24,3.2,3.24,3.14
04/10/24,592580.0,3.14,3.2,3.2,3.1
07/10/24,2760260.0,3.2,3.15,3.2,3.12
08/10/24,3477500.0,3.15,3.17,3.23,3.15
09/10/24,180500.0,3.24,3.17,3.24,3.17
10/10/24,2501220.0,3.17,3.29,3.3,3.17
11/10/24,1778330.0,3.29,3.22,3.32,3.22
14/10/24,734700.0,3.21,3.2,3.3,3.2
15/10/24,1560540.0,3.21,3.2,3.3,3.2
16/10/24,361880.0,3.2,3.3,3.3,3.2
17/10/24,1429360.0,3.25,3.34,3.34,3.25
18/10/24,166910.0,3.35,3.33,3.35,3.3
21/10/24,641650.0,3.3,3.35,3.36,3.3
22/10/24,9113460.0,3.36,3.4,3.4,3.35
23/10/24,1379590.0,3.4,3.35,3.4,3.27
24/10/24,282430.0,3.34,3.28,3.34,3.28
25/10/24,421460.0,3.35,3.34,3.35,3.33
28/10/24,295950.0,3.39,3.35,3.4,3.3
29/10/24,26740.0,3.36,3.34,3.36,3.34
30/10/24,2423650.0,3.34,3.23,3.34,3.2
31/10/24,855330.0,3.23,3.2,3.27,3.2
04/11/24,1235630.0,3.22,3.24,3.24,3.19
05/11/24,5158440.0,3.28,3.24,3.28,3.19
06/11/24,189160.0,3.24,3.2,3.24,3.2
07/11/24,3026160.0,3.2,3.2,3.2,3.19
08/11/24,371860.0,3.24,3.23,3.3,3.23
11/11/24,42440.0,3.23,3.27,3.28,3.23
12/11/24,1178940.0,3.22,3.21,3.27,3.21
13/11/24,1543430.0,3.27,3.21,3.27,3.2
14/11/24,3082690.0,3.2,3.23,3.25,3.2
15/11/24,9668380.0,3.2,3.21,3.25,3.2
18/11/24,58460.0,3.25,3.21,3.27,3.21
18/11/24,58460.0,3.25,3.21,3.27,3.21
19/11/24,337380.0,3.27,3.24,3.27,3.21
20/11/24,296740.0,3.25,3.25,3.27,3.21
21/11/24,29030.0,3.26,3.24,3.26,3.2
22/11/24,109730.0,3.25,3.2,3.25,3.2
25/11/24,103290.0,3.23,3.24,3.27,3.21
26/11/24,173520.0,3.23,3.22,3.24,3.2
27/11/24,93200.0,3.25,3.23,3.25,3.2
28/11/24,305050.0,3.24,3.25,3.27,3.23
29/11/24,857060.0,3.26,3.25,3.26,3.23
02/12/24,386350.0,3.25,3.22,3.25,3.21
03/12/24,396700.0,3.23,3.23,3.23,3.22
04/12/24,4293350.0,3.24,3.3,3.34,3.23
05/12/24,38688140.0,3.3,3.39,3.39,3.3
06/12/24,457430.0,3.39,3.36,3.4,3.36
09/12/24,153460.0,3.4,3.33,3.4,3.33
10/12/24,605540.0,3.3,3.3,3.33,3.27
11/12/24,793890.0,3.26,3.25,3.26,3.24
12/12/24,278940.0,3.26,3.25,3.26,3.24
13/12/24,617780.0,3.24,3.22,3.3,3.22
16/12/24,870840.0,3.3,3.3,3.3,3.21
17/12/24,459980.0,3.22,3.21,3.29,3.21
18/12/24,99540.0,3.21,3.24,3.24,3.2
19/12/24,25720.0,3.21,3.25,3.25,3.21
20/12/24,9750.0,3.25,3.25,3.25,3.25
23/12/24,16280.0,3.28,3.25,3.28,3.25
26/12/24,38840.0,3.24,3.22,3.24,3.22
27/12/24,314670.0,3.26,3.21,3.26,3.21
02/01/25,1308680.0,3.21,3.24,3.26,3.21
03/01/25,905770.0,3.2,3.26,3.27,3.2
06/01/25,1601750.0,3.27,3.4,3.4,3.27
07/01/25,1361140.0,3.3,3.28,3.39,3.28
08/01/25,242130.0,3.28,3.3,3.38,3.28
09/01/25,26877660.0,3.3,3.3,3.32,3.25
10/01/25,3504130.0,3.25,3.49,3.5,3.25
13/01/25,1078350.0,3.48,3.45,3.48,3.34
14/01/25,301130.0,3.4,3.38,3.45,3.32
15/01/25,5840660.0,3.38,3.37,3.5,3.35
16/01/25,46433170.0,3.5,3.5,3.5,3.38
17/01/25,467930.0,3.5,3.5,3.5,3.41
20/01/25,559130.0,3.5,3.43,3.5,3.43
21/01/25,236330.0,3.44,3.47,3.49,3.44
22/01/25,925440.0,3.47,3.47,3.48,3.45
23/01/25,1418310.0,3.48,3.6,3.6,3.45
24/01/25,1435710.0,3.61,3.59,3.61,3.5
27/01/25,280220.0,3.59,3.57,3.59,3.52
28/01/25,410010.0,3.57,3.55,3.57,3.52
30/01/25,236540.0,3.5,3.55,3.55,3.5
31/01/25,503610.0,3.55,3.52,3.55,3.46
03/02/25,695400.0,3.46,3.54,3.54,3.46
04/02/25,481200.0,3.54,3.54,3.54,3.5
05/02/25,1624270.0,3.53,3.5,3.53,3.45
06/02/25,1074110.0,3.5,3.43,3.5,3.43
07/02/25,7348780.0,3.43,3.5,3.5,3.42
10/02/25,167500.0,3.5,3.48,3.5,3.4
11/02/25,301270.0,3.4,3.45,3.48,3.4
12/02/25,419670.0,3.45,3.45,3.48,3.42
13/02/25,1432410.0,3.45,3.48,3.49,3.42
14/02/25,149610.0,3.48,3.48,3.48,3.45
17/02/25,13674230.0,3.48,3.4,3.48,3.38
18/02/25,930180.0,3.4,3.47,3.49,3.4
19/02/25,355160.0,3.49,3.49,3.49,3.45
20/02/25,265730.0,3.49,3.43,3.49,3.42
21/02/25,1331790.0,3.49,3.5,3.5,3.4
24/02/25,3776460.0,3.5,3.6,3.63,3.49
25/02/25,60720.0,3.6,3.6,3.6,3.52
26/02/25,615710.0,3.59,3.6,3.6,3.55
27/02/25,4589710.0,3.58,3.59,3.6,3.58
28/02/25,952590.0,3.6,3.59,3.6,3.52
03/03/25,1271290.0,3.6,3.52,3.6,3.52
04/03/25,375570.0,3.6,3.51,3.6,3.5
05/03/25,1192960.0,3.51,3.6,3.6,3.5
06/03/25,1914770.0,3.6,3.6,3.6,3.53
07/03/25,404590.0,3.6,3.59,3.6,3.54
10/03/25,1333040.0,3.6,3.59,3.6,3.55
11/03/25,792260.0,3.53,3.56,3.56,3.5
12/03/25,494060.0,3.6,3.55,3.6,3.52
13/03/25,542870.0,3.52,3.55,3.61,3.51
14/03/25,389500.0,3.6,3.58,3.6,3.51
17/03/25,195530.0,3.6,3.55,3.6,3.52
18/03/25,1833930.0,3.56,3.6,3.6,3.51
19/03/25,1832550.0,3.6,3.61,3.61,3.51
20/03/25,132000.0,3.61,3.58,3.61,3.54
21/03/25,82190.0,3.58,3.56,3.58,3.55
24/03/25,63890.0,3.55,3.59,3.6,3.52
24/03/25,63890.0,3.55,3.59,3.6,3.52
25/03/25,1585200.0,3.59,3.6,3.6,3.52
26/03/25,1877540.0,3.61,3.65,3.65,3.58
27/03/25,979210.0,3.65,3.68,3.68,3.61
28/03/25,759890.0,3.68,3.7,3.7,3.61
31/03/25,232770.0,3.7,3.7,3.7,3.69
02/04/25,2553490.0,3.7,3.8,3.8,3.69
03/04/25,307250.0,3.8,3.78,3.84,3.78
04/04/25,319940.0,3.84,3.83,3.84,3.74
07/04/25,1642410.0,3.83,3.75,3.83,3.58
08/04/25,766440.0,3.72,3.82,3.85,3.72
10/04/25,1046600.0,3.82,3.85,3.85,3.7
11/04/25,715430.0,3.85,3.82,3.85,3.8
14/04/25,466750.0,3.85,3.8,3.85,3.78
15/04/25,1148130.0,3.81,3.78,3.82,3.75
16/04/25,367300.0,3.8,3.8,3.84,3.78
21/04/25,210200.0,3.84,3.8,3.84,3.8
22/04/25,108820.0,3.76,3.79,3.8,3.72
23/04/25,709760.0,3.8,3.71,3.8,3.62
24/04/25,51540.0,3.71,3.69,3.71,3.66
25/04/25,506490.0,3.68,3.66,3.69,3.62
28/04/25,1595840.0,3.66,3.7,3.75,3.66
29/04/25,63530.0,3.79,3.75,3.79,3.72
30/04/25,477600.0,3.73,3.76,3.76,3.71
02/05/25,411550.0,3.77,3.76,3.79,3.71
05/05/25,1246250.0,3.76,3.85,3.85,3.76
06/05/25,171850.0,3.84,3.82,3.86,3.8
07/05/25,236560.0,3.82,3.8,3.82,3.71
08/05/25,1366160.0,3.74,3.81,3.82,3.72
09/05/25,474800.0,3.8,3.81,3.81,3.74
13/05/25,280370.0,3.81,3.82,3.82,3.71
14/05/25,282660.0,3.82,3.75,3.82,3.7
15/05/25,317530.0,3.7,3.79,3.8,3.7
16/05/25,95000.0,3.8,3.8,3.8,3.8
19/05/25,56850.0,3.8,3.78,3.81,3.78
20/05/25,423540.0,3.8,3.7,3.8,3.7
21/05/25,112060.0,3.79,3.79,3.79,3.72
22/05/25,826870.0,3.79,3.81,3.81,3.7
23/05/25,765720.0,3.81,3.85,3.85,3.8
26/05/25,292690.0,3.84,3.8,3.84,3.76
27/05/25,373580.0,3.87,3.8,3.9,3.8
28/05/25,152380.0,3.84,3.8,3.9,3.78
29/05/25,91570.0,3.8,3.8,3.9,3.77
30/05/25,1182420.0,3.88,3.9,3.9,3.74
