Date,Value,Open,Close,High,Low
07/08/09,15000.0,1.5,1.5,1.5,1.5
10/08/09,39760.0,1.42,1.42,1.42,1.42
11/08/09,55380.0,1.44,1.44,1.5,1.44
12/08/09,7200.0,1.44,1.44,1.44,1.44
18/08/09,25920.0,1.44,1.44,1.44,1.44
19/08/09,1460.0,1.46,1.46,1.46,1.46
24/08/09,58400.0,1.46,1.46,1.46,1.46
03/09/09,962140.0,1.46,1.46,1.46,1.46
16/09/09,14000.0,1.4,1.4,1.4,1.4
17/09/09,61480.0,1.52,1.54,1.54,1.52
18/09/09,126380.0,1.42,1.42,1.42,1.42
23/09/09,7500.0,1.5,1.5,1.5,1.5
05/10/09,1300.0,1.3,1.3,1.3,1.3
06/10/09,3040.0,1.52,1.52,1.52,1.52
07/10/09,1500.0,1.5,1.5,1.5,1.5
09/10/09,3000.0,1.5,1.5,1.5,1.5
13/10/09,1500.0,1.5,1.5,1.5,1.5
14/10/09,4320.0,1.44,1.44,1.44,1.44
15/10/09,1460.0,1.46,1.46,1.46,1.46
21/10/09,131720.0,1.48,1.48,1.48,1.48
26/10/09,27720.0,1.54,1.54,1.54,1.54
27/10/09,34360.0,1.58,1.56,1.58,1.56
04/11/09,15800.0,1.58,1.58,1.58,1.58
05/11/09,2880.0,1.44,1.44,1.44,1.44
11/11/09,65060.0,1.34,1.36,1.36,1.34
21/12/09,36000.0,1.44,1.44,1.44,1.44
06/01/10,7700.0,1.54,1.54,1.54,1.54
11/01/10,52540.0,1.5,1.5,1.52,1.5
13/01/10,9940.0,1.42,1.42,1.42,1.42
14/01/10,28500.0,1.5,1.5,1.5,1.5
20/01/10,3000.0,1.5,1.5,1.5,1.5
26/01/10,15000.0,1.5,1.5,1.5,1.5
27/01/10,28900.0,1.4,0.9,1.4,0.9
03/02/10,13400.0,1.34,1.34,1.34,1.34
11/02/10,67000.0,1.34,1.34,1.34,1.34
08/03/10,8400.0,1.4,1.4,1.4,1.4
12/03/10,81040.0,1.58,1.3,1.58,1.3
20/04/10,11360.0,1.42,1.42,1.42,1.42
29/04/10,55000.0,1.88,1.8,1.88,1.8
30/04/10,17900.0,1.78,1.8,1.8,1.78
04/05/10,82760.0,1.82,1.78,1.82,1.78
13/05/10,37400.0,1.7,1.7,1.7,1.7
14/05/10,17160.0,1.78,1.7,1.78,1.7
17/05/10,164900.0,1.7,1.7,1.7,1.7
18/05/10,40520.0,1.76,1.78,1.78,1.76
19/05/10,7040.0,1.78,1.74,1.78,1.74
20/05/10,42500.0,1.7,1.7,1.7,1.7
21/05/10,37400.0,1.7,1.7,1.7,1.7
24/05/10,17000.0,1.7,1.7,1.7,1.7
26/05/10,6640.0,1.66,1.66,1.66,1.66
28/05/10,38180.0,1.66,1.66,1.66,1.66
31/05/10,47460.0,1.7,1.68,1.7,1.68
01/06/10,53480.0,1.76,1.8,1.8,1.76
02/06/10,83180.0,2.0,1.98,2.0,1.98
03/06/10,111840.0,2.0,2.0,2.0,1.9
04/06/10,421240.0,1.96,1.92,1.96,1.8
07/06/10,123100.0,1.92,1.92,1.92,1.88
08/06/10,8000.0,1.6,1.6,1.6,1.6
09/06/10,11200.0,1.6,1.6,1.6,1.6
11/06/10,24000.0,1.6,1.6,1.6,1.6
21/06/10,20800.0,1.6,1.6,1.6,1.6
24/06/10,24000.0,1.6,1.6,1.6,1.6
25/06/10,7500.0,1.5,1.5,1.5,1.5
28/06/10,3000.0,1.5,1.5,1.5,1.5
29/06/10,7900.0,1.58,1.58,1.58,1.58
13/07/10,149800.0,1.48,1.6,1.6,1.48
14/07/10,345860.0,1.6,1.76,1.76,1.6
15/07/10,527340.0,1.78,1.78,1.88,1.78
16/07/10,18480.0,1.68,1.68,1.68,1.68
19/07/10,123200.0,1.6,1.6,1.6,1.6
20/07/10,20400.0,1.7,1.7,1.7,1.7
21/07/10,1600.0,1.6,1.6,1.6,1.6
22/07/10,240940.0,1.5,1.74,1.74,1.5
23/07/10,20800.0,1.6,1.6,1.6,1.6
20/09/10,89840.0,1.42,1.45,1.45,1.42
21/09/10,30030.0,1.43,1.43,1.43,1.43
22/09/10,93300.0,1.5,1.48,1.5,1.48
23/09/10,7500.0,1.5,1.5,1.5,1.5
27/09/10,8280.0,1.38,1.38,1.38,1.38
29/09/10,193560.0,1.42,1.45,1.45,1.42
30/09/10,63000.0,1.5,1.5,1.5,1.5
01/10/10,30200.0,1.51,1.51,1.51,1.51
05/10/10,265960.0,1.42,1.41,1.42,1.41
06/10/10,15000.0,1.5,1.5,1.5,1.5
07/10/10,570000.0,1.42,1.44,1.46,1.4
08/10/10,302920.0,1.42,1.42,1.42,1.4
14/10/10,33200.0,1.4,1.5,1.5,1.4
