Date,Value,Open,Close,High,Low
11/08/09,6600000.0,27.5,27.5,27.5,27.5
14/10/09,8685000.0,27.5,28.0,28.0,27.5
20/10/09,16450.0,27.0,27.5,27.5,27.0
28/10/09,8315000.0,27.5,28.0,28.0,27.5
04/11/09,8008000.0,28.0,28.0,28.0,28.0
15/12/09,9800000.0,28.0,28.0,28.0,28.0
22/12/09,9548000.0,28.0,28.0,28.0,28.0
29/12/09,9520000.0,28.0,28.0,28.0,28.0
07/01/10,9100000.0,28.0,28.0,28.0,28.0
14/01/10,8416500.0,27.5,28.0,28.0,27.5
20/01/10,8551150.0,28.0,28.0,28.0,27.5
26/01/10,8400000.0,28.0,28.0,28.0,28.0
08/02/10,14000.0,28.0,28.0,28.0,28.0
17/05/10,14000.0,28.0,28.0,28.0,28.0
28/05/10,14000.0,28.0,28.0,28.0,28.0
15/06/10,14000.0,28.0,28.0,28.0,28.0
23/06/10,14000.0,28.0,28.0,28.0,28.0
16/07/10,9856000.0,28.0,28.0,28.0,28.0
22/07/10,9912000.0,28.0,28.0,28.0,28.0
01/10/10,16700.0,27.0,28.0,28.0,27.0
14/10/10,14000.0,28.0,28.0,28.0,28.0
28/10/10,8400000.0,28.0,28.0,28.0,28.0
04/11/10,8540000.0,28.0,28.0,28.0,28.0
11/11/10,8680000.0,28.0,28.0,28.0,28.0
18/11/10,8680000.0,28.0,28.0,28.0,28.0
26/11/10,8960000.0,28.0,28.0,28.0,28.0
05/01/11,14000.0,28.0,28.0,28.0,28.0
11/01/11,41700.0,27.8,27.8,27.8,27.8
11/01/11,41700.0,27.8,27.8,27.8,27.8
21/02/11,14000.0,28.0,28.0,28.0,28.0
21/02/11,14000.0,28.0,28.0,28.0,28.0
25/03/11,14000.0,28.0,28.0,28.0,28.0
30/06/11,28000.0,28.0,28.0,28.0,28.0
16/09/11,14250.0,28.5,28.5,28.5,28.5
19/09/11,14250.0,28.5,28.5,28.5,28.5
10/10/11,14250.0,28.5,28.5,28.5,28.5
12/10/11,14250.0,28.5,28.5,28.5,28.5
28/10/11,14250.0,28.5,28.5,28.5,28.5
02/11/11,28500.0,28.5,28.5,28.5,28.5
04/11/11,28500.0,28.5,28.5,28.5,28.5
10/11/11,28500.0,28.5,28.5,28.5,28.5
23/11/11,28500.0,28.5,28.5,28.5,28.5
28/11/11,28500.0,28.5,28.5,28.5,28.5
29/11/11,28500.0,28.5,28.5,28.5,28.5
