Date,Value,Open,Close,High,Low
23/10/12,427297380.0,1.36,1.5,1.5,1.34
24/10/12,390665430.0,1.67,1.5,1.68,1.42
25/10/12,139142850.0,1.53,1.5,1.57,1.38
29/10/12,97848990.0,1.45,1.28,1.45,1.28
30/10/12,48847370.0,1.26,1.3,1.3,1.22
31/10/12,20632900.0,1.33,1.35,1.36,1.31
05/11/12,21245470.0,1.3,1.3,1.38,1.27
06/11/12,79040020.0,1.28,1.12,1.28,1.12
07/11/12,39073410.0,1.1,1.08,1.14,1.04
08/11/12,16177330.0,1.09,1.09,1.09,1.06
09/11/12,19250560.0,1.08,1.06,1.09,1.05
12/11/12,19395670.0,1.06,1.03,1.07,1.03
13/11/12,36660160.0,1.04,1.09,1.13,1.04
14/11/12,11692060.0,1.09,1.05,1.1,1.05
15/11/12,22962730.0,1.06,1.03,1.06,1.03
16/11/12,8419950.0,1.04,1.03,1.06,1.03
19/11/12,8412870.0,1.05,1.05,1.09,1.04
20/11/12,5440470.0,1.06,1.06,1.06,1.04
21/11/12,7980470.0,1.06,1.07,1.08,1.05
22/11/12,4923070.0,1.07,1.06,1.08,1.06
23/11/12,5598280.0,1.07,1.06,1.08,1.05
26/11/12,3563460.0,1.06,1.07,1.07,1.06
27/11/12,2141720.0,1.06,1.07,1.08,1.06
28/11/12,42332740.0,1.08,1.14,1.15,1.07
29/11/12,9506730.0,1.15,1.1,1.15,1.08
03/12/12,8285330.0,1.1,1.07,1.12,1.06
04/12/12,3735750.0,1.07,1.07,1.09,1.07
05/12/12,2412630.0,1.07,1.07,1.08,1.06
06/12/12,6812540.0,1.07,1.06,1.08,1.05
07/12/12,3473130.0,1.06,1.06,1.07,1.05
10/12/12,4132400.0,1.06,1.06,1.07,1.04
11/12/12,4546510.0,1.05,1.04,1.06,1.04
12/12/12,5266940.0,1.04,1.03,1.05,1.03
13/12/12,2466550.0,1.05,1.04,1.05,1.03
14/12/12,7239080.0,1.04,1.06,1.08,1.04
17/12/12,1648750.0,1.06,1.05,1.06,1.04
18/12/12,5313020.0,1.05,1.03,1.05,1.02
19/12/12,1586030.0,1.03,1.04,1.04,1.03
20/12/12,2007750.0,1.04,1.02,1.05,1.02
21/12/12,1378840.0,1.02,1.03,1.04,1.02
26/12/12,3736540.0,1.03,1.03,1.05,1.03
27/12/12,5634010.0,1.03,1.03,1.04,1.02
28/12/12,3276510.0,1.04,1.02,1.04,1.02
02/01/13,8826700.0,1.02,1.02,1.03,1.02
03/01/13,9575150.0,1.03,1.02,1.03,1.02
04/01/13,7151040.0,1.02,1.03,1.03,1.02
07/01/13,8251020.0,1.02,1.02,1.03,1.02
08/01/13,10494030.0,1.03,1.03,1.04,1.01
09/01/13,4469210.0,1.03,1.03,1.04,1.02
10/01/13,6456870.0,1.03,1.02,1.03,1.01
11/01/13,11626580.0,1.02,1.01,1.02,1.01
14/01/13,3427550.0,1.01,1.0,1.02,1.0
15/01/13,9217550.0,1.01,1.01,1.03,1.0
16/01/13,2164740.0,1.01,1.01,1.02,1.01
17/01/13,1913820.0,1.01,1.02,1.02,1.01
18/01/13,3370350.0,1.02,1.01,1.02,1.01
21/01/13,6270090.0,1.01,1.0,1.02,1.0
22/01/13,2695230.0,1.01,1.02,1.02,1.0
