Date,Value,Open,Close,High,Low
27/11/13,43043105.0,26.0,25.85,26.0,24.0
28/11/13,17495050.0,25.5,26.0,26.0,25.5
29/11/13,17967470.0,25.95,25.85,26.0,25.85
02/12/13,1744485.0,26.0,25.9,26.0,25.85
03/12/13,2172570.0,25.7,25.5,25.8,25.5
04/12/13,8905580.0,25.5,25.25,25.5,25.25
05/12/13,2635325.0,25.25,25.25,25.25,25.2
06/12/13,2010200.0,25.0,25.2,25.2,25.0
09/12/13,1530500.0,25.0,25.0,25.2,25.0
10/12/13,3554190.0,25.2,25.0,25.2,24.8
11/12/13,2323490.0,25.0,24.9,25.0,24.8
12/12/13,4212450.0,25.0,24.8,25.0,24.5
13/12/13,7947500.0,24.7,24.0,24.7,24.0
16/12/13,1198450.0,24.0,23.85,24.0,23.85
17/12/13,1042190.0,23.85,24.0,24.0,23.8
18/12/13,6181020.0,24.2,23.8,24.2,23.8
19/12/13,7817810.0,24.0,23.8,24.0,23.6
20/12/13,2509050.0,23.5,23.8,23.8,23.4
23/12/13,11533010.0,23.9,23.9,24.1,23.9
26/12/13,3585840.0,24.8,24.5,24.8,24.5
27/12/13,7350.0,24.5,24.5,24.5,24.5
02/01/14,12475.0,24.95,24.95,24.95,24.95
06/01/14,48480.0,23.0,24.8,24.8,23.0
07/01/14,8848750.0,24.75,24.45,24.75,24.45
08/01/14,8733575.0,24.45,24.0,24.5,24.0
09/01/14,2335540.0,23.5,23.0,23.55,21.5
10/01/14,5176290.0,23.0,22.5,23.0,22.3
13/01/14,2275110.0,22.6,22.9,23.0,22.6
14/01/14,64855.0,23.0,23.35,23.35,23.0
15/01/14,14310570.0,23.35,24.0,24.0,23.35
16/01/14,1451395.0,23.8,23.8,23.8,23.35
17/01/14,1009500.0,24.0,23.75,24.0,23.75
20/01/14,1423280.0,24.0,24.0,24.2,24.0
21/01/14,117500.0,23.5,23.5,23.5,23.5
22/01/14,6615295.0,23.5,23.45,23.5,23.4
23/01/14,955300.0,23.3,23.3,23.3,23.3
24/01/14,1039610.0,23.0,23.0,23.05,23.0
27/01/14,5551695.0,22.9,22.8,23.0,22.8
28/01/14,10788960.0,22.8,22.8,22.8,22.8
29/01/14,280440.0,22.8,22.8,22.8,22.8
30/01/14,2339345.0,22.8,23.45,23.45,22.8
03/02/14,2345.0,23.45,23.45,23.45,23.45
04/02/14,3107150.0,23.45,23.45,23.5,23.45
05/02/14,54047560.0,23.45,23.45,23.45,23.45
06/02/14,147840.0,23.45,23.5,23.5,23.45
07/02/14,5596585.0,24.0,25.5,25.5,24.0
10/02/14,24000.0,24.0,24.0,24.0,24.0
11/02/14,3727670.0,25.75,25.85,25.95,25.75
13/02/14,4891700.0,24.95,25.7,25.7,24.35
14/02/14,838700.0,25.9,25.8,25.9,24.4
17/02/14,20565.0,25.95,25.9,25.95,25.0
18/02/14,10204445.0,24.6,25.9,25.95,24.6
19/02/14,2307310.0,25.9,26.05,26.25,25.5
20/02/14,88365.0,25.85,26.0,26.1,25.85
21/02/14,7115130.0,26.1,26.5,26.65,26.1
24/02/14,16894490.0,26.0,27.0,27.1,26.0
25/02/14,16973195.0,26.15,26.95,26.95,26.15
26/02/14,4860460.0,26.95,26.95,27.25,26.95
27/02/14,8018610.0,26.95,27.0,27.0,26.5
28/02/14,1115115.0,26.45,27.4,27.4,26.45
03/03/14,1919700.0,27.0,27.0,27.0,27.0
04/03/14,2700640.0,27.0,27.1,27.1,27.0
05/03/14,148650.0,27.0,27.1,27.1,27.0
06/03/14,2521480.0,27.1,27.1,27.1,27.0
07/03/14,415660.0,27.2,27.1,27.2,27.1
10/03/14,67500.0,27.0,27.0,27.0,27.0
11/03/14,189030.0,27.0,27.05,27.05,27.0
12/03/14,275975.0,27.1,27.05,27.1,27.05
13/03/14,75600.0,27.0,27.0,27.0,27.0
14/03/14,480600.0,27.0,27.0,27.0,27.0
17/03/14,975050.0,27.1,27.0,27.2,27.0
18/03/14,758700.0,27.0,27.0,27.0,27.0
19/03/14,75600.0,27.0,27.0,27.0,27.0
20/03/14,9217550.0,27.0,27.0,27.45,27.0
21/03/14,144245.0,27.45,27.3,27.45,27.0
24/03/14,464400.0,27.0,27.0,27.0,27.0
25/03/14,342500.0,27.4,27.4,27.4,27.4
26/03/14,1660285.0,27.2,27.9,27.9,27.2
27/03/14,3693960.0,27.9,27.9,27.9,27.9
28/03/14,5007710.0,26.9,27.8,27.85,26.9
31/03/14,7656655.0,27.75,27.8,27.9,27.65
01/04/14,3235820.0,27.8,28.0,28.0,27.7
02/04/14,17817090.0,28.5,29.0,29.2,28.5
03/04/14,14515665.0,29.0,31.0,32.5,29.0
04/04/14,8324105.0,30.5,31.5,31.8,30.5
07/04/14,4653095.0,30.0,31.7,32.0,29.15
08/04/14,3804840.0,31.7,32.0,32.0,31.3
10/04/14,9442435.0,32.0,33.35,33.9,32.0
11/04/14,18049790.0,34.0,34.0,35.0,33.05
14/04/14,5220185.0,34.0,35.2,36.0,34.0
15/04/14,9473290.0,35.4,35.75,35.9,35.2
16/04/14,5555700.0,35.9,35.3,36.05,35.0
21/04/14,10950060.0,35.3,35.3,35.3,35.3
22/04/14,13682680.0,35.3,35.45,35.45,35.3
23/04/14,4250725.0,35.45,35.0,35.45,34.0
24/04/14,4301290.0,34.0,34.3,35.0,33.8
25/04/14,1013960.0,34.95,34.0,34.95,34.0
28/04/14,55980.0,32.5,34.0,34.0,32.5
29/04/14,3675980.0,33.9,32.5,34.0,32.5
30/04/14,1050515.0,33.0,32.5,33.0,32.5
02/05/14,5417750.0,32.5,32.5,32.5,32.5
05/05/14,2378290.0,32.5,32.6,33.0,32.5
06/05/14,3775935.0,32.5,32.4,32.5,32.0
07/05/14,928670.0,31.75,32.5,32.5,31.75
08/05/14,9176615.0,32.5,32.5,33.0,32.3
09/05/14,2188250.0,32.5,32.0,32.5,32.0
12/05/14,41600.0,32.0,32.0,32.0,32.0
13/05/14,75975.0,33.0,33.05,33.05,33.0
14/05/14,607200.0,33.0,33.0,33.0,33.0
15/05/14,14029095.0,33.15,35.0,35.95,33.15
16/05/14,14117865.0,35.0,36.0,36.1,33.05
19/05/14,17687150.0,36.05,38.0,40.0,36.05
20/05/14,1729765.0,38.2,38.0,38.2,38.0
21/05/14,225180.0,36.15,36.55,36.55,36.15
22/05/14,95715.0,36.6,38.9,38.9,36.6
23/05/14,123200.0,38.5,38.5,38.5,38.5
26/05/14,1257850.0,36.7,37.0,37.0,36.7
27/05/14,103045.0,36.7,36.75,37.0,36.7
28/05/14,423730.0,36.8,36.7,36.8,36.5
29/05/14,284700.0,36.5,36.5,36.5,36.5
30/05/14,1400660.0,36.5,39.0,39.5,36.0
02/06/14,152000.0,38.0,38.0,38.0,38.0
03/06/14,12227640.0,39.6,41.0,46.0,39.6
04/06/14,16599675.0,42.0,43.0,44.0,42.0
05/06/14,18425275.0,43.0,44.0,44.9,43.0
06/06/14,34286260.0,44.0,44.0,44.0,42.05
09/06/14,2537550.0,44.5,44.0,45.0,42.05
10/06/14,283010455.0,44.0,42.05,44.0,42.05
11/06/14,3597245.0,44.0,43.0,44.0,42.05
13/06/14,251710.0,42.4,42.0,42.4,40.7
16/06/14,258870.0,41.0,42.0,42.0,41.0
17/06/14,136175.0,42.0,41.7,42.0,40.55
18/06/14,463620.0,41.7,43.85,43.85,41.5
19/06/14,82653730.0,43.85,44.0,45.0,43.0
20/06/14,8800.0,44.0,44.0,44.0,44.0
23/06/14,3532350.0,43.0,45.0,45.0,43.0
24/06/14,996230.0,45.0,43.2,45.2,43.05
25/06/14,17280.0,43.2,43.2,43.2,43.2
26/06/14,86460.0,43.2,43.2,43.3,43.2
27/06/14,38500.0,43.0,42.0,43.0,42.0
30/06/14,74673700.0,42.0,43.0,43.0,42.0
01/07/14,2046860.0,44.5,43.0,44.5,43.0
