Date,Value,Open,Close,High,Low
25/08/09,10200.0,51.0,51.0,51.0,51.0
01/10/09,40500.0,45.0,45.0,45.0,45.0
07/10/09,19200.0,32.0,32.0,32.0,32.0
05/11/09,52800.0,48.0,48.0,48.0,48.0
06/11/09,71400.0,60.0,72.0,72.0,60.0
09/11/09,7900.0,79.0,79.0,79.0,79.0
11/11/09,22400.0,72.0,80.0,80.0,72.0
13/05/10,38000.0,38.0,38.0,38.0,38.0
19/10/10,4500.0,45.0,45.0,45.0,45.0
22/10/10,13500.0,45.0,45.0,45.0,45.0
26/10/10,9000.0,45.0,45.0,45.0,45.0
08/11/10,10000.0,50.0,50.0,50.0,50.0
24/11/10,12000.0,60.0,60.0,60.0,60.0
29/12/10,6500.0,65.0,65.0,65.0,65.0
29/12/10,6500.0,65.0,65.0,65.0,65.0
10/01/11,54750.0,75.0,75.0,75.0,75.0
11/01/11,7200.0,80.0,80.0,80.0,80.0
11/01/11,7200.0,80.0,80.0,80.0,80.0
13/01/11,40500.0,81.0,81.0,81.0,81.0
19/01/11,3600.0,60.0,60.0,60.0,60.0
19/01/11,3600.0,60.0,60.0,60.0,60.0
18/02/11,8400.0,60.0,60.0,60.0,60.0
21/02/11,14391.0,60.0,59.9,60.0,59.9
21/02/11,14391.0,60.0,59.9,60.0,59.9
17/03/11,5400.0,54.0,54.0,54.0,54.0
30/03/11,27000.0,54.0,54.0,54.0,54.0
06/05/11,3240.0,36.0,36.0,36.0,36.0
19/05/11,660000.0,44.0,44.0,44.0,44.0
10/06/11,52800.0,44.0,44.0,44.0,44.0
25/07/11,276000.0,50.0,50.0,55.0,50.0
10/08/11,110000.0,55.0,55.0,55.0,55.0
17/08/11,5000.0,50.0,50.0,50.0,50.0
02/09/11,28400.0,42.0,50.0,50.0,42.0
13/09/11,11000.0,55.0,55.0,55.0,55.0
15/09/11,3360.0,42.0,42.0,42.0,42.0
04/10/11,11000.0,55.0,55.0,55.0,55.0
12/10/11,401500.0,55.0,55.0,55.0,55.0
14/10/11,68000.0,68.0,68.0,68.0,68.0
18/11/11,316700.0,61.0,100.0,102.0,61.0
21/11/11,89300.0,140.0,99.0,140.0,99.0
22/11/11,109520.0,80.0,88.0,95.0,80.0
21/12/11,7000.0,70.0,70.0,70.0,70.0
23/12/11,1222650.0,45.0,45.0,45.0,45.0
27/12/11,5000.0,50.0,50.0,50.0,50.0
29/12/11,25400.0,50.0,60.0,60.0,50.0
12/01/12,91760.0,74.0,88.0,90.0,74.0
13/01/12,4500.0,90.0,90.0,90.0,90.0
16/01/12,112620.0,99.0,76.0,110.0,76.0
17/01/12,18740.0,79.0,85.0,85.0,78.0
20/01/12,16050.0,85.0,84.0,85.0,84.0
24/01/12,8000.0,80.0,80.0,80.0,80.0
25/01/12,60590.0,80.0,79.0,80.0,75.0
26/01/12,28300.0,75.0,80.0,80.0,75.0
27/01/12,800.0,80.0,80.0,80.0,80.0
30/01/12,65450.0,85.0,85.0,85.0,85.0
03/02/12,96900.0,85.0,85.0,85.0,85.0
06/02/12,10800.0,90.0,90.0,90.0,90.0
07/02/12,24800.0,90.0,96.0,96.0,90.0
09/02/12,1860067.0,144.0,99.95,144.0,99.95
10/02/12,225992.5,90.0,81.7,91.0,80.0
14/02/12,1440.0,71.0,73.0,73.0,71.0
15/02/12,22820.0,97.0,95.0,97.0,95.0
16/02/12,1450.0,72.5,72.5,72.5,72.5
17/02/12,14345.0,75.5,75.5,75.5,75.5
20/02/12,2550.0,79.0,88.0,88.0,79.0
21/02/12,10560.0,88.0,88.0,88.0,88.0
23/02/12,74000.0,74.0,74.0,74.0,74.0
24/02/12,8210.0,74.0,78.0,78.0,73.0
27/02/12,34870.0,73.0,70.0,73.0,70.0
05/03/12,7000.0,70.0,70.0,70.0,70.0
06/03/12,2800.0,70.0,70.0,70.0,70.0
08/03/12,41220.0,81.0,72.0,81.0,72.0
09/03/12,14000.0,70.0,70.0,70.0,70.0
13/03/12,2800.0,70.0,70.0,70.0,70.0
14/03/12,1500.0,75.0,75.0,75.0,75.0
16/03/12,1540.0,77.0,77.0,77.0,77.0
20/03/12,38500.0,70.0,70.0,70.0,70.0
22/03/12,70000.0,70.0,70.0,70.0,70.0
26/03/12,13800.0,69.0,69.0,69.0,69.0
27/03/12,27900.0,70.0,68.0,70.0,68.0
28/03/12,23360.0,68.0,70.0,70.0,68.0
29/03/12,19250.0,70.0,75.0,75.0,70.0
11/04/12,18500.0,74.0,74.0,74.0,74.0
12/04/12,34000.0,68.0,68.0,68.0,68.0
17/04/12,40120.0,68.0,68.0,68.0,68.0
24/04/12,35000.0,70.0,70.0,70.0,70.0
25/04/12,31650.0,70.0,73.0,73.0,70.0
26/04/12,13400.0,67.0,67.0,67.0,67.0
08/05/12,46200.0,66.0,66.0,66.0,66.0
10/05/12,87750.0,65.0,65.0,65.0,65.0
11/05/12,800.0,80.0,80.0,80.0,80.0
01/06/12,106400.0,56.0,56.0,56.0,56.0
04/06/12,60690.0,60.0,60.0,69.0,60.0
05/06/12,12600.0,60.0,60.0,60.0,60.0
06/06/12,141140.0,60.0,79.0,80.0,60.0
22/06/12,19750.0,79.0,79.0,79.0,79.0
26/06/12,19750.0,79.0,79.0,79.0,79.0
29/06/12,3180.0,79.5,79.5,79.5,79.5
02/07/12,65710.0,79.5,80.0,82.0,79.5
16/07/12,800.0,80.0,80.0,80.0,80.0
27/07/12,6179.5,89.95,88.0,89.95,88.0
08/08/12,7040.0,64.0,64.0,64.0,64.0
13/08/12,1719.5,82.0,89.95,89.95,82.0
15/08/12,51400.0,85.0,86.0,86.0,85.0
24/08/12,899.5,89.95,89.95,89.95,89.95
30/08/12,850.0,85.0,85.0,85.0,85.0
24/09/12,72800.0,70.0,70.0,70.0,70.0
27/09/12,700.0,70.0,70.0,70.0,70.0
05/10/12,78000.0,65.0,65.0,65.0,65.0
10/10/12,120960.0,64.0,64.0,64.0,64.0
12/10/12,187110.0,63.0,63.0,63.0,63.0
15/10/12,21080.0,62.0,62.0,62.0,62.0
16/10/12,16560.0,72.0,72.0,72.0,72.0
22/11/12,1270.0,64.0,63.0,64.0,63.0
29/11/12,4000.0,50.0,50.0,50.0,50.0
03/12/12,68250.0,65.0,65.0,65.0,65.0
04/12/12,3244.5,64.45,65.0,65.0,64.45
07/12/12,1300.0,65.0,65.0,65.0,65.0
10/12/12,395400.0,65.0,64.0,65.0,64.0
11/12/12,850.0,85.0,85.0,85.0,85.0
14/12/12,9050.0,60.0,65.0,65.0,60.0
17/12/12,4550.0,65.0,65.0,65.0,65.0
18/12/12,1950.0,65.0,65.0,65.0,65.0
19/12/12,19500.0,65.0,65.0,65.0,65.0
20/12/12,20550.0,65.0,64.0,65.0,64.0
21/12/12,7080.0,65.0,64.0,65.0,64.0
26/12/12,64000.0,64.0,64.0,64.0,64.0
