Date,Value,Open,Close,High,Low
26/10/20,3649651366.0,16.78,15.22,16.8,14.92
27/10/20,1774978096.0,15.22,13.92,15.32,13.2
28/10/20,1156789220.0,14.04,14.5,15.02,13.94
29/10/20,401012396.0,14.5,15.16,15.2,14.38
30/10/20,707341938.0,15.2,14.78,15.4,14.42
03/11/20,429486388.0,14.78,14.54,14.86,14.22
04/11/20,149207192.0,14.54,14.72,14.82,14.54
05/11/20,251531064.0,14.74,14.98,15.02,14.72
06/11/20,254765850.0,15.0,15.0,15.1,14.82
09/11/20,161914536.0,15.06,14.82,15.22,14.8
10/11/20,73638988.0,14.84,14.86,14.98,14.82
11/11/20,204380464.0,14.86,15.1,15.12,14.86
13/11/20,181778152.0,15.1,15.1,15.2,15.1
16/11/20,187460412.0,15.12,15.24,15.32,15.1
17/11/20,282516464.0,15.3,15.66,15.82,15.28
18/11/20,317702806.0,15.66,15.7,15.76,15.62
19/11/20,62041868.0,15.7,15.84,15.86,15.7
20/11/20,344528256.0,15.86,16.62,16.9,15.86
23/11/20,141860280.0,16.9,16.62,16.98,16.62
24/11/20,135812632.0,16.62,15.98,16.62,15.8
25/11/20,49090738.0,16.04,16.1,16.3,15.88
26/11/20,62217564.0,16.02,15.78,16.3,15.78
27/11/20,58802202.0,15.9,15.9,15.9,15.34
01/12/20,108302526.0,15.9,16.0,16.18,15.62
02/12/20,60540180.0,16.0,15.48,16.0,15.48
03/12/20,99873078.0,15.6,15.68,15.84,15.6
04/12/20,49828564.0,15.7,16.0,16.0,15.68
07/12/20,46742934.0,16.0,15.9,16.0,15.82
09/12/20,88324638.0,15.82,15.7,15.86,15.68
10/12/20,57599920.0,15.7,15.5,15.7,15.46
11/12/20,29507716.0,15.56,15.7,15.9,15.52
14/12/20,28732464.0,15.7,15.7,15.88,15.66
15/12/20,80974712.0,15.7,15.6,15.76,15.6
16/12/20,62226706.0,15.6,15.52,15.6,15.52
17/12/20,47965030.0,15.54,15.74,15.9,15.52
18/12/20,47488104.0,15.74,15.78,15.84,15.62
21/12/20,139509154.0,15.8,15.7,15.84,15.54
22/12/20,216632030.0,15.68,15.3,15.68,15.04
23/12/20,130083470.0,15.24,15.34,15.36,15.06
28/12/20,24218720.0,15.28,15.2,15.28,15.08
29/12/20,61587440.0,15.2,14.9,15.24,14.9
04/01/21,52127400.0,14.9,15.08,15.08,14.54
05/01/21,58574476.0,15.08,14.96,15.08,14.78
06/01/21,50722350.0,15.0,14.84,15.04,14.74
07/01/21,40861026.0,14.96,15.38,15.4,14.88
08/01/21,82277994.0,15.48,15.7,15.7,15.4
11/01/21,51667878.0,15.72,15.96,15.98,15.7
12/01/21,50484408.0,15.96,15.74,15.96,15.58
13/01/21,69454604.0,15.7,15.7,15.74,15.5
14/01/21,59030716.0,15.7,15.66,15.7,15.54
15/01/21,118396334.0,15.7,15.7,15.8,15.7
18/01/21,44983104.0,15.7,15.66,15.72,15.6
19/01/21,34998302.0,15.64,15.46,15.64,15.42
20/01/21,25844496.0,15.4,15.7,15.7,15.26
21/01/21,83942152.0,15.7,15.58,15.7,15.48
22/01/21,10500580.0,15.4,15.56,15.58,15.4
25/01/21,107733994.0,15.6,15.9,16.02,15.58
26/01/21,49427660.0,15.9,15.5,15.9,15.48
27/01/21,24021698.0,15.5,15.5,15.72,15.2
28/01/21,16655106.0,15.4,15.52,15.72,15.38
29/01/21,34068906.0,15.6,15.54,15.72,15.4
01/02/21,132964184.0,15.52,16.0,16.1,15.52
02/02/21,115505490.0,16.0,16.32,16.5,16.0
03/02/21,138770862.0,16.42,16.5,16.6,16.3
04/02/21,663461704.0,16.5,17.36,17.64,16.48
05/02/21,286141388.0,17.5,17.2,17.6,17.06
08/02/21,390629856.0,17.16,18.12,18.18,17.16
09/02/21,231900784.0,18.12,18.72,19.32,18.1
10/02/21,277952572.0,18.8,17.8,18.8,17.5
11/02/21,213307226.0,17.7,17.74,18.3,17.7
