Date,Value,Open,Close,High,Low
03/08/09,440000.0,0.008,0.008,0.008,0.008
04/08/09,605500.0,0.008,0.0085,0.0085,0.008
06/08/09,76500.0,0.008,0.0075,0.008,0.0075
10/08/09,128000.0,0.008,0.008,0.008,0.008
11/08/09,133500.0,0.008,0.0075,0.008,0.0075
12/08/09,1731500.0,0.0075,0.0075,0.0075,0.0065
13/08/09,1237500.0,0.0075,0.0075,0.0075,0.0075
14/08/09,600000.0,0.008,0.008,0.008,0.008
17/08/09,39000.0,0.007,0.008,0.008,0.007
19/08/09,660000.0,0.0075,0.0075,0.0075,0.0075
24/08/09,130000.0,0.0075,0.008,0.008,0.0075
25/08/09,3001000.0,0.008,0.0075,0.0085,0.0075
26/08/09,1944000.0,0.008,0.008,0.008,0.008
03/09/09,1192000.0,0.0085,0.009,0.009,0.0085
04/09/09,1817000.0,0.009,0.009,0.0095,0.009
16/09/09,1198500.0,0.0085,0.0085,0.0085,0.0085
17/09/09,42500.0,0.0085,0.0085,0.0085,0.0085
18/09/09,9000.0,0.009,0.009,0.009,0.009
23/09/09,82500.0,0.008,0.0085,0.0085,0.008
30/09/09,32000.0,0.008,0.008,0.008,0.008
01/10/09,8500.0,0.0085,0.0085,0.0085,0.0085
02/10/09,64000.0,0.008,0.008,0.008,0.008
05/10/09,712000.0,0.008,0.008,0.008,0.008
06/10/09,16000.0,0.008,0.008,0.008,0.008
07/10/09,408500.0,0.008,0.0085,0.0085,0.008
08/10/09,760000.0,0.008,0.008,0.008,0.008
12/10/09,8000.0,0.008,0.008,0.008,0.008
14/10/09,24000.0,0.008,0.008,0.008,0.008
15/10/09,376000.0,0.009,0.008,0.009,0.008
19/10/09,208000.0,0.008,0.008,0.008,0.008
20/10/09,45000.0,0.009,0.009,0.009,0.009
21/10/09,27000.0,0.009,0.009,0.009,0.009
22/10/09,17000.0,0.0085,0.0085,0.0085,0.0085
23/10/09,25500.0,0.0085,0.0085,0.0085,0.0085
28/10/09,8000.0,0.008,0.008,0.008,0.008
30/10/09,40000.0,0.008,0.008,0.008,0.008
03/11/09,105500.0,0.008,0.0075,0.008,0.0075
06/11/09,16000.0,0.008,0.008,0.008,0.008
10/11/09,102000.0,0.0085,0.0085,0.0085,0.0085
15/12/09,15000.0,0.0075,0.0075,0.0075,0.0075
23/12/09,16000.0,0.008,0.008,0.008,0.008
29/12/09,168000.0,0.008,0.008,0.008,0.008
04/01/10,15000.0,0.0075,0.0075,0.0075,0.0075
05/01/10,16500.0,0.0085,0.008,0.0085,0.008
06/01/10,112000.0,0.008,0.008,0.008,0.008
07/01/10,240000.0,0.008,0.008,0.008,0.008
08/01/10,128000.0,0.008,0.008,0.008,0.008
12/01/10,556000.0,0.0085,0.008,0.0085,0.008
14/01/10,152000.0,0.008,0.008,0.008,0.008
15/01/10,144000.0,0.008,0.008,0.008,0.008
18/01/10,680500.0,0.0085,0.008,0.0085,0.008
22/01/10,16000.0,0.008,0.008,0.008,0.008
25/01/10,60000.0,0.0075,0.0075,0.0075,0.0075
26/01/10,262500.0,0.0075,0.0075,0.0075,0.0075
27/01/10,52500.0,0.0075,0.0075,0.0075,0.0075
29/01/10,15000.0,0.0075,0.0075,0.0075,0.0075
01/02/10,135000.0,0.0075,0.0075,0.0075,0.0075
02/02/10,150000.0,0.0075,0.0075,0.0075,0.0075
03/02/10,294500.0,0.008,0.0075,0.008,0.0075
04/02/10,175500.0,0.007,0.0075,0.0075,0.007
08/02/10,371000.0,0.007,0.007,0.007,0.007
10/02/10,217000.0,0.007,0.007,0.007,0.007
08/03/10,75000.0,0.0075,0.0075,0.0075,0.0075
12/03/10,42500.0,0.0075,0.007,0.0075,0.007
16/03/10,7500.0,0.0075,0.0075,0.0075,0.0075
17/03/10,67500.0,0.0075,0.0075,0.0075,0.0075
