Date,Value,Open,Close,High,Low
27/04/15,22910380.0,2.11,2.11,2.11,2.11
28/04/15,370741290.0,2.8,2.82,2.97,2.3
29/04/15,97682970.0,2.83,2.63,2.94,2.57
30/04/15,69388820.0,2.6,2.43,2.6,2.35
04/05/15,36879380.0,2.5,2.59,2.64,2.42
05/05/15,26791920.0,2.61,2.43,2.66,2.4
06/05/15,22557680.0,2.43,2.38,2.48,2.32
07/05/15,24706800.0,2.37,2.21,2.37,2.21
08/05/15,25346000.0,2.21,2.41,2.41,2.21
11/05/15,16104220.0,2.45,2.41,2.53,2.41
12/05/15,11532740.0,2.41,2.31,2.41,2.28
13/05/15,9818330.0,2.32,2.25,2.33,2.24
14/05/15,41001740.0,2.25,2.0,2.3,1.99
15/05/15,25458150.0,2.08,2.0,2.11,1.91
18/05/15,7370330.0,2.01,2.02,2.05,1.96
19/05/15,10544620.0,2.02,1.95,2.02,1.95
20/05/15,22173680.0,1.92,1.99,1.99,1.79
21/05/15,8597190.0,2.03,1.85,2.04,1.85
22/05/15,4318140.0,1.86,1.84,1.92,1.81
25/05/15,13637680.0,1.85,1.72,1.85,1.7
26/05/15,15839000.0,1.7,1.53,1.71,1.5
27/05/15,18335510.0,1.53,1.63,1.72,1.52
28/05/15,7091690.0,1.63,1.57,1.67,1.5
29/05/15,5731660.0,1.56,1.6,1.65,1.51
01/06/15,3206790.0,1.6,1.6,1.66,1.55
02/06/15,58002070.0,1.67,2.02,2.02,1.62
03/06/15,121648020.0,2.07,2.0,2.23,2.0
04/06/15,9432560.0,2.02,1.98,2.08,1.97
05/06/15,8859900.0,1.98,1.9,1.98,1.85
08/06/15,10213600.0,1.92,1.95,2.07,1.89
09/06/15,5527990.0,2.0,1.87,2.0,1.84
10/06/15,2124820.0,1.85,1.94,1.96,1.85
11/06/15,10106180.0,1.95,2.03,2.03,1.92
15/06/15,25563580.0,2.04,2.2,2.21,2.04
16/06/15,20066590.0,2.23,2.1,2.27,2.1
17/06/15,9687670.0,2.1,2.17,2.2,2.04
18/06/15,23756620.0,2.19,2.21,2.3,2.17
19/06/15,4759300.0,2.21,2.21,2.25,2.17
22/06/15,5650140.0,2.22,2.08,2.22,2.08
23/06/15,4176690.0,2.1,2.17,2.17,2.08
24/06/15,29280620.0,2.18,2.36,2.38,2.16
25/06/15,27489140.0,2.36,2.46,2.48,2.31
25/06/15,27489140.0,2.36,2.46,2.48,2.31
26/06/15,14927470.0,2.48,2.42,2.5,2.37
29/06/15,19331510.0,2.42,2.44,2.52,2.27
30/06/15,23698220.0,2.45,2.54,2.57,2.39
01/07/15,23735990.0,2.57,2.52,2.58,2.5
02/07/15,10104640.0,2.55,2.45,2.58,2.45
03/07/15,10243160.0,2.45,2.48,2.51,2.38
06/07/15,8925530.0,2.49,2.37,2.52,2.32
07/07/15,7744120.0,2.39,2.41,2.45,2.39
08/07/15,8843600.0,2.41,2.31,2.41,2.31
09/07/15,11511990.0,2.25,2.37,2.39,2.13
10/07/15,3128270.0,2.38,2.33,2.38,2.31
13/07/15,2320070.0,2.3,2.37,2.37,2.24
13/07/15,2320070.0,2.3,2.37,2.37,2.24
14/07/15,7308740.0,2.37,2.4,2.48,2.37
15/07/15,3107170.0,2.45,2.4,2.45,2.36
16/07/15,5215540.0,2.4,2.45,2.47,2.4
20/07/15,3061460.0,2.48,2.45,2.5,2.42
21/07/15,33210490.0,2.47,2.65,2.69,2.47
22/07/15,14537830.0,2.65,2.66,2.75,2.65
23/07/15,5862490.0,2.69,2.57,2.69,2.57
23/07/15,5862490.0,2.69,2.57,2.69,2.57
23/07/15,5862490.0,2.69,2.57,2.69,2.57
24/07/15,7655360.0,2.59,2.61,2.64,2.52
27/07/15,5164470.0,2.6,2.55,2.67,2.55
28/07/15,14024600.0,2.52,2.53,2.59,2.46
29/07/15,4268710.0,2.59,2.6,2.64,2.55
30/07/15,15343430.0,2.6,2.66,2.73,2.6
31/07/15,34699560.0,2.7,2.8,2.83,2.7
03/08/15,33041070.0,2.83,2.95,2.97,2.82
04/08/15,34949030.0,2.97,2.95,3.05,2.95
05/08/15,17082830.0,2.89,3.0,3.0,2.83
06/08/15,8597550.0,3.0,2.96,3.03,2.92
07/08/15,19239200.0,2.94,3.04,3.07,2.9
10/08/15,19836130.0,3.06,3.2,3.2,3.05
11/08/15,24931130.0,3.25,3.07,3.33,3.0
12/08/15,6834830.0,3.1,3.11,3.2,3.05
13/08/15,13939030.0,3.13,2.99,3.17,2.99
14/08/15,21835110.0,2.9,2.92,3.0,2.84
17/08/15,18457940.0,2.92,2.71,2.92,2.68
18/08/15,22240950.0,2.7,2.89,2.93,2.7
19/08/15,3670690.0,2.94,2.9,2.95,2.89
20/08/15,10188420.0,2.9,2.8,2.93,2.79
24/08/15,12188860.0,2.65,2.33,2.65,2.3
25/08/15,3025110.0,2.3,2.34,2.46,2.25
