Date,Value,Open,Close,High,Low
03/08/09,42000.0,0.042,0.042,0.042,0.042
04/08/09,435100.0,0.042,0.043,0.044,0.042
07/08/09,261000.0,0.043,0.044,0.044,0.043
10/08/09,226000.0,0.043,0.043,0.043,0.042
11/08/09,63200.0,0.042,0.043,0.043,0.042
12/08/09,33600.0,0.042,0.042,0.042,0.042
13/08/09,1114900.0,0.043,0.042,0.043,0.042
14/08/09,25200.0,0.042,0.042,0.042,0.042
17/08/09,4200.0,0.042,0.042,0.042,0.042
19/08/09,88200.0,0.042,0.042,0.042,0.042
24/08/09,4329400.0,0.042,0.047,0.048,0.041
25/08/09,6800350.0,0.048,0.049,0.0525,0.047
26/08/09,1774500.0,0.048,0.048,0.049,0.047
03/09/09,249600.0,0.044,0.043,0.044,0.043
04/09/09,660200.0,0.044,0.046,0.046,0.044
16/09/09,283800.0,0.043,0.043,0.043,0.043
17/09/09,86000.0,0.043,0.043,0.043,0.043
18/09/09,133300.0,0.043,0.043,0.043,0.043
22/09/09,52800.0,0.044,0.044,0.044,0.044
23/09/09,220000.0,0.044,0.044,0.044,0.044
30/09/09,42000.0,0.042,0.042,0.042,0.042
01/10/09,58800.0,0.042,0.042,0.042,0.042
05/10/09,205000.0,0.041,0.041,0.041,0.041
07/10/09,100600.0,0.042,0.044,0.044,0.042
08/10/09,17600.0,0.044,0.044,0.044,0.044
09/10/09,53000.0,0.045,0.045,0.045,0.044
12/10/09,1371100.0,0.045,0.045,0.047,0.045
13/10/09,610700.0,0.045,0.044,0.045,0.044
14/10/09,66000.0,0.044,0.044,0.044,0.044
15/10/09,415300.0,0.044,0.045,0.045,0.044
16/10/09,4600.0,0.046,0.046,0.046,0.046
19/10/09,62900.0,0.046,0.045,0.046,0.044
20/10/09,220000.0,0.044,0.044,0.044,0.044
21/10/09,30800.0,0.044,0.044,0.044,0.044
23/10/09,40300.0,0.044,0.045,0.045,0.044
26/10/09,3943300.0,0.045,0.047,0.047,0.044
27/10/09,13922100.0,0.05,0.05,0.055,0.049
28/10/09,414400.0,0.048,0.048,0.049,0.046
29/10/09,326600.0,0.046,0.046,0.046,0.046
30/10/09,915400.0,0.046,0.046,0.046,0.046
03/11/09,499500.0,0.045,0.045,0.045,0.045
04/11/09,268600.0,0.045,0.046,0.046,0.045
05/11/09,332900.0,0.044,0.045,0.045,0.044
06/11/09,334600.0,0.045,0.046,0.046,0.045
09/11/09,505200.0,0.046,0.045,0.046,0.045
10/11/09,151800.0,0.046,0.046,0.046,0.046
11/11/09,1464300.0,0.046,0.048,0.05,0.046
16/12/09,44000.0,0.044,0.044,0.044,0.044
17/12/09,13200.0,0.044,0.044,0.044,0.044
18/12/09,98900.0,0.043,0.043,0.043,0.043
21/12/09,8600.0,0.043,0.043,0.043,0.043
22/12/09,29400.0,0.042,0.042,0.042,0.042
29/12/09,75600.0,0.042,0.042,0.042,0.042
05/01/10,177900.0,0.044,0.044,0.045,0.044
07/01/10,21700.0,0.043,0.044,0.044,0.043
08/01/10,110000.0,0.044,0.044,0.044,0.044
20/01/10,60200.0,0.043,0.043,0.043,0.043
22/01/10,207500.0,0.042,0.041,0.042,0.041
26/01/10,70000.0,0.037,0.038,0.039,0.036
27/01/10,108200.0,0.039,0.038,0.039,0.037
28/01/10,7600.0,0.038,0.038,0.038,0.038
29/01/10,52200.0,0.038,0.037,0.038,0.037
01/02/10,382400.0,0.037,0.035,0.037,0.035
02/02/10,164600.0,0.036,0.035,0.036,0.035
03/02/10,51500.0,0.036,0.038,0.038,0.036
04/02/10,35000.0,0.035,0.035,0.035,0.035
05/02/10,38500.0,0.035,0.035,0.035,0.035
12/03/10,19500.0,0.039,0.039,0.039,0.039
15/03/10,66300.0,0.039,0.039,0.039,0.039
16/03/10,281200.0,0.038,0.038,0.038,0.038
17/03/10,390000.0,0.039,0.039,0.039,0.039
31/03/10,77700.0,0.037,0.037,0.037,0.037
20/04/10,327600.0,0.039,0.039,0.039,0.039
21/04/10,879400.0,0.039,0.038,0.039,0.038
22/04/10,114000.0,0.038,0.038,0.038,0.038
23/04/10,326800.0,0.038,0.038,0.038,0.038
29/04/10,81400.0,0.037,0.037,0.037,0.037
30/04/10,180000.0,0.036,0.036,0.036,0.036
13/05/10,90500.0,0.036,0.037,0.037,0.036
14/05/10,72000.0,0.036,0.036,0.036,0.036
17/05/10,648000.0,0.037,0.037,0.038,0.037
18/05/10,37000.0,0.037,0.037,0.037,0.037
19/05/10,93600.0,0.036,0.036,0.036,0.036
24/05/10,108000.0,0.036,0.036,0.036,0.036
25/05/10,90000.0,0.036,0.036,0.036,0.036
26/05/10,71000.0,0.035,0.036,0.036,0.035
27/05/10,1764000.0,0.036,0.036,0.036,0.036
28/05/10,825300.0,0.037,0.038,0.039,0.037
31/05/10,38000.0,0.038,0.038,0.038,0.038
01/06/10,177600.0,0.037,0.037,0.037,0.037
02/06/10,148000.0,0.037,0.037,0.037,0.037
03/06/10,241600.0,0.038,0.037,0.038,0.037
04/06/10,185000.0,0.037,0.037,0.037,0.037
07/06/10,133200.0,0.036,0.036,0.036,0.036
08/06/10,259200.0,0.036,0.036,0.036,0.036
09/06/10,245000.0,0.035,0.035,0.035,0.035
10/06/10,86400.0,0.036,0.036,0.036,0.036
11/06/10,7200.0,0.036,0.036,0.036,0.036
15/06/10,631400.0,0.036,0.037,0.037,0.036
16/06/10,1995600.0,0.038,0.039,0.04,0.038
22/06/10,101400.0,0.039,0.039,0.039,0.039
23/06/10,874400.0,0.038,0.041,0.041,0.038
24/06/10,749500.0,0.041,0.04,0.042,0.04
25/06/10,204000.0,0.04,0.04,0.04,0.04
28/06/10,157000.0,0.039,0.04,0.04,0.039
01/07/10,128800.0,0.038,0.037,0.038,0.037
02/07/10,185000.0,0.037,0.037,0.037,0.037
06/07/10,153700.0,0.037,0.038,0.038,0.037
09/07/10,37000.0,0.037,0.037,0.037,0.037
13/07/10,513000.0,0.04,0.039,0.04,0.039
19/07/10,375900.0,0.039,0.037,0.039,0.037
23/07/10,22200.0,0.037,0.037,0.037,0.037
20/09/10,1316200.0,0.041,0.042,0.042,0.041
21/09/10,424200.0,0.042,0.042,0.043,0.042
22/09/10,126200.0,0.042,0.041,0.042,0.04
23/09/10,394000.0,0.041,0.042,0.042,0.041
24/09/10,477800.0,0.042,0.044,0.044,0.042
27/09/10,2644200.0,0.044,0.047,0.047,0.044
28/09/10,872400.0,0.048,0.046,0.048,0.046
29/09/10,230000.0,0.046,0.046,0.046,0.046
30/09/10,58300.0,0.045,0.044,0.045,0.044
06/10/10,180600.0,0.043,0.043,0.043,0.043
07/10/10,1208300.0,0.043,0.043,0.043,0.043
12/10/10,329500.0,0.042,0.041,0.042,0.041
19/10/10,67200.0,0.042,0.042,0.042,0.042
20/10/10,20500.0,0.041,0.041,0.041,0.041
22/10/10,123000.0,0.041,0.041,0.041,0.041
28/10/10,395000.0,0.04,0.039,0.04,0.039
29/10/10,4200.0,0.042,0.042,0.042,0.042
09/11/10,80000.0,0.04,0.04,0.04,0.04
10/11/10,532300.0,0.042,0.042,0.044,0.042
11/11/10,143500.0,0.041,0.041,0.041,0.041
12/11/10,4000.0,0.04,0.04,0.04,0.04
17/11/10,124000.0,0.04,0.04,0.04,0.04
18/11/10,60000.0,0.04,0.04,0.04,0.04
19/11/10,61500.0,0.041,0.041,0.041,0.041
22/11/10,64000.0,0.04,0.04,0.04,0.04
23/11/10,209100.0,0.041,0.041,0.041,0.041
24/11/10,40000.0,0.04,0.04,0.04,0.04
25/11/10,8000.0,0.04,0.04,0.04,0.04
26/11/10,56000.0,0.04,0.04,0.04,0.04
07/12/10,261200.0,0.041,0.043,0.044,0.041
08/12/10,8800.0,0.044,0.044,0.044,0.044
22/12/10,1151800.0,0.044,0.045,0.045,0.044
23/12/10,405000.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
28/12/10,247500.0,0.045,0.045,0.045,0.045
29/12/10,423000.0,0.045,0.047,0.048,0.045
29/12/10,423000.0,0.045,0.047,0.048,0.045
03/01/11,1028980.0,0.05,0.052,0.053,0.05
03/01/11,1028980.0,0.05,0.052,0.053,0.05
03/01/11,1028980.0,0.05,0.052,0.053,0.05
04/01/11,2148720.0,0.054,0.055,0.056,0.054
05/01/11,513700.0,0.056,0.056,0.056,0.055
06/01/11,6570880.0,0.056,0.063,0.065,0.056
07/01/11,16519240.0,0.063,0.077,0.084,0.06
10/01/11,3946080.0,0.083,0.077,0.083,0.074
11/01/11,1695000.0,0.078,0.072,0.078,0.071
11/01/11,1695000.0,0.078,0.072,0.078,0.071
12/01/11,5823340.0,0.076,0.08,0.082,0.075
13/01/11,9269080.0,0.082,0.087,0.087,0.082
14/01/11,20522840.0,0.092,0.082,0.097,0.082
17/01/11,4780730.0,0.084,0.081,0.084,0.08
18/01/11,10283710.0,0.082,0.08,0.092,0.08
19/01/11,3661080.0,0.08,0.079,0.083,0.076
19/01/11,3661080.0,0.08,0.079,0.083,0.076
20/01/11,1441060.0,0.078,0.079,0.079,0.075
20/01/11,1441060.0,0.078,0.079,0.079,0.075
24/01/11,1484540.0,0.071,0.068,0.071,0.066
25/01/11,493580.0,0.07,0.07,0.07,0.069
26/01/11,476960.0,0.07,0.069,0.07,0.068
27/01/11,242050.0,0.069,0.071,0.072,0.069
28/01/11,529490.0,0.07,0.07,0.07,0.068
28/01/11,529490.0,0.07,0.07,0.07,0.068
31/01/11,197700.0,0.068,0.067,0.068,0.065
31/01/11,197700.0,0.068,0.067,0.068,0.065
01/02/11,335600.0,0.068,0.069,0.069,0.068
01/02/11,335600.0,0.068,0.069,0.069,0.068
02/02/11,3971960.0,0.07,0.076,0.079,0.07
03/02/11,4335430.0,0.079,0.08,0.082,0.076
14/02/11,118680.0,0.076,0.077,0.078,0.076
16/02/11,332540.0,0.076,0.078,0.078,0.076
16/02/11,332540.0,0.076,0.078,0.078,0.076
17/02/11,169400.0,0.077,0.077,0.077,0.077
18/02/11,331190.0,0.077,0.076,0.078,0.076
21/02/11,118380.0,0.076,0.077,0.077,0.076
21/02/11,118380.0,0.076,0.077,0.077,0.076
22/02/11,634400.0,0.076,0.075,0.076,0.075
22/02/11,634400.0,0.076,0.075,0.076,0.075
23/02/11,243200.0,0.076,0.076,0.076,0.076
23/02/11,243200.0,0.076,0.076,0.076,0.076
24/02/11,40050.0,0.074,0.075,0.075,0.074
24/02/11,40050.0,0.074,0.075,0.075,0.074
25/02/11,577520.0,0.075,0.075,0.076,0.075
28/02/11,122030.0,0.075,0.076,0.076,0.075
02/03/11,540200.0,0.074,0.074,0.074,0.074
03/03/11,604390.0,0.075,0.075,0.076,0.075
04/03/11,747860.0,0.076,0.077,0.077,0.076
04/03/11,747860.0,0.076,0.077,0.077,0.076
07/03/11,413480.0,0.075,0.076,0.076,0.075
08/03/11,152000.0,0.076,0.076,0.076,0.076
08/03/11,152000.0,0.076,0.076,0.076,0.076
11/03/11,79040.0,0.078,0.077,0.078,0.077
11/03/11,79040.0,0.078,0.077,0.078,0.077
16/03/11,58520.0,0.077,0.077,0.077,0.077
17/03/11,244700.0,0.075,0.074,0.075,0.074
18/03/11,196080.0,0.076,0.076,0.076,0.076
21/03/11,15400.0,0.077,0.077,0.077,0.077
22/03/11,590910.0,0.077,0.08,0.08,0.077
23/03/11,23400.0,0.078,0.078,0.078,0.078
