Date,Value,Open,Close,High,Low
03/08/09,44388800.0,0.78,0.74,0.81,0.73
04/08/09,46159100.0,0.74,0.69,0.76,0.69
06/08/09,22566400.0,0.67,0.66,0.7,0.66
07/08/09,21741000.0,0.67,0.69,0.73,0.66
10/08/09,7504600.0,0.7,0.7,0.72,0.69
11/08/09,4890200.0,0.69,0.7,0.71,0.69
12/08/09,11424300.0,0.69,0.71,0.73,0.69
13/08/09,5391100.0,0.72,0.7,0.72,0.69
14/08/09,62369000.0,0.7,0.75,0.76,0.66
17/08/09,43230700.0,0.74,0.7,0.75,0.69
18/08/09,21269900.0,0.68,0.71,0.71,0.68
19/08/09,32792700.0,0.71,0.72,0.74,0.71
20/08/09,11721900.0,0.73,0.71,0.73,0.7
24/08/09,8064600.0,0.72,0.71,0.72,0.7
25/08/09,8765800.0,0.71,0.69,0.72,0.69
26/08/09,9430800.0,0.69,0.7,0.73,0.69
03/09/09,6520200.0,0.69,0.7,0.7,0.68
04/09/09,16028800.0,0.7,0.68,0.7,0.68
16/09/09,20735400.0,0.63,0.59,0.63,0.58
17/09/09,3155500.0,0.6,0.57,0.6,0.57
18/09/09,1993200.0,0.56,0.57,0.58,0.56
22/09/09,12093300.0,0.61,0.59,0.61,0.58
23/09/09,21580700.0,0.6,0.6,0.63,0.59
30/09/09,1953500.0,0.54,0.53,0.55,0.53
01/10/09,5169400.0,0.53,0.54,0.55,0.53
02/10/09,3181800.0,0.52,0.52,0.53,0.51
05/10/09,925600.0,0.52,0.52,0.52,0.52
06/10/09,7393400.0,0.53,0.52,0.54,0.52
07/10/09,2604400.0,0.52,0.53,0.53,0.52
08/10/09,13326500.0,0.54,0.58,0.58,0.54
09/10/09,14176300.0,0.59,0.6,0.6,0.58
12/10/09,5830000.0,0.6,0.57,0.6,0.57
13/10/09,5039500.0,0.58,0.55,0.58,0.55
14/10/09,1646000.0,0.55,0.56,0.57,0.55
15/10/09,2330700.0,0.56,0.55,0.57,0.55
16/10/09,3518100.0,0.55,0.54,0.56,0.54
19/10/09,1430000.0,0.55,0.55,0.55,0.55
20/10/09,2234500.0,0.55,0.55,0.56,0.54
21/10/09,1128700.0,0.54,0.54,0.55,0.54
22/10/09,1870000.0,0.54,0.54,0.54,0.53
23/10/09,445400.0,0.54,0.54,0.55,0.54
26/10/09,1324500.0,0.54,0.54,0.54,0.53
27/10/09,2354800.0,0.54,0.53,0.54,0.53
28/10/09,2355800.0,0.53,0.54,0.56,0.53
29/10/09,2604900.0,0.53,0.52,0.53,0.52
30/10/09,1433700.0,0.52,0.52,0.53,0.52
03/11/09,920400.0,0.52,0.52,0.52,0.52
04/11/09,6324100.0,0.52,0.5,0.52,0.48
05/11/09,1309300.0,0.51,0.5,0.51,0.5
06/11/09,6652900.0,0.49,0.53,0.54,0.49
09/11/09,1383400.0,0.52,0.52,0.52,0.51
10/11/09,20888000.0,0.53,0.59,0.6,0.53
11/11/09,4075200.0,0.58,0.56,0.58,0.54
15/12/09,1791200.0,0.52,0.51,0.52,0.51
16/12/09,596100.0,0.51,0.51,0.51,0.5
17/12/09,158000.0,0.51,0.5,0.51,0.5
18/12/09,307000.0,0.51,0.51,0.52,0.51
21/12/09,562000.0,0.5,0.49,0.5,0.49
22/12/09,1013300.0,0.48,0.48,0.49,0.48
23/12/09,127100.0,0.48,0.49,0.49,0.48
