Date,Value,Open,Close,High,Low
12/12/12,302139650.0,4.38,4.36,4.51,4.34
13/12/12,123384870.0,4.34,4.44,4.45,4.32
14/12/12,125578630.0,4.44,4.47,4.55,4.41
17/12/12,37910000.0,4.5,4.42,4.5,4.41
18/12/12,54612610.0,4.45,4.43,4.5,4.38
19/12/12,16867790.0,4.42,4.4,4.44,4.4
20/12/12,14370180.0,4.4,4.4,4.45,4.39
21/12/12,19457820.0,4.4,4.4,4.45,4.39
26/12/12,11485150.0,4.4,4.41,4.44,4.38
27/12/12,11530900.0,4.4,4.41,4.41,4.39
28/12/12,36847480.0,4.41,4.4,4.42,4.36
02/01/13,14835210.0,4.37,4.37,4.4,4.37
03/01/13,26132060.0,4.38,4.38,4.44,4.37
04/01/13,15057810.0,4.38,4.36,4.4,4.36
07/01/13,61644090.0,4.38,4.42,4.45,4.38
08/01/13,20243730.0,4.42,4.44,4.46,4.41
09/01/13,41611130.0,4.41,4.45,4.47,4.41
10/01/13,160285120.0,4.48,4.61,4.7,4.48
11/01/13,185475320.0,4.64,4.98,4.99,4.61
14/01/13,155327590.0,4.99,5.01,5.15,4.85
15/01/13,144438044.0,5.01,4.98,5.15,4.88
16/01/13,74905820.0,5.0,4.98,5.05,4.88
17/01/13,148329780.0,4.99,5.31,5.34,4.99
18/01/13,163943313.0,5.32,5.37,5.4,5.25
21/01/13,41670570.0,5.39,5.4,5.45,5.3
22/01/13,74129992.0,5.4,5.34,5.43,5.25
23/01/13,28011782.0,5.34,5.31,5.4,5.24
24/01/13,97534384.0,5.29,5.48,5.54,5.28
25/01/13,157519790.0,5.49,5.8,5.8,5.49
28/01/13,90728379.0,5.84,5.83,5.9,5.71
29/01/13,90640959.0,5.85,5.86,5.9,5.84
30/01/13,96998976.0,5.85,5.79,5.9,5.74
31/01/13,56602177.0,5.8,5.8,5.83,5.72
01/02/13,90605645.0,5.8,6.11,6.12,5.8
04/02/13,118198572.0,6.11,6.35,6.37,6.11
05/02/13,139589765.0,6.35,6.43,6.48,6.22
06/02/13,185543354.0,6.43,6.29,6.74,6.0
07/02/13,147033460.0,6.29,5.97,6.3,5.8
08/02/13,65352428.0,5.97,5.92,6.0,5.88
11/02/13,31394767.0,5.92,6.04,6.2,5.92
12/02/13,27660527.0,6.09,6.02,6.09,5.97
13/02/13,38361983.0,6.07,6.0,6.08,5.97
14/02/13,67565454.0,6.0,6.18,6.21,5.97
15/02/13,245013566.0,6.16,6.45,6.7,6.16
18/02/13,180502029.0,6.75,6.76,6.82,6.7
19/02/13,180401153.0,6.85,6.95,6.99,6.85
20/02/13,211912987.0,7.09,6.83,7.19,6.81
21/02/13,134269081.0,6.9,6.85,7.1,6.82
22/02/13,304398955.0,6.9,6.51,6.95,6.51
25/02/13,89323317.0,6.6,6.6,6.75,6.58
26/02/13,137619103.0,6.59,6.54,6.74,6.48
27/02/13,52273352.0,6.57,6.55,6.65,6.55
28/02/13,131266942.0,6.61,6.5,6.7,6.48
01/03/13,67983587.0,6.52,6.76,6.79,6.52
04/03/13,99781414.0,6.78,6.97,7.0,6.72
05/03/13,95822015.0,6.98,7.12,7.13,6.95
06/03/13,62615286.0,7.15,7.03,7.2,7.03
07/03/13,26170774.0,7.03,6.96,7.03,6.89
08/03/13,81251459.0,6.95,6.85,6.98,6.82
11/03/13,61929853.0,6.85,6.91,7.0,6.84
12/03/13,41627530.0,6.97,6.76,7.0,6.75
13/03/13,75248347.0,6.78,6.71,6.83,6.56
14/03/13,81783181.0,6.72,6.96,6.96,6.65
15/03/13,27855758.0,7.0,6.94,7.04,6.91
18/03/13,89022472.0,6.96,6.6,6.96,6.4
19/03/13,100361716.0,6.58,6.68,6.7,6.07
20/03/13,80422490.0,6.68,6.93,6.93,6.47
21/03/13,38581167.0,6.9,6.85,7.01,6.75
22/03/13,14445847.0,6.89,6.77,6.94,6.77
25/03/13,42244306.0,6.79,6.94,7.0,6.78
26/03/13,49275499.0,6.95,6.9,7.04,6.88
27/03/13,54604196.0,6.9,6.99,7.05,6.9
01/04/13,74302396.0,7.09,6.99,7.2,6.91
02/04/13,20113417.0,7.0,6.9,7.0,6.85
03/04/13,37543865.0,6.97,6.83,7.04,6.8
04/04/13,46091123.0,6.83,6.8,6.94,6.78
05/04/13,37572043.0,6.8,6.75,6.9,6.73
08/04/13,32897477.0,6.75,6.65,6.75,6.6
10/04/13,29236062.0,6.68,6.68,6.83,6.68
11/04/13,70737291.0,6.7,6.85,6.92,6.67
12/04/13,67098824.0,6.92,6.98,7.03,6.88
15/04/13,41763564.0,7.0,6.97,7.02,6.9
