Date,Value,Open,Close,High,Low
29/06/18,450801539.0,11.8,10.26,11.8,9.66
02/07/18,92498458.0,10.12,10.14,10.64,10.06
03/07/18,30242584.0,10.2,10.34,10.4,10.1
04/07/18,59193344.0,10.46,10.2,10.46,10.2
05/07/18,30768394.0,10.2,9.8,10.2,9.78
06/07/18,50392353.0,9.8,9.8,9.81,9.08
09/07/18,15743025.0,9.81,9.4,9.81,9.3
10/07/18,5583456.0,9.59,9.27,9.59,9.26
11/07/18,31297927.0,9.24,8.75,9.24,8.67
12/07/18,25727968.0,8.75,8.99,9.1,8.73
13/07/18,27446648.0,8.95,9.0,9.1,8.8
16/07/18,2899038.0,9.01,8.76,9.15,8.76
17/07/18,3799416.0,8.78,8.74,8.82,8.74
18/07/18,4373837.0,8.74,8.87,8.92,8.74
19/07/18,2885155.0,8.79,8.81,8.9,8.79
20/07/18,2649874.0,8.85,8.8,8.85,8.8
23/07/18,2672265.0,8.8,8.84,8.99,8.8
24/07/18,4926398.0,8.83,8.87,8.92,8.82
25/07/18,12528400.0,8.88,9.15,9.38,8.88
26/07/18,2979160.0,9.2,9.32,9.35,9.2
27/07/18,15101787.0,9.32,9.7,9.88,9.32
30/07/18,19776890.0,9.7,9.85,10.0,9.52
31/07/18,21988353.0,9.85,9.77,9.97,9.65
01/08/18,6886199.0,9.77,9.72,9.87,9.69
02/08/18,4707943.0,9.68,9.74,9.8,9.65
03/08/18,2923325.0,9.74,9.82,9.85,9.7
06/08/18,12216901.0,9.73,10.18,10.2,9.69
07/08/18,19120922.0,10.1,10.46,10.74,10.1
08/08/18,4300430.0,10.4,10.16,10.4,10.12
09/08/18,7795203.0,10.2,9.86,10.26,9.8
10/08/18,5025655.0,9.86,10.14,10.14,9.86
13/08/18,3021316.0,10.14,9.91,10.14,9.91
14/08/18,1256628.0,9.98,9.89,9.98,9.85
15/08/18,2595728.0,9.86,9.77,9.93,9.7
16/08/18,3495656.0,9.75,10.0,10.0,9.65
17/08/18,1457115.0,9.9,9.84,9.9,9.8
20/08/18,1349548.0,9.84,9.95,9.95,9.76
22/08/18,564863.0,9.9,9.7,9.98,9.7
23/08/18,1975172.0,9.7,9.67,9.9,9.65
24/08/18,3919579.0,9.7,9.55,9.81,9.55
28/08/18,4650734.0,9.7,9.4,9.75,9.4
29/08/18,12754259.0,9.38,9.24,9.5,9.24
30/08/18,2072217.0,9.22,9.35,9.39,9.2
31/08/18,4249480.0,9.35,9.2,9.35,9.2
03/09/18,5985767.0,9.2,9.21,9.27,9.2
04/09/18,4374836.0,9.22,9.23,9.35,9.22
05/09/18,7726464.0,9.35,9.09,9.35,9.09
06/09/18,8418073.0,9.11,8.8,9.11,8.77
07/09/18,5713448.0,8.81,8.67,8.81,8.67
10/09/18,1697634.0,8.67,8.9,8.91,8.67
11/09/18,2168080.0,8.91,8.73,9.0,8.7
12/09/18,443891.0,8.75,8.75,8.82,8.75
13/09/18,1555192.0,8.75,8.72,8.81,8.7
14/09/18,1689410.0,8.7,8.7,8.82,8.7
17/09/18,1953170.0,8.7,8.79,8.84,8.7
18/09/18,3034344.0,8.82,8.67,8.85,8.67
19/09/18,3943579.0,8.7,8.49,8.74,8.49
20/09/18,1930916.0,8.44,8.42,8.59,8.42
21/09/18,6040292.0,8.41,8.08,8.69,8.08
21/09/18,6040292.0,8.41,8.08,8.69,8.08
24/09/18,2454745.0,8.09,8.27,8.4,8.09
24/09/18,2454745.0,8.09,8.27,8.4,8.09
25/09/18,3170342.0,8.27,8.53,8.55,8.27
26/09/18,1101728.0,8.53,8.51,8.67,8.51
27/09/18,1732931.0,8.53,8.33,8.53,8.33
28/09/18,7267778.0,8.51,8.34,8.65,8.34
01/10/18,566526.0,8.34,8.3,8.34,8.25
02/10/18,537122.0,8.3,8.35,8.35,8.28
03/10/18,1358185.0,8.38,8.33,8.39,8.26
04/10/18,586649.0,8.27,8.3,8.41,8.27
05/10/18,316824.0,8.28,8.29,8.29,8.27
08/10/18,971942.0,8.34,8.34,8.34,8.28
09/10/18,428453.0,8.34,8.36,8.43,8.3
10/10/18,4794505.0,8.34,8.08,8.34,8.05
11/10/18,2149977.0,8.02,7.86,8.02,7.8
12/10/18,7160398.0,7.9,7.65,7.9,7.52
15/10/18,2177747.0,7.65,7.8,7.95,7.65
16/10/18,1785904.0,7.67,7.66,7.69,7.63
17/10/18,1676967.0,7.67,7.95,8.1,7.67
18/10/18,6249989.0,7.95,7.99,8.04,7.95
19/10/18,3153497.0,7.71,7.99,8.0,7.71
22/10/18,5219175.0,7.99,7.99,8.08,7.99
23/10/18,1038772.0,8.1,8.2,8.22,8.0
24/10/18,1832840.0,8.2,8.14,8.2,8.14
25/10/18,22423251.0,8.0,7.87,8.05,7.8
26/10/18,2756885.0,7.8,7.8,7.87,7.8
29/10/18,7541129.0,7.8,7.9,8.0,7.8
30/10/18,1529236.0,7.9,7.9,7.92,7.86
31/10/18,812068.0,7.9,7.9,7.9,7.88
05/11/18,756070.0,7.89,8.0,8.0,7.88
06/11/18,970070.0,7.89,7.85,8.0,7.84
07/11/18,1269433.0,7.99,7.91,7.99,7.85
08/11/18,3720900.0,7.83,7.81,7.92,7.8
09/11/18,2006982.0,7.8,7.79,7.81,7.76
12/11/18,2752082.0,7.76,7.77,8.1,7.76
13/11/18,5414223.0,7.76,7.71,7.76,7.7
14/11/18,5818230.0,7.7,7.6,7.75,7.55
15/11/18,5109211.0,7.54,7.55,7.57,7.5
16/11/18,1189615.0,7.55,7.6,7.65,7.55
19/11/18,2212459.0,7.58,7.6,7.61,7.53
20/11/18,3186966.0,7.55,7.6,7.65,7.55
21/11/18,1181676.0,7.57,7.6,7.6,7.57
22/11/18,1542707.0,7.59,7.57,7.59,7.5
23/11/18,2577743.0,7.56,7.56,7.59,7.51
26/11/18,2255247.0,7.6,7.61,7.65,7.6
27/11/18,2617047.0,7.62,7.63,7.65,7.61
28/11/18,885405.0,7.94,7.93,7.94,7.7
29/11/18,606098.0,7.9,7.85,7.9,7.8
03/12/18,363336.0,7.8,7.91,7.93,7.8
04/12/18,1458135.0,7.91,8.0,8.0,7.9
05/12/18,3154647.0,8.1,8.06,8.13,8.06
06/12/18,16254838.0,8.07,7.99,8.07,7.99
07/12/18,1432686.0,7.99,8.04,8.05,7.93
10/12/18,459268.0,8.0,8.05,8.05,8.0
11/12/18,1204887.0,8.05,8.0,8.05,7.99
12/12/18,731950.0,8.0,8.0,8.07,8.0
13/12/18,585076.0,7.97,7.98,8.08,7.94
14/12/18,1103820.0,8.0,7.98,8.03,7.98
17/12/18,2905219.0,8.03,7.95,8.03,7.93
18/12/18,949151.0,7.99,7.83,7.99,7.82
19/12/18,509518.0,7.83,7.9,7.92,7.83
20/12/18,2786366.0,7.88,7.9,7.9,7.8
21/12/18,1109067.0,7.9,7.9,7.9,7.82
26/12/18,1359956.0,7.99,7.7,7.99,7.7
27/12/18,2011538.0,7.7,7.7,7.9,7.68
28/12/18,7484832.0,7.75,7.8,7.85,7.75
02/01/19,2928790.0,7.8,7.7,7.84,7.7
03/01/19,255407.0,7.85,7.92,7.92,7.8
04/01/19,643408.0,7.92,7.92,7.92,7.7
07/01/19,416652.0,7.9,7.95,7.96,7.9
08/01/19,673271.0,7.99,7.99,7.99,7.92
09/01/19,994207.0,7.99,8.12,8.28,7.99
10/01/19,1498233.0,8.18,8.13,8.23,8.0
11/01/19,14450361.0,8.06,8.14,8.2,7.96
14/01/19,28644099.0,8.15,8.58,8.64,8.15
15/01/19,23635052.0,8.58,8.44,8.71,8.38
16/01/19,17824666.0,8.45,8.6,8.97,8.4
17/01/19,4596532.0,8.6,8.63,8.8,8.6
18/01/19,25376587.0,8.64,8.7,8.89,8.64
21/01/19,3593407.0,8.71,8.71,8.88,8.7
22/01/19,2711820.0,8.74,8.75,8.88,8.74
23/01/19,3331142.0,8.76,8.48,8.76,8.38
24/01/19,29601878.0,8.52,8.8,8.85,8.51
25/01/19,949238.0,8.84,8.67,8.88,8.67
28/01/19,20406998.0,8.67,9.0,9.21,8.67
29/01/19,20675892.0,9.0,8.9,9.05,8.73
30/01/19,24751770.0,8.85,9.1,9.2,8.85
31/01/19,14966244.0,9.12,9.0,9.12,8.9
01/02/19,18645084.0,9.1,9.48,9.49,9.01
04/02/19,15714507.0,9.48,9.68,9.78,9.32
06/02/19,26301437.0,9.7,10.0,10.14,9.6
07/02/19,18997230.0,10.1,10.28,10.34,10.0
08/02/19,10210331.0,10.26,10.1,10.26,9.86
11/02/19,3849556.0,10.1,10.2,10.34,10.1
12/02/19,12514628.0,10.2,10.2,10.48,10.18
13/02/19,15444394.0,10.2,9.96,10.2,9.86
14/02/19,13922072.0,9.9,10.48,10.48,9.88
15/02/19,15872542.0,10.46,10.4,10.6,10.26
18/02/19,9140892.0,10.4,10.14,10.4,10.0
19/02/19,6830350.0,10.14,10.24,10.3,10.0
20/02/19,12393780.0,10.24,10.28,10.36,10.02
21/02/19,33813146.0,10.28,10.6,10.6,10.26
22/02/19,7846668.0,10.64,10.42,10.66,10.42
26/02/19,11648766.0,10.42,10.14,10.44,10.12
27/02/19,4831372.0,10.1,10.04,10.14,10.04
28/02/19,50253877.0,10.12,9.7,10.14,9.5
01/03/19,3446725.0,9.7,9.7,9.89,9.6
04/03/19,7264737.0,9.62,9.62,9.74,9.58
05/03/19,8244287.0,9.7,9.66,9.87,9.66
06/03/19,1796076.0,9.6,9.8,9.81,9.6
07/03/19,3061802.0,9.8,9.95,9.98,9.8
08/03/19,2500270.0,9.95,9.94,9.95,9.8
11/03/19,1375529.0,9.95,9.98,9.98,9.89
12/03/19,24768194.0,9.99,10.08,10.18,9.92
13/03/19,22449378.0,10.16,10.36,10.36,10.08
14/03/19,6551510.0,10.4,10.26,10.44,10.2
15/03/19,44080740.0,10.26,10.94,11.0,10.26
18/03/19,33656542.0,11.06,11.32,11.34,10.72
19/03/19,14349856.0,11.4,11.0,11.4,10.76
20/03/19,7703342.0,10.96,11.26,11.3,10.96
21/03/19,23813884.0,11.24,11.7,11.76,11.24
22/03/19,13689484.0,11.72,11.72,11.92,11.5
25/03/19,9404712.0,11.68,11.34,11.68,11.12
26/03/19,7436972.0,11.24,11.5,11.56,11.24
27/03/19,10980868.0,11.4,11.3,11.5,11.2
28/03/19,5631788.0,11.3,11.46,11.6,11.2
29/03/19,24295820.0,11.38,11.6,11.7,11.38
01/04/19,51874076.0,11.6,12.06,12.26,11.6
02/04/19,44167116.0,12.12,12.38,12.46,12.04
03/04/19,19429090.0,12.38,12.0,12.38,11.86
04/04/19,29036842.0,11.96,11.42,12.16,11.22
05/04/19,16958204.0,11.44,11.46,11.7,11.36
08/04/19,10058734.0,11.4,11.56,11.56,11.1
10/04/19,8283432.0,11.6,11.52,11.86,11.52
11/04/19,3765140.0,11.6,11.48,11.6,11.32
12/04/19,6096396.0,11.5,11.7,11.7,11.4
15/04/19,17582080.0,11.7,10.98,11.98,10.98
16/04/19,25774476.0,10.88,10.96,10.98,10.5
17/04/19,3244670.0,11.08,11.06,11.1,11.0
22/04/19,4476506.0,11.1,11.16,11.18,11.02
23/04/19,30540332.0,11.18,11.0,11.18,10.52
24/04/19,4512524.0,10.9,10.82,11.08,10.8
25/04/19,6139780.0,10.82,10.76,11.0,10.6
26/04/19,5420480.0,10.74,11.08,11.1,10.52
29/04/19,3263178.0,11.08,11.1,11.1,10.8
30/04/19,7689632.0,11.3,11.34,11.5,11.14
02/05/19,5015792.0,11.44,11.48,11.54,11.22
03/05/19,4033484.0,11.5,11.4,11.52,11.2
06/05/19,8056750.0,11.4,11.06,11.4,10.92
07/05/19,5764428.0,11.28,11.18,11.28,11.06
08/05/19,3267978.0,11.08,10.82,11.2,10.62
09/05/19,4584948.0,10.82,10.9,10.9,10.62
10/05/19,5519490.0,10.88,10.74,11.0,10.72
14/05/19,22155070.0,10.7,10.06,10.72,9.84
15/05/19,14038569.0,10.12,9.89,10.2,9.7
16/05/19,1808619.0,9.8,10.08,10.08,9.8
17/05/19,1023524.0,10.08,10.24,10.3,10.08
20/05/19,466872.0,10.24,10.22,10.32,10.12
21/05/19,961914.0,10.26,10.44,10.44,10.2
22/05/19,1276580.0,10.3,10.22,10.32,10.2
23/05/19,2169830.0,10.22,10.04,10.22,10.0
24/05/19,6711697.0,9.99,9.76,10.0,9.68
27/05/19,15202667.0,9.75,9.5,9.8,9.49
28/05/19,7935120.0,9.5,9.34,9.82,9.34
29/05/19,41989736.0,9.3,9.5,9.75,9.2
30/05/19,3794262.0,9.7,9.85,9.88,9.57
31/05/19,2339334.0,9.85,9.9,9.91,9.71
03/06/19,3656918.0,9.89,10.04,10.1,9.84
04/06/19,2164916.0,10.06,9.94,10.06,9.86
06/06/19,437408.0,9.84,10.08,10.08,9.8
07/06/19,2448726.0,10.1,9.95,10.16,9.95
10/06/19,2668506.0,10.0,9.99,10.1,9.96
11/06/19,1032679.0,9.99,10.06,10.08,9.99
13/06/19,1300828.0,10.06,10.06,10.06,9.96
14/06/19,1055989.0,10.06,10.04,10.08,9.95
17/06/19,4391086.0,9.96,9.96,10.0,9.95
18/06/19,1353275.0,9.96,10.0,10.0,9.92
19/06/19,2270165.0,9.9,9.84,9.9,9.8
20/06/19,264654.0,9.8,9.87,9.99,9.8
21/06/19,206501.0,9.88,9.94,9.94,9.85
24/06/19,2086967.0,9.92,9.84,9.94,9.7
25/06/19,10515193.0,9.7,9.8,9.94,9.65
26/06/19,1061961.0,9.98,9.75,9.98,9.75
27/06/19,4577431.0,9.75,9.7,9.9,9.7
28/06/19,3532287.0,9.7,9.75,9.85,9.65
01/07/19,242972.0,9.85,9.84,9.87,9.75
02/07/19,463753.0,9.84,9.75,9.9,9.7
03/07/19,563911.0,9.89,9.85,9.9,9.76
04/07/19,3266168.0,9.89,10.18,10.36,9.84
05/07/19,11815952.0,10.18,10.58,10.66,10.18
08/07/19,1983742.0,10.66,10.5,10.68,10.32
09/07/19,2663736.0,10.32,10.02,10.32,10.02
10/07/19,2750001.0,10.02,9.81,10.02,9.75
11/07/19,3447518.0,9.9,9.8,10.0,9.75
