Date,Value,Open,Close,High,Low
03/08/09,10641200.0,7.7,8.1,8.2,7.7
04/08/09,9127600.0,8.3,8.3,8.5,8.3
06/08/09,1916300.0,8.5,8.5,8.7,8.5
07/08/09,1525900.0,8.5,8.2,8.5,8.2
10/08/09,1830700.0,8.8,8.8,8.8,8.4
11/08/09,1247900.0,8.7,8.7,8.7,8.6
12/08/09,4798800.0,8.6,9.1,9.2,8.5
13/08/09,3826900.0,9.3,9.5,9.8,9.3
14/08/09,179700.0,9.4,9.5,9.5,9.3
17/08/09,9590200.0,9.6,9.0,9.6,9.0
18/08/09,698100.0,9.0,9.0,9.1,8.7
19/08/09,3763300.0,9.1,9.2,9.3,9.0
20/08/09,13914800.0,9.2,9.3,10.25,9.2
24/08/09,2622200.0,10.0,9.8,10.0,9.5
25/08/09,2397000.0,9.5,9.4,9.5,9.3
26/08/09,2118200.0,9.5,9.4,9.6,9.3
03/09/09,3046800.0,8.8,9.3,9.3,8.7
04/09/09,960100.0,9.4,9.3,9.5,9.0
16/09/09,108500.0,9.2,9.2,9.2,9.0
18/09/09,1729700.0,8.9,9.0,9.1,8.7
30/09/09,26100.0,8.6,8.9,8.9,8.6
01/10/09,4597200.0,8.8,8.9,9.0,8.8
02/10/09,505900.0,8.9,8.9,8.9,8.8
05/10/09,34800.0,8.7,8.7,8.7,8.7
06/10/09,132100.0,8.9,8.8,8.9,8.8
07/10/09,97900.0,8.9,8.9,8.9,8.9
08/10/09,26300.0,8.7,8.9,8.9,8.7
09/10/09,68800.0,8.7,8.5,8.7,8.5
12/10/09,145500.0,8.6,8.5,8.8,8.5
13/10/09,11356000.0,8.5,8.5,8.5,8.5
14/10/09,8700.0,8.7,8.7,8.7,8.7
15/10/09,148100.0,8.7,8.5,8.9,8.5
16/10/09,274800.0,8.8,8.7,8.8,8.4
19/10/09,1765800.0,8.7,8.6,8.7,8.6
20/10/09,213500.0,8.6,8.5,8.6,8.5
21/10/09,237100.0,8.2,8.3,8.3,8.0
22/10/09,8400.0,8.4,8.4,8.4,8.4
23/10/09,41100.0,8.2,8.3,8.3,8.2
26/10/09,173100.0,8.4,8.3,8.4,8.2
27/10/09,178400.0,8.1,8.2,8.2,8.1
28/10/09,7900.0,7.9,7.9,7.9,7.9
29/10/09,372100.0,8.1,8.0,8.1,7.9
03/11/09,38800.0,7.8,7.7,7.8,7.7
04/11/09,1017800.0,7.9,8.0,8.1,7.9
05/11/09,8100.0,8.1,8.1,8.1,8.1
06/11/09,15900.0,7.9,8.0,8.0,7.9
09/11/09,243600.0,10.0,8.1,10.0,7.9
10/11/09,39900.0,7.9,8.1,8.1,7.9
16/12/09,1118700.0,7.7,8.1,8.3,7.5
17/12/09,876200.0,8.1,8.1,8.1,7.8
18/12/09,56300.0,8.1,8.0,8.1,8.0
21/12/09,592400.0,7.9,7.7,7.9,7.7
22/12/09,15400.0,7.7,7.7,7.7,7.7
23/12/09,38100.0,7.7,7.6,7.7,7.6
29/12/09,4727500.0,8.3,8.3,8.8,7.8
04/01/10,959400.0,8.7,8.1,8.7,7.9
05/01/10,1516100.0,8.4,8.2,8.5,8.2
06/01/10,466900.0,8.1,8.1,8.1,7.8
07/01/10,2382000.0,7.9,8.1,8.2,7.9
08/01/10,23447800.0,8.2,9.5,9.5,8.2
11/01/10,53987250.0,10.0,10.25,10.5,9.8
12/01/10,75578700.0,11.0,11.25,11.75,11.0
13/01/10,17826200.0,11.25,10.5,11.25,10.25
14/01/10,19562500.0,10.25,9.5,10.25,9.5
15/01/10,36244400.0,9.6,10.75,10.75,9.6
18/01/10,19612790.0,10.75,10.25,10.75,9.9
19/01/10,9417785.0,10.0,9.9,10.25,9.9
20/01/10,6235050.0,10.25,10.0,10.25,9.8
21/01/10,1238400.0,9.8,10.0,10.0,9.8
22/01/10,4576200.0,9.8,9.9,10.0,9.7
25/01/10,2352100.0,9.8,9.9,9.9,9.7
26/01/10,3860700.0,9.9,9.6,10.0,9.6
27/01/10,3836700.0,9.7,9.7,9.7,9.3
28/01/10,1756100.0,9.3,9.8,9.8,9.3
29/01/10,2635100.0,9.7,9.6,9.7,9.6
01/02/10,1473200.0,9.5,9.7,9.7,9.5
02/02/10,5535900.0,9.7,9.6,9.7,9.5
03/02/10,1819600.0,9.6,9.2,9.6,9.2
04/02/10,4768700.0,9.2,10.0,10.0,9.2
05/02/10,18890650.0,10.0,10.25,11.0,9.7
08/02/10,6771485.0,10.25,9.7,10.5,9.6
09/02/10,1340400.0,9.7,9.8,9.8,9.6
10/02/10,1490300.0,9.8,9.8,10.0,9.8
11/02/10,2419600.0,9.7,9.5,9.7,9.5
08/03/10,680000.0,8.5,8.5,8.5,8.5
12/03/10,609200.0,8.4,8.8,8.8,8.4
15/03/10,51800.0,8.7,8.6,8.7,8.6
16/03/10,137100.0,8.6,8.5,8.6,8.5
17/03/10,1624200.0,8.4,8.6,8.6,8.1
31/03/10,589300.0,8.6,8.6,8.7,8.5
20/04/10,158500.0,7.5,7.5,7.7,7.5
21/04/10,75800.0,7.5,7.6,7.6,7.5
22/04/10,712500.0,7.6,7.3,7.6,7.3
23/04/10,195000.0,7.5,7.5,7.5,7.5
29/04/10,106700.0,7.6,7.6,7.9,7.6
30/04/10,7900.0,7.9,7.9,7.9,7.9
04/05/10,488000.0,7.8,7.6,7.8,7.6
05/05/10,92400.0,7.5,7.8,7.8,7.5
13/05/10,46100.0,7.7,7.7,7.7,7.6
14/05/10,1214700.0,7.7,7.8,8.0,7.7
17/05/10,195400.0,7.7,7.8,8.0,7.7
18/05/10,161900.0,7.7,7.8,7.8,7.7
19/05/10,625500.0,7.6,7.7,7.7,6.8
20/05/10,336000.0,7.6,7.7,7.7,7.4
21/05/10,14800.0,7.4,7.4,7.4,7.4
24/05/10,7700.0,7.7,7.7,7.7,7.7
25/05/10,385600.0,7.4,7.3,7.4,7.2
26/05/10,7700.0,7.7,7.7,7.7,7.7
27/05/10,37000.0,7.4,7.4,7.4,7.4
28/05/10,127700.0,7.7,7.6,7.8,7.3
31/05/10,36800.0,7.4,7.3,7.4,7.3
01/06/10,215400.0,7.6,7.4,7.7,7.3
02/06/10,22900.0,7.6,7.7,7.7,7.6
03/06/10,822200.0,7.4,7.3,7.4,7.2
04/06/10,8049200.0,7.3,7.5,7.6,7.0
07/06/10,43200.0,7.2,7.2,7.2,7.2
08/06/10,211700.0,7.3,7.3,7.3,7.3
09/06/10,875400.0,7.2,7.3,7.3,7.0
10/06/10,91600.0,7.3,7.0,7.3,7.0
11/06/10,1288000.0,7.3,7.3,7.4,7.2
15/06/10,317200.0,7.1,7.3,7.3,7.0
16/06/10,361900.0,7.3,7.4,7.5,7.3
21/06/10,23800.0,7.9,8.0,8.0,7.9
22/06/10,173700.0,7.5,7.8,7.8,7.5
23/06/10,225000.0,7.5,7.5,7.5,7.5
24/06/10,7600.0,7.6,7.6,7.6,7.6
25/06/10,416700.0,7.4,7.6,7.6,7.2
28/06/10,132300.0,7.4,7.5,7.5,7.3
29/06/10,304300.0,7.3,7.2,7.3,7.2
01/07/10,908000.0,7.4,7.2,7.4,7.0
02/07/10,1452100.0,7.0,7.0,7.3,6.8
06/07/10,48700.0,7.2,7.0,7.2,6.9
07/07/10,34900.0,6.9,7.0,7.0,6.9
08/07/10,1003000.0,7.0,7.0,7.0,6.7
09/07/10,27800.0,6.9,7.1,7.1,6.9
13/07/10,969000.0,7.4,7.2,7.4,7.0
14/07/10,147300.0,7.3,7.0,7.3,7.0
15/07/10,21400.0,7.1,7.2,7.2,7.1
16/07/10,545800.0,6.9,6.9,7.1,6.9
19/07/10,48300.0,6.9,6.9,6.9,6.9
20/07/10,75900.0,6.9,6.9,6.9,6.9
21/07/10,248400.0,6.9,6.9,6.9,6.9
22/07/10,539100.0,7.0,7.1,7.1,7.0
23/07/10,717300.0,7.1,7.0,7.2,7.0
20/09/10,47501.0,7.26,7.18,7.26,7.18
21/09/10,257530.0,7.1,7.0,7.1,7.0
22/09/10,200740.0,7.1,6.9,7.3,6.9
23/09/10,396179.0,7.19,7.04,7.19,7.04
24/09/10,192323.0,7.23,7.1,7.23,6.94
27/09/10,290868.0,7.19,7.02,7.19,7.0
28/09/10,355456.0,7.03,7.01,7.09,7.0
29/09/10,420511.0,7.15,7.01,7.16,7.0
30/09/10,595404.0,6.95,6.97,7.05,6.95
01/10/10,384245.0,7.0,6.95,7.0,6.91
04/10/10,410455.0,7.1,7.0,7.11,7.0
05/10/10,144985.0,7.0,7.0,7.02,7.0
06/10/10,491064.0,7.07,6.88,7.07,6.85
07/10/10,709526.0,6.86,6.8,6.88,6.8
08/10/10,240221.0,6.8,6.87,6.92,6.8
12/10/10,331275.0,6.92,6.89,6.92,6.88
13/10/10,509745.0,6.92,6.98,7.0,6.92
14/10/10,138236.0,7.0,6.8,7.0,6.8
15/10/10,138712.0,7.12,6.9,7.12,6.9
18/10/10,661650.0,7.0,6.65,7.0,6.65
19/10/10,726405.0,6.65,6.6,6.65,6.5
20/10/10,128050.0,6.6,6.55,6.79,6.55
21/10/10,237135.0,6.75,6.75,6.79,6.75
22/10/10,251594.0,6.73,6.67,6.75,6.63
26/10/10,1891745.0,6.75,6.5,6.76,6.5
27/10/10,297010.0,6.53,6.44,6.66,6.44
28/10/10,904560.0,6.61,6.35,6.62,6.35
29/10/10,554716.0,6.44,6.25,6.56,6.25
02/11/10,315325.0,6.4,6.22,6.45,6.2
03/11/10,900266.0,6.35,6.27,6.35,6.12
04/11/10,504597.0,6.24,6.13,6.24,6.13
08/11/10,1243019.0,6.19,6.17,6.23,6.1
09/11/10,896534.0,6.15,6.1,6.18,6.0
10/11/10,963497.0,6.17,6.17,6.28,6.16
11/11/10,279213.0,6.21,6.17,6.21,6.14
12/11/10,260383.0,6.21,6.04,6.21,6.04
15/11/10,215578.0,6.16,6.0,6.17,6.0
17/11/10,424679.0,6.12,5.95,6.12,5.95
18/11/10,403319.0,6.06,5.83,6.06,5.8
19/11/10,237616.0,5.92,5.76,5.92,5.76
