Date,Value,Open,Close,High,Low
03/08/09,4975800.0,0.028,0.028,0.028,0.027
04/08/09,8865200.0,0.028,0.029,0.029,0.027
06/08/09,2091300.0,0.028,0.029,0.029,0.028
07/08/09,5111100.0,0.028,0.029,0.029,0.028
10/08/09,4880300.0,0.029,0.03,0.03,0.028
11/08/09,7176500.0,0.03,0.031,0.031,0.03
12/08/09,27355200.0,0.032,0.038,0.039,0.032
13/08/09,15529500.0,0.039,0.038,0.04,0.037
14/08/09,34115500.0,0.038,0.04,0.041,0.038
17/08/09,11488800.0,0.039,0.039,0.04,0.038
18/08/09,30205600.0,0.038,0.038,0.038,0.036
19/08/09,16478600.0,0.038,0.039,0.039,0.038
20/08/09,10054000.0,0.038,0.039,0.039,0.038
24/08/09,15900700.0,0.039,0.04,0.04,0.039
25/08/09,8625300.0,0.039,0.04,0.04,0.039
26/08/09,6644100.0,0.039,0.04,0.04,0.039
03/09/09,5418900.0,0.039,0.04,0.04,0.039
04/09/09,13581300.0,0.04,0.041,0.041,0.039
16/09/09,17479800.0,0.043,0.042,0.043,0.041
17/09/09,26628300.0,0.042,0.043,0.043,0.042
18/09/09,8486600.0,0.042,0.041,0.042,0.04
22/09/09,10000900.0,0.041,0.04,0.041,0.039
23/09/09,12269200.0,0.04,0.039,0.04,0.038
30/09/09,33331700.0,0.036,0.039,0.039,0.036
01/10/09,8598000.0,0.039,0.039,0.039,0.038
02/10/09,11010600.0,0.037,0.039,0.039,0.037
05/10/09,1636900.0,0.039,0.039,0.039,0.038
06/10/09,2498000.0,0.039,0.038,0.039,0.038
07/10/09,4044300.0,0.038,0.038,0.038,0.037
08/10/09,276100.0,0.037,0.038,0.038,0.037
09/10/09,7573700.0,0.038,0.039,0.039,0.037
12/10/09,4140400.0,0.039,0.039,0.039,0.038
13/10/09,287400.0,0.038,0.038,0.038,0.037
14/10/09,320700.0,0.037,0.038,0.038,0.037
15/10/09,759700.0,0.038,0.038,0.038,0.037
16/10/09,862000.0,0.038,0.037,0.038,0.036
19/10/09,1234600.0,0.037,0.037,0.037,0.036
20/10/09,652500.0,0.037,0.038,0.038,0.036
21/10/09,1255800.0,0.037,0.038,0.038,0.037
22/10/09,1111100.0,0.037,0.038,0.038,0.037
23/10/09,227900.0,0.037,0.038,0.038,0.037
26/10/09,2186800.0,0.037,0.038,0.038,0.037
27/10/09,794900.0,0.037,0.038,0.038,0.037
28/10/09,506200.0,0.038,0.038,0.038,0.037
29/10/09,905200.0,0.038,0.038,0.038,0.037
30/10/09,511500.0,0.037,0.038,0.038,0.037
03/11/09,3073700.0,0.038,0.038,0.038,0.036
04/11/09,1745800.0,0.038,0.038,0.038,0.037
05/11/09,57557800.0,0.038,0.04,0.042,0.038
06/11/09,82872400.0,0.04,0.045,0.045,0.04
09/11/09,121288700.0,0.045,0.05,0.05,0.045
10/11/09,114870500.0,0.0525,0.05,0.0525,0.049
11/11/09,157429500.0,0.05,0.0625,0.0625,0.05
15/12/09,34186250.0,0.0675,0.0675,0.0675,0.065
16/12/09,29035000.0,0.0675,0.0625,0.0675,0.0625
17/12/09,22204000.0,0.0625,0.065,0.0675,0.0625
18/12/09,7050250.0,0.065,0.0625,0.065,0.0625
21/12/09,4487750.0,0.0625,0.0625,0.065,0.0625
22/12/09,7546250.0,0.0625,0.0625,0.065,0.06
23/12/09,31802000.0,0.065,0.065,0.07,0.065
29/12/09,11828250.0,0.065,0.065,0.065,0.0625
04/01/10,6144750.0,0.065,0.0625,0.065,0.0625
05/01/10,5035250.0,0.0625,0.065,0.065,0.0625
06/01/10,5925000.0,0.0625,0.0625,0.0625,0.0625
07/01/10,24308500.0,0.0625,0.0675,0.0675,0.0625
08/01/10,7933250.0,0.0675,0.065,0.0675,0.0625
11/01/10,860250.0,0.065,0.065,0.065,0.0625
12/01/10,6192250.0,0.065,0.065,0.065,0.0625
13/01/10,13845000.0,0.065,0.06,0.065,0.06
14/01/10,7945000.0,0.0625,0.0625,0.065,0.0625
15/01/10,2492500.0,0.0625,0.0625,0.0625,0.06
18/01/10,577000.0,0.0625,0.06,0.0625,0.06
19/01/10,977500.0,0.0625,0.0625,0.0625,0.06
20/01/10,17376500.0,0.0625,0.0625,0.065,0.06
21/01/10,2767750.0,0.06,0.0625,0.0625,0.06
22/01/10,3327500.0,0.0625,0.0625,0.0625,0.06
25/01/10,3995500.0,0.06,0.06,0.0625,0.0575
26/01/10,2773000.0,0.06,0.06,0.06,0.0575
27/01/10,23489000.0,0.06,0.0575,0.06,0.0525
28/01/10,16580750.0,0.0525,0.055,0.06,0.0525
29/01/10,6622750.0,0.055,0.0575,0.0575,0.055
01/02/10,2344250.0,0.055,0.055,0.0575,0.055
02/02/10,6778000.0,0.055,0.0525,0.055,0.0525
03/02/10,7909000.0,0.05,0.05,0.0525,0.05
04/02/10,9404200.0,0.05,0.05,0.0525,0.046
05/02/10,6063300.0,0.049,0.049,0.049,0.046
08/02/10,6263800.0,0.048,0.049,0.05,0.048
09/02/10,4620800.0,0.048,0.047,0.048,0.045
10/02/10,7367600.0,0.047,0.049,0.049,0.047
11/02/10,19301000.0,0.049,0.0525,0.0525,0.049
08/03/10,11570750.0,0.0525,0.0525,0.0525,0.05
12/03/10,7664250.0,0.05,0.0525,0.0525,0.05
15/03/10,1335000.0,0.05,0.05,0.05,0.05
16/03/10,1782500.0,0.05,0.049,0.05,0.049
17/03/10,41585250.0,0.055,0.0525,0.0575,0.0525
31/03/10,1816500.0,0.0525,0.0525,0.0525,0.0525
20/04/10,2761000.0,0.0525,0.0525,0.0525,0.05
21/04/10,1316500.0,0.0525,0.0525,0.0525,0.05
22/04/10,1867750.0,0.0525,0.0525,0.0525,0.05
23/04/10,1799000.0,0.0525,0.0525,0.0525,0.05
29/04/10,1941500.0,0.055,0.055,0.055,0.0525
30/04/10,339500.0,0.0525,0.055,0.055,0.0525
04/05/10,1349750.0,0.055,0.055,0.055,0.0525
05/05/10,10551750.0,0.0525,0.0525,0.0525,0.05
13/05/10,1491000.0,0.0525,0.0525,0.0525,0.0525
14/05/10,725500.0,0.05,0.0525,0.0525,0.05
17/05/10,1379750.0,0.05,0.0525,0.0525,0.05
18/05/10,10762500.0,0.0525,0.0525,0.0525,0.05
19/05/10,184367250.0,0.05,0.0525,0.0525,0.05
20/05/10,470750.0,0.05,0.0525,0.0525,0.05
21/05/10,6615800.0,0.05,0.0525,0.0525,0.049
24/05/10,5102800.0,0.05,0.05,0.0525,0.049
25/05/10,1674500.0,0.05,0.049,0.05,0.048
26/05/10,4322500.0,0.05,0.05,0.05,0.049
27/05/10,1720000.0,0.05,0.05,0.05,0.05
28/05/10,2657500.0,0.0525,0.0525,0.0525,0.05
31/05/10,1546000.0,0.0525,0.0525,0.0525,0.05
01/06/10,1529350.0,0.0525,0.05,0.0525,0.049
02/06/10,1165150.0,0.05,0.05,0.0525,0.049
03/06/10,631000.0,0.05,0.05,0.0525,0.05
04/06/10,1447400.0,0.05,0.05,0.05,0.049
07/06/10,226700.0,0.05,0.05,0.05,0.049
08/06/10,3121900.0,0.049,0.05,0.05,0.049
09/06/10,4494000.0,0.05,0.05,0.05,0.049
10/06/10,456000.0,0.05,0.05,0.05,0.049
11/06/10,870600.0,0.05,0.05,0.05,0.049
15/06/10,34700.0,0.05,0.05,0.05,0.049
16/06/10,3301800.0,0.049,0.049,0.049,0.048
21/06/10,1087900.0,0.049,0.049,0.05,0.049
22/06/10,262100.0,0.048,0.049,0.049,0.048
23/06/10,1259500.0,0.05,0.049,0.05,0.049
24/06/10,495000.0,0.049,0.049,0.05,0.049
25/06/10,591000.0,0.049,0.049,0.049,0.048
28/06/10,81700.0,0.048,0.049,0.049,0.048
29/06/10,2409800.0,0.049,0.048,0.049,0.047
01/07/10,273600.0,0.048,0.048,0.048,0.048
02/07/10,898300.0,0.048,0.047,0.048,0.047
06/07/10,280900.0,0.048,0.047,0.048,0.047
07/07/10,1516700.0,0.047,0.046,0.047,0.045
08/07/10,428100.0,0.046,0.046,0.047,0.046
09/07/10,1480100.0,0.046,0.046,0.046,0.045
13/07/10,1215000.0,0.045,0.045,0.045,0.044
14/07/10,1364100.0,0.044,0.044,0.045,0.044
15/07/10,8492900.0,0.044,0.045,0.046,0.044
16/07/10,2000200.0,0.045,0.045,0.045,0.043
19/07/10,756800.0,0.045,0.044,0.045,0.043
20/07/10,1898900.0,0.044,0.043,0.044,0.041
21/07/10,3768200.0,0.042,0.042,0.043,0.042
22/07/10,1005800.0,0.041,0.041,0.042,0.04
23/07/10,3251300.0,0.041,0.04,0.042,0.04
20/09/10,4102870.0,4.75,4.6,4.75,4.55
21/09/10,3163820.0,4.6,4.29,4.65,4.1
22/09/10,1303310.0,4.28,4.2,4.28,4.05
23/09/10,3247740.0,4.2,4.0,4.2,4.0
24/09/10,2872680.0,4.0,3.92,4.0,3.88
27/09/10,1793080.0,4.0,4.0,4.18,3.9
28/09/10,1790350.0,4.0,4.1,4.15,3.95
29/09/10,1121500.0,4.0,4.02,4.1,4.0
30/09/10,848110.0,4.0,3.98,4.0,3.9
01/10/10,641870.0,3.99,4.0,4.0,3.92
04/10/10,642680.0,4.0,4.0,4.05,3.95
05/10/10,699380.0,4.0,4.0,4.0,3.94
06/10/10,941590.0,3.92,3.92,3.99,3.92
07/10/10,1041540.0,3.99,4.0,4.0,3.9
08/10/10,777880.0,4.0,3.94,4.0,3.94
12/10/10,3127370.0,4.3,4.18,4.42,4.18
13/10/10,1935050.0,4.1,4.11,4.29,4.1
14/10/10,2194840.0,4.04,4.0,4.13,4.0
15/10/10,1218110.0,3.98,3.98,4.05,3.95
18/10/10,1701000.0,3.96,3.9,4.0,3.9
19/10/10,1392340.0,3.9,3.94,3.94,3.89
20/10/10,21234040.0,3.9,4.1,4.2,3.9
21/10/10,7534430.0,4.1,4.12,4.2,4.1
22/10/10,6902650.0,4.09,3.99,4.1,3.9
26/10/10,6801990.0,4.02,3.93,4.04,3.91
27/10/10,2448660.0,3.99,3.92,4.0,3.91
28/10/10,8044970.0,3.92,4.0,4.02,3.92
29/10/10,1115050.0,4.0,4.0,4.0,3.95
02/11/10,6157500.0,4.0,4.0,4.07,3.93
03/11/10,6607120.0,3.98,4.05,4.06,3.97
04/11/10,3354470.0,4.0,4.0,4.02,3.98
08/11/10,2670470.0,4.02,4.01,4.02,3.96
09/11/10,2563810.0,3.98,3.99,3.99,3.96
10/11/10,3909540.0,3.95,3.9,3.97,3.9
11/11/10,7936770.0,3.9,3.99,3.99,3.89
12/11/10,5058070.0,3.95,3.93,3.95,3.85
15/11/10,1390220.0,3.93,3.93,3.93,3.92
17/11/10,1331910.0,3.9,3.9,3.92,3.85
18/11/10,3083620.0,3.9,3.87,3.9,3.81
19/11/10,5764160.0,3.87,3.85,3.87,3.75
22/11/10,202400.0,3.82,3.8,3.82,3.8
23/11/10,822200.0,3.6,3.6,3.62,3.5
24/11/10,8243220.0,3.62,3.69,3.69,3.55
25/11/10,22041760.0,3.69,3.94,3.94,3.6
26/11/10,2879850.0,3.94,3.7,3.94,3.55
30/11/10,1392970.0,3.73,3.6,3.75,3.55
01/12/10,2592170.0,3.68,3.66,3.68,3.52
02/12/10,11377370.0,3.66,3.82,3.82,3.66
03/12/10,1966060.0,3.81,3.68,3.81,3.64
06/12/10,858530.0,3.72,3.68,3.72,3.65
07/12/10,501800.0,3.68,3.68,3.68,3.6
08/12/10,1726080.0,3.67,3.67,3.67,3.56
16/12/10,973840.0,3.5,3.42,3.5,3.3
22/12/10,2266310.0,3.78,3.79,3.81,3.69
23/12/10,2062580.0,3.8,3.79,3.82,3.65
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
28/12/10,712640.0,3.7,3.7,3.7,3.64
29/12/10,1253360.0,3.7,3.82,3.85,3.64
29/12/10,1253360.0,3.7,3.82,3.85,3.64
03/01/11,20796590.0,3.9,4.01,4.01,3.89
03/01/11,20796590.0,3.9,4.01,4.01,3.89
03/01/11,20796590.0,3.9,4.01,4.01,3.89
04/01/11,46523730.0,4.05,4.1,4.23,4.05
05/01/11,4214980.0,4.1,3.9,4.1,3.9
06/01/11,7683950.0,3.92,4.05,4.05,3.9
07/01/11,6879520.0,4.06,4.01,4.06,3.99
10/01/11,12131400.0,4.0,3.99,4.01,3.96
11/01/11,4362630.0,3.99,3.98,3.99,3.93
11/01/11,4362630.0,3.99,3.98,3.99,3.93
12/01/11,1713400.0,3.99,3.96,3.99,3.92
13/01/11,3339110.0,3.96,3.9,3.96,3.84
14/01/11,74186010.0,3.9,4.3,4.44,3.9
17/01/11,14872700.0,4.38,4.2,4.43,4.15
18/01/11,4373760.0,4.22,4.0,4.25,4.0
19/01/11,3240510.0,4.01,3.95,4.05,3.95
19/01/11,3240510.0,4.01,3.95,4.05,3.95
20/01/11,3811130.0,4.0,3.86,4.0,3.85
20/01/11,3811130.0,4.0,3.86,4.0,3.85
24/01/11,2065950.0,3.75,3.65,3.75,3.64
25/01/11,4157240.0,3.65,3.65,3.75,3.65
26/01/11,3845880.0,3.75,3.6,3.75,3.5
27/01/11,1950500.0,3.6,3.6,3.63,3.55
28/01/11,2690060.0,3.6,3.6,3.67,3.6
28/01/11,2690060.0,3.6,3.6,3.67,3.6
31/01/11,1613450.0,3.5,3.42,3.6,3.4
31/01/11,1613450.0,3.5,3.42,3.6,3.4
01/02/11,1667660.0,3.5,3.4,3.6,3.4
01/02/11,1667660.0,3.5,3.4,3.6,3.4
02/02/11,3635750.0,3.5,3.4,3.5,3.37
03/02/11,4139030.0,3.41,3.36,3.5,3.36
14/02/11,653540.0,3.48,3.35,3.48,3.35
16/02/11,987320.0,3.33,3.35,3.36,3.3
16/02/11,987320.0,3.33,3.35,3.36,3.3
17/02/11,561920.0,3.4,3.4,3.41,3.4
18/02/11,1160530.0,3.4,3.43,3.44,3.38
21/02/11,137080.0,3.45,3.43,3.45,3.35
21/02/11,137080.0,3.45,3.43,3.45,3.35
22/02/11,1976320.0,3.42,3.39,3.49,3.39
22/02/11,1976320.0,3.42,3.39,3.49,3.39
23/02/11,896260.0,3.35,3.39,3.39,3.35
23/02/11,896260.0,3.35,3.39,3.39,3.35
24/02/11,985260.0,3.37,3.37,3.37,3.23
24/02/11,985260.0,3.37,3.37,3.37,3.23
25/02/11,611800.0,3.4,3.37,3.41,3.37
28/02/11,527390.0,3.39,3.36,3.39,3.23
02/03/11,1034900.0,3.2,3.2,3.25,3.19
03/03/11,1917230.0,3.25,3.22,3.25,3.18
04/03/11,1493450.0,3.2,3.2,3.2,3.18
04/03/11,1493450.0,3.2,3.2,3.2,3.18
