Date,Value,Open,Close,High,Low
03/08/09,19150100.0,7.5,7.5,7.6,7.4
04/08/09,16963900.0,7.4,7.7,7.8,7.4
06/08/09,4816500.0,7.7,7.9,8.0,7.7
07/08/09,9507300.0,8.0,8.2,8.2,7.9
10/08/09,15198100.0,8.5,8.5,8.5,8.2
11/08/09,8258900.0,8.4,8.5,8.6,8.4
12/08/09,5435800.0,8.4,8.5,8.5,8.4
13/08/09,3981200.0,8.5,8.6,8.7,8.5
14/08/09,5376400.0,8.6,8.6,8.6,8.5
17/08/09,2898700.0,8.5,8.4,8.5,8.4
18/08/09,46525100.0,8.2,8.2,8.2,8.1
19/08/09,4890900.0,8.2,8.3,8.4,8.2
20/08/09,5807900.0,8.4,8.4,8.4,8.3
24/08/09,16087200.0,8.5,8.8,9.1,8.5
25/08/09,10633500.0,8.8,8.8,9.3,8.8
26/08/09,6200600.0,9.0,9.0,9.1,8.9
03/09/09,15315700.0,8.4,8.2,8.4,8.1
04/09/09,6135500.0,8.2,8.4,8.4,8.2
16/09/09,33369000.0,9.0,8.9,9.4,8.8
17/09/09,11185000.0,9.0,8.9,9.2,8.9
18/09/09,11023400.0,8.9,8.8,8.9,8.7
22/09/09,9997400.0,8.7,8.7,8.8,8.7
23/09/09,9691200.0,8.8,8.7,8.8,8.7
30/09/09,18831400.0,8.6,8.7,8.7,8.6
01/10/09,25320700.0,8.7,8.8,9.0,8.7
02/10/09,5271500.0,8.6,8.6,8.6,8.5
05/10/09,5151700.0,8.7,8.6,8.7,8.6
06/10/09,19066700.0,8.8,8.6,8.9,8.6
07/10/09,40863100.0,8.7,8.9,8.9,8.6
08/10/09,37482000.0,8.9,9.3,9.5,8.9
09/10/09,19317300.0,9.3,9.3,9.5,9.1
12/10/09,785700.0,9.2,9.1,9.3,9.1
13/10/09,6903200.0,9.1,9.0,9.1,9.0
14/10/09,3112300.0,9.1,9.0,9.1,8.9
15/10/09,33635700.0,9.1,9.5,9.6,9.1
16/10/09,15195600.0,9.5,9.6,9.6,9.4
19/10/09,2022700.0,9.6,9.5,9.6,9.4
20/10/09,7324600.0,9.5,9.5,9.5,9.4
21/10/09,3070600.0,9.4,9.3,9.4,9.2
22/10/09,41277400.0,9.4,9.7,9.8,9.3
23/10/09,98607950.0,9.9,10.25,10.5,9.9
26/10/09,52570525.0,10.25,10.0,10.25,10.0
27/10/09,42544900.0,9.9,10.0,10.0,9.8
28/10/09,16524200.0,9.9,9.9,10.0,9.9
29/10/09,19903500.0,9.9,9.6,9.9,9.5
30/10/09,61511800.0,10.0,9.7,10.0,9.7
03/11/09,16939300.0,9.7,9.5,9.8,9.4
04/11/09,29532000.0,9.5,9.4,9.5,9.3
05/11/09,16229000.0,9.4,9.4,9.6,9.3
06/11/09,17512200.0,9.5,9.6,9.7,9.5
09/11/09,2746100.0,9.6,9.4,9.6,9.4
10/11/09,9306400.0,9.6,9.5,9.6,9.4
11/11/09,12227000.0,9.4,9.5,9.6,9.4
15/12/09,4034700.0,9.4,9.4,9.5,9.4
16/12/09,4583700.0,9.4,9.5,9.5,9.4
17/12/09,5444600.0,9.6,9.4,9.6,9.3
18/12/09,8627500.0,9.4,9.5,9.5,9.3
21/12/09,8652800.0,9.4,9.4,9.4,9.3
22/12/09,4029500.0,9.4,9.5,9.5,9.3
23/12/09,6108500.0,9.5,9.5,9.5,9.5
29/12/09,11403300.0,9.4,9.7,9.7,9.4
04/01/10,3971600.0,9.6,9.5,9.6,9.4
05/01/10,7173600.0,9.7,9.6,9.7,9.6
06/01/10,9141800.0,9.8,9.6,9.8,9.6
07/01/10,10383800.0,9.7,9.9,10.0,9.7
08/01/10,6607800.0,9.9,9.6,9.9,9.6
11/01/10,6117400.0,9.9,9.8,9.9,9.8
12/01/10,6589600.0,9.8,9.9,9.9,9.7
13/01/10,1225100.0,9.9,9.8,9.9,9.8
14/01/10,9975700.0,9.8,9.6,9.8,9.5
15/01/10,11320000.0,9.6,9.6,9.7,9.5
18/01/10,24823100.0,9.6,9.5,9.6,9.5
19/01/10,5795000.0,9.5,9.5,9.5,9.5
20/01/10,20413000.0,9.5,9.6,9.7,9.5
21/01/10,14561000.0,9.5,9.5,9.5,9.4
22/01/10,2994600.0,9.4,9.4,9.4,9.3
25/01/10,24376200.0,9.3,9.0,9.3,9.0
26/01/10,23125400.0,9.0,9.1,9.2,9.0
27/01/10,14088200.0,9.1,8.8,9.1,8.6
28/01/10,10252100.0,8.8,9.0,9.1,8.8
29/01/10,35812300.0,9.0,9.1,9.1,8.8
01/02/10,27530300.0,9.1,8.9,9.1,8.9
02/02/10,12142500.0,8.9,8.7,8.9,8.5
03/02/10,11339500.0,8.6,8.7,8.8,8.6
04/02/10,3124900.0,8.8,8.9,8.9,8.7
05/02/10,4939000.0,8.7,8.9,8.9,8.6
08/02/10,11616400.0,8.6,9.0,9.0,8.6
09/02/10,26398800.0,8.9,9.0,9.0,8.9
10/02/10,23945900.0,9.1,9.3,9.4,9.1
11/02/10,18432900.0,9.3,9.5,9.5,9.3
08/03/10,10997150.0,11.0,11.0,11.25,10.75
12/03/10,25435975.0,12.75,12.25,12.75,12.0
15/03/10,44792275.0,12.25,12.75,13.0,12.25
16/03/10,17516500.0,12.75,12.5,12.75,12.5
17/03/10,7426025.0,12.75,12.5,12.75,12.25
31/03/10,34060225.0,15.0,14.75,15.0,14.5
20/04/10,83748375.0,15.5,14.75,15.5,14.75
21/04/10,62146225.0,14.75,15.5,15.5,14.75
22/04/10,70972125.0,15.25,15.5,15.5,15.25
23/04/10,20821650.0,15.5,15.5,15.5,15.25
29/04/10,99372625.0,17.25,17.5,17.75,17.25
30/04/10,65839300.0,17.5,17.0,17.75,17.0
04/05/10,68756600.0,17.0,16.75,17.0,16.25
05/05/10,122638275.0,16.25,15.0,16.25,14.75
13/05/10,162793500.0,16.25,16.5,16.75,16.0
14/05/10,102369625.0,16.25,16.25,16.5,15.75
17/05/10,111515975.0,16.0,15.5,16.0,15.0
18/05/10,122070600.0,16.0,15.5,16.25,15.5
19/05/10,51958625.0,15.5,15.5,15.5,15.0
20/05/10,134688300.0,15.5,16.0,16.25,15.5
21/05/10,69660400.0,15.25,15.75,15.75,15.0
24/05/10,63340200.0,15.75,15.0,15.75,15.0
25/05/10,89925625.0,15.0,14.5,15.0,14.25
26/05/10,66497250.0,14.75,14.5,15.0,14.25
27/05/10,85314675.0,14.25,15.0,15.25,14.25
28/05/10,178590300.0,15.5,15.5,16.0,15.25
31/05/10,82865700.0,15.0,16.0,16.0,15.0
01/06/10,46776175.0,16.0,16.0,16.25,15.75
02/06/10,42840775.0,16.0,16.0,16.25,16.0
03/06/10,106334300.0,16.25,16.5,16.75,16.25
04/06/10,75383700.0,16.5,16.75,17.0,16.5
07/06/10,85894950.0,16.25,16.75,17.0,16.0
08/06/10,118254100.0,16.75,17.5,17.5,16.75
09/06/10,167351025.0,17.75,17.25,17.75,17.0
10/06/10,34680050.0,17.25,17.0,17.25,16.75
11/06/10,122609125.0,17.5,17.0,17.5,17.0
15/06/10,43267600.0,17.0,17.0,17.0,16.75
16/06/10,79736975.0,17.0,17.0,17.0,16.75
21/06/10,192937425.0,17.25,17.5,18.0,17.25
22/06/10,297416425.0,17.5,17.75,18.0,17.5
23/06/10,279849475.0,17.5,18.25,18.5,17.5
24/06/10,271890300.0,18.25,18.25,18.5,18.0
25/06/10,152487100.0,18.0,18.0,18.0,17.5
28/06/10,36433400.0,17.75,18.0,18.0,17.5
29/06/10,91286775.0,18.0,17.75,18.0,17.5
01/07/10,131032400.0,17.25,17.25,17.5,17.0
02/07/10,141831650.0,17.0,16.75,17.0,16.75
06/07/10,148568125.0,17.0,17.5,17.75,16.75
07/07/10,193623350.0,17.5,18.0,18.0,17.25
08/07/10,246537125.0,18.25,18.75,19.0,18.25
09/07/10,165017850.0,19.0,18.25,19.0,18.25
13/07/10,324161125.0,18.75,19.0,19.5,18.75
14/07/10,113208275.0,19.75,19.5,20.0,19.5
15/07/10,154542925.0,19.5,19.0,19.75,18.75
16/07/10,73238525.0,19.0,18.75,19.0,18.5
19/07/10,182772975.0,18.25,18.75,18.75,18.0
20/07/10,136970275.0,18.75,18.75,19.25,18.75
21/07/10,108515300.0,19.0,19.0,19.0,18.75
22/07/10,232848625.0,18.75,19.5,19.5,18.5
23/07/10,134243925.0,19.5,19.5,19.75,19.25
20/09/10,172902130.0,26.55,27.0,27.5,26.55
21/09/10,106102985.0,28.0,27.35,28.4,27.3
22/09/10,112555915.0,27.0,27.0,27.5,26.7
23/09/10,62890350.0,27.2,27.3,27.7,27.2
24/09/10,83863525.0,27.1,27.8,27.8,27.1
27/09/10,107308665.0,27.85,28.7,30.0,27.85
28/09/10,149838060.0,28.6,28.5,28.95,28.3
29/09/10,57513935.0,28.6,28.25,28.7,27.3
30/09/10,98713820.0,28.1,27.5,28.1,27.0
01/10/10,139372195.0,27.5,27.9,28.15,27.4
04/10/10,80646165.0,28.0,28.9,28.95,28.0
