Date,Value,Open,Close,High,Low
10/06/13,159125765.0,30.0,27.2,30.0,26.55
11/06/13,49915570.0,27.25,26.6,28.6,26.4
13/06/13,138412205.0,26.4,25.6,26.4,25.4
14/06/13,18024350.0,26.0,26.4,26.9,25.9
17/06/13,74725850.0,26.4,26.0,26.45,25.95
18/06/13,4494370.0,26.0,25.8,26.2,25.7
19/06/13,22819215.0,25.8,25.0,25.8,25.0
20/06/13,32359940.0,25.0,23.8,25.0,23.0
21/06/13,44804590.0,23.0,23.0,24.8,22.3
24/06/13,3813025.0,23.0,23.0,23.95,22.9
25/06/13,32714525.0,23.0,23.0,23.85,20.0
26/06/13,10330060.0,22.2,23.0,23.7,22.2
27/06/13,640730.0,23.4,23.35,23.45,23.3
28/06/13,24571475.0,23.35,24.0,24.75,23.35
01/07/13,2368540.0,24.0,25.0,25.0,23.9
02/07/13,76499825.0,25.0,25.35,25.6,25.0
03/07/13,42959825.0,25.1,26.0,26.15,25.1
04/07/13,18134960.0,26.0,26.0,26.5,25.8
05/07/13,5578370.0,26.5,26.5,26.55,26.45
08/07/13,4028075.0,26.0,26.1,26.25,26.0
09/07/13,37682870.0,26.1,26.0,26.1,26.0
10/07/13,35513505.0,26.0,26.0,26.3,26.0
11/07/13,14770870.0,26.4,27.0,27.0,26.4
12/07/13,26317530.0,27.0,26.5,27.0,26.5
15/07/13,2400850.0,26.6,26.5,26.6,26.3
16/07/13,18881600.0,27.0,26.5,27.0,26.5
17/07/13,4013890.0,26.0,26.5,26.5,26.0
18/07/13,25089760.0,26.7,26.5,26.7,26.5
19/07/13,4648495.0,27.0,26.8,27.05,26.8
22/07/13,4646180.0,27.0,26.8,27.0,26.8
23/07/13,18546195.0,26.8,27.0,27.0,26.0
24/07/13,858800.0,26.95,27.05,27.05,26.95
25/07/13,18726225.0,27.0,28.2,29.0,27.0
26/07/13,22135765.0,28.2,29.0,29.9,28.2
29/07/13,19276310.0,29.7,28.9,30.25,28.55
30/07/13,1510720.0,28.5,28.85,28.85,27.8
31/07/13,14312495.0,28.5,27.5,28.5,27.5
01/08/13,9341935.0,28.0,28.5,29.0,28.0
02/08/13,1477410.0,28.2,28.0,28.5,28.0
05/08/13,82810.0,28.8,28.45,28.8,28.45
06/08/13,3248655.0,27.6,29.95,29.95,27.5
07/08/13,3080585.0,29.5,28.9,29.5,28.5
08/08/13,5236450.0,28.8,28.9,29.0,28.8
12/08/13,4017520.0,28.0,28.65,29.0,28.0
13/08/13,61483375.0,29.15,29.0,29.5,28.65
14/08/13,23923145.0,29.3,29.8,30.0,29.3
15/08/13,19020990.0,29.75,29.5,29.75,29.4
16/08/13,9357210.0,29.2,29.2,29.2,28.0
22/08/13,5463750.0,28.0,28.5,28.6,27.5
23/08/13,24298540.0,28.0,28.35,28.5,28.0
27/08/13,16400.0,27.5,26.5,28.0,26.5
28/08/13,55874500.0,26.7,26.5,26.7,25.0
29/08/13,6722385.0,26.5,27.5,29.0,26.5
30/08/13,23720450.0,27.5,27.0,27.5,27.0
02/09/13,82500.0,27.5,27.5,27.5,27.5
03/09/13,1611500.0,27.5,27.5,27.5,27.5
04/09/13,118745.0,27.5,27.95,27.95,27.5
05/09/13,1312340.0,28.0,27.0,28.0,26.5
06/09/13,1371575.0,27.0,27.0,27.0,26.95
10/09/13,37800.0,27.0,27.0,27.0,27.0
11/09/13,10177235.0,26.5,26.5,27.0,26.0
12/09/13,10511185.0,26.5,25.8,26.5,25.8
13/09/13,3055000.0,26.0,26.0,26.0,26.0
16/09/13,34217635.0,26.0,25.75,26.0,25.75
17/09/13,20551250.0,26.0,26.0,26.25,26.0
18/09/13,71550.0,26.5,26.5,26.5,26.5
19/09/13,7884275.0,28.0,28.0,28.1,27.5
20/09/13,3702350.0,28.0,28.0,28.1,28.0
23/09/13,2652630.0,27.6,28.0,28.0,27.6
24/09/13,4132200.0,28.0,26.5,28.0,26.5
25/09/13,260900.0,27.0,27.0,27.0,26.8
26/09/13,1760500.0,27.0,27.0,27.5,26.5
27/09/13,209465.0,27.0,27.8,27.8,26.0
30/09/13,782310.0,26.2,26.0,26.2,26.0
01/10/13,85310.0,26.5,26.15,27.15,26.15
02/10/13,346080.0,26.95,27.1,27.1,26.1
03/10/13,4834750.0,26.95,27.1,27.5,26.95
07/10/13,718760.0,27.1,27.0,27.1,27.0
08/10/13,64648800.0,27.0,27.0,27.0,27.0
09/10/13,1633500.0,27.0,27.0,27.0,27.0
11/10/13,106804505.0,30.05,30.0,39.5,29.95
14/10/13,58695430.0,31.8,33.45,33.9,30.3
16/10/13,18547775.0,33.5,32.85,33.5,32.2
17/10/13,7677305.0,32.85,32.5,33.0,32.25
18/10/13,55645315.0,32.95,32.85,33.4,32.5
21/10/13,6245870.0,33.0,32.65,33.0,32.65
22/10/13,2715565.0,32.65,31.5,32.8,31.0
23/10/13,3139230.0,31.5,31.9,32.0,31.5
24/10/13,4272900.0,32.05,31.0,32.05,30.95
25/10/13,1666660.0,31.5,30.4,31.5,30.4
29/10/13,2918965.0,30.2,29.5,30.4,29.5
30/10/13,8845370.0,29.5,29.4,29.7,29.0
31/10/13,2936230.0,29.4,28.7,29.4,28.6
