Date,Value,Open,Close,High,Low
03/08/09,3189060.0,1.36,1.32,1.36,1.3
04/08/09,2764680.0,1.32,1.28,1.34,1.22
06/08/09,258920.0,1.28,1.26,1.28,1.24
07/08/09,1109980.0,1.3,1.26,1.3,1.24
10/08/09,4429200.0,1.28,1.4,1.4,1.28
11/08/09,2062380.0,1.42,1.4,1.42,1.36
12/08/09,1530420.0,1.4,1.4,1.42,1.4
13/08/09,2238620.0,1.4,1.4,1.42,1.4
14/08/09,4386820.0,1.42,1.38,1.46,1.38
17/08/09,3925380.0,1.44,1.42,1.46,1.4
18/08/09,940460.0,1.42,1.44,1.44,1.4
19/08/09,4158000.0,1.48,1.56,1.56,1.48
20/08/09,5618400.0,1.6,1.62,1.66,1.56
24/08/09,4219900.0,1.64,1.64,1.64,1.58
25/08/09,1698120.0,1.56,1.56,1.58,1.52
26/08/09,1010800.0,1.54,1.58,1.58,1.52
03/09/09,527880.0,1.48,1.52,1.52,1.48
04/09/09,568160.0,1.54,1.54,1.54,1.52
16/09/09,281000.0,1.8,1.74,1.8,1.74
17/09/09,1387860.0,1.72,1.66,1.74,1.6
18/09/09,635640.0,1.6,1.62,1.62,1.58
22/09/09,140940.0,1.62,1.62,1.62,1.62
23/09/09,1901660.0,1.62,1.72,1.72,1.62
30/09/09,271720.0,1.68,1.64,1.68,1.64
01/10/09,965540.0,1.66,1.6,1.66,1.6
02/10/09,547360.0,1.58,1.58,1.58,1.54
05/10/09,229940.0,1.58,1.56,1.6,1.56
06/10/09,358440.0,1.56,1.62,1.66,1.56
07/10/09,340280.0,1.6,1.64,1.64,1.6
08/10/09,986280.0,1.62,1.58,1.64,1.56
09/10/09,70400.0,1.6,1.6,1.6,1.6
12/10/09,395400.0,1.6,1.6,1.62,1.6
13/10/09,376700.0,1.6,1.58,1.6,1.58
14/10/09,9540.0,1.58,1.6,1.6,1.58
15/10/09,99620.0,1.62,1.58,1.62,1.58
16/10/09,163200.0,1.64,1.62,1.64,1.62
19/10/09,67200.0,1.6,1.6,1.6,1.6
20/10/09,224380.0,1.58,1.58,1.6,1.58
21/10/09,298200.0,1.58,1.56,1.58,1.56
22/10/09,517000.0,1.54,1.5,1.54,1.5
23/10/09,928140.0,1.52,1.48,1.52,1.48
26/10/09,893420.0,1.48,1.44,1.48,1.42
27/10/09,1345500.0,1.4,1.4,1.42,1.4
28/10/09,1661280.0,1.38,1.42,1.44,1.38
29/10/09,754480.0,1.44,1.44,1.5,1.4
30/10/09,231300.0,1.48,1.48,1.5,1.46
03/11/09,109200.0,1.48,1.44,1.48,1.44
04/11/09,645880.0,1.44,1.44,1.44,1.42
05/11/09,736140.0,1.44,1.44,1.46,1.42
06/11/09,281380.0,1.44,1.46,1.48,1.44
09/11/09,227080.0,1.46,1.44,1.46,1.44
10/11/09,1538720.0,1.44,1.44,1.44,1.42
11/11/09,900380.0,1.44,1.46,1.46,1.44
15/12/09,703460.0,1.52,1.46,1.52,1.46
16/12/09,870000.0,1.46,1.44,1.46,1.44
17/12/09,1169120.0,1.42,1.4,1.42,1.4
18/12/09,216400.0,1.38,1.4,1.4,1.38
21/12/09,14200.0,1.42,1.42,1.42,1.42
23/12/09,252660.0,1.42,1.38,1.42,1.38
04/01/10,869040.0,1.36,1.36,1.36,1.36
05/01/10,1400.0,1.4,1.4,1.4,1.4
06/01/10,1075860.0,1.38,1.42,1.44,1.38
11/01/10,20980.0,1.4,1.4,1.4,1.38
12/01/10,605960.0,1.36,1.4,1.42,1.36
13/01/10,43000.0,1.4,1.44,1.44,1.4
14/01/10,29040.0,1.38,1.44,1.44,1.38
15/01/10,318760.0,1.42,1.44,1.46,1.42
18/01/10,919800.0,1.4,1.4,1.4,1.4
20/01/10,109200.0,1.4,1.4,1.4,1.4
25/01/10,156400.0,1.36,1.36,1.36,1.36
26/01/10,982400.0,1.36,1.34,1.36,1.34
27/01/10,457920.0,1.32,1.32,1.32,1.3
29/01/10,801300.0,1.32,1.34,1.36,1.32
01/02/10,76240.0,1.36,1.28,1.36,1.28
02/02/10,241680.0,1.28,1.26,1.28,1.26
03/02/10,751060.0,1.24,1.2,1.24,1.2
04/02/10,305640.0,1.2,1.18,1.2,1.16
05/02/10,37080.0,1.16,1.12,1.16,1.12
08/02/10,362500.0,1.18,1.16,1.18,1.14
09/02/10,618360.0,1.14,1.1,1.14,1.1
10/02/10,937080.0,1.14,1.1,1.14,1.1
11/02/10,448020.0,1.14,1.14,1.14,1.14
