Date,Value,Open,Close,High,Low
03/08/09,484000.0,4.0,4.2,4.5,4.0
04/08/09,694950.0,4.4,4.35,4.6,4.25
06/08/09,112650.0,4.35,4.25,4.35,4.25
07/08/09,471350.0,4.25,4.25,4.5,4.25
10/08/09,409100.0,4.25,4.35,4.35,4.2
11/08/09,301000.0,4.3,4.3,4.3,4.3
12/08/09,379400.0,4.25,4.05,4.25,4.0
14/08/09,251200.0,4.1,4.05,4.1,4.05
17/08/09,356750.0,4.05,3.9,4.1,3.9
18/08/09,345500.0,3.9,3.8,3.9,3.5
19/08/09,270950.0,3.8,3.95,3.95,3.6
20/08/09,95500.0,3.8,3.8,3.85,3.8
25/08/09,345450.0,3.9,3.95,4.0,3.9
26/08/09,221800.0,3.95,3.95,4.15,3.95
03/09/09,1193800.0,4.0,4.45,4.45,4.0
04/09/09,582050.0,4.5,4.5,4.65,4.5
16/09/09,20500.0,4.1,4.1,4.1,4.1
17/09/09,41500.0,4.15,4.15,4.15,4.15
18/09/09,110550.0,4.1,4.4,4.4,4.1
30/09/09,30050.0,3.7,3.8,3.8,3.65
02/10/09,105800.0,3.55,3.7,3.7,3.55
06/10/09,75000.0,3.7,3.8,3.8,3.7
08/10/09,58500.0,3.9,3.9,3.9,3.9
12/10/09,26950.0,3.85,3.85,3.85,3.85
13/10/09,3850.0,3.85,3.85,3.85,3.85
14/10/09,26950.0,3.85,3.85,3.85,3.85
16/10/09,84950.0,4.45,4.1,4.45,4.1
19/10/09,12000.0,4.0,4.0,4.0,4.0
20/10/09,110700.0,4.1,4.1,4.1,4.1
21/10/09,28150.0,4.05,4.0,4.05,4.0
23/10/09,12000.0,4.0,4.0,4.0,4.0
30/10/09,114000.0,3.8,3.8,3.8,3.8
03/11/09,57000.0,3.8,3.8,3.8,3.8
05/11/09,7700.0,3.85,3.85,3.85,3.85
06/11/09,15400.0,3.85,3.85,3.85,3.85
09/11/09,39500.0,3.95,3.95,3.95,3.95
10/11/09,639500.0,4.1,4.1,4.15,4.05
11/11/09,1089550.0,4.2,4.35,4.35,4.2
15/12/09,212000.0,4.0,4.0,4.0,4.0
18/12/09,312000.0,3.9,3.9,3.9,3.9
21/12/09,336700.0,3.9,3.95,3.95,3.9
04/01/10,270800.0,3.85,3.4,3.85,3.4
07/01/10,10650.0,3.55,3.55,3.55,3.55
08/01/10,363750.0,4.0,3.75,4.0,3.75
11/01/10,440000.0,4.0,4.0,4.0,4.0
12/01/10,240000.0,4.0,4.0,4.0,4.0
18/01/10,120000.0,4.0,4.0,4.0,4.0
20/01/10,1982000.0,3.9,4.15,4.45,3.9
22/01/10,57000.0,3.8,3.8,3.8,3.8
25/01/10,973900.0,3.9,3.9,3.9,3.7
26/01/10,39000.0,3.9,3.9,3.9,3.9
27/01/10,822150.0,3.7,3.65,3.7,3.5
28/01/10,217650.0,3.65,3.8,3.8,3.65
29/01/10,865700.0,3.7,3.8,3.85,3.7
01/02/10,170550.0,3.6,3.55,3.6,3.55
02/02/10,54000.0,3.6,3.6,3.6,3.6
05/02/10,118800.0,3.6,3.6,3.6,3.6
09/02/10,51750.0,3.45,3.45,3.45,3.45
10/02/10,41700.0,3.6,3.45,3.6,3.45
16/03/10,18250.0,3.65,3.65,3.65,3.65
31/03/10,3850.0,3.85,3.85,3.85,3.85
20/04/10,11550.0,3.85,3.85,3.85,3.85
21/04/10,111650.0,3.85,3.85,3.85,3.85
23/04/10,81900.0,3.9,3.9,3.9,3.9
