Date,Value,Open,Close,High,Low
03/08/09,297600.0,1.24,1.24,1.24,1.24
04/08/09,1984000.0,1.24,1.24,1.24,1.24
11/08/09,1280.0,1.28,1.28,1.28,1.28
14/08/09,11520.0,1.28,1.28,1.28,1.28
17/08/09,477600.0,1.28,1.28,1.28,1.2
18/08/09,3860.0,1.28,1.3,1.3,1.28
24/08/09,643600.0,1.2,1.2,1.24,1.2
25/08/09,576300.0,1.3,1.2,1.3,1.2
26/08/09,184000.0,1.2,1.24,1.24,1.2
03/09/09,19520.0,1.22,1.22,1.22,1.22
04/09/09,406720.0,1.24,1.24,1.24,1.24
01/10/09,1180.0,1.18,1.18,1.18,1.18
02/10/09,43660.0,1.18,1.18,1.18,1.18
05/10/09,2400.0,1.2,1.2,1.2,1.2
06/10/09,82620.0,1.2,1.18,1.2,1.18
08/10/09,6000.0,1.2,1.2,1.2,1.2
12/10/09,26400.0,1.2,1.2,1.2,1.2
13/10/09,7200.0,1.2,1.2,1.2,1.2
14/10/09,411340.0,1.22,1.24,1.24,1.22
15/10/09,634280.0,1.24,1.2,1.24,1.2
16/10/09,17700.0,1.18,1.18,1.18,1.18
20/10/09,865420.0,1.22,1.2,1.24,1.2
21/10/09,1153100.0,1.24,1.18,1.24,1.18
29/10/09,25000.0,1.18,1.2,1.2,1.18
30/10/09,282020.0,1.18,1.18,1.18,1.18
03/11/09,1180.0,1.18,1.18,1.18,1.18
04/11/09,357800.0,1.22,1.18,1.22,1.18
05/11/09,328440.0,1.2,1.22,1.22,1.2
11/11/09,180560.0,1.22,1.22,1.22,1.22
15/12/09,46460.0,1.26,1.26,1.3,1.24
16/12/09,198340.0,1.26,1.3,1.3,1.26
17/12/09,2560.0,1.28,1.28,1.28,1.28
18/12/09,6400.0,1.28,1.28,1.28,1.28
21/12/09,31740.0,1.38,1.38,1.38,1.38
22/12/09,5440.0,1.36,1.36,1.36,1.36
23/12/09,1300.0,1.3,1.3,1.3,1.3
29/12/09,1320.0,1.32,1.32,1.32,1.32
05/01/10,78000.0,1.3,1.3,1.3,1.3
06/01/10,19500.0,1.3,1.3,1.3,1.3
08/01/10,198320.0,1.34,1.34,1.34,1.34
12/01/10,73700.0,1.34,1.34,1.34,1.34
13/01/10,296780.0,1.34,1.38,1.38,1.34
14/01/10,193600.0,1.38,1.4,1.4,1.38
15/01/10,402460.0,1.4,1.38,1.4,1.38
18/01/10,176260.0,1.4,1.38,1.4,1.38
19/01/10,1380.0,1.38,1.38,1.38,1.38
21/01/10,2720.0,1.36,1.36,1.36,1.36
22/01/10,525960.0,1.38,1.36,1.38,1.36
25/01/10,13600.0,1.36,1.36,1.36,1.36
26/01/10,2326800.0,1.4,1.4,1.4,1.4
27/01/10,354200.0,1.4,1.4,1.4,1.4
28/01/10,309400.0,1.4,1.4,1.4,1.4
29/01/10,32200.0,1.4,1.4,1.4,1.4
02/02/10,588000.0,1.4,1.4,1.4,1.4
03/02/10,285600.0,1.4,1.4,1.4,1.4
04/02/10,41160.0,1.4,1.42,1.42,1.4
05/02/10,14200.0,1.42,1.42,1.42,1.42
08/02/10,457800.0,1.4,1.4,1.4,1.4
09/02/10,280000.0,1.4,1.4,1.4,1.4
08/03/10,707000.0,1.4,1.4,1.4,1.4
12/03/10,85000.0,1.4,1.42,1.42,1.4
15/03/10,33600.0,1.4,1.4,1.4,1.4
16/03/10,178920.0,1.42,1.42,1.42,1.42
17/03/10,158400.0,1.44,1.44,1.44,1.44
31/03/10,81400.0,1.48,1.48,1.48,1.48
21/04/10,98800.0,1.52,1.52,1.52,1.52
22/04/10,1540.0,1.54,1.54,1.54,1.54
23/04/10,26380.0,1.54,1.5,1.58,1.5
